日期,编码,地区,业务类型,流量
201910270800,853,安顺,视频,439899.09
201910270805,853,安顺,视频,452009.55
201910270810,853,安顺,视频,474638.73
201910270815,853,安顺,视频,478074.53
201910270820,853,安顺,视频,490561.31
201910270825,853,安顺,视频,496544.97
201910270830,853,安顺,视频,514091.67
201910270835,853,安顺,视频,528517.19
201910270840,853,安顺,视频,531707.68
201910270845,853,安顺,视频,550528.49
201910270850,853,安顺,视频,562554.27
201910270855,853,安顺,视频,567651.03
201910270900,853,安顺,视频,573777.72
201910270905,853,安顺,视频,570532.86
201910270910,853,安顺,视频,583101.90
201910270915,853,安顺,视频,595904.93
201910270920,853,安顺,视频,608770.80
201910270925,853,安顺,视频,605503.93
201910270930,853,安顺,视频,630001.02
201910270935,853,安顺,视频,636522.89
201910270940,853,安顺,视频,641533.08
201910270945,853,安顺,视频,639217.34
201910270950,853,安顺,视频,650653.00
201910270955,853,安顺,视频,662175.71
201910271000,853,安顺,视频,659012.96
201910271005,853,安顺,视频,671213.24
201910271010,853,安顺,视频,672303.98
201910271015,853,安顺,视频,676261.75
201910271020,853,安顺,视频,685478.68
201910271025,853,安顺,视频,685690.99
201910271030,853,安顺,视频,689669.12
201910271035,853,安顺,视频,700250.18
201910271040,853,安顺,视频,691167.85
201910271045,853,安顺,视频,698622.49
201910271050,853,安顺,视频,697761.56
201910271055,853,安顺,视频,705607.28
201910271105,853,安顺,视频,703759.13
201910271110,853,安顺,视频,713120.04
201910271115,853,安顺,视频,725979.86
201910271120,853,安顺,视频,729906.87
201910271125,853,安顺,视频,734122.47
201910271130,853,安顺,视频,725063.14
201910271135,853,安顺,视频,722061.66
201910271140,853,安顺,视频,728767.02
201910271145,853,安顺,视频,742382.85
201910271150,853,安顺,视频,741864.32
201910271155,853,安顺,视频,739236.83
201910271200,853,安顺,视频,735808.45
201910271205,853,安顺,视频,743164.91
201910271210,853,安顺,视频,747800.52
201910271215,853,安顺,视频,748871.39
201910271220,853,安顺,视频,757605.71
201910271225,853,安顺,视频,786290.41
201910271230,853,安顺,视频,800924.02
201910271235,853,安顺,视频,799783.41
201910271240,853,安顺,视频,807880.51
201910271245,853,安顺,视频,807167.36
201910271250,853,安顺,视频,812218.57
201910271255,853,安顺,视频,796341.27
201910271300,853,安顺,视频,777802.39
201910271305,853,安顺,视频,774459.22
201910271310,853,安顺,视频,746172.09
201910271315,853,安顺,视频,765854.07
201910271320,853,安顺,视频,759215.82
201910271325,853,安顺,视频,757317.22
201910271330,853,安顺,视频,749319.28
201910271335,853,安顺,视频,749225.24
201910271340,853,安顺,视频,743003.16
201910271345,853,安顺,视频,748229.84
201910271350,853,安顺,视频,741590.62
201910271355,853,安顺,视频,732198.38
201910271400,853,安顺,视频,732314.72
201910271405,853,安顺,视频,715565.90
201910271410,853,安顺,视频,721191.31
201910271415,853,安顺,视频,719027.23
201910271420,853,安顺,视频,703729.22
201910271425,853,安顺,视频,714628.08
201910271430,853,安顺,视频,714193.79
201910271435,853,安顺,视频,721567.25
201910271440,853,安顺,视频,716051.27
201910271445,853,安顺,视频,716941.01
201910271450,853,安顺,视频,712088.40
201910271455,853,安顺,视频,718593.42
201910271500,853,安顺,视频,729488.82
201910271505,853,安顺,视频,728442.54
201910271510,853,安顺,视频,721877.00
201910271515,853,安顺,视频,708399.32
201910271520,853,安顺,视频,711439.37
201910271525,853,安顺,视频,718692.02
201910271530,853,安顺,视频,719213.57
201910271535,853,安顺,视频,717282.72
201910271540,853,安顺,视频,706950.35
201910271545,853,安顺,视频,717546.52
201910271550,853,安顺,视频,710213.85
201910271555,853,安顺,视频,707787.86
201910271600,853,安顺,视频,711795.00
201910271605,853,安顺,视频,696751.31
201910271610,853,安顺,视频,684476.12
201910271615,853,安顺,视频,712049.11
201910271620,853,安顺,视频,705512.55
201910271625,853,安顺,视频,713537.07
201910271630,853,安顺,视频,712096.12
201910271635,853,安顺,视频,710682.54
201910271640,853,安顺,视频,716331.61
201910271645,853,安顺,视频,726045.90
201910271650,853,安顺,视频,702603.08
201910271655,853,安顺,视频,704696.58
201910271700,853,安顺,视频,689228.48
201910271705,853,安顺,视频,687922.22
201910271710,853,安顺,视频,679538.45
201910271715,853,安顺,视频,687443.19
201910271720,853,安顺,视频,697340.39
201910271725,853,安顺,视频,699752.26
201910271730,853,安顺,视频,695662.87
201910271735,853,安顺,视频,640112.98
201910271740,853,安顺,视频,672681.95
201910271745,853,安顺,视频,678920.02
201910271750,853,安顺,视频,681936.58
201910271755,853,安顺,视频,688605.17
201910271800,853,安顺,视频,682734.60
201910271805,853,安顺,视频,677984.47
201910271810,853,安顺,视频,680594.80
201910271815,853,安顺,视频,681918.26
201910271820,853,安顺,视频,698301.76
201910271825,853,安顺,视频,683980.50
201910271830,853,安顺,视频,680618.24
201910271835,853,安顺,视频,699236.73
201910271840,853,安顺,视频,709592.76
201910271845,853,安顺,视频,723942.00
201910271850,853,安顺,视频,721708.14
201910271855,853,安顺,视频,755605.68
201910271900,853,安顺,视频,764551.35
201910271905,853,安顺,视频,777826.33
201910271910,853,安顺,视频,798957.11
201910271915,853,安顺,视频,810800.68
201910271920,853,安顺,视频,811225.80
201910271925,853,安顺,视频,832008.72
201910271930,853,安顺,视频,850639.10
201910271935,853,安顺,视频,847044.31
201910271940,853,安顺,视频,875180.53
201910271945,853,安顺,视频,888288.55
201910271950,853,安顺,视频,893567.87
201910271955,853,安顺,视频,889647.85
201910272000,853,安顺,视频,904902.13
201910272005,853,安顺,视频,915338.36
201910272010,853,安顺,视频,908452.16
201910272015,853,安顺,视频,928700.45
201910272020,853,安顺,视频,924552.23
201910272025,853,安顺,视频,932815.22
201910272030,853,安顺,视频,933395.02
201910272035,853,安顺,视频,935865.91
201910272040,853,安顺,视频,942241.57
201910272045,853,安顺,视频,941757.36
201910272050,853,安顺,视频,951578.38
201910272055,853,安顺,视频,960544.79
201910272100,853,安顺,视频,949145.84
201910272105,853,安顺,视频,949921.33
201910272110,853,安顺,视频,946472.28
201910272115,853,安顺,视频,948641.40
201910272120,853,安顺,视频,949001.43
201910272125,853,安顺,视频,950438.33
201910272130,853,安顺,视频,956587.01
201910272135,853,安顺,视频,949063.03
201910272140,853,安顺,视频,896476.01
201910272145,853,安顺,视频,949945.98
201910272150,853,安顺,视频,946103.33
201910272155,853,安顺,视频,925399.30
201910272200,853,安顺,视频,912974.26
201910272205,853,安顺,视频,918513.09
201910272210,853,安顺,视频,907684.21
201910272215,853,安顺,视频,900992.22
201910272220,853,安顺,视频,895044.48
201910272225,853,安顺,视频,894981.45
201910272230,853,安顺,视频,888907.37
201910272235,853,安顺,视频,860347.00
201910272240,853,安顺,视频,855979.99
201910272245,853,安顺,视频,842750.58
201910272250,853,安顺,视频,826903.35
201910272255,853,安顺,视频,826610.66
201910272300,853,安顺,视频,806138.18
201910272305,853,安顺,视频,789527.23
201910272310,853,安顺,视频,778754.92
201910272315,853,安顺,视频,768868.98
201910272320,853,安顺,视频,756164.32
201910272325,853,安顺,视频,737314.44
201910272330,853,安顺,视频,728129.28
201910272335,853,安顺,视频,717367.11
201910272340,853,安顺,视频,701007.26
201910272345,853,安顺,视频,684776.15
201910272350,853,安顺,视频,670824.46
201910272355,853,安顺,视频,653030.19
201910280800,853,安顺,视频,342187.25
201910280805,853,安顺,视频,346573.96
201910280810,853,安顺,视频,358371.55
201910280815,853,安顺,视频,364830.16
201910280820,853,安顺,视频,365003.47
201910280825,853,安顺,视频,379416.81
201910280830,853,安顺,视频,385465.89
201910280835,853,安顺,视频,382855.06
201910280840,853,安顺,视频,385869.91
201910280845,853,安顺,视频,394278.71
201910280850,853,安顺,视频,403380.30
201910280855,853,安顺,视频,406327.63
201910280900,853,安顺,视频,403943.80
201910280905,853,安顺,视频,409167.32
201910280910,853,安顺,视频,399871.67
201910280915,853,安顺,视频,415185.60
201910280920,853,安顺,视频,423760.17
201910280925,853,安顺,视频,422556.12
201910280930,853,安顺,视频,419958.15
201910280935,853,安顺,视频,434173.71
201910280940,853,安顺,视频,431176.73
201910280945,853,安顺,视频,436245.10
201910280950,853,安顺,视频,439946.88
201910280955,853,安顺,视频,445269.58
201910281000,853,安顺,视频,450597.82
201910281005,853,安顺,视频,454091.36
201910281010,853,安顺,视频,469170.84
201910281015,853,安顺,视频,476334.94
201910281020,853,安顺,视频,477096.00
201910281025,853,安顺,视频,471197.01
201910281030,853,安顺,视频,481235.88
201910281035,853,安顺,视频,489021.87
201910281040,853,安顺,视频,485102.77
201910281045,853,安顺,视频,499287.40
201910281050,853,安顺,视频,505505.97
201910281055,853,安顺,视频,503320.61
201910281100,853,安顺,视频,500605.99
201911140800,853,安顺,视频,397575.66
201911140805,853,安顺,视频,410823.74
201911140810,853,安顺,视频,416343.65
201911140815,853,安顺,视频,424833.18
201911140820,853,安顺,视频,419424.05
201911140825,853,安顺,视频,425366.91
201911140830,853,安顺,视频,427389.67
201911140835,853,安顺,视频,429582.61
201911140840,853,安顺,视频,436646.75
201911140845,853,安顺,视频,449485.25
201911140850,853,安顺,视频,446807.34
201911140855,853,安顺,视频,441891.84
201911140900,853,安顺,视频,446097.00
201911140905,853,安顺,视频,444244.50
201911140910,853,安顺,视频,449702.26
201911140915,853,安顺,视频,457238.68
201911140920,853,安顺,视频,456623.63
201911140925,853,安顺,视频,462559.62
201911140930,853,安顺,视频,469311.43
201911140935,853,安顺,视频,474367.21
201911140940,853,安顺,视频,478085.75
201911140945,853,安顺,视频,482999.81
201911140950,853,安顺,视频,490061.82
201911140955,853,安顺,视频,494856.62
201911141000,853,安顺,视频,497979.23
201911141005,853,安顺,视频,504045.03
201911141010,853,安顺,视频,515010.24
201911141015,853,安顺,视频,513948.96
201911141020,853,安顺,视频,517554.14
201911141025,853,安顺,视频,525598.20
201911141030,853,安顺,视频,532303.74
201911141035,853,安顺,视频,531801.70
201911141040,853,安顺,视频,549700.06
201911141045,853,安顺,视频,547933.60
201911141050,853,安顺,视频,551435.95
201911141055,853,安顺,视频,550404.96
201911141100,853,安顺,视频,559314.16
201911141105,853,安顺,视频,552266.98
201911141110,853,安顺,视频,573695.83
201911141115,853,安顺,视频,565556.65
201911141120,853,安顺,视频,569943.77
201911141125,853,安顺,视频,589868.54
201911141130,853,安顺,视频,582999.80
201911141135,853,安顺,视频,586607.00
201911141140,853,安顺,视频,602328.84
201911141145,853,安顺,视频,589619.31
201911141150,853,安顺,视频,594057.75
201911141155,853,安顺,视频,598283.63
201911141200,853,安顺,视频,588027.01
201911141205,853,安顺,视频,583817.84
201911141210,853,安顺,视频,617249.64
201911141215,853,安顺,视频,638260.58
201911141220,853,安顺,视频,654013.39
201911141225,853,安顺,视频,690828.15
201911141230,853,安顺,视频,729118.56
201911141235,853,安顺,视频,745450.80
201911141240,853,安顺,视频,764177.10
201911141245,853,安顺,视频,786031.68
201911141250,853,安顺,视频,789844.67
201911141255,853,安顺,视频,785329.49
201911141300,853,安顺,视频,756433.96
201911141305,853,安顺,视频,751850.54
201911141310,853,安顺,视频,754521.82
201911141315,853,安顺,视频,734875.33
201911141320,853,安顺,视频,732606.55
201911141325,853,安顺,视频,708125.20
201911141330,853,安顺,视频,690389.73
201911141335,853,安顺,视频,689057.60
201911141340,853,安顺,视频,657750.60
201911141345,853,安顺,视频,665135.40
201911141350,853,安顺,视频,651129.60
201911141355,853,安顺,视频,640692.85
201911141400,853,安顺,视频,630443.83
201911141405,853,安顺,视频,614548.25
201911141410,853,安顺,视频,618677.02
201911141415,853,安顺,视频,614066.17
201911141420,853,安顺,视频,621411.03
201911141425,853,安顺,视频,616647.70
201911141430,853,安顺,视频,610766.23
201911141435,853,安顺,视频,607988.81
201911141440,853,安顺,视频,601098.29
201911141445,853,安顺,视频,614355.51
201911141450,853,安顺,视频,612005.82
201911141455,853,安顺,视频,624055.01
201911141500,853,安顺,视频,624364.63
201911141505,853,安顺,视频,627286.88
201911141510,853,安顺,视频,620362.76
201911141515,853,安顺,视频,629117.69
201911141520,853,安顺,视频,628593.15
201911141525,853,安顺,视频,637584.52
201911141530,853,安顺,视频,643989.88
201911141535,853,安顺,视频,633109.20
201911141540,853,安顺,视频,631977.22
201911141545,853,安顺,视频,640327.93
201911141550,853,安顺,视频,638317.25
201911141555,853,安顺,视频,637089.67
201911141600,853,安顺,视频,627161.71
201911141605,853,安顺,视频,629118.58
201911141610,853,安顺,视频,626709.44
201911141615,853,安顺,视频,644667.62
201911141620,853,安顺,视频,635863.93
201911141625,853,安顺,视频,630771.23
201911141630,853,安顺,视频,635705.06
201911141635,853,安顺,视频,627695.11
201911141640,853,安顺,视频,636267.28
201911141645,853,安顺,视频,645914.64
201911141650,853,安顺,视频,646502.72
201911141655,853,安顺,视频,647026.15
201911141700,853,安顺,视频,645611.44
201911141705,853,安顺,视频,636643.67
201911141710,853,安顺,视频,645145.95
201911141715,853,安顺,视频,666366.10
201911141720,853,安顺,视频,670690.44
201911141725,853,安顺,视频,663945.21
201911141730,853,安顺,视频,658082.50
201911141735,853,安顺,视频,673316.82
201911141740,853,安顺,视频,678402.88
201911141745,853,安顺,视频,676938.00
201911141750,853,安顺,视频,683464.85
201911141755,853,安顺,视频,674167.56
201911141800,853,安顺,视频,700770.17
201911141805,853,安顺,视频,693594.35
201911141810,853,安顺,视频,692479.05
201911141815,853,安顺,视频,707355.28
201911141820,853,安顺,视频,701646.12
