日期,编码,地区,业务类型,流量
201910270800,857,毕节,安全杀毒,1779.05
201910270805,857,毕节,安全杀毒,696.72
201910270810,857,毕节,安全杀毒,1360.42
201910270815,857,毕节,安全杀毒,1483.24
201910270820,857,毕节,安全杀毒,4149.81
201910270825,857,毕节,安全杀毒,1112.06
201910270830,857,毕节,安全杀毒,1290.38
201910270835,857,毕节,安全杀毒,2128.56
201910270840,857,毕节,安全杀毒,1045.31
201910270845,857,毕节,安全杀毒,1461.92
201910270850,857,毕节,安全杀毒,855.68
201910270855,857,毕节,安全杀毒,1263.19
201910270900,857,毕节,安全杀毒,1170.11
201910270905,857,毕节,安全杀毒,1317.86
201910270910,857,毕节,安全杀毒,3157.57
201910270915,857,毕节,安全杀毒,1300.30
201910270920,857,毕节,安全杀毒,1476.38
201910270925,857,毕节,安全杀毒,1777.65
201910270930,857,毕节,安全杀毒,1874.59
201910270935,857,毕节,安全杀毒,1120.83
201910270940,857,毕节,安全杀毒,1357.07
201910270945,857,毕节,安全杀毒,1308.33
201910270950,857,毕节,安全杀毒,2316.96
201910270955,857,毕节,安全杀毒,1640.54
201910271000,857,毕节,安全杀毒,993.27
201910271005,857,毕节,安全杀毒,872.46
201910271010,857,毕节,安全杀毒,1328.45
201910271015,857,毕节,安全杀毒,1175.00
201910271020,857,毕节,安全杀毒,948.32
201910271025,857,毕节,安全杀毒,1451.67
201910271030,857,毕节,安全杀毒,1839.19
201910271035,857,毕节,安全杀毒,1350.71
201910271040,857,毕节,安全杀毒,1288.19
201910271045,857,毕节,安全杀毒,1131.02
201910271050,857,毕节,安全杀毒,966.57
201910271055,857,毕节,安全杀毒,1040.31
201910271105,857,毕节,安全杀毒,2352.79
201910271110,857,毕节,安全杀毒,975.99
201910271115,857,毕节,安全杀毒,1799.30
201910271120,857,毕节,安全杀毒,1887.93
201910271125,857,毕节,安全杀毒,2048.42
201910271130,857,毕节,安全杀毒,2118.58
201910271135,857,毕节,安全杀毒,2196.31
201910271140,857,毕节,安全杀毒,1848.15
201910271145,857,毕节,安全杀毒,579.46
201910271150,857,毕节,安全杀毒,1840.98
201910271155,857,毕节,安全杀毒,1314.26
201910271200,857,毕节,安全杀毒,1101.96
201910271205,857,毕节,安全杀毒,1173.58
201910271210,857,毕节,安全杀毒,1823.28
201910271215,857,毕节,安全杀毒,2272.12
201910271220,857,毕节,安全杀毒,2388.64
201910271225,857,毕节,安全杀毒,1630.77
201910271230,857,毕节,安全杀毒,1100.82
