日期,编码,地区,业务类型,流量
201910270800,857,毕节,财经,19.85
201910270805,857,毕节,财经,14.40
201910270810,857,毕节,财经,61.37
201910270815,857,毕节,财经,11.49
201910270820,857,毕节,财经,58.79
201910270825,857,毕节,财经,17.59
201910270830,857,毕节,财经,22.43
201910270835,857,毕节,财经,25.71
201910270840,857,毕节,财经,19.90
201910270845,857,毕节,财经,86.50
201910270850,857,毕节,财经,19.12
201910270855,857,毕节,财经,100.08
201910270900,857,毕节,财经,18.88
201910270905,857,毕节,财经,18.68
201910270910,857,毕节,财经,17.02
201910270915,857,毕节,财经,34.83
201910270920,857,毕节,财经,14.68
201910270925,857,毕节,财经,111.83
201910270930,857,毕节,财经,58.88
201910270935,857,毕节,财经,77.10
201910270940,857,毕节,财经,52.25
201910270945,857,毕节,财经,79.36
201910270950,857,毕节,财经,86.15
201910270955,857,毕节,财经,29.78
201910271000,857,毕节,财经,50.19
201910271005,857,毕节,财经,16.46
201910271010,857,毕节,财经,24.83
201910271015,857,毕节,财经,27.89
201910271020,857,毕节,财经,25.07
201910271025,857,毕节,财经,33.51
201910271030,857,毕节,财经,15.28
201910271035,857,毕节,财经,45.80
201910271040,857,毕节,财经,24.00
201910271045,857,毕节,财经,20.07
201910271050,857,毕节,财经,39.24
201910271055,857,毕节,财经,40.87
201910271105,857,毕节,财经,63.05
201910271110,857,毕节,财经,43.60
201910271115,857,毕节,财经,35.14
201910271120,857,毕节,财经,27.14
201910271125,857,毕节,财经,16.58
201910271130,857,毕节,财经,49.85
201910271135,857,毕节,财经,36.47
201910271140,857,毕节,财经,26.44
201910271145,857,毕节,财经,54.59
201910271150,857,毕节,财经,25.14
201910271155,857,毕节,财经,33.43
201910271200,857,毕节,财经,46.62
201910271205,857,毕节,财经,20.82
201910271210,857,毕节,财经,30.24
201910271215,857,毕节,财经,14.97
201910271220,857,毕节,财经,43.42
201910271225,857,毕节,财经,10.61
201910271230,857,毕节,财经,9.40
201910271235,857,毕节,财经,26.37
201910271240,857,毕节,财经,26.59
201910271245,857,毕节,财经,28.35
201910271250,857,毕节,财经,38.69
201910271255,857,毕节,财经,45.11
201910271300,857,毕节,财经,30.61
201910271305,857,毕节,财经,58.45
201910271310,857,毕节,财经,27.91
201910271315,857,毕节,财经,14.15
201910271320,857,毕节,财经,29.34
201910271325,857,毕节,财经,30.93
201910271330,857,毕节,财经,47.49
201910271335,857,毕节,财经,33.57
201910271340,857,毕节,财经,80.89
201910271345,857,毕节,财经,254.58
201910271350,857,毕节,财经,44.10
201910271355,857,毕节,财经,52.19
201910271400,857,毕节,财经,101.28
201910271405,857,毕节,财经,25.70
201910271410,857,毕节,财经,64.93
201910271415,857,毕节,财经,51.47
201910271420,857,毕节,财经,25.82
201910271425,857,毕节,财经,29.65
201910271430,857,毕节,财经,24.05
201910271435,857,毕节,财经,36.65
