日期,编码,地区,业务类型,流量
201910270800,857,毕节,邮箱,116.18
201910270805,857,毕节,邮箱,89.48
201910270810,857,毕节,邮箱,93.68
201910270815,857,毕节,邮箱,105.09
201910270820,857,毕节,邮箱,117.17
201910270825,857,毕节,邮箱,123.82
201910270830,857,毕节,邮箱,132.91
201910270835,857,毕节,邮箱,110.38
201910270840,857,毕节,邮箱,100.33
201910270845,857,毕节,邮箱,146.60
201910270850,857,毕节,邮箱,125.31
201910270855,857,毕节,邮箱,108.41
201910270900,857,毕节,邮箱,87.59
201910270905,857,毕节,邮箱,141.43
201910270910,857,毕节,邮箱,134.25
201910270915,857,毕节,邮箱,126.68
201910270920,857,毕节,邮箱,171.89
201910270925,857,毕节,邮箱,138.79
201910270930,857,毕节,邮箱,142.72
201910270935,857,毕节,邮箱,105.41
201910270940,857,毕节,邮箱,107.09
201910270945,857,毕节,邮箱,193.64
201910270950,857,毕节,邮箱,264.32
201910270955,857,毕节,邮箱,108.57
201910271000,857,毕节,邮箱,130.85
201910271005,857,毕节,邮箱,108.99
201910271010,857,毕节,邮箱,139.67
201910271015,857,毕节,邮箱,173.37
201910271020,857,毕节,邮箱,160.28
201910271025,857,毕节,邮箱,145.72
201910271030,857,毕节,邮箱,182.18
201910271035,857,毕节,邮箱,170.26
201910271040,857,毕节,邮箱,149.03
201910271045,857,毕节,邮箱,142.06
201910271050,857,毕节,邮箱,116.26
201910271055,857,毕节,邮箱,171.84
201910271105,857,毕节,邮箱,232.80
201910271110,857,毕节,邮箱,202.04
201910271115,857,毕节,邮箱,215.31
201910271120,857,毕节,邮箱,119.49
201910271125,857,毕节,邮箱,138.65
201910271130,857,毕节,邮箱,159.54
201910271135,857,毕节,邮箱,180.32
201910271140,857,毕节,邮箱,169.66
201910271145,857,毕节,邮箱,182.81
201910271150,857,毕节,邮箱,246.22
201910271155,857,毕节,邮箱,210.21
201910271200,857,毕节,邮箱,159.42
201910271205,857,毕节,邮箱,159.32
