日期,编码,地区,业务类型,流量
201910270800,857,毕节,VoIP业务,2203.57
201910270805,857,毕节,VoIP业务,1651.34
201910270810,857,毕节,VoIP业务,2393.62
201910270815,857,毕节,VoIP业务,1962.37
201910270820,857,毕节,VoIP业务,2193.49
201910270825,857,毕节,VoIP业务,1821.18
201910270830,857,毕节,VoIP业务,2072.57
201910270835,857,毕节,VoIP业务,2024.95
201910270840,857,毕节,VoIP业务,2499.82
201910270845,857,毕节,VoIP业务,2223.02
201910270850,857,毕节,VoIP业务,2330.87
201910270855,857,毕节,VoIP业务,2182.61
201910270900,857,毕节,VoIP业务,2351.73
201910270905,857,毕节,VoIP业务,2091.06
201910270910,857,毕节,VoIP业务,2725.17
201910270915,857,毕节,VoIP业务,2368.05
201910270920,857,毕节,VoIP业务,2524.66
201910270925,857,毕节,VoIP业务,2041.27
201910270930,857,毕节,VoIP业务,3114.41
201910270935,857,毕节,VoIP业务,2396.87
201910270940,857,毕节,VoIP业务,3077.03
201910270945,857,毕节,VoIP业务,2540.46
201910270950,857,毕节,VoIP业务,2566.53
201910270955,857,毕节,VoIP业务,3077.16
201910271000,857,毕节,VoIP业务,3237.18
201910271005,857,毕节,VoIP业务,2589.02
201910271010,857,毕节,VoIP业务,3323.13
201910271015,857,毕节,VoIP业务,2879.79
201910271020,857,毕节,VoIP业务,3531.13
201910271025,857,毕节,VoIP业务,2761.25
201910271030,857,毕节,VoIP业务,3343.18
201910271035,857,毕节,VoIP业务,2922.24
201910271040,857,毕节,VoIP业务,3105.99
201910271045,857,毕节,VoIP业务,3363.76
201910271050,857,毕节,VoIP业务,3191.99
201910271055,857,毕节,VoIP业务,3397.63
201910271105,857,毕节,VoIP业务,3229.02
201910271110,857,毕节,VoIP业务,3638.63
201910271115,857,毕节,VoIP业务,3869.50
201910271120,857,毕节,VoIP业务,3727.01
201910271125,857,毕节,VoIP业务,3926.29
201910271130,857,毕节,VoIP业务,3651.13
201910271135,857,毕节,VoIP业务,3452.88
201910271140,857,毕节,VoIP业务,3818.22
201910271145,857,毕节,VoIP业务,3435.75
201910271150,857,毕节,VoIP业务,4023.88
201910271155,857,毕节,VoIP业务,3890.99
201910271200,857,毕节,VoIP业务,3554.59
201910271205,857,毕节,VoIP业务,3704.00
201910271210,857,毕节,VoIP业务,3521.72
201910271215,857,毕节,VoIP业务,4260.18
201910271220,857,毕节,VoIP业务,2972.12
201910271225,857,毕节,VoIP业务,3743.20
201910271230,857,毕节,VoIP业务,2734.97
201910271235,857,毕节,VoIP业务,4247.74
201910271240,857,毕节,VoIP业务,2701.38
201910271245,857,毕节,VoIP业务,3945.94
201910271250,857,毕节,VoIP业务,3417.42
201910271255,857,毕节,VoIP业务,4312.85
201910271300,857,毕节,VoIP业务,3332.42
201910271305,857,毕节,VoIP业务,4480.63
201910271310,857,毕节,VoIP业务,3160.36
201910271315,857,毕节,VoIP业务,3895.29
201910271320,857,毕节,VoIP业务,3794.36
201910271325,857,毕节,VoIP业务,3597.98
201910271330,857,毕节,VoIP业务,3558.40
201910271335,857,毕节,VoIP业务,3918.91
201910271340,857,毕节,VoIP业务,4000.56
201910271345,857,毕节,VoIP业务,4127.23
201910271350,857,毕节,VoIP业务,3740.95
201910271355,857,毕节,VoIP业务,3675.45
201910271400,857,毕节,VoIP业务,3176.87
201910271405,857,毕节,VoIP业务,3854.55
201910271410,857,毕节,VoIP业务,3268.13
201910271415,857,毕节,VoIP业务,3604.31
201910271420,857,毕节,VoIP业务,3700.42
201910271425,857,毕节,VoIP业务,3921.25
201910271430,857,毕节,VoIP业务,3166.23
201910271435,857,毕节,VoIP业务,3572.21
201910271440,857,毕节,VoIP业务,3492.61
