日期,编码,地区,业务类型,流量
201910270800,857,毕节,微博,5194.19
201910270805,857,毕节,微博,5646.83
201910270810,857,毕节,微博,5708.51
201910270815,857,毕节,微博,5362.04
201910270820,857,毕节,微博,5634.38
201910270825,857,毕节,微博,6328.31
201910270830,857,毕节,微博,6574.89
201910270835,857,毕节,微博,6719.60
201910270840,857,毕节,微博,7355.50
201910270845,857,毕节,微博,7172.97
201910270850,857,毕节,微博,7941.11
201910270855,857,毕节,微博,7786.75
201910270900,857,毕节,微博,7697.19
201910270905,857,毕节,微博,7296.21
201910270910,857,毕节,微博,7706.72
201910270915,857,毕节,微博,7742.30
201910270920,857,毕节,微博,8018.00
201910270925,857,毕节,微博,8356.50
201910270930,857,毕节,微博,8255.38
201910270935,857,毕节,微博,9169.27
201910270940,857,毕节,微博,9014.09
201910270945,857,毕节,微博,9582.42
201910270950,857,毕节,微博,8852.13
201910270955,857,毕节,微博,9046.74
201910271000,857,毕节,微博,9479.96
201910271005,857,毕节,微博,8833.20
201910271010,857,毕节,微博,8950.45
201910271015,857,毕节,微博,8574.86
201910271020,857,毕节,微博,8693.34
201910271025,857,毕节,微博,9291.09
201910271030,857,毕节,微博,8984.81
201910271035,857,毕节,微博,8633.04
201910271040,857,毕节,微博,8631.91
201910271045,857,毕节,微博,9600.41
201910271050,857,毕节,微博,9414.38
201910271055,857,毕节,微博,9767.76
201910271105,857,毕节,微博,9140.37
201910271110,857,毕节,微博,9950.86
201910271115,857,毕节,微博,10027.80
201910271120,857,毕节,微博,9351.63
201910271125,857,毕节,微博,9566.50
201910271130,857,毕节,微博,9785.12
201910271135,857,毕节,微博,10436.18
201910271140,857,毕节,微博,10794.31
201910271145,857,毕节,微博,9568.29
201910271150,857,毕节,微博,9992.82
201910271155,857,毕节,微博,9426.00
201910271200,857,毕节,微博,9323.13
201910271205,857,毕节,微博,9165.47
201910271210,857,毕节,微博,9833.71
201910271215,857,毕节,微博,9114.24
201910271220,857,毕节,微博,10056.58
201910271225,857,毕节,微博,9429.17
201910271230,857,毕节,微博,9418.04
201910271235,857,毕节,微博,9055.54
201910271240,857,毕节,微博,9990.73
201910271245,857,毕节,微博,9566.34
201910271250,857,毕节,微博,10318.77
201910271255,857,毕节,微博,9640.56
201910271300,857,毕节,微博,9652.33
201910271305,857,毕节,微博,10127.98
201910271310,857,毕节,微博,9708.34
201910271315,857,毕节,微博,9845.26
201910271320,857,毕节,微博,9550.54
201910271325,857,毕节,微博,9715.34
201910271330,857,毕节,微博,9501.57
201910271335,857,毕节,微博,9348.58
201910271340,857,毕节,微博,9488.99
201910271345,857,毕节,微博,9300.27
