日期,编码,地区,业务类型,流量
201910270800,854,黔南,应用商店,20823.94
201910270805,854,黔南,应用商店,21499.97
201910270810,854,黔南,应用商店,21513.23
201910270815,854,黔南,应用商店,23263.94
201910270820,854,黔南,应用商店,22161.91
201910270825,854,黔南,应用商店,20865.44
201910270830,854,黔南,应用商店,24940.70
201910270835,854,黔南,应用商店,25601.43
201910270840,854,黔南,应用商店,23686.38
201910270845,854,黔南,应用商店,23667.38
201910270850,854,黔南,应用商店,24108.49
201910270855,854,黔南,应用商店,25961.00
201910270900,854,黔南,应用商店,28553.58
201910270905,854,黔南,应用商店,30015.57
201910270910,854,黔南,应用商店,30148.52
201910270915,854,黔南,应用商店,28865.82
201910270920,854,黔南,应用商店,32543.85
201910270925,854,黔南,应用商店,32067.82
201910270930,854,黔南,应用商店,26652.18
201910270935,854,黔南,应用商店,26420.42
201910270940,854,黔南,应用商店,26337.64
201910270945,854,黔南,应用商店,28190.36
201910270950,854,黔南,应用商店,29857.19
201910270955,854,黔南,应用商店,28681.72
201910271000,854,黔南,应用商店,32137.13
201910271005,854,黔南,应用商店,37770.34
201910271010,854,黔南,应用商店,31021.73
201910271015,854,黔南,应用商店,27006.84
201910271020,854,黔南,应用商店,32523.99
201910271025,854,黔南,应用商店,35719.80
201910271030,854,黔南,应用商店,38550.61
201910271035,854,黔南,应用商店,37759.47
201910271040,854,黔南,应用商店,42565.80
201910271045,854,黔南,应用商店,40656.31
201910271050,854,黔南,应用商店,43309.21
201910271055,854,黔南,应用商店,42332.69
201910271105,854,黔南,应用商店,46537.17
201910271110,854,黔南,应用商店,53366.64
201910271115,854,黔南,应用商店,49735.31
201910271120,854,黔南,应用商店,50259.87
201910271125,854,黔南,应用商店,46096.56
201910271130,854,黔南,应用商店,50225.70
201910271135,854,黔南,应用商店,44684.67
201910271140,854,黔南,应用商店,47115.62
201910271145,854,黔南,应用商店,47079.71
201910271150,854,黔南,应用商店,49164.36
201910271155,854,黔南,应用商店,53334.46
201910271200,854,黔南,应用商店,40802.13
201910271205,854,黔南,应用商店,40050.17
201910271210,854,黔南,应用商店,46759.01
201910271215,854,黔南,应用商店,42927.40
201910271220,854,黔南,应用商店,46191.26
201910271225,854,黔南,应用商店,45758.11
201910271230,854,黔南,应用商店,44146.69
201910271235,854,黔南,应用商店,48620.29
201910271240,854,黔南,应用商店,45761.44
201910271245,854,黔南,应用商店,42507.68
201910271250,854,黔南,应用商店,44718.30
201910271255,854,黔南,应用商店,46263.51
201910271300,854,黔南,应用商店,43623.44
201910271305,854,黔南,应用商店,47581.68
201910271310,854,黔南,应用商店,41985.48
201910271315,854,黔南,应用商店,43020.14
201910271320,854,黔南,应用商店,40032.53
201910271325,854,黔南,应用商店,39202.40
201910271330,854,黔南,应用商店,47342.01
201910271335,854,黔南,应用商店,40060.67
201910271340,854,黔南,应用商店,36656.73
201910271345,854,黔南,应用商店,42113.04
201910271350,854,黔南,应用商店,44073.72
201910271355,854,黔南,应用商店,43946.52
201910271400,854,黔南,应用商店,41619.51
201910271405,854,黔南,应用商店,45954.82
201910271410,854,黔南,应用商店,48535.46
201910271415,854,黔南,应用商店,41232.14
201910271420,854,黔南,应用商店,51882.67
201910271425,854,黔南,应用商店,36902.59
201910271430,854,黔南,应用商店,50584.91
201910271435,854,黔南,应用商店,37852.42
201910271440,854,黔南,应用商店,42113.56
201910271445,854,黔南,应用商店,45538.20
201910271450,854,黔南,应用商店,51294.51
201910271455,854,黔南,应用商店,42529.19
201910271500,854,黔南,应用商店,49234.03
201910271505,854,黔南,应用商店,40144.57
201910271510,854,黔南,应用商店,46834.52
201910271515,854,黔南,应用商店,42299.33
201910271520,854,黔南,应用商店,48660.00
201910271525,854,黔南,应用商店,46823.64
201910271530,854,黔南,应用商店,41085.45
201910271535,854,黔南,应用商店,34310.47
201910271540,854,黔南,应用商店,42124.06
201910271545,854,黔南,应用商店,39990.79
201910271550,854,黔南,应用商店,34728.27
201910271555,854,黔南,应用商店,35799.06
201910271600,854,黔南,应用商店,37036.50
201910271605,854,黔南,应用商店,39631.50
201910271610,854,黔南,应用商店,36957.53
201910271615,854,黔南,应用商店,35831.23
201910271620,854,黔南,应用商店,34112.26
201910271625,854,黔南,应用商店,39861.57
201910271630,854,黔南,应用商店,48408.28
201910271635,854,黔南,应用商店,44443.43
201910271640,854,黔南,应用商店,37482.95
201910271645,854,黔南,应用商店,42252.74
201910271650,854,黔南,应用商店,37923.14
201910271655,854,黔南,应用商店,36787.39
201910271700,854,黔南,应用商店,41219.71
201910271705,854,黔南,应用商店,37717.12
201910271710,854,黔南,应用商店,39521.05
201910271715,854,黔南,应用商店,38195.68
201910271720,854,黔南,应用商店,38080.98
201910271725,854,黔南,应用商店,39619.70
201910271730,854,黔南,应用商店,38997.17
201910271735,854,黔南,应用商店,35831.04
201910271740,854,黔南,应用商店,34455.62
201910271745,854,黔南,应用商店,34548.48
201910271750,854,黔南,应用商店,27561.34
201910271755,854,黔南,应用商店,29448.83
201910271800,854,黔南,应用商店,30935.63
201910271805,854,黔南,应用商店,32795.24
201910271810,854,黔南,应用商店,35505.38
201910271815,854,黔南,应用商店,36842.92
201910271820,854,黔南,应用商店,35641.21
201910271825,854,黔南,应用商店,34102.53
201910271830,854,黔南,应用商店,31260.89
201910271835,854,黔南,应用商店,30124.01
201910271840,854,黔南,应用商店,30420.84
201910271845,854,黔南,应用商店,34337.58
201910271850,854,黔南,应用商店,35579.15
201910271855,854,黔南,应用商店,42133.64
201910271900,854,黔南,应用商店,37666.39
201910271905,854,黔南,应用商店,30892.08
201910271910,854,黔南,应用商店,32412.70
201910271915,854,黔南,应用商店,36225.70
201910271920,854,黔南,应用商店,32796.17
201910271925,854,黔南,应用商店,38587.77
201910271930,854,黔南,应用商店,32841.42
201910271935,854,黔南,应用商店,33643.72
201910271940,854,黔南,应用商店,38566.62
201910271945,854,黔南,应用商店,35121.84
201910271950,854,黔南,应用商店,30447.84
201910272000,854,黔南,应用商店,37392.44
201910272005,854,黔南,应用商店,39493.91
201910272010,854,黔南,应用商店,35147.24
201910272015,854,黔南,应用商店,38970.41
201910272020,854,黔南,应用商店,32149.55
201910272025,854,黔南,应用商店,35571.60
201910272030,854,黔南,应用商店,33964.15
201910272035,854,黔南,应用商店,34203.80
201910272040,854,黔南,应用商店,36913.11
201910272045,854,黔南,应用商店,36209.38
201910272050,854,黔南,应用商店,32088.09
201910272055,854,黔南,应用商店,31636.68
201910272100,854,黔南,应用商店,31662.76
201910272105,854,黔南,应用商店,28100.00
201910272110,854,黔南,应用商店,31632.61
201910272115,854,黔南,应用商店,33373.32
201910272120,854,黔南,应用商店,28763.50
201910272125,854,黔南,应用商店,25466.26
201910272130,854,黔南,应用商店,26705.37
201910272135,854,黔南,应用商店,29288.01
201910272140,854,黔南,应用商店,26079.46
201910272145,854,黔南,应用商店,25430.54
201910272150,854,黔南,应用商店,23118.19
201910272155,854,黔南,应用商店,24062.45
201910272200,854,黔南,应用商店,23723.85
201910272205,854,黔南,应用商店,32131.32
201910272210,854,黔南,应用商店,20570.45
201910272215,854,黔南,应用商店,27535.93
201910272220,854,黔南,应用商店,26094.88
201910272225,854,黔南,应用商店,26349.64
201910272230,854,黔南,应用商店,22047.05
