日期,编码,地区,业务类型,流量
201910270800,854,黔南,邮箱,119.69
201910270805,854,黔南,邮箱,181.38
201910270810,854,黔南,邮箱,73.97
201910270815,854,黔南,邮箱,94.15
201910270820,854,黔南,邮箱,105.23
201910270825,854,黔南,邮箱,138.30
201910270830,854,黔南,邮箱,50.62
201910270835,854,黔南,邮箱,94.19
201910270840,854,黔南,邮箱,133.94
201910270845,854,黔南,邮箱,78.14
201910270850,854,黔南,邮箱,76.85
201910270855,854,黔南,邮箱,68.66
201910270900,854,黔南,邮箱,114.31
201910270905,854,黔南,邮箱,79.67
201910270910,854,黔南,邮箱,117.13
201910270915,854,黔南,邮箱,65.43
201910270920,854,黔南,邮箱,106.97
201910270925,854,黔南,邮箱,93.09
201910270930,854,黔南,邮箱,87.56
201910270935,854,黔南,邮箱,84.39
201910270940,854,黔南,邮箱,63.60
201910270945,854,黔南,邮箱,70.31
201910270950,854,黔南,邮箱,83.06
201910270955,854,黔南,邮箱,64.14
201910271000,854,黔南,邮箱,104.78
201910271005,854,黔南,邮箱,69.59
201910271010,854,黔南,邮箱,143.67
201910271015,854,黔南,邮箱,90.48
201910271020,854,黔南,邮箱,78.80
201910271025,854,黔南,邮箱,113.95
201910271030,854,黔南,邮箱,109.73
201910271035,854,黔南,邮箱,147.94
201910271040,854,黔南,邮箱,110.19
201910271045,854,黔南,邮箱,108.59
201910271050,854,黔南,邮箱,141.43
201910271055,854,黔南,邮箱,88.12
201910271105,854,黔南,邮箱,96.58
201910271110,854,黔南,邮箱,129.36
201910271115,854,黔南,邮箱,127.55
201910271120,854,黔南,邮箱,146.90
201910271125,854,黔南,邮箱,137.89
201910271130,854,黔南,邮箱,140.88
201910271135,854,黔南,邮箱,123.40
201910271140,854,黔南,邮箱,99.35
201910271145,854,黔南,邮箱,70.08
201910271150,854,黔南,邮箱,114.19
201910271155,854,黔南,邮箱,73.45
201910271200,854,黔南,邮箱,94.18
201910271205,854,黔南,邮箱,108.44
201910271210,854,黔南,邮箱,160.10
201910271215,854,黔南,邮箱,103.77
201910271220,854,黔南,邮箱,120.87
201910271225,854,黔南,邮箱,94.37
201910271230,854,黔南,邮箱,79.41
201910271235,854,黔南,邮箱,95.69
201910271240,854,黔南,邮箱,140.78
201910271245,854,黔南,邮箱,78.17
201910271250,854,黔南,邮箱,114.05
201910271255,854,黔南,邮箱,156.87
201910271300,854,黔南,邮箱,66.49
201910271305,854,黔南,邮箱,121.71
201910271310,854,黔南,邮箱,109.08
201910271315,854,黔南,邮箱,110.71
201910271320,854,黔南,邮箱,124.43
201910271325,854,黔南,邮箱,105.50
201910271330,854,黔南,邮箱,84.26
201910271335,854,黔南,邮箱,71.67
201910271340,854,黔南,邮箱,116.77
201910271345,854,黔南,邮箱,100.36
201910271350,854,黔南,邮箱,92.59
201910271355,854,黔南,邮箱,132.80
201910271400,854,黔南,邮箱,195.02
201910271405,854,黔南,邮箱,151.45
201910271410,854,黔南,邮箱,201.80
201910271415,854,黔南,邮箱,250.61
201910271420,854,黔南,邮箱,126.33
201910271425,854,黔南,邮箱,87.72
201910271430,854,黔南,邮箱,130.85
201910271435,854,黔南,邮箱,104.53
201910271440,854,黔南,邮箱,120.97
201910271445,854,黔南,邮箱,144.91
201910271450,854,黔南,邮箱,102.19
201910271455,854,黔南,邮箱,74.03
201910271500,854,黔南,邮箱,80.08
201910271505,854,黔南,邮箱,123.70
201910271510,854,黔南,邮箱,78.93
201910271515,854,黔南,邮箱,104.26
201910271520,854,黔南,邮箱,120.73
201910271525,854,黔南,邮箱,98.54
201910271530,854,黔南,邮箱,113.00
201910271535,854,黔南,邮箱,68.67
201910271540,854,黔南,邮箱,96.35
201910271545,854,黔南,邮箱,79.56
201910271550,854,黔南,邮箱,119.88
201910271555,854,黔南,邮箱,112.02
201910271600,854,黔南,邮箱,96.95
201910271605,854,黔南,邮箱,116.75
201910271610,854,黔南,邮箱,88.56
201910271615,854,黔南,邮箱,87.11
201910271620,854,黔南,邮箱,116.80
201910271625,854,黔南,邮箱,78.98
201910271630,854,黔南,邮箱,142.93
201910271635,854,黔南,邮箱,84.34
