日期,编码,地区,业务类型,流量
201910270800,854,黔南,支付,2280.94
201910270805,854,黔南,支付,2483.67
201910270810,854,黔南,支付,2952.22
201910270815,854,黔南,支付,2625.87
201910270820,854,黔南,支付,2515.61
201910270825,854,黔南,支付,2343.26
201910270830,854,黔南,支付,2125.11
201910270835,854,黔南,支付,2623.92
201910270840,854,黔南,支付,2563.93
201910270845,854,黔南,支付,2407.66
201910270850,854,黔南,支付,2360.02
201910270855,854,黔南,支付,2937.70
201910270900,854,黔南,支付,2997.89
201910270905,854,黔南,支付,3062.37
201910270910,854,黔南,支付,3203.18
201910270915,854,黔南,支付,3051.05
201910270920,854,黔南,支付,2991.25
201910270925,854,黔南,支付,2710.16
201910270930,854,黔南,支付,2949.43
201910270935,854,黔南,支付,3389.65
201910270940,854,黔南,支付,3128.08
201910270945,854,黔南,支付,3294.23
201910270950,854,黔南,支付,3149.63
201910270955,854,黔南,支付,3307.28
201910271000,854,黔南,支付,3249.21
201910271005,854,黔南,支付,3201.02
201910271010,854,黔南,支付,3395.56
201910271015,854,黔南,支付,3237.09
201910271020,854,黔南,支付,3237.64
201910271025,854,黔南,支付,3706.92
201910271030,854,黔南,支付,3108.01
201910271035,854,黔南,支付,3393.72
201910271040,854,黔南,支付,3290.27
201910271045,854,黔南,支付,3441.71
201910271050,854,黔南,支付,3526.82
201910271055,854,黔南,支付,3508.68
201910271105,854,黔南,支付,3411.16
201910271110,854,黔南,支付,3418.89
201910271115,854,黔南,支付,3608.94
201910271120,854,黔南,支付,3364.15
201910271125,854,黔南,支付,3508.72
201910271130,854,黔南,支付,3446.55
201910271135,854,黔南,支付,3404.58
201910271140,854,黔南,支付,3234.52
201910271145,854,黔南,支付,3605.44
201910271150,854,黔南,支付,3654.06
201910271155,854,黔南,支付,3484.63
201910271200,854,黔南,支付,3315.52
201910271205,854,黔南,支付,3507.59
201910271210,854,黔南,支付,3750.99
201910271215,854,黔南,支付,4147.44
201910271220,854,黔南,支付,4230.43
201910271225,854,黔南,支付,3888.93
201910271230,854,黔南,支付,3421.84
201910271235,854,黔南,支付,4345.74
201910271240,854,黔南,支付,3833.55
201910271245,854,黔南,支付,3869.54
201910271250,854,黔南,支付,3723.79
201910271255,854,黔南,支付,3895.67
201910271300,854,黔南,支付,4070.72
201910271305,854,黔南,支付,3898.34
201910271310,854,黔南,支付,3322.06
201910271315,854,黔南,支付,3736.20
201910271320,854,黔南,支付,3878.79
201910271325,854,黔南,支付,4240.97
201910271330,854,黔南,支付,3621.73
201910271335,854,黔南,支付,3636.79
201910271340,854,黔南,支付,3746.66
201910271345,854,黔南,支付,3610.91
201910271350,854,黔南,支付,3723.34
201910271355,854,黔南,支付,3855.23
201910271400,854,黔南,支付,3484.86
201910271405,854,黔南,支付,3298.12
201910271410,854,黔南,支付,3741.82
201910271415,854,黔南,支付,3585.59
201910271420,854,黔南,支付,3464.58
201910271425,854,黔南,支付,3204.42
201910271430,854,黔南,支付,3378.84
201910271435,854,黔南,支付,3493.04
201910271440,854,黔南,支付,3426.91
201910271445,854,黔南,支付,3382.65
201910271450,854,黔南,支付,3612.55
201910271455,854,黔南,支付,3409.55
201910271500,854,黔南,支付,3720.08
201910271505,854,黔南,支付,3718.15
201910271510,854,黔南,支付,3325.46
201910271515,854,黔南,支付,3458.14
201910271520,854,黔南,支付,3274.02
201910271525,854,黔南,支付,3330.99
201910271530,854,黔南,支付,3573.86
201910271535,854,黔南,支付,3523.19
201910271540,854,黔南,支付,3697.72
201910271545,854,黔南,支付,3484.59
201910271550,854,黔南,支付,3131.07
201910271555,854,黔南,支付,3071.55
201910271600,854,黔南,支付,3580.22
201910271605,854,黔南,支付,3599.73
201910271610,854,黔南,支付,3226.23
201910271615,854,黔南,支付,3599.24
201910271620,854,黔南,支付,3201.58
201910271625,854,黔南,支付,3120.04
201910271630,854,黔南,支付,3283.51
201910271635,854,黔南,支付,3190.80
201910271640,854,黔南,支付,3233.26
201910271645,854,黔南,支付,3109.78
201910271650,854,黔南,支付,3304.53
201910271655,854,黔南,支付,3004.71
201910271700,854,黔南,支付,3279.88
201910271705,854,黔南,支付,3058.32
201910271710,854,黔南,支付,3200.31
201910271715,854,黔南,支付,3604.00
201910271720,854,黔南,支付,3729.73
201910271725,854,黔南,支付,2947.69
201910271730,854,黔南,支付,3218.99
201910271735,854,黔南,支付,3364.68
201910271740,854,黔南,支付,2978.35
201910271745,854,黔南,支付,3437.30
201910271750,854,黔南,支付,3084.95
201910271755,854,黔南,支付,3109.75
201910271800,854,黔南,支付,2990.77
201910271805,854,黔南,支付,2768.38
201910271810,854,黔南,支付,2764.68
201910271815,854,黔南,支付,2808.73
201910271820,854,黔南,支付,3076.28
201910271825,854,黔南,支付,3077.20
201910271830,854,黔南,支付,3075.42
201910271835,854,黔南,支付,3054.29
201910271840,854,黔南,支付,3087.25
201910271845,854,黔南,支付,2975.24
201910271850,854,黔南,支付,2857.24
201910271855,854,黔南,支付,3129.50
201910271900,854,黔南,支付,3367.20
201910271905,854,黔南,支付,3358.59
201910271910,854,黔南,支付,3256.24
201910271915,854,黔南,支付,3326.20
201910271920,854,黔南,支付,3238.49
201910271925,854,黔南,支付,3129.26
201910271930,854,黔南,支付,3174.77
201910271935,854,黔南,支付,3309.62
