日期,编码,地区,业务类型,流量
201910270800,854,黔南,微博,3755.79
201910270805,854,黔南,微博,3895.12
201910270810,854,黔南,微博,4213.47
201910270815,854,黔南,微博,3651.65
201910270820,854,黔南,微博,4299.93
201910270825,854,黔南,微博,4310.00
201910270830,854,黔南,微博,4454.10
201910270835,854,黔南,微博,4638.35
201910270840,854,黔南,微博,4685.50
201910270845,854,黔南,微博,5360.88
201910270850,854,黔南,微博,5041.05
201910270855,854,黔南,微博,5267.21
201910270900,854,黔南,微博,5962.05
201910270905,854,黔南,微博,5719.13
201910270910,854,黔南,微博,5032.17
201910270915,854,黔南,微博,6310.56
201910270920,854,黔南,微博,5982.01
201910270925,854,黔南,微博,6520.03
201910270930,854,黔南,微博,5879.99
201910270935,854,黔南,微博,5759.36
201910270940,854,黔南,微博,6149.38
201910270945,854,黔南,微博,6820.04
201910270950,854,黔南,微博,6239.17
201910270955,854,黔南,微博,5999.77
201910271000,854,黔南,微博,6040.59
201910271005,854,黔南,微博,5905.78
201910271010,854,黔南,微博,6401.49
201910271015,854,黔南,微博,6555.60
201910271020,854,黔南,微博,6540.18
201910271025,854,黔南,微博,6637.26
201910271030,854,黔南,微博,6352.83
201910271035,854,黔南,微博,6468.76
201910271040,854,黔南,微博,6519.42
201910271045,854,黔南,微博,6531.33
201910271050,854,黔南,微博,6582.10
201910271055,854,黔南,微博,6317.64
201910271105,854,黔南,微博,7136.13
201910271110,854,黔南,微博,7163.27
201910271115,854,黔南,微博,6866.76
201910271120,854,黔南,微博,7183.25
201910271125,854,黔南,微博,6787.13
201910271130,854,黔南,微博,7541.51
201910271135,854,黔南,微博,6845.16
201910271140,854,黔南,微博,6773.81
201910271145,854,黔南,微博,6234.75
201910271150,854,黔南,微博,7403.89
201910271155,854,黔南,微博,7070.93
201910271200,854,黔南,微博,5430.49
201910271205,854,黔南,微博,6519.29
201910271210,854,黔南,微博,7580.18
201910271215,854,黔南,微博,7156.35
201910271220,854,黔南,微博,7139.87
201910271225,854,黔南,微博,7359.95
201910271230,854,黔南,微博,7957.51
201910271235,854,黔南,微博,7449.71
201910271240,854,黔南,微博,7853.31
201910271245,854,黔南,微博,8163.10
201910271250,854,黔南,微博,8084.03
201910271255,854,黔南,微博,7809.72
201910271300,854,黔南,微博,7615.01
201910271305,854,黔南,微博,7865.65
201910271310,854,黔南,微博,7911.75
201910271315,854,黔南,微博,7988.22
201910271320,854,黔南,微博,7585.08
201910271325,854,黔南,微博,8545.50
201910271330,854,黔南,微博,7663.95
201910271335,854,黔南,微博,7296.99
201910271340,854,黔南,微博,7361.77
201910271345,854,黔南,微博,7857.07
201910271350,854,黔南,微博,7764.35
201910271355,854,黔南,微博,8041.99
201910271400,854,黔南,微博,7739.12
201910271405,854,黔南,微博,7984.27
201910271410,854,黔南,微博,6999.23
201910271415,854,黔南,微博,7891.56
201910271420,854,黔南,微博,8249.10
201910271425,854,黔南,微博,7480.98
201910271430,854,黔南,微博,7419.18
201910271435,854,黔南,微博,7084.19
201910271440,854,黔南,微博,7396.90
201910271445,854,黔南,微博,7469.76
201910271450,854,黔南,微博,6901.31
201910271455,854,黔南,微博,7293.22
201910271500,854,黔南,微博,7059.98
201910271505,854,黔南,微博,6891.15
201910271510,854,黔南,微博,7192.57
201910271515,854,黔南,微博,7257.33
201910271520,854,黔南,微博,6982.93
