日期,编码,地区,业务类型,流量
201910270800,850,贵安新区,VoIP业务,178.72
201910270805,850,贵安新区,VoIP业务,34.58
201910270810,850,贵安新区,VoIP业务,36.93
201910270815,850,贵安新区,VoIP业务,241.66
201910270820,850,贵安新区,VoIP业务,33.77
201910270825,850,贵安新区,VoIP业务,240.91
201910270830,850,贵安新区,VoIP业务,83.94
201910270835,850,贵安新区,VoIP业务,134.10
201910270840,850,贵安新区,VoIP业务,67.41
201910270845,850,贵安新区,VoIP业务,41.41
201910270850,850,贵安新区,VoIP业务,57.28
201910270855,850,贵安新区,VoIP业务,34.03
201910270900,850,贵安新区,VoIP业务,333.31
201910270905,850,贵安新区,VoIP业务,92.18
201910270910,850,贵安新区,VoIP业务,263.39
201910270915,850,贵安新区,VoIP业务,181.81
201910270920,850,贵安新区,VoIP业务,162.27
201910270925,850,贵安新区,VoIP业务,143.23
201910270930,850,贵安新区,VoIP业务,218.29
201910270935,850,贵安新区,VoIP业务,314.09
201910270940,850,贵安新区,VoIP业务,132.05
201910270945,850,贵安新区,VoIP业务,412.66
201910270950,850,贵安新区,VoIP业务,157.59
201910270955,850,贵安新区,VoIP业务,161.02
201910271000,850,贵安新区,VoIP业务,91.84
201910271005,850,贵安新区,VoIP业务,167.06
201910271010,850,贵安新区,VoIP业务,189.55
201910271015,850,贵安新区,VoIP业务,220.49
201910271020,850,贵安新区,VoIP业务,195.76
201910271025,850,贵安新区,VoIP业务,105.70
201910271030,850,贵安新区,VoIP业务,207.44
201910271035,850,贵安新区,VoIP业务,58.41
201910271040,850,贵安新区,VoIP业务,119.31
201910271045,850,贵安新区,VoIP业务,63.88
201910271050,850,贵安新区,VoIP业务,170.70
201910271055,850,贵安新区,VoIP业务,164.24
201910271105,850,贵安新区,VoIP业务,154.20
201910271110,850,贵安新区,VoIP业务,102.88
201910271115,850,贵安新区,VoIP业务,43.94
201910271120,850,贵安新区,VoIP业务,252.40
201910271125,850,贵安新区,VoIP业务,88.88
201910271130,850,贵安新区,VoIP业务,92.93
201910271135,850,贵安新区,VoIP业务,120.96
201910271140,850,贵安新区,VoIP业务,37.47
201910271145,850,贵安新区,VoIP业务,121.28
201910271150,850,贵安新区,VoIP业务,50.88
201910271155,850,贵安新区,VoIP业务,150.57
201910271200,850,贵安新区,VoIP业务,52.35
201910271205,850,贵安新区,VoIP业务,169.75
201910271210,850,贵安新区,VoIP业务,115.59
201910271215,850,贵安新区,VoIP业务,148.14
201910271220,850,贵安新区,VoIP业务,108.93
201910271225,850,贵安新区,VoIP业务,191.71
201910271230,850,贵安新区,VoIP业务,46.16
201910271235,850,贵安新区,VoIP业务,224.84
201910271240,850,贵安新区,VoIP业务,60.85
201910271245,850,贵安新区,VoIP业务,225.64
201910271250,850,贵安新区,VoIP业务,150.32
201910271255,850,贵安新区,VoIP业务,118.42
201910271300,850,贵安新区,VoIP业务,41.46
201910271305,850,贵安新区,VoIP业务,43.25
201910271310,850,贵安新区,VoIP业务,28.99
201910271315,850,贵安新区,VoIP业务,28.40
201910271320,850,贵安新区,VoIP业务,42.07
201910271325,850,贵安新区,VoIP业务,175.47
201910271330,850,贵安新区,VoIP业务,126.94
201910271335,850,贵安新区,VoIP业务,129.24
201910271340,850,贵安新区,VoIP业务,103.99
201910271345,850,贵安新区,VoIP业务,109.23
201910271350,850,贵安新区,VoIP业务,121.57
201910271355,850,贵安新区,VoIP业务,157.49
201910271400,850,贵安新区,VoIP业务,73.11
201910271405,850,贵安新区,VoIP业务,149.45
201910271410,850,贵安新区,VoIP业务,112.71
201910271415,850,贵安新区,VoIP业务,169.36
201910271420,850,贵安新区,VoIP业务,185.35
201910271425,850,贵安新区,VoIP业务,153.34
201910271430,850,贵安新区,VoIP业务,281.84
201910271435,850,贵安新区,VoIP业务,182.00
201910271440,850,贵安新区,VoIP业务,281.42
201910271445,850,贵安新区,VoIP业务,163.05
201910271450,850,贵安新区,VoIP业务,199.10
201910271455,850,贵安新区,VoIP业务,233.80
201910271500,850,贵安新区,VoIP业务,168.80
201910271505,850,贵安新区,VoIP业务,197.16
201910271510,850,贵安新区,VoIP业务,277.01
201910271515,850,贵安新区,VoIP业务,259.61
201910271520,850,贵安新区,VoIP业务,275.32
201910271525,850,贵安新区,VoIP业务,444.27
201910271530,850,贵安新区,VoIP业务,202.86
201910271535,850,贵安新区,VoIP业务,161.95
201910271540,850,贵安新区,VoIP业务,134.89
201910271545,850,贵安新区,VoIP业务,390.36
201910271550,850,贵安新区,VoIP业务,221.89
201910271555,850,贵安新区,VoIP业务,152.83
201910271600,850,贵安新区,VoIP业务,274.40
201910271605,850,贵安新区,VoIP业务,156.01
201910271610,850,贵安新区,VoIP业务,290.65
201910271615,850,贵安新区,VoIP业务,202.50
201910271620,850,贵安新区,VoIP业务,261.87
201910271625,850,贵安新区,VoIP业务,120.46
201910271630,850,贵安新区,VoIP业务,213.79
201910271635,850,贵安新区,VoIP业务,164.52
201910271640,850,贵安新区,VoIP业务,222.65
201910271645,850,贵安新区,VoIP业务,322.37
201910271650,850,贵安新区,VoIP业务,295.51
201910271655,850,贵安新区,VoIP业务,531.51
201910271700,850,贵安新区,VoIP业务,135.04
201910271705,850,贵安新区,VoIP业务,389.33
201910271710,850,贵安新区,VoIP业务,94.40
201910271715,850,贵安新区,VoIP业务,251.62
201910271720,850,贵安新区,VoIP业务,154.69
201910271725,850,贵安新区,VoIP业务,150.54
201910271730,850,贵安新区,VoIP业务,49.24
201910271735,850,贵安新区,VoIP业务,134.46
201910271740,850,贵安新区,VoIP业务,169.58
201910271745,850,贵安新区,VoIP业务,146.85
201910271750,850,贵安新区,VoIP业务,114.55
201910271755,850,贵安新区,VoIP业务,77.09
201910271800,850,贵安新区,VoIP业务,102.94
201910271805,850,贵安新区,VoIP业务,85.19
201910271810,850,贵安新区,VoIP业务,104.28
201910271815,850,贵安新区,VoIP业务,96.73
201910271820,850,贵安新区,VoIP业务,45.81
201910271825,850,贵安新区,VoIP业务,257.73
201910271830,850,贵安新区,VoIP业务,147.36
201910271835,850,贵安新区,VoIP业务,83.36
201910271840,850,贵安新区,VoIP业务,242.54
201910271845,850,贵安新区,VoIP业务,72.46
201910271850,850,贵安新区,VoIP业务,141.09
201910271855,850,贵安新区,VoIP业务,37.51
201910271900,850,贵安新区,VoIP业务,202.83
201910271905,850,贵安新区,VoIP业务,130.89
201910271910,850,贵安新区,VoIP业务,170.67
201910271915,850,贵安新区,VoIP业务,136.47
201910271920,850,贵安新区,VoIP业务,176.32
201910271925,850,贵安新区,VoIP业务,173.42
201910271930,850,贵安新区,VoIP业务,187.89
201910271935,850,贵安新区,VoIP业务,261.51
201910271940,850,贵安新区,VoIP业务,194.11
201910271945,850,贵安新区,VoIP业务,402.42
201910271950,850,贵安新区,VoIP业务,184.01
201910271955,850,贵安新区,VoIP业务,397.01
201910272000,850,贵安新区,VoIP业务,333.67
201910272005,850,贵安新区,VoIP业务,396.66
201910272010,850,贵安新区,VoIP业务,360.96
201910272015,850,贵安新区,VoIP业务,163.69
201910272020,850,贵安新区,VoIP业务,216.14
201910272025,850,贵安新区,VoIP业务,291.65
201910272030,850,贵安新区,VoIP业务,235.44
201910272035,850,贵安新区,VoIP业务,302.19
201910272040,850,贵安新区,VoIP业务,220.32
201910272045,850,贵安新区,VoIP业务,321.25
201910272050,850,贵安新区,VoIP业务,341.30
201910272055,850,贵安新区,VoIP业务,363.30
201910272100,850,贵安新区,VoIP业务,183.52
201910272105,850,贵安新区,VoIP业务,244.42
201910272110,850,贵安新区,VoIP业务,29.28
201910272115,850,贵安新区,VoIP业务,320.25
201910272120,850,贵安新区,VoIP业务,89.62
201910272125,850,贵安新区,VoIP业务,295.01
201910272130,850,贵安新区,VoIP业务,143.41
201910272135,850,贵安新区,VoIP业务,285.24
201910272140,850,贵安新区,VoIP业务,424.56
201910272145,850,贵安新区,VoIP业务,260.13
201910272150,850,贵安新区,VoIP业务,397.92
201910272155,850,贵安新区,VoIP业务,180.81
201910272200,850,贵安新区,VoIP业务,436.94
201910272205,850,贵安新区,VoIP业务,107.71
201910272210,850,贵安新区,VoIP业务,274.32
201910272215,850,贵安新区,VoIP业务,276.86
201910272220,850,贵安新区,VoIP业务,262.40
201910272225,850,贵安新区,VoIP业务,248.62
201910272230,850,贵安新区,VoIP业务,164.15
201910272235,850,贵安新区,VoIP业务,389.75
201910272240,850,贵安新区,VoIP业务,203.18
201910272245,850,贵安新区,VoIP业务,196.41
201910272250,850,贵安新区,VoIP业务,198.43
201910272255,850,贵安新区,VoIP业务,310.73
201910272300,850,贵安新区,VoIP业务,154.82
201910272305,850,贵安新区,VoIP业务,341.55
201910272310,850,贵安新区,VoIP业务,184.45
201910272315,850,贵安新区,VoIP业务,352.89
201910272320,850,贵安新区,VoIP业务,250.98
201910272325,850,贵安新区,VoIP业务,402.36
201910272330,850,贵安新区,VoIP业务,268.59
201910272335,850,贵安新区,VoIP业务,417.70
201910272340,850,贵安新区,VoIP业务,251.77
201910272345,850,贵安新区,VoIP业务,491.28
201910272350,850,贵安新区,VoIP业务,255.32
201910272355,850,贵安新区,VoIP业务,440.82
201910280800,850,贵安新区,VoIP业务,55.12
201910280805,850,贵安新区,VoIP业务,17.10
201910280810,850,贵安新区,VoIP业务,17.53
201910280815,850,贵安新区,VoIP业务,94.34
201910280820,850,贵安新区,VoIP业务,61.11
201910280825,850,贵安新区,VoIP业务,121.50
201910280830,850,贵安新区,VoIP业务,134.55
201910280835,850,贵安新区,VoIP业务,77.95
201910280840,850,贵安新区,VoIP业务,58.98
201910280845,850,贵安新区,VoIP业务,90.81
201910280850,850,贵安新区,VoIP业务,76.91
201910280855,850,贵安新区,VoIP业务,90.04
201910280900,850,贵安新区,VoIP业务,39.04
201910280905,850,贵安新区,VoIP业务,93.58
201910280910,850,贵安新区,VoIP业务,43.44
201910280915,850,贵安新区,VoIP业务,91.63
201910280920,850,贵安新区,VoIP业务,84.07
201910280925,850,贵安新区,VoIP业务,56.06
201910280930,850,贵安新区,VoIP业务,23.60
201910280935,850,贵安新区,VoIP业务,89.65
201910280940,850,贵安新区,VoIP业务,26.29
201910280945,850,贵安新区,VoIP业务,104.67
201910280950,850,贵安新区,VoIP业务,23.70
201910280955,850,贵安新区,VoIP业务,86.87
201910281000,850,贵安新区,VoIP业务,54.13
201910281005,850,贵安新区,VoIP业务,162.68
201910281010,850,贵安新区,VoIP业务,207.31
201910281015,850,贵安新区,VoIP业务,145.65
201910281020,850,贵安新区,VoIP业务,63.18
201910281025,850,贵安新区,VoIP业务,36.70
201910281030,850,贵安新区,VoIP业务,205.91
201910281035,850,贵安新区,VoIP业务,78.46
201910281040,850,贵安新区,VoIP业务,79.89
201910281045,850,贵安新区,VoIP业务,173.09
201910281050,850,贵安新区,VoIP业务,105.38
201910281055,850,贵安新区,VoIP业务,94.37
201910281100,850,贵安新区,VoIP业务,100.79
201911140800,850,贵安新区,VoIP业务,9.40
201911140805,850,贵安新区,VoIP业务,16.77
201911140810,850,贵安新区,VoIP业务,92.86
201911140815,850,贵安新区,VoIP业务,149.31
201911140820,850,贵安新区,VoIP业务,171.89
201911140825,850,贵安新区,VoIP业务,122.74
201911140830,850,贵安新区,VoIP业务,170.51
201911140835,850,贵安新区,VoIP业务,83.77
201911140840,850,贵安新区,VoIP业务,195.26
201911140845,850,贵安新区,VoIP业务,241.43
201911140850,850,贵安新区,VoIP业务,273.08
201911140855,850,贵安新区,VoIP业务,191.16
201911140900,850,贵安新区,VoIP业务,342.67
201911140905,850,贵安新区,VoIP业务,81.10
