日期,编码,地区,业务类型,流量
201910270800,851,贵阳,安全杀毒,1824.56
201910270805,851,贵阳,安全杀毒,1278.83
201910270810,851,贵阳,安全杀毒,474.81
201910270815,851,贵阳,安全杀毒,1328.12
201910270820,851,贵阳,安全杀毒,984.76
201910270825,851,贵阳,安全杀毒,364.33
201910270830,851,贵阳,安全杀毒,620.93
201910270835,851,贵阳,安全杀毒,370.45
201910270840,851,贵阳,安全杀毒,1560.74
201910270845,851,贵阳,安全杀毒,742.97
201910270850,851,贵阳,安全杀毒,495.80
201910270855,851,贵阳,安全杀毒,952.33
201910270900,851,贵阳,安全杀毒,926.43
201910270905,851,贵阳,安全杀毒,1239.09
201910270910,851,贵阳,安全杀毒,1452.46
201910270915,851,贵阳,安全杀毒,810.32
201910270920,851,贵阳,安全杀毒,923.53
201910270925,851,贵阳,安全杀毒,892.26
201910270930,851,贵阳,安全杀毒,975.43
201910270935,851,贵阳,安全杀毒,675.55
201910270940,851,贵阳,安全杀毒,655.61
201910270945,851,贵阳,安全杀毒,769.49
201910270950,851,贵阳,安全杀毒,661.57
201910270955,851,贵阳,安全杀毒,1088.31
201910271000,851,贵阳,安全杀毒,1438.47
201910271005,851,贵阳,安全杀毒,1120.74
201910271010,851,贵阳,安全杀毒,1198.17
201910271015,851,贵阳,安全杀毒,906.54
201910271020,851,贵阳,安全杀毒,1258.96
201910271025,851,贵阳,安全杀毒,980.56
201910271030,851,贵阳,安全杀毒,1354.28
201910271035,851,贵阳,安全杀毒,550.45
201910271040,851,贵阳,安全杀毒,668.13
201910271045,851,贵阳,安全杀毒,739.56
201910271050,851,贵阳,安全杀毒,1237.14
201910271055,851,贵阳,安全杀毒,1051.73
201910271105,851,贵阳,安全杀毒,858.10
201910271110,851,贵阳,安全杀毒,905.43
201910271115,851,贵阳,安全杀毒,1151.39
201910271120,851,贵阳,安全杀毒,979.81
201910271125,851,贵阳,安全杀毒,801.87
201910271130,851,贵阳,安全杀毒,593.97
201910271135,851,贵阳,安全杀毒,1211.34
201910271140,851,贵阳,安全杀毒,1150.13
201910271145,851,贵阳,安全杀毒,1207.25
201910271150,851,贵阳,安全杀毒,805.34
201910271155,851,贵阳,安全杀毒,1447.54
201910271200,851,贵阳,安全杀毒,684.92
201910271205,851,贵阳,安全杀毒,706.65
201910271210,851,贵阳,安全杀毒,1412.52
201910271215,851,贵阳,安全杀毒,1152.99
201910271220,851,贵阳,安全杀毒,1048.03
201910271225,851,贵阳,安全杀毒,754.82
201910271230,851,贵阳,安全杀毒,1085.92
201910271235,851,贵阳,安全杀毒,885.47
201910271240,851,贵阳,安全杀毒,1214.52
201910271245,851,贵阳,安全杀毒,488.08
201910271250,851,贵阳,安全杀毒,591.56
201910271255,851,贵阳,安全杀毒,670.04
201910271300,851,贵阳,安全杀毒,879.98
201910271305,851,贵阳,安全杀毒,2382.38
201910271310,851,贵阳,安全杀毒,669.06
201910271315,851,贵阳,安全杀毒,1923.72
201910271320,851,贵阳,安全杀毒,909.20
201910271325,851,贵阳,安全杀毒,988.94
201910271330,851,贵阳,安全杀毒,772.15
201910271335,851,贵阳,安全杀毒,1277.34
201910271340,851,贵阳,安全杀毒,1444.79
201910271345,851,贵阳,安全杀毒,537.75
201910271350,851,贵阳,安全杀毒,1311.82
201910271355,851,贵阳,安全杀毒,2009.94
201910271400,851,贵阳,安全杀毒,1684.79
201910271405,851,贵阳,安全杀毒,914.56
201910271410,851,贵阳,安全杀毒,587.06
201910271415,851,贵阳,安全杀毒,716.87
201910271420,851,贵阳,安全杀毒,1053.26
201910271425,851,贵阳,安全杀毒,992.84
201910271430,851,贵阳,安全杀毒,1279.21
201910271435,851,贵阳,安全杀毒,1097.78
201910271440,851,贵阳,安全杀毒,1348.99
201910271445,851,贵阳,安全杀毒,1005.31
201910271450,851,贵阳,安全杀毒,857.27
201910271455,851,贵阳,安全杀毒,870.98
201910271500,851,贵阳,安全杀毒,1113.01
201910271505,851,贵阳,安全杀毒,947.40
201910271510,851,贵阳,安全杀毒,1030.20
201910271515,851,贵阳,安全杀毒,817.27
201910271520,851,贵阳,安全杀毒,1315.03
201910271525,851,贵阳,安全杀毒,853.39
201910271530,851,贵阳,安全杀毒,1294.89
201910271535,851,贵阳,安全杀毒,1546.13
201910271540,851,贵阳,安全杀毒,844.59
201910271545,851,贵阳,安全杀毒,681.04
201910271550,851,贵阳,安全杀毒,734.51
201910271555,851,贵阳,安全杀毒,1133.96
201910271600,851,贵阳,安全杀毒,827.55
201910271605,851,贵阳,安全杀毒,1118.32
201910271610,851,贵阳,安全杀毒,2069.25
201910271615,851,贵阳,安全杀毒,987.37
201910271620,851,贵阳,安全杀毒,1348.85
201910271625,851,贵阳,安全杀毒,769.74
201910271630,851,贵阳,安全杀毒,1244.12
201910271635,851,贵阳,安全杀毒,1330.15
201910271640,851,贵阳,安全杀毒,928.19
201910271645,851,贵阳,安全杀毒,833.17
201910271650,851,贵阳,安全杀毒,1272.20
201910271655,851,贵阳,安全杀毒,1436.33
201910271700,851,贵阳,安全杀毒,1129.86
201910271705,851,贵阳,安全杀毒,1034.50
201910271710,851,贵阳,安全杀毒,1196.39
201910271715,851,贵阳,安全杀毒,1932.84
201910271720,851,贵阳,安全杀毒,795.80
201910271725,851,贵阳,安全杀毒,1330.87
201910271730,851,贵阳,安全杀毒,1345.40
201910271735,851,贵阳,安全杀毒,1860.71
201910271740,851,贵阳,安全杀毒,768.78
201910271745,851,贵阳,安全杀毒,1398.56
201910271750,851,贵阳,安全杀毒,798.86
201910271755,851,贵阳,安全杀毒,1088.53
201910271800,851,贵阳,安全杀毒,679.92
201910271805,851,贵阳,安全杀毒,2209.67
201910271810,851,贵阳,安全杀毒,1116.09
201910271815,851,贵阳,安全杀毒,1112.07
201910271820,851,贵阳,安全杀毒,617.34
201910271825,851,贵阳,安全杀毒,1127.06
201910271830,851,贵阳,安全杀毒,2124.71
201910271835,851,贵阳,安全杀毒,1020.86
201910271840,851,贵阳,安全杀毒,995.16
201910271845,851,贵阳,安全杀毒,1468.12
201910271850,851,贵阳,安全杀毒,1034.90
201910271855,851,贵阳,安全杀毒,4596.02
201910271900,851,贵阳,安全杀毒,1102.40
201910271905,851,贵阳,安全杀毒,837.59
201910271910,851,贵阳,安全杀毒,966.15
201910271915,851,贵阳,安全杀毒,1270.88
201910271920,851,贵阳,安全杀毒,1768.44
201910271925,851,贵阳,安全杀毒,1570.89
201910271930,851,贵阳,安全杀毒,1309.13
201910271935,851,贵阳,安全杀毒,1418.06
201910271940,851,贵阳,安全杀毒,2156.45
201910271945,851,贵阳,安全杀毒,500.66
201910271950,851,贵阳,安全杀毒,2021.48
201910271955,851,贵阳,安全杀毒,1968.94
201910272000,851,贵阳,安全杀毒,1794.44
201910272005,851,贵阳,安全杀毒,1094.50
201910272010,851,贵阳,安全杀毒,888.59
201910272015,851,贵阳,安全杀毒,899.07
201910272020,851,贵阳,安全杀毒,1252.48
201910272025,851,贵阳,安全杀毒,1491.35
201910272030,851,贵阳,安全杀毒,1112.66
201910272035,851,贵阳,安全杀毒,1055.10
201910272040,851,贵阳,安全杀毒,1141.87
201910272045,851,贵阳,安全杀毒,713.58
201910272050,851,贵阳,安全杀毒,582.76
201910272055,851,贵阳,安全杀毒,913.12
201910272100,851,贵阳,安全杀毒,938.50
201910272105,851,贵阳,安全杀毒,917.35
201910272110,851,贵阳,安全杀毒,424.79
201910272115,851,贵阳,安全杀毒,736.63
201910272120,851,贵阳,安全杀毒,603.89
201910272125,851,贵阳,安全杀毒,838.10
201910272130,851,贵阳,安全杀毒,475.85
201910272135,851,贵阳,安全杀毒,743.32
201910272140,851,贵阳,安全杀毒,529.02
201910272145,851,贵阳,安全杀毒,509.36
201910272150,851,贵阳,安全杀毒,744.38
201910272155,851,贵阳,安全杀毒,381.47
201910272200,851,贵阳,安全杀毒,590.42
201910272205,851,贵阳,安全杀毒,1004.96
201910272210,851,贵阳,安全杀毒,748.47
201910272215,851,贵阳,安全杀毒,560.36
201910272220,851,贵阳,安全杀毒,275.85
201910272225,851,贵阳,安全杀毒,575.55
201910272230,851,贵阳,安全杀毒,1016.40
201910272235,851,贵阳,安全杀毒,1533.38
201910272240,851,贵阳,安全杀毒,1094.16
201910272245,851,贵阳,安全杀毒,721.87
201910272250,851,贵阳,安全杀毒,378.69
201910272255,851,贵阳,安全杀毒,376.16
201910272300,851,贵阳,安全杀毒,498.14
201910272305,851,贵阳,安全杀毒,250.19
201910272310,851,贵阳,安全杀毒,724.89
201910272315,851,贵阳,安全杀毒,257.31
201910272320,851,贵阳,安全杀毒,321.23
201910272325,851,贵阳,安全杀毒,231.69
201910272330,851,贵阳,安全杀毒,256.42
201910272335,851,贵阳,安全杀毒,1050.18
201910272340,851,贵阳,安全杀毒,393.87
201910272345,851,贵阳,安全杀毒,565.24
201910272350,851,贵阳,安全杀毒,420.52
201910272355,851,贵阳,安全杀毒,625.07
201910280800,851,贵阳,安全杀毒,673.53
201910280805,851,贵阳,安全杀毒,201.78
201910280810,851,贵阳,安全杀毒,339.39
201910280815,851,贵阳,安全杀毒,377.38
201910280820,851,贵阳,安全杀毒,409.78
201910280825,851,贵阳,安全杀毒,526.38
201910280830,851,贵阳,安全杀毒,639.92
201910280835,851,贵阳,安全杀毒,1028.42
201910280840,851,贵阳,安全杀毒,928.62
201910280845,851,贵阳,安全杀毒,704.39
201910280850,851,贵阳,安全杀毒,776.36
201910280855,851,贵阳,安全杀毒,530.69
201910280900,851,贵阳,安全杀毒,1300.53
201910280905,851,贵阳,安全杀毒,645.96
201910280910,851,贵阳,安全杀毒,662.02
201910280915,851,贵阳,安全杀毒,647.48
201910280920,851,贵阳,安全杀毒,1943.68
201910280925,851,贵阳,安全杀毒,886.93
201910280930,851,贵阳,安全杀毒,536.15
201910280935,851,贵阳,安全杀毒,706.82
201910280940,851,贵阳,安全杀毒,438.04
201910280945,851,贵阳,安全杀毒,429.10
201910280950,851,贵阳,安全杀毒,778.64
201910280955,851,贵阳,安全杀毒,805.35
201910281000,851,贵阳,安全杀毒,697.81
201910281005,851,贵阳,安全杀毒,1002.17
201910281010,851,贵阳,安全杀毒,1097.96
201910281015,851,贵阳,安全杀毒,646.42
201910281020,851,贵阳,安全杀毒,803.41
201910281025,851,贵阳,安全杀毒,730.28
201910281030,851,贵阳,安全杀毒,934.06
201910281035,851,贵阳,安全杀毒,636.37
201910281040,851,贵阳,安全杀毒,977.79
201910281045,851,贵阳,安全杀毒,915.45
201910281050,851,贵阳,安全杀毒,826.16
201910281055,851,贵阳,安全杀毒,815.74
201910281100,851,贵阳,安全杀毒,947.46
201911140800,851,贵阳,安全杀毒,40.71
201911140805,851,贵阳,安全杀毒,79.78
201911140810,851,贵阳,安全杀毒,33.19
201911140815,851,贵阳,安全杀毒,40.66
201911140820,851,贵阳,安全杀毒,34.20
201911140825,851,贵阳,安全杀毒,55.18
201911140830,851,贵阳,安全杀毒,124.26
201911140835,851,贵阳,安全杀毒,50.69
201911140840,851,贵阳,安全杀毒,36.48
201911140845,851,贵阳,安全杀毒,100.89
201911140850,851,贵阳,安全杀毒,46.83
201911140855,851,贵阳,安全杀毒,94.22
201911140900,851,贵阳,安全杀毒,82.07
