日期,编码,地区,业务类型,流量
201910270800,851,贵阳,应用商店,48023.51
201910270805,851,贵阳,应用商店,53444.35
201910270810,851,贵阳,应用商店,51232.73
201910270815,851,贵阳,应用商店,54518.11
201910270820,851,贵阳,应用商店,57483.07
201910270825,851,贵阳,应用商店,56431.73
201910270830,851,贵阳,应用商店,58072.67
201910270835,851,贵阳,应用商店,57966.75
201910270840,851,贵阳,应用商店,65713.25
201910270845,851,贵阳,应用商店,69159.00
201910270850,851,贵阳,应用商店,67455.30
201910270855,851,贵阳,应用商店,73824.23
201910270900,851,贵阳,应用商店,66578.16
201910270905,851,贵阳,应用商店,71821.11
201910270910,851,贵阳,应用商店,73905.11
201910270915,851,贵阳,应用商店,77711.98
201910270920,851,贵阳,应用商店,69376.60
201910270925,851,贵阳,应用商店,77012.58
201910270930,851,贵阳,应用商店,68716.64
201910270935,851,贵阳,应用商店,68597.27
201910270940,851,贵阳,应用商店,82856.57
201910270945,851,贵阳,应用商店,78647.32
201910270950,851,贵阳,应用商店,79034.31
201910270955,851,贵阳,应用商店,83147.03
201910271000,851,贵阳,应用商店,79059.46
201910271005,851,贵阳,应用商店,88108.34
201910271010,851,贵阳,应用商店,87007.95
201910271015,851,贵阳,应用商店,80662.90
201910271020,851,贵阳,应用商店,87703.84
201910271025,851,贵阳,应用商店,82272.84
201910271030,851,贵阳,应用商店,95297.38
201910271035,851,贵阳,应用商店,84117.39
201910271040,851,贵阳,应用商店,100232.00
201910271045,851,贵阳,应用商店,87683.01
201910271050,851,贵阳,应用商店,90873.00
201910271055,851,贵阳,应用商店,98726.43
201910271105,851,贵阳,应用商店,100939.89
201910271110,851,贵阳,应用商店,100415.96
201910271115,851,贵阳,应用商店,100102.77
201910271120,851,贵阳,应用商店,104172.17
201910271125,851,贵阳,应用商店,108497.67
201910271130,851,贵阳,应用商店,111718.88
201910271135,851,贵阳,应用商店,111006.65
201910271140,851,贵阳,应用商店,101558.66
201910271145,851,贵阳,应用商店,103453.59
201910271150,851,贵阳,应用商店,109494.38
201910271155,851,贵阳,应用商店,110081.66
201910271200,851,贵阳,应用商店,110799.95
201910271205,851,贵阳,应用商店,114063.67
201910271210,851,贵阳,应用商店,113598.73
201910271215,851,贵阳,应用商店,106201.42
201910271220,851,贵阳,应用商店,116357.45
201910271225,851,贵阳,应用商店,109377.72
201910271230,851,贵阳,应用商店,110223.98
201910271235,851,贵阳,应用商店,115845.83
201910271240,851,贵阳,应用商店,122930.32
201910271245,851,贵阳,应用商店,122432.70
201910271250,851,贵阳,应用商店,120647.00
201910271255,851,贵阳,应用商店,110355.83
201910271300,851,贵阳,应用商店,125499.46
201910271305,851,贵阳,应用商店,107349.27
201910271310,851,贵阳,应用商店,105215.80
201910271315,851,贵阳,应用商店,108185.66
201910271320,851,贵阳,应用商店,103549.17
201910271325,851,贵阳,应用商店,110440.83
201910271330,851,贵阳,应用商店,113924.29
201910271335,851,贵阳,应用商店,108671.06
201910271340,851,贵阳,应用商店,116568.43
201910271345,851,贵阳,应用商店,109405.48
201910271350,851,贵阳,应用商店,110191.32
201910271355,851,贵阳,应用商店,104617.09
201910271400,851,贵阳,应用商店,109542.79
201910271405,851,贵阳,应用商店,109454.02
201910271410,851,贵阳,应用商店,118944.53
201910271415,851,贵阳,应用商店,120892.52
201910271420,851,贵阳,应用商店,121326.85
201910271425,851,贵阳,应用商店,111012.96
201910271430,851,贵阳,应用商店,123769.11
201910271435,851,贵阳,应用商店,119599.36
201910271440,851,贵阳,应用商店,111636.71
201910271445,851,贵阳,应用商店,110193.14
201910271450,851,贵阳,应用商店,103869.16
201910271455,851,贵阳,应用商店,103998.19
201910271500,851,贵阳,应用商店,118496.85
201910271505,851,贵阳,应用商店,115784.34
201910271510,851,贵阳,应用商店,110595.46
201910271515,851,贵阳,应用商店,112716.18
201910271520,851,贵阳,应用商店,113947.33
201910271525,851,贵阳,应用商店,110743.91
201910271530,851,贵阳,应用商店,115124.55
201910271535,851,贵阳,应用商店,106807.24
201910271540,851,贵阳,应用商店,112325.49
201910271545,851,贵阳,应用商店,120144.20
201910271550,851,贵阳,应用商店,102887.88
201910271555,851,贵阳,应用商店,109280.62
201910271600,851,贵阳,应用商店,112260.56
201910271605,851,贵阳,应用商店,107736.36
201910271610,851,贵阳,应用商店,104956.60
201910271615,851,贵阳,应用商店,108374.89
201910271620,851,贵阳,应用商店,111389.33
201910271625,851,贵阳,应用商店,116200.21
201910271630,851,贵阳,应用商店,103801.88
201910271635,851,贵阳,应用商店,115477.25
201910271640,851,贵阳,应用商店,114803.44
201910271645,851,贵阳,应用商店,110209.48
201910271650,851,贵阳,应用商店,111265.87
201910271655,851,贵阳,应用商店,116180.67
201910271700,851,贵阳,应用商店,107576.20
201910271705,851,贵阳,应用商店,104616.30
201910271710,851,贵阳,应用商店,105518.97
201910271715,851,贵阳,应用商店,105371.36
201910271720,851,贵阳,应用商店,106792.62
201910271725,851,贵阳,应用商店,98465.12
201910271730,851,贵阳,应用商店,104356.21
201910271735,851,贵阳,应用商店,106799.79
201910271740,851,贵阳,应用商店,109098.30
201910271745,851,贵阳,应用商店,116646.75
201910271750,851,贵阳,应用商店,91035.67
201910271755,851,贵阳,应用商店,111469.68
201910271800,851,贵阳,应用商店,99797.75
201910271805,851,贵阳,应用商店,106336.63
201910271810,851,贵阳,应用商店,105671.26
201910271815,851,贵阳,应用商店,118012.83
201910271820,851,贵阳,应用商店,116091.48
201910271825,851,贵阳,应用商店,132025.52
201910271830,851,贵阳,应用商店,112329.54
201910271835,851,贵阳,应用商店,125674.71
201910271840,851,贵阳,应用商店,111182.89
201910271845,851,贵阳,应用商店,117489.41
201910271850,851,贵阳,应用商店,108872.64
201910271855,851,贵阳,应用商店,118956.32
201910271900,851,贵阳,应用商店,118770.10
201910271905,851,贵阳,应用商店,123090.81
201910271910,851,贵阳,应用商店,113139.39
201910271915,851,贵阳,应用商店,112178.86
201910271920,851,贵阳,应用商店,103576.66
201910271925,851,贵阳,应用商店,112590.65
201910271930,851,贵阳,应用商店,108008.92
201910271935,851,贵阳,应用商店,105526.21
201910271940,851,贵阳,应用商店,99096.36
201910271945,851,贵阳,应用商店,115065.92
201910271950,851,贵阳,应用商店,121591.28
201910271955,851,贵阳,应用商店,107002.65
201910272000,851,贵阳,应用商店,98576.16
201910272005,851,贵阳,应用商店,109358.50
201910272010,851,贵阳,应用商店,114198.84
201910272015,851,贵阳,应用商店,113236.88
201910272020,851,贵阳,应用商店,99646.90
201910272025,851,贵阳,应用商店,108089.31
201910272030,851,贵阳,应用商店,112184.47
201910272035,851,贵阳,应用商店,113457.35
201910272040,851,贵阳,应用商店,102159.39
201910272045,851,贵阳,应用商店,104943.30
201910272050,851,贵阳,应用商店,104127.85
201910272055,851,贵阳,应用商店,97392.85
201910272100,851,贵阳,应用商店,104324.57
201910272105,851,贵阳,应用商店,104993.12
201910272110,851,贵阳,应用商店,101353.81
201910272115,851,贵阳,应用商店,100873.18
201910272120,851,贵阳,应用商店,98078.06
201910272125,851,贵阳,应用商店,96411.41
201910272130,851,贵阳,应用商店,96443.91
201910272135,851,贵阳,应用商店,96798.76
201910272140,851,贵阳,应用商店,104930.13
201910272145,851,贵阳,应用商店,97561.00
201910272150,851,贵阳,应用商店,104291.49
201910272155,851,贵阳,应用商店,93298.39
201910272200,851,贵阳,应用商店,99099.95
201910272205,851,贵阳,应用商店,95625.11
201910272210,851,贵阳,应用商店,90178.54
201910272215,851,贵阳,应用商店,90985.98
201910272220,851,贵阳,应用商店,89955.74
201910272225,851,贵阳,应用商店,81583.35
201910272230,851,贵阳,应用商店,93726.24
201910272235,851,贵阳,应用商店,87956.26
201910272240,851,贵阳,应用商店,79676.53
201910272245,851,贵阳,应用商店,85645.05
201910272250,851,贵阳,应用商店,68787.57
201910272255,851,贵阳,应用商店,83538.69
201910272300,851,贵阳,应用商店,79404.57
201910272305,851,贵阳,应用商店,89181.98
201910272310,851,贵阳,应用商店,77913.78
201910272315,851,贵阳,应用商店,69128.58
201910272320,851,贵阳,应用商店,72436.13
201910272325,851,贵阳,应用商店,73032.65
201910272330,851,贵阳,应用商店,73465.08
