日期,编码,地区,业务类型,流量
201910270800,851,贵阳,导航,77844.10
201910270805,851,贵阳,导航,79791.02
201910270810,851,贵阳,导航,81245.64
201910270815,851,贵阳,导航,78353.84
201910270820,851,贵阳,导航,85630.44
201910270825,851,贵阳,导航,82456.97
201910270830,851,贵阳,导航,91068.08
201910270835,851,贵阳,导航,88092.64
201910270840,851,贵阳,导航,92272.06
201910270845,851,贵阳,导航,91195.10
201910270850,851,贵阳,导航,93517.03
201910270855,851,贵阳,导航,92387.37
201910270900,851,贵阳,导航,99715.85
201910270905,851,贵阳,导航,96163.43
201910270910,851,贵阳,导航,101625.80
201910270915,851,贵阳,导航,103443.07
201910270920,851,贵阳,导航,105864.22
201910270925,851,贵阳,导航,101583.01
201910270930,851,贵阳,导航,108324.07
201910270935,851,贵阳,导航,103308.13
201910270940,851,贵阳,导航,106299.04
201910270945,851,贵阳,导航,103538.58
201910270950,851,贵阳,导航,111371.06
201910270955,851,贵阳,导航,113332.43
201910271000,851,贵阳,导航,113878.81
201910271005,851,贵阳,导航,116240.34
201910271010,851,贵阳,导航,116216.63
201910271015,851,贵阳,导航,116448.72
201910271020,851,贵阳,导航,116837.51
201910271025,851,贵阳,导航,117620.15
201910271030,851,贵阳,导航,124346.43
201910271035,851,贵阳,导航,123888.46
201910271040,851,贵阳,导航,123920.28
201910271045,851,贵阳,导航,124405.58
201910271050,851,贵阳,导航,127935.25
201910271055,851,贵阳,导航,125763.33
201910271105,851,贵阳,导航,129396.66
201910271110,851,贵阳,导航,128639.61
201910271115,851,贵阳,导航,129511.07
201910271120,851,贵阳,导航,128076.00
201910271125,851,贵阳,导航,134291.50
201910271130,851,贵阳,导航,130672.57
201910271135,851,贵阳,导航,134135.15
201910271140,851,贵阳,导航,136167.82
201910271145,851,贵阳,导航,132005.10
201910271150,851,贵阳,导航,133435.48
201910271155,851,贵阳,导航,131871.06
201910271200,851,贵阳,导航,137440.10
201910271205,851,贵阳,导航,135343.03
201910271210,851,贵阳,导航,133567.77
201910271215,851,贵阳,导航,137095.88
201910271220,851,贵阳,导航,139676.31
201910271225,851,贵阳,导航,139312.09
201910271230,851,贵阳,导航,141344.26
201910271235,851,贵阳,导航,144377.13
201910271240,851,贵阳,导航,147248.98
201910271245,851,贵阳,导航,141385.52
201910271250,851,贵阳,导航,139197.92
201910271255,851,贵阳,导航,141031.94
201910271300,851,贵阳,导航,143444.69
201910271305,851,贵阳,导航,140440.52
201910271310,851,贵阳,导航,141057.29
201910271315,851,贵阳,导航,138140.43
201910271320,851,贵阳,导航,138132.98
201910271325,851,贵阳,导航,136170.88
201910271330,851,贵阳,导航,133749.90
201910271335,851,贵阳,导航,132036.29
201910271340,851,贵阳,导航,135475.54
201910271345,851,贵阳,导航,133951.32
201910271350,851,贵阳,导航,137503.18
201910271355,851,贵阳,导航,133360.43
201910271400,851,贵阳,导航,132666.40
201910271405,851,贵阳,导航,136771.13
201910271410,851,贵阳,导航,136919.15
201910271415,851,贵阳,导航,134402.26
201910271420,851,贵阳,导航,135605.66
201910271425,851,贵阳,导航,133928.24
201910271430,851,贵阳,导航,129260.67
201910271435,851,贵阳,导航,129730.66
201910271440,851,贵阳,导航,132120.39
201910271445,851,贵阳,导航,133634.94
201910271450,851,贵阳,导航,136285.76
201910271455,851,贵阳,导航,135290.52
201910271500,851,贵阳,导航,143939.98
201910271505,851,贵阳,导航,135717.57
201910271510,851,贵阳,导航,135434.51
201910271515,851,贵阳,导航,140382.75
201910271520,851,贵阳,导航,135380.88
201910271525,851,贵阳,导航,139422.96
201910271530,851,贵阳,导航,137287.64
201910271535,851,贵阳,导航,138213.49
201910271540,851,贵阳,导航,141868.67
201910271545,851,贵阳,导航,140693.40
201910271550,851,贵阳,导航,137688.14
201910271555,851,贵阳,导航,141759.32
