日期,编码,地区,业务类型,流量
201910270800,851,贵阳,阅读,587.31
201910270805,851,贵阳,阅读,590.38
201910270810,851,贵阳,阅读,532.44
201910270815,851,贵阳,阅读,673.60
201910270820,851,贵阳,阅读,598.43
201910270825,851,贵阳,阅读,690.63
201910270830,851,贵阳,阅读,717.06
201910270835,851,贵阳,阅读,625.31
201910270840,851,贵阳,阅读,761.99
201910270845,851,贵阳,阅读,659.74
201910270850,851,贵阳,阅读,655.90
201910270855,851,贵阳,阅读,697.51
201910270900,851,贵阳,阅读,735.86
201910270905,851,贵阳,阅读,860.00
201910270910,851,贵阳,阅读,724.29
201910270915,851,贵阳,阅读,921.50
201910270920,851,贵阳,阅读,832.78
201910270925,851,贵阳,阅读,693.93
201910270930,851,贵阳,阅读,825.76
201910270935,851,贵阳,阅读,854.65
201910270940,851,贵阳,阅读,857.12
201910270945,851,贵阳,阅读,1098.15
201910270950,851,贵阳,阅读,923.67
201910270955,851,贵阳,阅读,989.02
201910271000,851,贵阳,阅读,1068.15
201910271005,851,贵阳,阅读,1062.72
201910271010,851,贵阳,阅读,997.34
201910271015,851,贵阳,阅读,1040.48
201910271020,851,贵阳,阅读,1100.96
201910271025,851,贵阳,阅读,1019.77
201910271030,851,贵阳,阅读,1063.81
201910271035,851,贵阳,阅读,1173.56
201910271040,851,贵阳,阅读,1011.76
201910271045,851,贵阳,阅读,1035.71
201910271050,851,贵阳,阅读,936.43
201910271055,851,贵阳,阅读,996.56
201910271105,851,贵阳,阅读,1020.27
201910271110,851,贵阳,阅读,1093.60
201910271115,851,贵阳,阅读,1009.32
201910271120,851,贵阳,阅读,1175.24
201910271125,851,贵阳,阅读,994.90
201910271130,851,贵阳,阅读,1151.32
201910271135,851,贵阳,阅读,1050.60
201910271140,851,贵阳,阅读,1325.55
201910271145,851,贵阳,阅读,1131.67
201910271150,851,贵阳,阅读,1070.34
201910271155,851,贵阳,阅读,975.12
201910271200,851,贵阳,阅读,1141.67
201910271205,851,贵阳,阅读,978.99
201910271210,851,贵阳,阅读,1038.82
201910271215,851,贵阳,阅读,1203.17
201910271220,851,贵阳,阅读,1134.81
201910271225,851,贵阳,阅读,1110.45
201910271230,851,贵阳,阅读,1244.23
201910271235,851,贵阳,阅读,1082.64
201910271240,851,贵阳,阅读,1084.50
201910271245,851,贵阳,阅读,1084.49
201910271250,851,贵阳,阅读,1247.50
201910271255,851,贵阳,阅读,1221.57
201910271300,851,贵阳,阅读,1121.74
201910271305,851,贵阳,阅读,1302.40
201910271310,851,贵阳,阅读,1236.74
201910271315,851,贵阳,阅读,1215.52
201910271320,851,贵阳,阅读,1484.59
201910271325,851,贵阳,阅读,1400.67
201910271330,851,贵阳,阅读,1143.69
201910271335,851,贵阳,阅读,1060.53
201910271340,851,贵阳,阅读,916.51
201910271345,851,贵阳,阅读,1027.86
201910271350,851,贵阳,阅读,1015.90
201910271355,851,贵阳,阅读,995.81
201910271400,851,贵阳,阅读,972.71
201910271405,851,贵阳,阅读,926.72
201910271410,851,贵阳,阅读,1208.73
201910271415,851,贵阳,阅读,967.05
201910271420,851,贵阳,阅读,1047.88
201910271425,851,贵阳,阅读,999.43
201910271430,851,贵阳,阅读,1235.50
201910271435,851,贵阳,阅读,1037.90
201910271440,851,贵阳,阅读,966.25
201910271445,851,贵阳,阅读,1171.32
201910271450,851,贵阳,阅读,1152.16
201910271455,851,贵阳,阅读,1021.17
201910271500,851,贵阳,阅读,1183.01
201910271505,851,贵阳,阅读,1176.75
201910271510,851,贵阳,阅读,894.82
201910271515,851,贵阳,阅读,902.16
201910271520,851,贵阳,阅读,1168.93
201910271525,851,贵阳,阅读,1036.40
201910271530,851,贵阳,阅读,1049.91
201910271535,851,贵阳,阅读,1097.41
201910271540,851,贵阳,阅读,1111.13
201910271545,851,贵阳,阅读,1077.85
201910271550,851,贵阳,阅读,870.72
201910271555,851,贵阳,阅读,1098.50
201910271600,851,贵阳,阅读,980.04
201910271605,851,贵阳,阅读,956.85
201910271610,851,贵阳,阅读,1005.16
201910271615,851,贵阳,阅读,1010.53
201910271620,851,贵阳,阅读,949.82
201910271625,851,贵阳,阅读,1126.62
201910271630,851,贵阳,阅读,1000.25
201910271635,851,贵阳,阅读,1069.24
201910271640,851,贵阳,阅读,929.16
201910271645,851,贵阳,阅读,1065.76
201910271650,851,贵阳,阅读,948.16
201910271655,851,贵阳,阅读,966.73
201910271700,851,贵阳,阅读,1129.47
201910271705,851,贵阳,阅读,1111.39
201910271710,851,贵阳,阅读,882.62
201910271715,851,贵阳,阅读,953.94
201910271720,851,贵阳,阅读,888.08
201910271725,851,贵阳,阅读,1045.09
201910271730,851,贵阳,阅读,964.67
201910271735,851,贵阳,阅读,909.50
201910271740,851,贵阳,阅读,979.91
201910271745,851,贵阳,阅读,990.85
201910271750,851,贵阳,阅读,941.26
201910271755,851,贵阳,阅读,1069.27
201910271800,851,贵阳,阅读,1026.48
201910271805,851,贵阳,阅读,1060.44
201910271810,851,贵阳,阅读,1002.20
201910271815,851,贵阳,阅读,1033.93
201910271820,851,贵阳,阅读,976.26
201910271825,851,贵阳,阅读,1114.78
201910271830,851,贵阳,阅读,907.50
201910271835,851,贵阳,阅读,913.85
201910271840,851,贵阳,阅读,954.65
201910271845,851,贵阳,阅读,1044.63
201910271850,851,贵阳,阅读,1123.54
201910271855,851,贵阳,阅读,946.03
201910271900,851,贵阳,阅读,1122.50
201910271905,851,贵阳,阅读,976.79
201910271910,851,贵阳,阅读,977.28
201910271915,851,贵阳,阅读,920.13
201910271920,851,贵阳,阅读,998.56
201910271925,851,贵阳,阅读,930.07
201910271930,851,贵阳,阅读,831.35
201910271935,851,贵阳,阅读,905.71
201910271940,851,贵阳,阅读,922.80
201910271945,851,贵阳,阅读,1067.63
201910271950,851,贵阳,阅读,929.71
201910271955,851,贵阳,阅读,1094.79
201910272000,851,贵阳,阅读,1103.35
201910272005,851,贵阳,阅读,937.21
201910272010,851,贵阳,阅读,920.98
201910272015,851,贵阳,阅读,908.86
201910272020,851,贵阳,阅读,883.06
201910272025,851,贵阳,阅读,944.55
201910272030,851,贵阳,阅读,936.75
201910272035,851,贵阳,阅读,1061.84
201910272040,851,贵阳,阅读,927.35
201910272045,851,贵阳,阅读,976.19
201910272050,851,贵阳,阅读,972.71
201910272055,851,贵阳,阅读,956.04
201910272100,851,贵阳,阅读,1005.89
201910272105,851,贵阳,阅读,957.99
201910272110,851,贵阳,阅读,987.87
201910272115,851,贵阳,阅读,950.49
201910272120,851,贵阳,阅读,1081.20
201910272125,851,贵阳,阅读,968.78
201910272130,851,贵阳,阅读,1156.66
201910272135,851,贵阳,阅读,1220.57
201910272140,851,贵阳,阅读,947.74
201910272145,851,贵阳,阅读,1085.96
201910272150,851,贵阳,阅读,1178.18
201910272155,851,贵阳,阅读,1144.77
201910272200,851,贵阳,阅读,1263.52
201910272205,851,贵阳,阅读,1166.35
201910272210,851,贵阳,阅读,1138.05
201910272215,851,贵阳,阅读,1264.17
201910272220,851,贵阳,阅读,1309.82
201910272225,851,贵阳,阅读,1167.77
201910272230,851,贵阳,阅读,1342.68
201910272235,851,贵阳,阅读,1134.51
201910272240,851,贵阳,阅读,1320.44
201910272245,851,贵阳,阅读,1255.75
201910272250,851,贵阳,阅读,1312.82
201910272255,851,贵阳,阅读,1247.26
201910272300,851,贵阳,阅读,1412.43
201910272305,851,贵阳,阅读,1340.73
201910272310,851,贵阳,阅读,1221.89
201910272315,851,贵阳,阅读,1151.17
201910272320,851,贵阳,阅读,1099.63
201910272325,851,贵阳,阅读,1172.81
201910272330,851,贵阳,阅读,1206.48
201910272335,851,贵阳,阅读,1205.40
201910272340,851,贵阳,阅读,1045.94
201910272345,851,贵阳,阅读,1191.89
201910272350,851,贵阳,阅读,1111.21
201910272355,851,贵阳,阅读,1192.57
201910280800,851,贵阳,阅读,795.08
201910280805,851,贵阳,阅读,898.67
201910280810,851,贵阳,阅读,970.57
201910280815,851,贵阳,阅读,1037.56
201910280820,851,贵阳,阅读,962.62
201910280825,851,贵阳,阅读,899.26
201910280830,851,贵阳,阅读,1018.37
201910280835,851,贵阳,阅读,875.40
201910280840,851,贵阳,阅读,907.48
201910280845,851,贵阳,阅读,1006.01
201910280850,851,贵阳,阅读,908.74
201910280855,851,贵阳,阅读,869.65
201910280900,851,贵阳,阅读,854.88
201910280905,851,贵阳,阅读,792.68
201910280910,851,贵阳,阅读,743.18
201910280915,851,贵阳,阅读,807.55
201910280920,851,贵阳,阅读,970.21
201910280925,851,贵阳,阅读,857.83
201910280930,851,贵阳,阅读,825.48
201910280935,851,贵阳,阅读,858.59
201910280940,851,贵阳,阅读,893.15
201910280945,851,贵阳,阅读,758.15
201910280950,851,贵阳,阅读,890.43
201910280955,851,贵阳,阅读,937.40
201910281000,851,贵阳,阅读,953.97
