日期,编码,地区,业务类型,流量
201910270800,851,贵阳,视频,1273760.40
201910270805,851,贵阳,视频,1325599.11
201910270810,851,贵阳,视频,1366033.58
201910270815,851,贵阳,视频,1398393.79
201910270820,851,贵阳,视频,1439232.75
201910270825,851,贵阳,视频,1463832.67
201910270830,851,贵阳,视频,1510756.38
201910270835,851,贵阳,视频,1548424.57
201910270840,851,贵阳,视频,1573391.40
201910270845,851,贵阳,视频,1640716.83
201910270850,851,贵阳,视频,1666624.12
201910270855,851,贵阳,视频,1699487.33
201910270900,851,贵阳,视频,1709441.39
201910270905,851,贵阳,视频,1705683.14
201910270910,851,贵阳,视频,1744290.94
201910270915,851,贵阳,视频,1816395.35
201910270920,851,贵阳,视频,1836559.83
201910270925,851,贵阳,视频,1849815.07
201910270930,851,贵阳,视频,1906934.82
201910270935,851,贵阳,视频,1920686.81
201910270940,851,贵阳,视频,1935818.33
201910270945,851,贵阳,视频,1967436.26
201910270950,851,贵阳,视频,1996244.03
201910270955,851,贵阳,视频,2036900.13
201910271000,851,贵阳,视频,2032387.32
201910271005,851,贵阳,视频,2072778.01
201910271010,851,贵阳,视频,2103611.52
201910271015,851,贵阳,视频,2163742.87
201910271020,851,贵阳,视频,2145275.14
201910271025,851,贵阳,视频,2184696.35
201910271030,851,贵阳,视频,2217313.54
201910271035,851,贵阳,视频,2234526.50
201910271040,851,贵阳,视频,2272892.44
201910271045,851,贵阳,视频,2223629.30
201910271050,851,贵阳,视频,2293123.43
201910271055,851,贵阳,视频,2298075.66
201910271105,851,贵阳,视频,2308972.67
201910271110,851,贵阳,视频,2304162.77
201910271115,851,贵阳,视频,2364512.72
201910271120,851,贵阳,视频,2376121.70
201910271125,851,贵阳,视频,2383950.31
201910271130,851,贵阳,视频,2374940.77
201910271135,851,贵阳,视频,2386413.79
201910271140,851,贵阳,视频,2427194.73
201910271145,851,贵阳,视频,2407327.13
201910271150,851,贵阳,视频,2442068.35
201910271155,851,贵阳,视频,2454074.72
201910271200,851,贵阳,视频,2466006.92
201910271205,851,贵阳,视频,2473045.76
201910271210,851,贵阳,视频,2488074.09
201910271215,851,贵阳,视频,2563374.90
201910271220,851,贵阳,视频,2565666.57
201910271225,851,贵阳,视频,2659604.08
201910271230,851,贵阳,视频,2696169.06
201910271235,851,贵阳,视频,2688713.42
201910271240,851,贵阳,视频,2691190.99
201910271245,851,贵阳,视频,2669810.81
201910271250,851,贵阳,视频,2677443.86
201910271255,851,贵阳,视频,2622100.16
201910271300,851,贵阳,视频,2581787.91
201910271305,851,贵阳,视频,2516950.92
201910271310,851,贵阳,视频,2477354.05
201910271315,851,贵阳,视频,2477504.81
201910271320,851,贵阳,视频,2493750.37
201910271325,851,贵阳,视频,2488988.38
201910271330,851,贵阳,视频,2427519.49
201910271335,851,贵阳,视频,2421820.97
201910271340,851,贵阳,视频,2415867.78
201910271345,851,贵阳,视频,2417731.20
201910271350,851,贵阳,视频,2429711.66
201910271355,851,贵阳,视频,2404651.74
201910271400,851,贵阳,视频,2372877.15
