日期,编码,地区,业务类型,流量
201910270800,851,贵阳,微博,17299.02
201910270805,851,贵阳,微博,18505.24
201910270810,851,贵阳,微博,19422.01
201910270815,851,贵阳,微博,20455.98
201910270820,851,贵阳,微博,21052.36
201910270825,851,贵阳,微博,21184.70
201910270830,851,贵阳,微博,20986.77
201910270835,851,贵阳,微博,22371.81
201910270840,851,贵阳,微博,23685.78
201910270845,851,贵阳,微博,22936.36
201910270850,851,贵阳,微博,22756.72
201910270855,851,贵阳,微博,24330.92
201910270900,851,贵阳,微博,24766.91
201910270905,851,贵阳,微博,25160.36
201910270910,851,贵阳,微博,25937.14
201910270915,851,贵阳,微博,26758.78
201910270920,851,贵阳,微博,27683.12
201910270925,851,贵阳,微博,27133.43
201910270930,851,贵阳,微博,26936.54
201910270935,851,贵阳,微博,28149.13
201910270940,851,贵阳,微博,28876.04
201910270945,851,贵阳,微博,29315.73
201910270950,851,贵阳,微博,29080.80
201910270955,851,贵阳,微博,28499.29
201910271000,851,贵阳,微博,29155.07
201910271005,851,贵阳,微博,30630.28
201910271010,851,贵阳,微博,31055.20
201910271015,851,贵阳,微博,29467.90
201910271020,851,贵阳,微博,30832.15
201910271025,851,贵阳,微博,31572.04
201910271030,851,贵阳,微博,34237.43
201910271035,851,贵阳,微博,31338.21
201910271040,851,贵阳,微博,32564.09
201910271045,851,贵阳,微博,31598.61
201910271050,851,贵阳,微博,31394.85
201910271055,851,贵阳,微博,32292.77
201910271105,851,贵阳,微博,33256.46
201910271110,851,贵阳,微博,32613.24
201910271115,851,贵阳,微博,33389.66
201910271120,851,贵阳,微博,32634.71
201910271125,851,贵阳,微博,33028.55
201910271130,851,贵阳,微博,32316.55
201910271135,851,贵阳,微博,33046.34
201910271140,851,贵阳,微博,33340.51
201910271145,851,贵阳,微博,31650.49
201910271150,851,贵阳,微博,32620.44
201910271155,851,贵阳,微博,31892.81
201910271200,851,贵阳,微博,30988.59
201910271205,851,贵阳,微博,30445.55
201910271210,851,贵阳,微博,30581.94
201910271215,851,贵阳,微博,31172.38
201910271220,851,贵阳,微博,31734.92
201910271225,851,贵阳,微博,32835.51
201910271230,851,贵阳,微博,32432.79
201910271235,851,贵阳,微博,33867.75
201910271240,851,贵阳,微博,34748.49
201910271245,851,贵阳,微博,35443.30
201910271250,851,贵阳,微博,35941.33
201910271255,851,贵阳,微博,34614.66
201910271300,851,贵阳,微博,33892.24
201910271305,851,贵阳,微博,36598.07
201910271310,851,贵阳,微博,34958.29
201910271315,851,贵阳,微博,34294.70
201910271320,851,贵阳,微博,34609.95
201910271325,851,贵阳,微博,36324.81
201910271330,851,贵阳,微博,33682.02
201910271335,851,贵阳,微博,33640.74
201910271340,851,贵阳,微博,33996.22
201910271345,851,贵阳,微博,32639.24
201910271350,851,贵阳,微博,33538.68
201910271355,851,贵阳,微博,34109.66
201910271400,851,贵阳,微博,34066.00
201910271405,851,贵阳,微博,33346.20
201910271410,851,贵阳,微博,32860.30
201910271415,851,贵阳,微博,33898.06
201910271420,851,贵阳,微博,34262.23
201910271425,851,贵阳,微博,33008.14
201910271430,851,贵阳,微博,33237.42
201910271435,851,贵阳,微博,33396.04
201910271440,851,贵阳,微博,33123.68
201910271445,851,贵阳,微博,32564.81
201910271450,851,贵阳,微博,32422.78
201910271455,851,贵阳,微博,33105.32
201910271500,851,贵阳,微博,34005.96
201910271505,851,贵阳,微博,32212.39
201910271510,851,贵阳,微博,33790.86
201910271515,851,贵阳,微博,33307.62
201910271520,851,贵阳,微博,35195.80
201910271525,851,贵阳,微博,33930.01
201910271530,851,贵阳,微博,33700.78
201910271535,851,贵阳,微博,34385.47
201910271540,851,贵阳,微博,35024.38
201910271545,851,贵阳,微博,35175.49
201910271550,851,贵阳,微博,34949.10
201910271555,851,贵阳,微博,34810.57
201910271600,851,贵阳,微博,35160.33
201910271605,851,贵阳,微博,33882.12
201910271610,851,贵阳,微博,34680.80
201910271615,851,贵阳,微博,37170.63
201910271620,851,贵阳,微博,35152.65
201910271625,851,贵阳,微博,34302.51
201910271630,851,贵阳,微博,34977.33
201910271635,851,贵阳,微博,35239.55
201910271640,851,贵阳,微博,34385.92
201910271645,851,贵阳,微博,35149.99
201910271650,851,贵阳,微博,35419.66
201910271655,851,贵阳,微博,35517.13
201910271700,851,贵阳,微博,36048.40
201910271705,851,贵阳,微博,35698.51
201910271710,851,贵阳,微博,36633.92
201910271715,851,贵阳,微博,34472.91
201910271720,851,贵阳,微博,34266.11
201910271725,851,贵阳,微博,35242.40
201910271730,851,贵阳,微博,34337.05
201910271735,851,贵阳,微博,30021.41
201910271740,851,贵阳,微博,33877.28
201910271745,851,贵阳,微博,34747.44
201910271750,851,贵阳,微博,34591.90
201910271755,851,贵阳,微博,34213.03
201910271800,851,贵阳,微博,33820.30
201910271805,851,贵阳,微博,33185.78
201910271810,851,贵阳,微博,33949.19
201910271815,851,贵阳,微博,33622.43
201910271820,851,贵阳,微博,34016.91
201910271825,851,贵阳,微博,33004.06
201910271830,851,贵阳,微博,34169.30
201910271835,851,贵阳,微博,33722.53
201910271840,851,贵阳,微博,34103.19
201910271845,851,贵阳,微博,34490.54
201910271850,851,贵阳,微博,33561.18
201910271855,851,贵阳,微博,34861.02
201910271900,851,贵阳,微博,33722.95
201910271905,851,贵阳,微博,32654.62
201910271910,851,贵阳,微博,33203.01
201910271915,851,贵阳,微博,34036.91
