日期,编码,地区,业务类型,流量
201910270800,85,贵州,应用商店,245069.26
201910270805,85,贵州,应用商店,270018.16
201910270810,85,贵州,应用商店,255397.40
201910270815,85,贵州,应用商店,277599.65
201910270820,85,贵州,应用商店,286818.31
201910270825,85,贵州,应用商店,279199.84
201910270830,85,贵州,应用商店,291032.82
201910270835,85,贵州,应用商店,292151.08
201910270840,85,贵州,应用商店,324036.83
201910270845,85,贵州,应用商店,330592.47
201910270850,85,贵州,应用商店,334059.54
201910270855,85,贵州,应用商店,330588.77
201910270900,85,贵州,应用商店,336442.23
201910270905,85,贵州,应用商店,366890.29
201910270910,85,贵州,应用商店,356253.70
201910270915,85,贵州,应用商店,352821.76
201910270920,85,贵州,应用商店,358301.14
201910270925,85,贵州,应用商店,379642.94
201910270930,85,贵州,应用商店,365450.43
201910270935,85,贵州,应用商店,358478.78
201910270940,85,贵州,应用商店,392573.96
201910270945,85,贵州,应用商店,390126.68
201910270950,85,贵州,应用商店,392846.27
201910270955,85,贵州,应用商店,395942.74
201910271000,85,贵州,应用商店,412698.66
201910271005,85,贵州,应用商店,440631.61
201910271010,85,贵州,应用商店,421443.92
201910271015,85,贵州,应用商店,412788.66
201910271020,85,贵州,应用商店,421369.37
201910271025,85,贵州,应用商店,444760.49
201910271030,85,贵州,应用商店,460854.59
201910271035,85,贵州,应用商店,455309.47
201910271040,85,贵州,应用商店,482913.93
201910271045,85,贵州,应用商店,473512.18
201910271050,85,贵州,应用商店,466072.43
201910271055,85,贵州,应用商店,497785.46
201910271105,85,贵州,应用商店,521239.42
201910271110,85,贵州,应用商店,539242.15
201910271115,85,贵州,应用商店,536507.43
201910271120,85,贵州,应用商店,537297.97
201910271125,85,贵州,应用商店,549328.10
201910271130,85,贵州,应用商店,539873.76
201910271135,85,贵州,应用商店,556360.85
201910271140,85,贵州,应用商店,549455.68
201910271145,85,贵州,应用商店,532420.73
201910271150,85,贵州,应用商店,521932.81
201910271155,85,贵州,应用商店,539148.19
201910271200,85,贵州,应用商店,529748.50
201910271205,85,贵州,应用商店,552620.05
201910271210,85,贵州,应用商店,542119.70
201910271215,85,贵州,应用商店,510834.49
201910271220,85,贵州,应用商店,541102.12
201910271225,85,贵州,应用商店,537239.82
201910271230,85,贵州,应用商店,524878.68
201910271235,85,贵州,应用商店,567628.24
201910271240,85,贵州,应用商店,557367.53
