日期,编码,地区,业务类型,流量
201910270800,85,贵州,导航,399989.05
201910270805,85,贵州,导航,404057.50
201910270810,85,贵州,导航,417014.95
201910270815,85,贵州,导航,417591.89
201910270820,85,贵州,导航,438717.91
201910270825,85,贵州,导航,428632.10
201910270830,85,贵州,导航,456375.94
201910270835,85,贵州,导航,440873.67
201910270840,85,贵州,导航,453503.99
201910270845,85,贵州,导航,456495.19
201910270850,85,贵州,导航,466158.68
201910270855,85,贵州,导航,476971.16
201910270900,85,贵州,导航,482486.28
201910270905,85,贵州,导航,494816.78
201910270910,85,贵州,导航,493650.26
201910270915,85,贵州,导航,502194.11
201910270920,85,贵州,导航,502434.00
201910270925,85,贵州,导航,501647.90
201910270930,85,贵州,导航,512465.95
201910270935,85,贵州,导航,514908.03
201910270940,85,贵州,导航,514847.40
201910270945,85,贵州,导航,517829.93
201910270950,85,贵州,导航,539557.37
201910270955,85,贵州,导航,535362.11
201910271000,85,贵州,导航,541902.69
201910271005,85,贵州,导航,562246.94
201910271010,85,贵州,导航,547971.49
201910271015,85,贵州,导航,545258.21
201910271020,85,贵州,导航,566587.20
201910271025,85,贵州,导航,554876.35
201910271030,85,贵州,导航,567143.73
201910271035,85,贵州,导航,576940.94
201910271040,85,贵州,导航,575159.05
201910271045,85,贵州,导航,591161.04
201910271050,85,贵州,导航,591398.94
201910271055,85,贵州,导航,586287.75
201910271105,85,贵州,导航,584882.20
201910271110,85,贵州,导航,597589.21
201910271115,85,贵州,导航,597522.33
201910271120,85,贵州,导航,598907.50
201910271125,85,贵州,导航,608168.66
201910271130,85,贵州,导航,600956.07
201910271135,85,贵州,导航,609373.04
201910271140,85,贵州,导航,613818.55
201910271145,85,贵州,导航,598378.30
201910271150,85,贵州,导航,591940.90
201910271155,85,贵州,导航,607796.54
201910271200,85,贵州,导航,587376.35
201910271205,85,贵州,导航,615487.14
201910271210,85,贵州,导航,602083.19
201910271215,85,贵州,导航,631700.42
201910271220,85,贵州,导航,632215.92
201910271225,85,贵州,导航,632755.37
201910271230,85,贵州,导航,643169.33
201910271235,85,贵州,导航,648895.72
201910271240,85,贵州,导航,665921.94
201910271245,85,贵州,导航,643711.82
201910271250,85,贵州,导航,646632.14
201910271255,85,贵州,导航,636141.64
201910271300,85,贵州,导航,636834.89
201910271305,85,贵州,导航,623662.32
201910271310,85,贵州,导航,638958.44
201910271315,85,贵州,导航,611329.19
201910271320,85,贵州,导航,627010.01
201910271325,85,贵州,导航,624671.25
201910271330,85,贵州,导航,619804.37
201910271335,85,贵州,导航,614799.86
