日期,编码,地区,业务类型,流量
201910270800,85,贵州,P2P业务,7456.26
201910270805,85,贵州,P2P业务,8470.23
201910270810,85,贵州,P2P业务,9847.36
201910270815,85,贵州,P2P业务,11691.21
201910270820,85,贵州,P2P业务,13805.39
201910270825,85,贵州,P2P业务,12459.52
201910270830,85,贵州,P2P业务,12042.19
201910270835,85,贵州,P2P业务,11299.19
201910270840,85,贵州,P2P业务,11433.40
201910270845,85,贵州,P2P业务,10670.28
201910270850,85,贵州,P2P业务,12520.84
201910270855,85,贵州,P2P业务,13865.66
201910270900,85,贵州,P2P业务,12207.91
201910270905,85,贵州,P2P业务,12771.13
201910270910,85,贵州,P2P业务,14603.71
201910270915,85,贵州,P2P业务,13939.69
201910270920,85,贵州,P2P业务,16520.93
201910270925,85,贵州,P2P业务,13585.76
201910270930,85,贵州,P2P业务,14864.80
201910270935,85,贵州,P2P业务,16214.09
201910270940,85,贵州,P2P业务,17552.45
201910270945,85,贵州,P2P业务,15337.15
201910270950,85,贵州,P2P业务,18721.92
201910270955,85,贵州,P2P业务,17727.68
201910271000,85,贵州,P2P业务,19358.50
201910271005,85,贵州,P2P业务,17306.92
201910271010,85,贵州,P2P业务,18645.10
201910271015,85,贵州,P2P业务,18348.02
201910271020,85,贵州,P2P业务,17329.72
201910271025,85,贵州,P2P业务,19646.44
201910271030,85,贵州,P2P业务,18998.34
201910271035,85,贵州,P2P业务,19618.60
201910271040,85,贵州,P2P业务,20231.92
201910271045,85,贵州,P2P业务,22570.89
201910271050,85,贵州,P2P业务,19486.15
201910271055,85,贵州,P2P业务,19198.90
201910271105,85,贵州,P2P业务,19816.34
201910271110,85,贵州,P2P业务,20977.17
201910271115,85,贵州,P2P业务,18918.29
201910271120,85,贵州,P2P业务,19677.91
201910271125,85,贵州,P2P业务,24214.91
201910271130,85,贵州,P2P业务,19966.12
201910271135,85,贵州,P2P业务,20367.91
201910271140,85,贵州,P2P业务,20513.89
201910271145,85,贵州,P2P业务,20740.35
201910271150,85,贵州,P2P业务,18762.16
201910271155,85,贵州,P2P业务,19498.82
201910271200,85,贵州,P2P业务,18326.36
201910271205,85,贵州,P2P业务,17446.52
201910271210,85,贵州,P2P业务,18499.33
201910271215,85,贵州,P2P业务,18728.95
201910271220,85,贵州,P2P业务,19331.67
201910271225,85,贵州,P2P业务,22651.99
