日期,编码,地区,业务类型,流量
201910270800,855,黔东南,浏览下载,57444.91
201910270805,855,黔东南,浏览下载,56073.26
201910270810,855,黔东南,浏览下载,58716.37
201910270815,855,黔东南,浏览下载,59388.29
201910270820,855,黔东南,浏览下载,59218.41
201910270825,855,黔东南,浏览下载,62670.38
201910270830,855,黔东南,浏览下载,60736.96
201910270835,855,黔东南,浏览下载,63547.50
201910270840,855,黔东南,浏览下载,65927.28
201910270845,855,黔东南,浏览下载,65728.87
201910270850,855,黔东南,浏览下载,66860.79
201910270855,855,黔东南,浏览下载,67862.20
201910270900,855,黔东南,浏览下载,67918.59
201910270905,855,黔东南,浏览下载,68926.47
201910270910,855,黔东南,浏览下载,70070.81
201910270915,855,黔东南,浏览下载,69650.54
201910270920,855,黔东南,浏览下载,70727.85
201910270925,855,黔东南,浏览下载,74141.88
201910270930,855,黔东南,浏览下载,73970.94
201910270935,855,黔东南,浏览下载,72142.00
201910270940,855,黔东南,浏览下载,75156.16
201910270945,855,黔东南,浏览下载,71781.66
201910270950,855,黔东南,浏览下载,75432.20
201910270955,855,黔东南,浏览下载,74691.52
201910271000,855,黔东南,浏览下载,73116.02
201910271005,855,黔东南,浏览下载,73374.26
201910271010,855,黔东南,浏览下载,74197.18
201910271015,855,黔东南,浏览下载,75806.76
201910271020,855,黔东南,浏览下载,75350.79
201910271025,855,黔东南,浏览下载,74613.50
201910271030,855,黔东南,浏览下载,73359.70
201910271035,855,黔东南,浏览下载,72378.62
201910271040,855,黔东南,浏览下载,71153.41
201910271045,855,黔东南,浏览下载,70779.13
201910271050,855,黔东南,浏览下载,72198.07
201910271055,855,黔东南,浏览下载,73959.19
201910271105,855,黔东南,浏览下载,73534.81
201910271110,855,黔东南,浏览下载,71150.61
201910271115,855,黔东南,浏览下载,74610.77
201910271120,855,黔东南,浏览下载,72449.13
201910271125,855,黔东南,浏览下载,74499.35
201910271130,855,黔东南,浏览下载,75565.50
201910271135,855,黔东南,浏览下载,72976.12
201910271140,855,黔东南,浏览下载,76473.00
201910271145,855,黔东南,浏览下载,73387.48
201910271150,855,黔东南,浏览下载,77930.01
201910271155,855,黔东南,浏览下载,81334.55
201910271200,855,黔东南,浏览下载,68502.47
201910271205,855,黔东南,浏览下载,76579.05
