日期,编码,地区,业务类型,流量
201910270800,855,黔东南,彩信,2.11
201910270805,855,黔东南,彩信,1.58
201910270810,855,黔东南,彩信,1.58
201910270815,855,黔东南,彩信,0.27
201910270820,855,黔东南,彩信,2.74
201910270825,855,黔东南,彩信,0.62
201910270830,855,黔东南,彩信,0.93
201910270835,855,黔东南,彩信,1.31
201910270840,855,黔东南,彩信,1.37
201910270845,855,黔东南,彩信,3.99
201910270850,855,黔东南,彩信,3.67
201910270855,855,黔东南,彩信,2.31
201910270900,855,黔东南,彩信,6.93
201910270905,855,黔东南,彩信,3.88
201910270910,855,黔东南,彩信,5.58
201910270915,855,黔东南,彩信,6.12
201910270920,855,黔东南,彩信,4.65
201910270925,855,黔东南,彩信,9.66
201910270930,855,黔东南,彩信,69.22
201910270935,855,黔东南,彩信,105.11
201910270940,855,黔东南,彩信,97.59
201910270945,855,黔东南,彩信,79.81
201910270950,855,黔东南,彩信,80.86
201910270955,855,黔东南,彩信,76.69
201910271000,855,黔东南,彩信,156.23
201910271005,855,黔东南,彩信,119.03
201910271010,855,黔东南,彩信,35.37
201910271015,855,黔东南,彩信,10.77
201910271020,855,黔东南,彩信,7.63
201910271025,855,黔东南,彩信,7.48
201910271030,855,黔东南,彩信,16.75
201910271035,855,黔东南,彩信,8.59
201910271040,855,黔东南,彩信,34.69
201910271045,855,黔东南,彩信,55.08
201910271050,855,黔东南,彩信,68.24
201910271055,855,黔东南,彩信,80.42
201910271105,855,黔东南,彩信,65.80
201910271110,855,黔东南,彩信,64.97
201910271115,855,黔东南,彩信,82.29
201910271120,855,黔东南,彩信,77.19
201910271125,855,黔东南,彩信,74.39
201910271130,855,黔东南,彩信,42.51
201910271135,855,黔东南,彩信,8.33
201910271140,855,黔东南,彩信,12.89
201910271145,855,黔东南,彩信,14.15
201910271150,855,黔东南,彩信,10.58
201910271155,855,黔东南,彩信,13.14
201910271200,855,黔东南,彩信,18.57
201910271205,855,黔东南,彩信,11.10
