日期,编码,地区,业务类型,流量
201910270800,855,黔东南,出行旅游,158.29
201910270805,855,黔东南,出行旅游,260.70
201910270810,855,黔东南,出行旅游,225.49
201910270815,855,黔东南,出行旅游,192.46
201910270820,855,黔东南,出行旅游,259.45
201910270825,855,黔东南,出行旅游,246.51
201910270830,855,黔东南,出行旅游,296.76
201910270835,855,黔东南,出行旅游,441.20
201910270840,855,黔东南,出行旅游,475.80
201910270845,855,黔东南,出行旅游,257.43
201910270850,855,黔东南,出行旅游,370.40
201910270855,855,黔东南,出行旅游,340.11
201910270900,855,黔东南,出行旅游,375.47
201910270905,855,黔东南,出行旅游,288.36
201910270910,855,黔东南,出行旅游,214.13
201910270915,855,黔东南,出行旅游,316.26
201910270920,855,黔东南,出行旅游,388.16
201910270925,855,黔东南,出行旅游,358.91
201910270930,855,黔东南,出行旅游,316.33
201910270935,855,黔东南,出行旅游,445.32
201910270940,855,黔东南,出行旅游,429.53
201910270945,855,黔东南,出行旅游,335.29
201910270950,855,黔东南,出行旅游,298.93
201910270955,855,黔东南,出行旅游,502.57
201910271000,855,黔东南,出行旅游,511.33
201910271005,855,黔东南,出行旅游,458.38
201910271010,855,黔东南,出行旅游,614.51
201910271015,855,黔东南,出行旅游,462.34
201910271020,855,黔东南,出行旅游,446.84
201910271025,855,黔东南,出行旅游,414.80
201910271030,855,黔东南,出行旅游,288.84
201910271035,855,黔东南,出行旅游,399.45
201910271040,855,黔东南,出行旅游,393.82
201910271045,855,黔东南,出行旅游,428.17
201910271050,855,黔东南,出行旅游,371.29
201910271055,855,黔东南,出行旅游,458.74
201910271105,855,黔东南,出行旅游,571.57
201910271110,855,黔东南,出行旅游,372.61
201910271115,855,黔东南,出行旅游,432.99
201910271120,855,黔东南,出行旅游,510.95
201910271125,855,黔东南,出行旅游,495.34
201910271130,855,黔东南,出行旅游,609.38
201910271135,855,黔东南,出行旅游,462.80
201910271140,855,黔东南,出行旅游,391.94
201910271145,855,黔东南,出行旅游,364.87
201910271150,855,黔东南,出行旅游,476.38
201910271155,855,黔东南,出行旅游,516.74
201910271200,855,黔东南,出行旅游,298.48
201910271205,855,黔东南,出行旅游,411.49
201910271210,855,黔东南,出行旅游,302.47
201910271215,855,黔东南,出行旅游,379.53
201910271220,855,黔东南,出行旅游,424.58
201910271225,855,黔东南,出行旅游,531.84
201910271230,855,黔东南,出行旅游,374.80
201910271235,855,黔东南,出行旅游,398.20
201910271240,855,黔东南,出行旅游,347.82
201910271245,855,黔东南,出行旅游,421.36
201910271250,855,黔东南,出行旅游,635.02
201910271255,855,黔东南,出行旅游,620.26
201910271300,855,黔东南,出行旅游,326.77
201910271305,855,黔东南,出行旅游,385.87
201910271310,855,黔东南,出行旅游,517.74
201910271315,855,黔东南,出行旅游,385.42
201910271320,855,黔东南,出行旅游,451.16
201910271325,855,黔东南,出行旅游,441.22
201910271330,855,黔东南,出行旅游,497.87
201910271335,855,黔东南,出行旅游,481.70
201910271340,855,黔东南,出行旅游,347.30
201910271345,855,黔东南,出行旅游,520.55
201910271350,855,黔东南,出行旅游,508.73
201910271355,855,黔东南,出行旅游,365.39
201910271400,855,黔东南,出行旅游,339.57
201910271405,855,黔东南,出行旅游,457.49
201910271410,855,黔东南,出行旅游,420.83
201910271415,855,黔东南,出行旅游,401.58
201910271420,855,黔东南,出行旅游,428.95
201910271425,855,黔东南,出行旅游,375.50
201910271430,855,黔东南,出行旅游,413.09
