日期,编码,地区,业务类型,流量
201910270800,858,六盘水,音乐,7853.55
201910270805,858,六盘水,音乐,8691.92
201910270810,858,六盘水,音乐,9056.24
201910270815,858,六盘水,音乐,10163.61
201910270820,858,六盘水,音乐,9055.15
201910270825,858,六盘水,音乐,10494.04
201910270830,858,六盘水,音乐,10866.73
201910270835,858,六盘水,音乐,10298.97
201910270840,858,六盘水,音乐,11307.64
201910270845,858,六盘水,音乐,13014.98
201910270850,858,六盘水,音乐,12426.86
201910270855,858,六盘水,音乐,12233.83
201910270900,858,六盘水,音乐,11916.45
201910270905,858,六盘水,音乐,12716.47
201910270910,858,六盘水,音乐,13695.25
201910270915,858,六盘水,音乐,13983.83
201910270920,858,六盘水,音乐,14534.73
201910270925,858,六盘水,音乐,16208.75
201910270930,858,六盘水,音乐,16076.52
201910270935,858,六盘水,音乐,15696.32
201910270940,858,六盘水,音乐,16105.07
201910270945,858,六盘水,音乐,17229.56
201910270950,858,六盘水,音乐,17454.30
201910270955,858,六盘水,音乐,17098.08
201910271000,858,六盘水,音乐,18097.49
201910271005,858,六盘水,音乐,18004.64
201910271010,858,六盘水,音乐,18356.01
201910271015,858,六盘水,音乐,19597.66
201910271020,858,六盘水,音乐,19053.76
201910271025,858,六盘水,音乐,19543.86
201910271030,858,六盘水,音乐,20019.67
201910271035,858,六盘水,音乐,21176.65
201910271040,858,六盘水,音乐,20135.77
201910271045,858,六盘水,音乐,21388.33
201910271050,858,六盘水,音乐,20522.38
201910271055,858,六盘水,音乐,22071.64
201910271105,858,六盘水,音乐,21498.07
201910271110,858,六盘水,音乐,21066.98
201910271115,858,六盘水,音乐,21888.91
201910271120,858,六盘水,音乐,22691.58
201910271125,858,六盘水,音乐,22212.72
201910271130,858,六盘水,音乐,21238.69
201910271135,858,六盘水,音乐,22149.95
201910271140,858,六盘水,音乐,21647.58
201910271145,858,六盘水,音乐,21651.89
201910271150,858,六盘水,音乐,22468.07
201910271155,858,六盘水,音乐,21643.08
201910271200,858,六盘水,音乐,21187.67
201910271205,858,六盘水,音乐,20924.46
201910271210,858,六盘水,音乐,21702.51
201910271215,858,六盘水,音乐,21484.24
201910271220,858,六盘水,音乐,21473.40
201910271225,858,六盘水,音乐,24579.58
201910271230,858,六盘水,音乐,26493.24
201910271235,858,六盘水,音乐,22949.62
201910271240,858,六盘水,音乐,25869.95
201910271245,858,六盘水,音乐,24668.14
201910271250,858,六盘水,音乐,24836.52
201910271255,858,六盘水,音乐,24733.04
201910271300,858,六盘水,音乐,27349.52
201910271305,858,六盘水,音乐,24327.24
201910271310,858,六盘水,音乐,23953.77
201910271315,858,六盘水,音乐,24659.88
201910271320,858,六盘水,音乐,24227.29
201910271325,858,六盘水,音乐,24685.05
201910271330,858,六盘水,音乐,23840.01
201910271335,858,六盘水,音乐,25253.20
201910271340,858,六盘水,音乐,23919.75
201910271345,858,六盘水,音乐,24542.83
201910271350,858,六盘水,音乐,25207.69
201910271355,858,六盘水,音乐,25148.82
201910271400,858,六盘水,音乐,22963.98
201910271405,858,六盘水,音乐,23446.82
201910271410,858,六盘水,音乐,22404.16
201910271415,858,六盘水,音乐,24829.96
201910271420,858,六盘水,音乐,23498.89
201910271425,858,六盘水,音乐,24759.46
201910271430,858,六盘水,音乐,24288.75
201910271435,858,六盘水,音乐,25324.07
201910271440,858,六盘水,音乐,24330.09
201910271445,858,六盘水,音乐,23507.19
201910271450,858,六盘水,音乐,23100.58
201910271455,858,六盘水,音乐,24586.26
201910271500,858,六盘水,音乐,25351.93
201910271505,858,六盘水,音乐,24434.50
201910271510,858,六盘水,音乐,24644.99
201910271515,858,六盘水,音乐,25549.27
201910271520,858,六盘水,音乐,22468.58
201910271525,858,六盘水,音乐,25230.56
201910271530,858,六盘水,音乐,23421.88
201910271535,858,六盘水,音乐,24178.06
201910271540,858,六盘水,音乐,23751.83
201910271545,858,六盘水,音乐,22411.43
201910271550,858,六盘水,音乐,24289.71
201910271555,858,六盘水,音乐,27142.52
201910271600,858,六盘水,音乐,26609.22
201910271605,858,六盘水,音乐,23571.55
201910271610,858,六盘水,音乐,23117.42
201910271615,858,六盘水,音乐,24694.22
201910271620,858,六盘水,音乐,23940.41
201910271625,858,六盘水,音乐,24047.40
201910271630,858,六盘水,音乐,23861.55
201910271635,858,六盘水,音乐,23018.08
201910271640,858,六盘水,音乐,26091.81
201910271645,858,六盘水,音乐,26251.30
201910271650,858,六盘水,音乐,23099.24
201910271655,858,六盘水,音乐,24094.23
201910271700,858,六盘水,音乐,23941.33
201910271705,858,六盘水,音乐,22683.34
201910271710,858,六盘水,音乐,21782.75
201910271715,858,六盘水,音乐,24654.52
201910271720,858,六盘水,音乐,24567.63
201910271725,858,六盘水,音乐,22653.88
201910271730,858,六盘水,音乐,23237.59
201910271735,858,六盘水,音乐,21159.89
201910271740,858,六盘水,音乐,23193.67
201910271745,858,六盘水,音乐,21800.80
201910271750,858,六盘水,音乐,23159.26
201910271755,858,六盘水,音乐,21828.31
201910271800,858,六盘水,音乐,23512.97
201910271805,858,六盘水,音乐,21244.27
201910271810,858,六盘水,音乐,22803.65
201910271815,858,六盘水,音乐,21545.43
201910271820,858,六盘水,音乐,20593.51
201910271825,858,六盘水,音乐,21242.53
201910271830,858,六盘水,音乐,22449.69
201910271835,858,六盘水,音乐,24029.97
201910271840,858,六盘水,音乐,23436.15
201910271845,858,六盘水,音乐,23506.52
201910271850,858,六盘水,音乐,23316.94
201910271855,858,六盘水,音乐,22900.03
201910271900,858,六盘水,音乐,24448.08
201910271905,858,六盘水,音乐,25854.57
201910271910,858,六盘水,音乐,27562.12
201910271915,858,六盘水,音乐,26109.00
201910271920,858,六盘水,音乐,27239.15
201910271925,858,六盘水,音乐,28521.91
201910271930,858,六盘水,音乐,25614.87
201910271935,858,六盘水,音乐,28141.47
201910271940,858,六盘水,音乐,30455.27
201910271945,858,六盘水,音乐,32246.82
201910271950,858,六盘水,音乐,31024.80
201910271955,858,六盘水,音乐,33722.16
201910272000,858,六盘水,音乐,30898.88
201910272005,858,六盘水,音乐,34455.65
201910272010,858,六盘水,音乐,35084.17
201910272015,858,六盘水,音乐,36959.66
201910272020,858,六盘水,音乐,34006.84
201910272025,858,六盘水,音乐,36528.61
201910272030,858,六盘水,音乐,39452.19
201910272035,858,六盘水,音乐,39088.10
201910272040,858,六盘水,音乐,38998.33
201910272045,858,六盘水,音乐,40935.99
201910272050,858,六盘水,音乐,37111.08
201910272055,858,六盘水,音乐,39805.67
201910272100,858,六盘水,音乐,43877.02
201910272105,858,六盘水,音乐,39782.47
201910272110,858,六盘水,音乐,39614.80
201910272115,858,六盘水,音乐,40988.99
201910272120,858,六盘水,音乐,39009.52
201910272125,858,六盘水,音乐,41343.16
201910272130,858,六盘水,音乐,41585.34
201910272135,858,六盘水,音乐,44688.50
201910272140,858,六盘水,音乐,37175.98
201910272145,858,六盘水,音乐,42018.18
201910272150,858,六盘水,音乐,41637.90
201910272155,858,六盘水,音乐,39864.32
201910272200,858,六盘水,音乐,40501.63
201910272205,858,六盘水,音乐,41793.17
201910272210,858,六盘水,音乐,40125.74
201910272215,858,六盘水,音乐,38366.38
201910272220,858,六盘水,音乐,35195.33
201910272225,858,六盘水,音乐,39477.79
201910272230,858,六盘水,音乐,37257.29
201910272235,858,六盘水,音乐,38900.85
201910272240,858,六盘水,音乐,36775.36
201910272245,858,六盘水,音乐,34350.98
201910272250,858,六盘水,音乐,35681.55
201910272255,858,六盘水,音乐,35946.65
201910272300,858,六盘水,音乐,33334.20
201910272305,858,六盘水,音乐,31307.51
201910272310,858,六盘水,音乐,31206.27
201910272315,858,六盘水,音乐,30146.91
201910272320,858,六盘水,音乐,31121.30
201910272325,858,六盘水,音乐,27470.78
201910272330,858,六盘水,音乐,31276.05
201910272335,858,六盘水,音乐,27601.33
201910272340,858,六盘水,音乐,27744.82
201910272345,858,六盘水,音乐,25639.84
201910272350,858,六盘水,音乐,23807.04
201910272355,858,六盘水,音乐,23703.14
201910280800,858,六盘水,音乐,9493.47
201910280805,858,六盘水,音乐,9142.41
201910280810,858,六盘水,音乐,9852.13
201910280815,858,六盘水,音乐,9973.22
201910280820,858,六盘水,音乐,9453.06
201910280825,858,六盘水,音乐,13456.74
201910280830,858,六盘水,音乐,9377.69
201910280835,858,六盘水,音乐,9794.37
201910280840,858,六盘水,音乐,8771.20
201910280845,858,六盘水,音乐,9121.78
201910280850,858,六盘水,音乐,9193.61
201910280855,858,六盘水,音乐,8681.61
201910280900,858,六盘水,音乐,8340.09
201910280905,858,六盘水,音乐,9824.78
201910280910,858,六盘水,音乐,8161.72
201910280915,858,六盘水,音乐,9350.64
201910280920,858,六盘水,音乐,8801.64
201910280925,858,六盘水,音乐,10446.24
201910280930,858,六盘水,音乐,8475.05
201910280935,858,六盘水,音乐,9792.53
201910280940,858,六盘水,音乐,9327.56
201910280945,858,六盘水,音乐,8565.03
201910280950,858,六盘水,音乐,9106.52
201910280955,858,六盘水,音乐,9532.21
201910281000,858,六盘水,音乐,9900.14
201910281005,858,六盘水,音乐,10454.32
201910281010,858,六盘水,音乐,9861.30
201910281015,858,六盘水,音乐,10162.96
201910281020,858,六盘水,音乐,9135.33
201910281025,858,六盘水,音乐,9441.44
201910281030,858,六盘水,音乐,9371.85
201910281035,858,六盘水,音乐,9833.33
201910281040,858,六盘水,音乐,9441.41
201910281045,858,六盘水,音乐,10142.44
201910281050,858,六盘水,音乐,9604.01
201910281055,858,六盘水,音乐,9570.14
201910281100,858,六盘水,音乐,10981.37
201911140800,858,六盘水,音乐,10673.04
201911140805,858,六盘水,音乐,10589.46
201911140810,858,六盘水,音乐,13985.51
201911140815,858,六盘水,音乐,11527.01
201911140820,858,六盘水,音乐,11754.84
201911140825,858,六盘水,音乐,10561.59
201911140830,858,六盘水,音乐,11085.05
201911140835,858,六盘水,音乐,11421.68
201911140840,858,六盘水,音乐,10538.78
201911140845,858,六盘水,音乐,11756.03
201911140850,858,六盘水,音乐,14222.22
201911140855,858,六盘水,音乐,11485.79
201911140900,858,六盘水,音乐,12782.19
201911140905,858,六盘水,音乐,11338.34
201911140910,858,六盘水,音乐,12308.25
201911140915,858,六盘水,音乐,12121.04
201911140920,858,六盘水,音乐,12242.71
201911140925,858,六盘水,音乐,12030.60
201911140930,858,六盘水,音乐,11483.74
201911140935,858,六盘水,音乐,11955.65
201911140940,858,六盘水,音乐,12429.67
201911140945,858,六盘水,音乐,12160.93
201911140950,858,六盘水,音乐,12582.91
201911140955,858,六盘水,音乐,12332.18
201911141000,858,六盘水,音乐,13320.38
201911141005,858,六盘水,音乐,13294.93
201911141010,858,六盘水,音乐,12456.53
201911141015,858,六盘水,音乐,12415.17
201911141020,858,六盘水,音乐,14651.00
201911141025,858,六盘水,音乐,14146.97
201911141030,858,六盘水,音乐,14393.44
201911141035,858,六盘水,音乐,13154.04
