日期,编码,地区,业务类型,流量
201910270800,858,六盘水,出行旅游,126.36
201910270805,858,六盘水,出行旅游,196.02
201910270810,858,六盘水,出行旅游,125.93
201910270815,858,六盘水,出行旅游,105.62
201910270820,858,六盘水,出行旅游,111.24
201910270825,858,六盘水,出行旅游,179.96
201910270830,858,六盘水,出行旅游,76.84
201910270835,858,六盘水,出行旅游,85.20
201910270840,858,六盘水,出行旅游,252.48
201910270845,858,六盘水,出行旅游,114.86
201910270850,858,六盘水,出行旅游,219.52
201910270855,858,六盘水,出行旅游,229.87
201910270900,858,六盘水,出行旅游,182.55
201910270905,858,六盘水,出行旅游,163.16
201910270910,858,六盘水,出行旅游,194.43
201910270915,858,六盘水,出行旅游,152.17
201910270920,858,六盘水,出行旅游,117.87
201910270925,858,六盘水,出行旅游,267.71
201910270930,858,六盘水,出行旅游,198.85
201910270935,858,六盘水,出行旅游,220.03
201910270940,858,六盘水,出行旅游,207.65
201910270945,858,六盘水,出行旅游,234.56
201910270950,858,六盘水,出行旅游,142.15
201910270955,858,六盘水,出行旅游,128.29
201910271000,858,六盘水,出行旅游,191.85
201910271005,858,六盘水,出行旅游,336.86
201910271010,858,六盘水,出行旅游,166.82
201910271015,858,六盘水,出行旅游,282.64
201910271020,858,六盘水,出行旅游,234.72
201910271025,858,六盘水,出行旅游,192.88
201910271030,858,六盘水,出行旅游,150.44
201910271035,858,六盘水,出行旅游,170.97
201910271040,858,六盘水,出行旅游,129.50
201910271045,858,六盘水,出行旅游,216.09
201910271050,858,六盘水,出行旅游,282.23
201910271055,858,六盘水,出行旅游,190.98
201910271105,858,六盘水,出行旅游,387.72
201910271110,858,六盘水,出行旅游,277.45
201910271115,858,六盘水,出行旅游,194.83
201910271120,858,六盘水,出行旅游,209.26
201910271125,858,六盘水,出行旅游,190.65
201910271130,858,六盘水,出行旅游,291.70
201910271135,858,六盘水,出行旅游,155.56
201910271140,858,六盘水,出行旅游,212.95
201910271145,858,六盘水,出行旅游,178.60
201910271150,858,六盘水,出行旅游,275.78
201910271155,858,六盘水,出行旅游,264.32
201910271200,858,六盘水,出行旅游,291.95
201910271205,858,六盘水,出行旅游,219.56
201910271210,858,六盘水,出行旅游,375.41
201910271215,858,六盘水,出行旅游,415.65
201910271220,858,六盘水,出行旅游,293.53
201910271225,858,六盘水,出行旅游,191.10
201910271230,858,六盘水,出行旅游,236.05
201910271235,858,六盘水,出行旅游,228.49
