日期,编码,地区,业务类型,流量
201910270800,858,六盘水,微博,3148.38
201910270805,858,六盘水,微博,3476.57
201910270810,858,六盘水,微博,3302.45
201910270815,858,六盘水,微博,3555.90
201910270820,858,六盘水,微博,3910.92
201910270825,858,六盘水,微博,3959.87
201910270830,858,六盘水,微博,4003.72
201910270835,858,六盘水,微博,4131.82
201910270840,858,六盘水,微博,4264.84
201910270845,858,六盘水,微博,3995.06
201910270850,858,六盘水,微博,4183.25
201910270855,858,六盘水,微博,4401.36
201910270900,858,六盘水,微博,4083.27
201910270905,858,六盘水,微博,4667.33
201910270910,858,六盘水,微博,4898.98
201910270915,858,六盘水,微博,4984.56
201910270920,858,六盘水,微博,4868.34
201910270925,858,六盘水,微博,4660.27
201910270930,858,六盘水,微博,6371.76
201910270935,858,六盘水,微博,4797.73
201910270940,858,六盘水,微博,4976.80
201910270945,858,六盘水,微博,4960.12
201910270950,858,六盘水,微博,5186.57
201910270955,858,六盘水,微博,4962.70
201910271000,858,六盘水,微博,5778.54
201910271005,858,六盘水,微博,6292.67
201910271010,858,六盘水,微博,5452.28
201910271015,858,六盘水,微博,4784.27
201910271020,858,六盘水,微博,5250.93
201910271025,858,六盘水,微博,5696.91
201910271030,858,六盘水,微博,5552.98
201910271035,858,六盘水,微博,5503.71
201910271040,858,六盘水,微博,5410.54
201910271045,858,六盘水,微博,6031.61
201910271050,858,六盘水,微博,5988.07
201910271055,858,六盘水,微博,6112.94
201910271105,858,六盘水,微博,5535.34
201910271110,858,六盘水,微博,5973.52
201910271115,858,六盘水,微博,6075.05
201910271120,858,六盘水,微博,5414.44
201910271125,858,六盘水,微博,5772.36
201910271130,858,六盘水,微博,5811.66
201910271135,858,六盘水,微博,5406.06
201910271140,858,六盘水,微博,5476.44
201910271145,858,六盘水,微博,5307.27
201910271150,858,六盘水,微博,5569.50
201910271155,858,六盘水,微博,5361.23
201910271200,858,六盘水,微博,5241.01
201910271205,858,六盘水,微博,5532.85
201910271210,858,六盘水,微博,5207.59
201910271215,858,六盘水,微博,5822.76
201910271220,858,六盘水,微博,5884.03
201910271225,858,六盘水,微博,5723.35
201910271230,858,六盘水,微博,5594.93
201910271235,858,六盘水,微博,6155.18
201910271240,858,六盘水,微博,6281.43
201910271245,858,六盘水,微博,6195.43
201910271250,858,六盘水,微博,6147.15
201910271255,858,六盘水,微博,6063.47
201910271300,858,六盘水,微博,6640.87
201910271305,858,六盘水,微博,6041.81
201910271310,858,六盘水,微博,5757.89
201910271315,858,六盘水,微博,5562.69
201910271320,858,六盘水,微博,5611.25
201910271325,858,六盘水,微博,5542.85
201910271330,858,六盘水,微博,5914.88
201910271335,858,六盘水,微博,5806.11
201910271340,858,六盘水,微博,5600.98
201910271345,858,六盘水,微博,5904.56
201910271350,858,六盘水,微博,6211.21
201910271355,858,六盘水,微博,5855.95
201910271400,858,六盘水,微博,6387.68
201910271405,858,六盘水,微博,5435.08
201910271410,858,六盘水,微博,5931.10
201910271415,858,六盘水,微博,5584.60
201910271420,858,六盘水,微博,5686.32
201910271425,858,六盘水,微博,5647.85
201910271430,858,六盘水,微博,5583.17
201910271435,858,六盘水,微博,5646.48
201910271440,858,六盘水,微博,6109.51
201910271445,858,六盘水,微博,6184.03
201910271450,858,六盘水,微博,5402.94
201910271455,858,六盘水,微博,5474.26
201910271500,858,六盘水,微博,5632.22
201910271505,858,六盘水,微博,5688.58
201910271510,858,六盘水,微博,5520.19
201910271515,858,六盘水,微博,5995.72
201910271520,858,六盘水,微博,5738.70
201910271525,858,六盘水,微博,5790.52
201910271530,858,六盘水,微博,5523.91
201910271535,858,六盘水,微博,5373.07
201910271540,858,六盘水,微博,5809.07
201910271545,858,六盘水,微博,5560.89
201910271550,858,六盘水,微博,7284.15
201910271555,858,六盘水,微博,5758.07
201910271600,858,六盘水,微博,5812.44
201910271605,858,六盘水,微博,5646.32
201910271610,858,六盘水,微博,5741.46
201910271615,858,六盘水,微博,5226.61
201910271620,858,六盘水,微博,5760.93
201910271625,858,六盘水,微博,5883.33
201910271630,858,六盘水,微博,5797.22
201910271635,858,六盘水,微博,5447.02
201910271640,858,六盘水,微博,5532.52
201910271645,858,六盘水,微博,5201.89
201910271650,858,六盘水,微博,5481.11
201910271655,858,六盘水,微博,5500.63
201910271700,858,六盘水,微博,5373.47
201910271705,858,六盘水,微博,5510.28
201910271710,858,六盘水,微博,5146.21
201910271715,858,六盘水,微博,5667.06
201910271720,858,六盘水,微博,6009.91
201910271725,858,六盘水,微博,5989.03
201910271730,858,六盘水,微博,5268.15
201910271735,858,六盘水,微博,5197.51
201910271740,858,六盘水,微博,5247.07
201910271745,858,六盘水,微博,5051.86
201910271750,858,六盘水,微博,5261.43
201910271755,858,六盘水,微博,5472.87
201910271800,858,六盘水,微博,5442.07
201910271805,858,六盘水,微博,5753.57
201910271810,858,六盘水,微博,5131.67
201910271815,858,六盘水,微博,5033.78
201910271820,858,六盘水,微博,5334.57
201910271825,858,六盘水,微博,5094.78
201910271830,858,六盘水,微博,5124.26
201910271835,858,六盘水,微博,4692.72
201910271840,858,六盘水,微博,4804.54
201910271845,858,六盘水,微博,4690.12
201910271850,858,六盘水,微博,4284.84
201910271855,858,六盘水,微博,4382.28
201910271900,858,六盘水,微博,4369.46
201910271905,858,六盘水,微博,4402.21
201910271910,858,六盘水,微博,4236.67
201910271915,858,六盘水,微博,4136.77
