日期,编码,地区,业务类型,流量
201910270800,856,铜仁,即时通信,114258.11
201910270805,856,铜仁,即时通信,120709.79
201910270810,856,铜仁,即时通信,122063.56
201910270815,856,铜仁,即时通信,124912.62
201910270820,856,铜仁,即时通信,130430.92
201910270825,856,铜仁,即时通信,135529.40
201910270830,856,铜仁,即时通信,137341.13
201910270835,856,铜仁,即时通信,140233.69
201910270840,856,铜仁,即时通信,138712.16
201910270845,856,铜仁,即时通信,144678.37
201910270850,856,铜仁,即时通信,145145.37
201910270855,856,铜仁,即时通信,152377.83
201910270900,856,铜仁,即时通信,152914.07
201910270905,856,铜仁,即时通信,162166.16
201910270910,856,铜仁,即时通信,162427.30
201910270915,856,铜仁,即时通信,164303.30
201910270920,856,铜仁,即时通信,169725.46
201910270925,856,铜仁,即时通信,171184.51
201910270930,856,铜仁,即时通信,172400.54
201910270935,856,铜仁,即时通信,174968.05
201910270940,856,铜仁,即时通信,176124.00
201910270945,856,铜仁,即时通信,179539.12
201910270950,856,铜仁,即时通信,177516.59
201910270955,856,铜仁,即时通信,178823.56
201910271000,856,铜仁,即时通信,186800.67
201910271005,856,铜仁,即时通信,193102.90
201910271010,856,铜仁,即时通信,188954.88
201910271015,856,铜仁,即时通信,193932.38
201910271020,856,铜仁,即时通信,191888.26
201910271025,856,铜仁,即时通信,197617.01
201910271030,856,铜仁,即时通信,195522.12
201910271035,856,铜仁,即时通信,199891.84
201910271040,856,铜仁,即时通信,186164.56
201910271045,856,铜仁,即时通信,205384.22
201910271050,856,铜仁,即时通信,201580.51
201910271055,856,铜仁,即时通信,199394.21
201910271105,856,铜仁,即时通信,211579.95
201910271110,856,铜仁,即时通信,208396.74
201910271115,856,铜仁,即时通信,213272.20
201910271120,856,铜仁,即时通信,214474.57
201910271125,856,铜仁,即时通信,214498.64
201910271130,856,铜仁,即时通信,216800.05
201910271135,856,铜仁,即时通信,221795.24
201910271140,856,铜仁,即时通信,232554.18
201910271145,856,铜仁,即时通信,232421.99
201910271150,856,铜仁,即时通信,234363.53
201910271155,856,铜仁,即时通信,236128.72
201910271200,856,铜仁,即时通信,238354.28
201910271205,856,铜仁,即时通信,238547.79
201910271210,856,铜仁,即时通信,248964.20
201910271215,856,铜仁,即时通信,254738.17
201910271220,856,铜仁,即时通信,253119.75
201910271225,856,铜仁,即时通信,251699.14
201910271230,856,铜仁,即时通信,258926.45
201910271235,856,铜仁,即时通信,235771.17
201910271240,856,铜仁,即时通信,243676.68
201910271245,856,铜仁,即时通信,245236.06
201910271250,856,铜仁,即时通信,241792.09
201910271255,856,铜仁,即时通信,238457.17
201910271300,856,铜仁,即时通信,236672.23
201910271305,856,铜仁,即时通信,230826.01
201910271310,856,铜仁,即时通信,222546.63
201910271315,856,铜仁,即时通信,225117.70
201910271320,856,铜仁,即时通信,223569.80
201910271325,856,铜仁,即时通信,218801.31
201910271330,856,铜仁,即时通信,217260.34
201910271335,856,铜仁,即时通信,223918.10
201910271340,856,铜仁,即时通信,210271.79
201910271345,856,铜仁,即时通信,219575.04
201910271350,856,铜仁,即时通信,205693.97
201910271355,856,铜仁,即时通信,211839.10
201910271400,856,铜仁,即时通信,207326.48
201910271405,856,铜仁,即时通信,206718.39
201910271410,856,铜仁,即时通信,206838.84
201910271415,856,铜仁,即时通信,203330.80
201910271420,856,铜仁,即时通信,198683.59
201910271425,856,铜仁,即时通信,189426.30
201910271430,856,铜仁,即时通信,204360.43
201910271435,856,铜仁,即时通信,195312.88
201910271440,856,铜仁,即时通信,206128.24
201910271445,856,铜仁,即时通信,199808.03
201910271450,856,铜仁,即时通信,198849.51
201910271455,856,铜仁,即时通信,198529.20
201910271500,856,铜仁,即时通信,206671.77
201910271505,856,铜仁,即时通信,201850.10
201910271510,856,铜仁,即时通信,204723.78
201910271515,856,铜仁,即时通信,200593.85
201910271520,856,铜仁,即时通信,202414.03
201910271525,856,铜仁,即时通信,196722.73
201910271530,856,铜仁,即时通信,204340.56
201910271535,856,铜仁,即时通信,198421.65
201910271540,856,铜仁,即时通信,202647.91
201910271545,856,铜仁,即时通信,200493.51
201910271550,856,铜仁,即时通信,208086.27
201910271555,856,铜仁,即时通信,205661.80
201910271600,856,铜仁,即时通信,207337.78
201910271605,856,铜仁,即时通信,204675.27
201910271610,856,铜仁,即时通信,203061.73
201910271615,856,铜仁,即时通信,202419.38
201910271620,856,铜仁,即时通信,198470.53
201910271625,856,铜仁,即时通信,203964.61
201910271630,856,铜仁,即时通信,201185.70
201910271635,856,铜仁,即时通信,195827.62
201910271640,856,铜仁,即时通信,189403.72
201910271645,856,铜仁,即时通信,208634.60
201910271650,856,铜仁,即时通信,203288.64
201910271655,856,铜仁,即时通信,198764.48
201910271700,856,铜仁,即时通信,201084.64
201910271705,856,铜仁,即时通信,202991.27
201910271710,856,铜仁,即时通信,202294.99
201910271715,856,铜仁,即时通信,206410.14
201910271720,856,铜仁,即时通信,204525.47
201910271725,856,铜仁,即时通信,211900.26
201910271730,856,铜仁,即时通信,212485.35
201910271735,856,铜仁,即时通信,189054.14
201910271740,856,铜仁,即时通信,195879.91
201910271745,856,铜仁,即时通信,214775.88
201910271750,856,铜仁,即时通信,218673.53
201910271755,856,铜仁,即时通信,220967.16
201910271800,856,铜仁,即时通信,217581.18
201910271805,856,铜仁,即时通信,226915.36
201910271810,856,铜仁,即时通信,238838.65
201910271815,856,铜仁,即时通信,243785.43
201910271820,856,铜仁,即时通信,248156.80
201910271825,856,铜仁,即时通信,251317.01
201910271830,856,铜仁,即时通信,256132.83
201910271835,856,铜仁,即时通信,267989.20
201910271840,856,铜仁,即时通信,287734.77
201910271845,856,铜仁,即时通信,296337.59
201910271850,856,铜仁,即时通信,277544.94
201910271855,856,铜仁,即时通信,298824.47
201910271900,856,铜仁,即时通信,293034.11
201910271905,856,铜仁,即时通信,286659.99
201910271910,856,铜仁,即时通信,291045.50
201910271915,856,铜仁,即时通信,297515.14
201910271920,856,铜仁,即时通信,300459.31
201910271925,856,铜仁,即时通信,299779.24
201910271930,856,铜仁,即时通信,302372.98
201910271935,856,铜仁,即时通信,302498.34
201910271940,856,铜仁,即时通信,306940.97
201910271945,856,铜仁,即时通信,305081.30
201910271950,856,铜仁,即时通信,318097.27
201910271955,856,铜仁,即时通信,311613.62
201910272000,856,铜仁,即时通信,322714.45
201910272005,856,铜仁,即时通信,311934.98
201910272010,856,铜仁,即时通信,314177.43
201910272015,856,铜仁,即时通信,321135.29
201910272020,856,铜仁,即时通信,308365.96
201910272025,856,铜仁,即时通信,323251.61
201910272030,856,铜仁,即时通信,326990.91
201910272035,856,铜仁,即时通信,303852.98
201910272040,856,铜仁,即时通信,323307.34
201910272045,856,铜仁,即时通信,315596.48
201910272050,856,铜仁,即时通信,316769.18
201910272055,856,铜仁,即时通信,313793.71
201910272100,856,铜仁,即时通信,325110.67
201910272105,856,铜仁,即时通信,310428.11
201910272110,856,铜仁,即时通信,307656.78
201910272115,856,铜仁,即时通信,308323.34
201910272120,856,铜仁,即时通信,308986.64
201910272125,856,铜仁,即时通信,300758.87
201910272130,856,铜仁,即时通信,300033.30
201910272135,856,铜仁,即时通信,295088.24
201910272140,856,铜仁,即时通信,294486.33
201910272145,856,铜仁,即时通信,289574.55
201910272150,856,铜仁,即时通信,292203.52
201910272155,856,铜仁,即时通信,288076.90
201910272200,856,铜仁,即时通信,282671.82
201910272205,856,铜仁,即时通信,274061.49
201910272210,856,铜仁,即时通信,276404.41
201910272215,856,铜仁,即时通信,281544.11
201910272220,856,铜仁,即时通信,286208.76
201910272225,856,铜仁,即时通信,277738.06
201910272230,856,铜仁,即时通信,278340.85
201910272235,856,铜仁,即时通信,267331.96
201910272240,856,铜仁,即时通信,265280.70
201910272245,856,铜仁,即时通信,257408.15
201910272250,856,铜仁,即时通信,249320.47
201910272255,856,铜仁,即时通信,228795.32
201910272300,856,铜仁,即时通信,234741.99
201910272305,856,铜仁,即时通信,218175.08
201910272310,856,铜仁,即时通信,220175.89
201910272315,856,铜仁,即时通信,207511.81
201910272320,856,铜仁,即时通信,203496.92
201910272325,856,铜仁,即时通信,194253.15
201910272330,856,铜仁,即时通信,192360.64
201910272335,856,铜仁,即时通信,178242.81
201910272340,856,铜仁,即时通信,174482.44
201910272345,856,铜仁,即时通信,162023.11
201910272350,856,铜仁,即时通信,159474.25
201910272355,856,铜仁,即时通信,150564.66
201910280800,856,铜仁,即时通信,121646.73
201910280805,856,铜仁,即时通信,122128.21
201910280810,856,铜仁,即时通信,126561.49
201910280815,856,铜仁,即时通信,133049.46
201910280820,856,铜仁,即时通信,136918.43
201910280825,856,铜仁,即时通信,133342.02
201910280830,856,铜仁,即时通信,145239.30
201910280835,856,铜仁,即时通信,137904.73
201910280840,856,铜仁,即时通信,148660.76
201910280845,856,铜仁,即时通信,150544.06
201910280850,856,铜仁,即时通信,149664.61
201910280855,856,铜仁,即时通信,151097.35
201910280900,856,铜仁,即时通信,148927.23
201910280905,856,铜仁,即时通信,150874.09
201910280910,856,铜仁,即时通信,159194.78
201910280915,856,铜仁,即时通信,159754.70
201910280920,856,铜仁,即时通信,162099.82
201910280925,856,铜仁,即时通信,159741.40
201910280930,856,铜仁,即时通信,162948.63
201910280935,856,铜仁,即时通信,163266.31
201910280940,856,铜仁,即时通信,167443.40
201910280945,856,铜仁,即时通信,168754.76
201910280950,856,铜仁,即时通信,174390.66
201910280955,856,铜仁,即时通信,169057.12
201910281000,856,铜仁,即时通信,175993.15
201910281005,856,铜仁,即时通信,178064.99
201910281010,856,铜仁,即时通信,175998.81
201910281015,856,铜仁,即时通信,179553.82
201910281020,856,铜仁,即时通信,177873.34
201910281025,856,铜仁,即时通信,176307.91
201910281030,856,铜仁,即时通信,182821.84
201910281035,856,铜仁,即时通信,182136.31
201910281040,856,铜仁,即时通信,188022.41
201910281045,856,铜仁,即时通信,185480.16
201910281050,856,铜仁,即时通信,187270.72
201910281055,856,铜仁,即时通信,192684.74
201910281100,856,铜仁,即时通信,194457.93
201911140800,856,铜仁,即时通信,127996.20
201911140805,856,铜仁,即时通信,126525.06
201911140810,856,铜仁,即时通信,130967.44
201911140815,856,铜仁,即时通信,131294.86
