日期,编码,地区,业务类型,流量
201910270800,856,铜仁,邮箱,71.88
201910270805,856,铜仁,邮箱,72.13
201910270810,856,铜仁,邮箱,107.18
201910270815,856,铜仁,邮箱,65.94
201910270820,856,铜仁,邮箱,87.45
201910270825,856,铜仁,邮箱,111.32
201910270830,856,铜仁,邮箱,192.96
201910270835,856,铜仁,邮箱,78.68
201910270840,856,铜仁,邮箱,75.67
201910270845,856,铜仁,邮箱,216.42
201910270850,856,铜仁,邮箱,78.94
201910270855,856,铜仁,邮箱,83.51
201910270900,856,铜仁,邮箱,131.65
201910270905,856,铜仁,邮箱,126.61
201910270910,856,铜仁,邮箱,158.40
201910270915,856,铜仁,邮箱,158.24
201910270920,856,铜仁,邮箱,160.66
201910270925,856,铜仁,邮箱,117.05
201910270930,856,铜仁,邮箱,91.63
201910270935,856,铜仁,邮箱,126.92
201910270940,856,铜仁,邮箱,83.81
201910270945,856,铜仁,邮箱,108.45
201910270950,856,铜仁,邮箱,134.05
201910270955,856,铜仁,邮箱,92.61
201910271000,856,铜仁,邮箱,96.86
201910271005,856,铜仁,邮箱,97.38
201910271010,856,铜仁,邮箱,64.34
201910271015,856,铜仁,邮箱,127.35
201910271020,856,铜仁,邮箱,84.70
201910271025,856,铜仁,邮箱,96.45
201910271030,856,铜仁,邮箱,118.72
201910271035,856,铜仁,邮箱,137.42
201910271040,856,铜仁,邮箱,100.15
201910271045,856,铜仁,邮箱,123.15
201910271050,856,铜仁,邮箱,84.69
201910271055,856,铜仁,邮箱,86.81
201910271105,856,铜仁,邮箱,154.76
201910271110,856,铜仁,邮箱,112.40
201910271115,856,铜仁,邮箱,96.70
201910271120,856,铜仁,邮箱,101.74
201910271125,856,铜仁,邮箱,174.09
201910271130,856,铜仁,邮箱,122.27
201910271135,856,铜仁,邮箱,154.77
201910271140,856,铜仁,邮箱,116.15
201910271145,856,铜仁,邮箱,103.52
201910271150,856,铜仁,邮箱,79.59
201910271155,856,铜仁,邮箱,125.29
201910271200,856,铜仁,邮箱,111.22
201910271205,856,铜仁,邮箱,114.17
201910271210,856,铜仁,邮箱,115.76
201910271215,856,铜仁,邮箱,129.17
201910271220,856,铜仁,邮箱,92.69
201910271225,856,铜仁,邮箱,83.10
201910271230,856,铜仁,邮箱,107.29
201910271235,856,铜仁,邮箱,160.09
201910271240,856,铜仁,邮箱,112.82
201910271245,856,铜仁,邮箱,93.51
201910271250,856,铜仁,邮箱,71.59
201910271255,856,铜仁,邮箱,136.88
201910271300,856,铜仁,邮箱,57.49
201910271305,856,铜仁,邮箱,122.44
201910271310,856,铜仁,邮箱,113.82
201910271315,856,铜仁,邮箱,85.85
201910271320,856,铜仁,邮箱,142.50
201910271325,856,铜仁,邮箱,84.86
201910271330,856,铜仁,邮箱,101.91
201910271335,856,铜仁,邮箱,83.28
201910271340,856,铜仁,邮箱,105.05
201910271345,856,铜仁,邮箱,100.65
201910271350,856,铜仁,邮箱,118.69
201910271355,856,铜仁,邮箱,57.79
201910271400,856,铜仁,邮箱,61.97
201910271405,856,铜仁,邮箱,75.16
201910271410,856,铜仁,邮箱,73.92
201910271415,856,铜仁,邮箱,90.49
201910271420,856,铜仁,邮箱,82.58
201910271425,856,铜仁,邮箱,56.58
201910271430,856,铜仁,邮箱,96.30
201910271435,856,铜仁,邮箱,181.06
201910271440,856,铜仁,邮箱,84.86
201910271445,856,铜仁,邮箱,92.16
201910271450,856,铜仁,邮箱,108.86
201910271455,856,铜仁,邮箱,143.99
201910271500,856,铜仁,邮箱,89.52
201910271505,856,铜仁,邮箱,122.98
201910271510,856,铜仁,邮箱,115.66
201910271515,856,铜仁,邮箱,110.09
201910271520,856,铜仁,邮箱,105.38
201910271525,856,铜仁,邮箱,74.39
201910271530,856,铜仁,邮箱,94.38
201910271535,856,铜仁,邮箱,75.58
201910271540,856,铜仁,邮箱,81.43
201910271545,856,铜仁,邮箱,121.85
201910271550,856,铜仁,邮箱,91.78
201910271555,856,铜仁,邮箱,120.71
201910271600,856,铜仁,邮箱,460.53
201910271605,856,铜仁,邮箱,67.54
201910271610,856,铜仁,邮箱,85.36
201910271615,856,铜仁,邮箱,88.66
201910271620,856,铜仁,邮箱,112.35
201910271625,856,铜仁,邮箱,88.52
201910271630,856,铜仁,邮箱,69.08
201910271635,856,铜仁,邮箱,82.77
201910271640,856,铜仁,邮箱,89.20
201910271645,856,铜仁,邮箱,90.49
201910271650,856,铜仁,邮箱,76.93
201910271655,856,铜仁,邮箱,93.84
201910271700,856,铜仁,邮箱,70.84
201910271705,856,铜仁,邮箱,78.18
201910271710,856,铜仁,邮箱,94.59
201910271715,856,铜仁,邮箱,113.74
201910271720,856,铜仁,邮箱,131.06
201910271725,856,铜仁,邮箱,82.96
201910271730,856,铜仁,邮箱,111.41
201910271735,856,铜仁,邮箱,116.46
201910271740,856,铜仁,邮箱,91.58
201910271745,856,铜仁,邮箱,78.99
201910271750,856,铜仁,邮箱,87.01
201910271755,856,铜仁,邮箱,67.61
201910271800,856,铜仁,邮箱,72.68
201910271805,856,铜仁,邮箱,67.42
201910271810,856,铜仁,邮箱,79.99
201910271815,856,铜仁,邮箱,70.98
201910271820,856,铜仁,邮箱,80.90
201910271825,856,铜仁,邮箱,68.32
201910271830,856,铜仁,邮箱,116.62
201910271835,856,铜仁,邮箱,85.28
201910271840,856,铜仁,邮箱,95.33
201910271845,856,铜仁,邮箱,99.09
201910271850,856,铜仁,邮箱,85.03
201910271855,856,铜仁,邮箱,153.91
201910271900,856,铜仁,邮箱,115.82
201910271905,856,铜仁,邮箱,97.93
201910271910,856,铜仁,邮箱,95.16
201910271915,856,铜仁,邮箱,106.36
201910271920,856,铜仁,邮箱,95.06
201910271925,856,铜仁,邮箱,73.27
201910271930,856,铜仁,邮箱,73.84
201910271935,856,铜仁,邮箱,108.10
201910271940,856,铜仁,邮箱,90.41
201910271945,856,铜仁,邮箱,115.28
201910271950,856,铜仁,邮箱,82.78
201910271955,856,铜仁,邮箱,103.52
201910272000,856,铜仁,邮箱,85.81
201910272005,856,铜仁,邮箱,91.83
201910272010,856,铜仁,邮箱,90.22
201910272015,856,铜仁,邮箱,53.66
201910272020,856,铜仁,邮箱,96.35
201910272025,856,铜仁,邮箱,103.10
201910272030,856,铜仁,邮箱,105.42
201910272035,856,铜仁,邮箱,102.19
201910272040,856,铜仁,邮箱,74.72
201910272045,856,铜仁,邮箱,96.06
201910272050,856,铜仁,邮箱,75.10
201910272055,856,铜仁,邮箱,79.88
201910272100,856,铜仁,邮箱,64.05
201910272105,856,铜仁,邮箱,107.07
201910272110,856,铜仁,邮箱,77.16
201910272115,856,铜仁,邮箱,159.42
201910272120,856,铜仁,邮箱,122.59
201910272125,856,铜仁,邮箱,71.10
201910272130,856,铜仁,邮箱,62.26
201910272135,856,铜仁,邮箱,91.20
201910272140,856,铜仁,邮箱,90.23
201910272145,856,铜仁,邮箱,72.80
201910272150,856,铜仁,邮箱,93.14
201910272155,856,铜仁,邮箱,153.08
201910272200,856,铜仁,邮箱,76.37
201910272205,856,铜仁,邮箱,88.91
201910272210,856,铜仁,邮箱,89.78
201910272215,856,铜仁,邮箱,69.55
201910272220,856,铜仁,邮箱,82.50
201910272225,856,铜仁,邮箱,56.99
201910272230,856,铜仁,邮箱,335.18
201910272235,856,铜仁,邮箱,94.44
201910272240,856,铜仁,邮箱,54.45
201910272245,856,铜仁,邮箱,75.83
201910272250,856,铜仁,邮箱,77.74
201910272255,856,铜仁,邮箱,63.54
201910272300,856,铜仁,邮箱,67.86
201910272305,856,铜仁,邮箱,79.42
201910272310,856,铜仁,邮箱,65.72
201910272315,856,铜仁,邮箱,52.13
201910272320,856,铜仁,邮箱,58.63
201910272325,856,铜仁,邮箱,80.84
201910272330,856,铜仁,邮箱,74.92
