日期,编码,地区,业务类型,流量
201910270800,856,铜仁,出行旅游,218.51
201910270805,856,铜仁,出行旅游,189.94
201910270810,856,铜仁,出行旅游,132.59
201910270815,856,铜仁,出行旅游,205.42
201910270820,856,铜仁,出行旅游,126.49
201910270825,856,铜仁,出行旅游,191.02
201910270830,856,铜仁,出行旅游,197.70
201910270835,856,铜仁,出行旅游,257.71
201910270840,856,铜仁,出行旅游,257.70
201910270845,856,铜仁,出行旅游,153.22
201910270850,856,铜仁,出行旅游,150.09
201910270855,856,铜仁,出行旅游,228.15
201910270900,856,铜仁,出行旅游,234.81
201910270905,856,铜仁,出行旅游,148.15
201910270910,856,铜仁,出行旅游,228.73
201910270915,856,铜仁,出行旅游,182.25
201910270920,856,铜仁,出行旅游,210.07
201910270925,856,铜仁,出行旅游,164.82
201910270930,856,铜仁,出行旅游,111.37
201910270935,856,铜仁,出行旅游,251.00
201910270940,856,铜仁,出行旅游,443.70
201910270945,856,铜仁,出行旅游,144.36
201910270950,856,铜仁,出行旅游,172.28
201910270955,856,铜仁,出行旅游,341.42
201910271000,856,铜仁,出行旅游,158.37
201910271005,856,铜仁,出行旅游,204.54
201910271010,856,铜仁,出行旅游,229.19
201910271015,856,铜仁,出行旅游,228.15
201910271020,856,铜仁,出行旅游,245.12
201910271025,856,铜仁,出行旅游,197.02
201910271030,856,铜仁,出行旅游,420.43
201910271035,856,铜仁,出行旅游,376.78
201910271040,856,铜仁,出行旅游,264.82
201910271045,856,铜仁,出行旅游,417.14
201910271050,856,铜仁,出行旅游,183.03
201910271055,856,铜仁,出行旅游,226.06
201910271105,856,铜仁,出行旅游,167.38
201910271110,856,铜仁,出行旅游,214.10
201910271115,856,铜仁,出行旅游,286.44
201910271120,856,铜仁,出行旅游,251.31
201910271125,856,铜仁,出行旅游,341.40
201910271130,856,铜仁,出行旅游,460.59
201910271135,856,铜仁,出行旅游,235.26
201910271140,856,铜仁,出行旅游,221.94
201910271145,856,铜仁,出行旅游,314.29
201910271150,856,铜仁,出行旅游,250.11
201910271155,856,铜仁,出行旅游,236.43
201910271200,856,铜仁,出行旅游,244.12
201910271205,856,铜仁,出行旅游,213.20
201910271210,856,铜仁,出行旅游,220.95
201910271215,856,铜仁,出行旅游,288.02
201910271220,856,铜仁,出行旅游,242.61
201910271225,856,铜仁,出行旅游,206.92
201910271230,856,铜仁,出行旅游,291.89
201910271235,856,铜仁,出行旅游,284.93
201910271240,856,铜仁,出行旅游,250.29
201910271245,856,铜仁,出行旅游,222.66
201910271250,856,铜仁,出行旅游,303.08
201910271255,856,铜仁,出行旅游,227.98
201910271300,856,铜仁,出行旅游,249.58
201910271305,856,铜仁,出行旅游,183.24
201910271310,856,铜仁,出行旅游,311.01
201910271315,856,铜仁,出行旅游,244.24
201910271320,856,铜仁,出行旅游,254.95
201910271325,856,铜仁,出行旅游,258.77
201910271330,856,铜仁,出行旅游,276.86
201910271335,856,铜仁,出行旅游,140.63
201910271340,856,铜仁,出行旅游,266.75
