日期,编码,地区,业务类型,流量
201910270800,856,铜仁,视频,703460.34
201910270805,856,铜仁,视频,718307.98
201910270810,856,铜仁,视频,727301.63
201910270815,856,铜仁,视频,751138.69
201910270820,856,铜仁,视频,762017.22
201910270825,856,铜仁,视频,773460.21
201910270830,856,铜仁,视频,788734.35
201910270835,856,铜仁,视频,800569.45
201910270840,856,铜仁,视频,813772.30
201910270845,856,铜仁,视频,829577.92
201910270850,856,铜仁,视频,849054.17
201910270855,856,铜仁,视频,844923.57
201910270900,856,铜仁,视频,850460.29
201910270905,856,铜仁,视频,850426.62
201910270910,856,铜仁,视频,863331.38
201910270915,856,铜仁,视频,877007.56
201910270920,856,铜仁,视频,889112.28
201910270925,856,铜仁,视频,882673.33
201910270930,856,铜仁,视频,895169.12
201910270935,856,铜仁,视频,918162.02
201910270940,856,铜仁,视频,914017.31
201910270945,856,铜仁,视频,916165.49
201910270950,856,铜仁,视频,923742.69
201910270955,856,铜仁,视频,947006.50
201910271000,856,铜仁,视频,937444.07
201910271005,856,铜仁,视频,947791.71
201910271010,856,铜仁,视频,941696.24
201910271015,856,铜仁,视频,947422.32
201910271020,856,铜仁,视频,964717.95
201910271025,856,铜仁,视频,960442.59
201910271030,856,铜仁,视频,978630.75
201910271035,856,铜仁,视频,984277.21
201910271040,856,铜仁,视频,980737.37
201910271045,856,铜仁,视频,974003.62
201910271050,856,铜仁,视频,976209.30
201910271055,856,铜仁,视频,977286.10
201910271105,856,铜仁,视频,980304.99
201910271110,856,铜仁,视频,981678.03
201910271115,856,铜仁,视频,1009757.13
201910271120,856,铜仁,视频,1005128.80
201910271125,856,铜仁,视频,1005419.66
201910271130,856,铜仁,视频,1003676.38
201910271135,856,铜仁,视频,1007826.41
201910271140,856,铜仁,视频,1012800.11
201910271145,856,铜仁,视频,1019067.55
201910271150,856,铜仁,视频,1034899.11
201910271155,856,铜仁,视频,1046998.47
201910271200,856,铜仁,视频,1050612.64
201910271205,856,铜仁,视频,1046962.29
201910271210,856,铜仁,视频,1071438.73
201910271215,856,铜仁,视频,1095736.65
201910271220,856,铜仁,视频,1099028.79
201910271225,856,铜仁,视频,1114256.57
201910271230,856,铜仁,视频,1145375.62
201910271235,856,铜仁,视频,1136621.27
201910271240,856,铜仁,视频,1128163.70
201910271245,856,铜仁,视频,1116223.14
201910271250,856,铜仁,视频,1095704.52
201910271255,856,铜仁,视频,1093924.33
201910271300,856,铜仁,视频,1094695.94
201910271305,856,铜仁,视频,1077844.55
201910271310,856,铜仁,视频,1071032.99
201910271315,856,铜仁,视频,1080483.29
201910271320,856,铜仁,视频,1072066.98
201910271325,856,铜仁,视频,1065619.22
201910271330,856,铜仁,视频,1055322.48
201910271335,856,铜仁,视频,1054871.42
201910271340,856,铜仁,视频,1040202.79
201910271345,856,铜仁,视频,1043001.25
201910271350,856,铜仁,视频,1045825.69
201910271355,856,铜仁,视频,1042059.45
201910271400,856,铜仁,视频,1037849.84
201910271405,856,铜仁,视频,1008620.14
201910271410,856,铜仁,视频,1020459.96
201910271415,856,铜仁,视频,1025788.96
201910271420,856,铜仁,视频,1017211.48
201910271425,856,铜仁,视频,1012644.12
201910271430,856,铜仁,视频,1014192.70
201910271435,856,铜仁,视频,1019200.98
201910271440,856,铜仁,视频,1015535.78
201910271445,856,铜仁,视频,1020827.51
201910271450,856,铜仁,视频,1024667.13
201910271455,856,铜仁,视频,1028628.28
201910271500,856,铜仁,视频,1038720.64
201910271505,856,铜仁,视频,1033778.21
201910271510,856,铜仁,视频,1027507.85
201910271515,856,铜仁,视频,1013686.34
201910271520,856,铜仁,视频,1013776.78
201910271525,856,铜仁,视频,1035090.34
201910271530,856,铜仁,视频,1020410.25
201910271535,856,铜仁,视频,1027426.95
201910271540,856,铜仁,视频,1029831.06
201910271545,856,铜仁,视频,1028768.13
201910271550,856,铜仁,视频,1040333.45
201910271555,856,铜仁,视频,1015148.86
201910271600,856,铜仁,视频,1028060.15
201910271605,856,铜仁,视频,1017880.99
201910271610,856,铜仁,视频,1022862.30
201910271615,856,铜仁,视频,1032007.01
201910271620,856,铜仁,视频,1038078.92
201910271625,856,铜仁,视频,1035411.39
201910271630,856,铜仁,视频,1031058.16
201910271635,856,铜仁,视频,1025926.00
201910271640,856,铜仁,视频,1022534.70
201910271645,856,铜仁,视频,1048884.25
201910271650,856,铜仁,视频,1028506.76
201910271655,856,铜仁,视频,1011389.59
201910271700,856,铜仁,视频,991689.15
201910271705,856,铜仁,视频,990189.71
201910271710,856,铜仁,视频,984837.92
201910271715,856,铜仁,视频,971842.17
201910271720,856,铜仁,视频,982804.42
201910271725,856,铜仁,视频,970533.01
201910271730,856,铜仁,视频,968332.71
201910271735,856,铜仁,视频,888583.35
201910271740,856,铜仁,视频,968048.27
201910271745,856,铜仁,视频,962719.23
201910271750,856,铜仁,视频,978523.71
201910271755,856,铜仁,视频,965366.17
201910271800,856,铜仁,视频,954858.73
201910271805,856,铜仁,视频,976327.51
201910271810,856,铜仁,视频,1001575.90
201910271815,856,铜仁,视频,983907.88
201910271820,856,铜仁,视频,1018408.86
201910271825,856,铜仁,视频,1020122.83
201910271830,856,铜仁,视频,1056474.68
201910271835,856,铜仁,视频,1072036.63
201910271840,856,铜仁,视频,1105336.93
201910271845,856,铜仁,视频,1129726.55
