日期,编码,地区,业务类型,流量
201910270800,856,铜仁,VoIP业务,304.15
201910270805,856,铜仁,VoIP业务,480.48
201910270810,856,铜仁,VoIP业务,429.75
201910270815,856,铜仁,VoIP业务,576.51
201910270820,856,铜仁,VoIP业务,584.06
201910270825,856,铜仁,VoIP业务,624.60
201910270830,856,铜仁,VoIP业务,825.31
201910270835,856,铜仁,VoIP业务,466.61
201910270840,856,铜仁,VoIP业务,753.56
201910270845,856,铜仁,VoIP业务,761.26
201910270850,856,铜仁,VoIP业务,704.38
201910270855,856,铜仁,VoIP业务,506.37
201910270900,856,铜仁,VoIP业务,688.24
201910270905,856,铜仁,VoIP业务,625.68
201910270910,856,铜仁,VoIP业务,919.47
201910270915,856,铜仁,VoIP业务,831.32
201910270920,856,铜仁,VoIP业务,833.60
201910270925,856,铜仁,VoIP业务,1224.98
201910270930,856,铜仁,VoIP业务,1123.28
201910270935,856,铜仁,VoIP业务,1267.62
201910270940,856,铜仁,VoIP业务,1192.82
201910270945,856,铜仁,VoIP业务,790.42
201910270950,856,铜仁,VoIP业务,968.64
201910270955,856,铜仁,VoIP业务,1296.64
201910271000,856,铜仁,VoIP业务,1387.85
201910271005,856,铜仁,VoIP业务,1198.67
201910271010,856,铜仁,VoIP业务,1375.01
201910271015,856,铜仁,VoIP业务,991.08
201910271020,856,铜仁,VoIP业务,1209.17
201910271025,856,铜仁,VoIP业务,1080.06
201910271030,856,铜仁,VoIP业务,1034.38
201910271035,856,铜仁,VoIP业务,1293.32
201910271040,856,铜仁,VoIP业务,1049.17
201910271045,856,铜仁,VoIP业务,1073.79
201910271050,856,铜仁,VoIP业务,880.18
201910271055,856,铜仁,VoIP业务,1475.23
201910271105,856,铜仁,VoIP业务,1211.92
201910271110,856,铜仁,VoIP业务,880.28
201910271115,856,铜仁,VoIP业务,1099.90
201910271120,856,铜仁,VoIP业务,823.13
201910271125,856,铜仁,VoIP业务,828.58
201910271130,856,铜仁,VoIP业务,1085.23
201910271135,856,铜仁,VoIP业务,1226.61
201910271140,856,铜仁,VoIP业务,1258.38
201910271145,856,铜仁,VoIP业务,1144.32
201910271150,856,铜仁,VoIP业务,1405.60
201910271155,856,铜仁,VoIP业务,1002.64
201910271200,856,铜仁,VoIP业务,1451.46
201910271205,856,铜仁,VoIP业务,1305.83
201910271210,856,铜仁,VoIP业务,1503.58
201910271215,856,铜仁,VoIP业务,1153.47
201910271220,856,铜仁,VoIP业务,1269.78
201910271225,856,铜仁,VoIP业务,1174.27
201910271230,856,铜仁,VoIP业务,1367.49
201910271235,856,铜仁,VoIP业务,1118.61
201910271240,856,铜仁,VoIP业务,1718.13
201910271245,856,铜仁,VoIP业务,1421.99
201910271250,856,铜仁,VoIP业务,1488.94
201910271255,856,铜仁,VoIP业务,1396.87
201910271300,856,铜仁,VoIP业务,978.74
201910271305,856,铜仁,VoIP业务,849.39
201910271310,856,铜仁,VoIP业务,1156.58
201910271315,856,铜仁,VoIP业务,1473.65
201910271320,856,铜仁,VoIP业务,1343.08
201910271325,856,铜仁,VoIP业务,1303.17
