日期,编码,地区,业务类型,流量
201910270800,856,铜仁,微博,4131.16
201910270805,856,铜仁,微博,4368.90
201910270810,856,铜仁,微博,4902.98
201910270815,856,铜仁,微博,4891.30
201910270820,856,铜仁,微博,5362.78
201910270825,856,铜仁,微博,5230.39
201910270830,856,铜仁,微博,5666.75
201910270835,856,铜仁,微博,5286.63
201910270840,856,铜仁,微博,5098.28
201910270845,856,铜仁,微博,5390.39
201910270850,856,铜仁,微博,5789.09
201910270855,856,铜仁,微博,5475.35
201910270900,856,铜仁,微博,5678.62
201910270905,856,铜仁,微博,5804.46
201910270910,856,铜仁,微博,5361.23
201910270915,856,铜仁,微博,5970.75
201910270920,856,铜仁,微博,5749.21
201910270925,856,铜仁,微博,5513.22
201910270930,856,铜仁,微博,5861.35
201910270935,856,铜仁,微博,6050.30
201910270940,856,铜仁,微博,6124.73
201910270945,856,铜仁,微博,6125.62
201910270950,856,铜仁,微博,6636.43
201910270955,856,铜仁,微博,6181.91
201910271000,856,铜仁,微博,6781.17
201910271005,856,铜仁,微博,7062.97
201910271010,856,铜仁,微博,6982.41
201910271015,856,铜仁,微博,6856.10
201910271020,856,铜仁,微博,7097.48
201910271025,856,铜仁,微博,6757.20
201910271030,856,铜仁,微博,6178.72
201910271035,856,铜仁,微博,7452.15
201910271040,856,铜仁,微博,6661.98
201910271045,856,铜仁,微博,7185.14
201910271050,856,铜仁,微博,7421.76
201910271055,856,铜仁,微博,7048.36
201910271105,856,铜仁,微博,7151.31
201910271110,856,铜仁,微博,7127.39
201910271115,856,铜仁,微博,6830.87
201910271120,856,铜仁,微博,7313.29
201910271125,856,铜仁,微博,7628.76
201910271130,856,铜仁,微博,6915.40
201910271135,856,铜仁,微博,7015.06
201910271140,856,铜仁,微博,7050.31
201910271145,856,铜仁,微博,7070.56
201910271150,856,铜仁,微博,8109.51
201910271155,856,铜仁,微博,7643.47
201910271200,856,铜仁,微博,7325.03
201910271205,856,铜仁,微博,7743.11
201910271210,856,铜仁,微博,8187.00
201910271215,856,铜仁,微博,8176.77
201910271220,856,铜仁,微博,8326.05
201910271225,856,铜仁,微博,8429.49
201910271230,856,铜仁,微博,8712.05
201910271235,856,铜仁,微博,8413.73
201910271240,856,铜仁,微博,8835.18
201910271245,856,铜仁,微博,8793.06
201910271250,856,铜仁,微博,8820.28
201910271255,856,铜仁,微博,8551.58
201910271300,856,铜仁,微博,8433.58
201910271305,856,铜仁,微博,8464.26
201910271310,856,铜仁,微博,8893.53
201910271315,856,铜仁,微博,8440.01
201910271320,856,铜仁,微博,8667.63
201910271325,856,铜仁,微博,8311.70
201910271330,856,铜仁,微博,8014.98
201910271335,856,铜仁,微博,7588.40
201910271340,856,铜仁,微博,8036.66
201910271345,856,铜仁,微博,7775.45
201910271350,856,铜仁,微博,7796.93
201910271355,856,铜仁,微博,8663.83
201910271400,856,铜仁,微博,7879.87
201910271405,856,铜仁,微博,7529.77
201910271410,856,铜仁,微博,7279.87
201910271415,856,铜仁,微博,7815.56
201910271420,856,铜仁,微博,7690.05
201910271425,856,铜仁,微博,7679.53
201910271430,856,铜仁,微博,7495.01
201910271435,856,铜仁,微博,8246.47
201910271440,856,铜仁,微博,6965.92
201910271445,856,铜仁,微博,7525.34
201910271450,856,铜仁,微博,6877.89
201910271455,856,铜仁,微博,7317.35
201910271500,856,铜仁,微博,7308.68
201910271505,856,铜仁,微博,7422.72
201910271510,856,铜仁,微博,7568.80
201910271515,856,铜仁,微博,7423.17
201910271520,856,铜仁,微博,7379.55
201910271525,856,铜仁,微博,7278.38
201910271530,856,铜仁,微博,7596.29
201910271535,856,铜仁,微博,7140.59
201910271540,856,铜仁,微博,7445.83
201910271545,856,铜仁,微博,7099.46
201910271550,856,铜仁,微博,7342.63
201910271555,856,铜仁,微博,7705.27
201910271600,856,铜仁,微博,7790.78
201910271605,856,铜仁,微博,7933.30
201910271610,856,铜仁,微博,7549.25
201910271615,856,铜仁,微博,7891.24
201910271620,856,铜仁,微博,7800.88
201910271625,856,铜仁,微博,7314.70
201910271630,856,铜仁,微博,7503.67
201910271635,856,铜仁,微博,7534.12
201910271640,856,铜仁,微博,7373.94
201910271645,856,铜仁,微博,7606.33
201910271650,856,铜仁,微博,7131.87
201910271655,856,铜仁,微博,7592.06
201910271700,856,铜仁,微博,7203.41
201910271705,856,铜仁,微博,7369.18
201910271710,856,铜仁,微博,7011.81
201910271715,856,铜仁,微博,7107.61
201910271720,856,铜仁,微博,7139.19
201910271725,856,铜仁,微博,7444.88
201910271730,856,铜仁,微博,7185.65
201910271735,856,铜仁,微博,6349.02
201910271740,856,铜仁,微博,6400.65
201910271745,856,铜仁,微博,6720.92
201910271750,856,铜仁,微博,6798.09
201910271755,856,铜仁,微博,6648.96
201910271800,856,铜仁,微博,6188.70
201910271805,856,铜仁,微博,6276.61
201910271810,856,铜仁,微博,6288.46
201910271815,856,铜仁,微博,5919.80
201910271820,856,铜仁,微博,6895.13
201910271825,856,铜仁,微博,6516.25
201910271830,856,铜仁,微博,6260.43
201910271835,856,铜仁,微博,5978.92
201910271840,856,铜仁,微博,6410.41
201910271845,856,铜仁,微博,6287.97
201910271850,856,铜仁,微博,6575.43
201910271855,856,铜仁,微博,6323.66
201910271900,856,铜仁,微博,6052.44
201910271905,856,铜仁,微博,6144.45
201910271910,856,铜仁,微博,6715.22
201910271915,856,铜仁,微博,6971.89
201910271920,856,铜仁,微博,6444.60
201910271925,856,铜仁,微博,6785.81
201910271930,856,铜仁,微博,6285.37
201910271935,856,铜仁,微博,6285.06
201910271940,856,铜仁,微博,6480.49
201910271945,856,铜仁,微博,6556.20
201910271950,856,铜仁,微博,6237.47
201910271955,856,铜仁,微博,5326.10
201910272000,856,铜仁,微博,5983.68
201910272005,856,铜仁,微博,6064.81
201910272010,856,铜仁,微博,6462.88
201910272015,856,铜仁,微博,6031.85
201910272020,856,铜仁,微博,6000.91
201910272025,856,铜仁,微博,6538.05
201910272030,856,铜仁,微博,6339.87
201910272035,856,铜仁,微博,6573.65
201910272040,856,铜仁,微博,5825.84
201910272045,856,铜仁,微博,6220.30
201910272050,856,铜仁,微博,6078.64
201910272055,856,铜仁,微博,5758.71
201910272100,856,铜仁,微博,6312.28
201910272105,856,铜仁,微博,6399.34
201910272110,856,铜仁,微博,6020.03
201910272115,856,铜仁,微博,6577.29
201910272120,856,铜仁,微博,6291.01
201910272125,856,铜仁,微博,6355.47
201910272130,856,铜仁,微博,6887.65
201910272135,856,铜仁,微博,7445.46
201910272140,856,铜仁,微博,6898.70
201910272145,856,铜仁,微博,6916.72
201910272150,856,铜仁,微博,7295.72
201910272155,856,铜仁,微博,6874.73
201910272200,856,铜仁,微博,7230.13
201910272205,856,铜仁,微博,6924.83
201910272210,856,铜仁,微博,7379.19
201910272215,856,铜仁,微博,7361.97
201910272220,856,铜仁,微博,7733.15
201910272225,856,铜仁,微博,8092.79
201910272230,856,铜仁,微博,7731.56
201910272235,856,铜仁,微博,7616.63
201910272240,856,铜仁,微博,8119.49
201910272245,856,铜仁,微博,8188.47
201910272250,856,铜仁,微博,8151.21
201910272255,856,铜仁,微博,8158.75
201910272300,856,铜仁,微博,8817.50
201910272305,856,铜仁,微博,8686.69
201910272310,856,铜仁,微博,8495.48
201910272315,856,铜仁,微博,8635.38
201910272320,856,铜仁,微博,8356.75
201910272325,856,铜仁,微博,8759.64
201910272330,856,铜仁,微博,9313.53
201910272335,856,铜仁,微博,9263.05
201910272340,856,铜仁,微博,9322.99
201910272345,856,铜仁,微博,9036.85
201910272350,856,铜仁,微博,9132.99
201910272355,856,铜仁,微博,8960.69
201910280800,856,铜仁,微博,4303.20
201910280805,856,铜仁,微博,4573.64
201910280810,856,铜仁,微博,4850.31
201910280815,856,铜仁,微博,5191.91
201910280820,856,铜仁,微博,4914.03
201910280825,856,铜仁,微博,4357.50
201910280830,856,铜仁,微博,4268.14
201910280835,856,铜仁,微博,4258.70
201910280840,856,铜仁,微博,4674.83
201910280845,856,铜仁,微博,4510.29
201910280850,856,铜仁,微博,4936.55
201910280855,856,铜仁,微博,4778.96
201910280900,856,铜仁,微博,4861.08
201910280905,856,铜仁,微博,4566.00
201910280910,856,铜仁,微博,4621.30
201910280915,856,铜仁,微博,4777.58
201910280920,856,铜仁,微博,4406.86
201910280925,856,铜仁,微博,4387.64
201910280930,856,铜仁,微博,4520.07
201910280935,856,铜仁,微博,4825.30
201910280940,856,铜仁,微博,4808.70
201910280945,856,铜仁,微博,4839.03
201910280950,856,铜仁,微博,5280.45
201910280955,856,铜仁,微博,5204.82
201910281000,856,铜仁,微博,5216.72
201910281005,856,铜仁,微博,5008.82
201910281010,856,铜仁,微博,4852.64
201910281015,856,铜仁,微博,4611.70
201910281020,856,铜仁,微博,4404.42
201910281025,856,铜仁,微博,4515.85
201910281030,856,铜仁,微博,4499.60
201910281035,856,铜仁,微博,4446.92
201910281040,856,铜仁,微博,4785.90
201910281045,856,铜仁,微博,4716.23
201910281050,856,铜仁,微博,5178.37
201910281055,856,铜仁,微博,4944.73
201910281100,856,铜仁,微博,5452.67
201911140800,856,铜仁,微博,6406.66
201911140805,856,铜仁,微博,6220.90
201911140810,856,铜仁,微博,6039.96
201911140815,856,铜仁,微博,5811.50
201911140820,856,铜仁,微博,5491.67
201911140825,856,铜仁,微博,5775.02
201911140830,856,铜仁,微博,5326.67
201911140835,856,铜仁,微博,5935.34
201911140840,856,铜仁,微博,6356.44
201911140845,856,铜仁,微博,6191.65
201911140850,856,铜仁,微博,6846.04
201911140855,856,铜仁,微博,6974.48
201911140900,856,铜仁,微博,6808.16
201911140905,856,铜仁,微博,6792.68
201911140910,856,铜仁,微博,6458.52
201911140915,856,铜仁,微博,6482.58
201911140920,856,铜仁,微博,6445.62
201911140925,856,铜仁,微博,6290.23
201911140930,856,铜仁,微博,6223.04
201911140935,856,铜仁,微博,6503.98
201911140940,856,铜仁,微博,5994.46
201911140945,856,铜仁,微博,6150.88
201911140950,856,铜仁,微博,5978.39
201911140955,856,铜仁,微博,6446.48
201911141000,856,铜仁,微博,6444.02
201911141005,856,铜仁,微博,6800.67
201911141010,856,铜仁,微博,6790.25
201911141015,856,铜仁,微博,6856.06
201911141020,856,铜仁,微博,7074.02
201911141025,856,铜仁,微博,6533.09
201911141030,856,铜仁,微博,6478.43
201911141035,856,铜仁,微博,6243.82
201911141040,856,铜仁,微博,6672.81
201911141045,856,铜仁,微博,6605.74
201911141050,856,铜仁,微博,6808.17
201911141055,856,铜仁,微博,6600.30
201911141100,856,铜仁,微博,6849.70
201911141105,856,铜仁,微博,6879.37
201911141110,856,铜仁,微博,7034.46
201911141115,856,铜仁,微博,6243.87
201911141120,856,铜仁,微博,6913.65
201911141125,856,铜仁,微博,6490.95
201911141130,856,铜仁,微博,6790.52
201911141135,856,铜仁,微博,6408.76
201911141140,856,铜仁,微博,6733.43
201911141145,856,铜仁,微博,6982.44
201911141150,856,铜仁,微博,7233.09
201911141155,856,铜仁,微博,6735.95
201911141200,856,铜仁,微博,6668.95
201911141205,856,铜仁,微博,7441.67
201911141210,856,铜仁,微博,7704.78
201911141215,856,铜仁,微博,8587.42
201911141220,856,铜仁,微博,8555.07
201911141225,856,铜仁,微博,9283.74
201911141230,856,铜仁,微博,9961.32
201911141235,856,铜仁,微博,10092.19
201911141240,856,铜仁,微博,9937.54
201911141245,856,铜仁,微博,9579.83
201911141250,856,铜仁,微博,9244.73
201911141255,856,铜仁,微博,10071.51
201911141300,856,铜仁,微博,9402.46
201911141305,856,铜仁,微博,9453.46
201911141310,856,铜仁,微博,9052.00
201911141315,856,铜仁,微博,8937.02
201911141320,856,铜仁,微博,8694.89
201911141325,856,铜仁,微博,7947.37
201911141330,856,铜仁,微博,6953.80
201911141335,856,铜仁,微博,6646.14
201911141340,856,铜仁,微博,6579.07
201911141345,856,铜仁,微博,6365.04
201911141350,856,铜仁,微博,6379.98
201911141355,856,铜仁,微博,7130.98
201911141400,856,铜仁,微博,7022.42
201911141405,856,铜仁,微博,7000.57
201911141410,856,铜仁,微博,7396.49
201911141415,856,铜仁,微博,7076.59
201911141420,856,铜仁,微博,7116.22
201911141425,856,铜仁,微博,6855.95
201911141430,856,铜仁,微博,6853.46
201911141435,856,铜仁,微博,6386.75
201911141440,856,铜仁,微博,6325.80
201911141445,856,铜仁,微博,6881.66
201911141450,856,铜仁,微博,6804.86
201911141455,856,铜仁,微博,6862.29
201911141500,856,铜仁,微博,6689.61
201911141505,856,铜仁,微博,6838.41
201911141510,856,铜仁,微博,6994.68
201911141515,856,铜仁,微博,7162.67
201911141520,856,铜仁,微博,7196.55
201911141525,856,铜仁,微博,7606.15
201911141530,856,铜仁,微博,7312.40
201911141535,856,铜仁,微博,7099.40
201911141540,856,铜仁,微博,7684.60
201911141545,856,铜仁,微博,7329.92
201911141550,856,铜仁,微博,7064.05
201911141555,856,铜仁,微博,7258.21
201911141600,856,铜仁,微博,6942.25
201911141605,856,铜仁,微博,6730.30
201911141610,856,铜仁,微博,6688.61
201911141615,856,铜仁,微博,7721.89
201911141620,856,铜仁,微博,7695.87
201911141625,856,铜仁,微博,7354.32
201911141630,856,铜仁,微博,6886.75
201911141635,856,铜仁,微博,6337.89
201911141640,856,铜仁,微博,6325.47
201911141645,856,铜仁,微博,6939.10
201911141650,856,铜仁,微博,6803.68
201911141655,856,铜仁,微博,6963.90
201911141700,856,铜仁,微博,7182.70
201911141705,856,铜仁,微博,7337.90
201911141710,856,铜仁,微博,6998.09
201911141715,856,铜仁,微博,7210.05
201911141720,856,铜仁,微博,7565.55
201911141725,856,铜仁,微博,7915.28
201911141730,856,铜仁,微博,7270.06
201911141735,856,铜仁,微博,7974.36
201911141740,856,铜仁,微博,7592.98
201911141745,856,铜仁,微博,7313.67
201911141750,856,铜仁,微博,7551.22
201911141755,856,铜仁,微博,7587.25
201911141800,856,铜仁,微博,7363.38
201911141805,856,铜仁,微博,7691.73
201911141810,856,铜仁,微博,7215.41
201911141815,856,铜仁,微博,7408.48
201911141820,856,铜仁,微博,7545.83
201911141825,856,铜仁,微博,7542.11
201911141830,856,铜仁,微博,7775.40
201911141835,856,铜仁,微博,9203.53
201911141840,856,铜仁,微博,8564.22
201911141845,856,铜仁,微博,8601.61
201911141850,856,铜仁,微博,9322.19
201911141855,856,铜仁,微博,8964.89
201911141900,856,铜仁,微博,8693.29
201911141905,856,铜仁,微博,8894.12
201911141910,856,铜仁,微博,8484.07
201911141915,856,铜仁,微博,8365.57
201911141920,856,铜仁,微博,8507.20
201911141925,856,铜仁,微博,9056.12
201911141930,856,铜仁,微博,8805.20
201911141935,856,铜仁,微博,8660.07
201911141940,856,铜仁,微博,7869.85
201911141945,856,铜仁,微博,8399.27
201911141950,856,铜仁,微博,8212.14
201911141955,856,铜仁,微博,8016.24
201911142000,856,铜仁,微博,8249.85
201911142005,856,铜仁,微博,8164.20
201911142010,856,铜仁,微博,8093.32
201911142015,856,铜仁,微博,8722.53
201911142020,856,铜仁,微博,8953.13
201911142025,856,铜仁,微博,8947.73
201911142030,856,铜仁,微博,8313.90
201911142035,856,铜仁,微博,8650.66
201911142040,856,铜仁,微博,8608.81
201911142045,856,铜仁,微博,8546.33
201911142050,856,铜仁,微博,8935.75
201911142055,856,铜仁,微博,8254.07
201911142100,856,铜仁,微博,8812.83
201911142105,856,铜仁,微博,9332.68
201911142110,856,铜仁,微博,8543.79
201911142115,856,铜仁,微博,9063.20
201911142120,856,铜仁,微博,8641.16
201911142125,856,铜仁,微博,9266.84
201911142130,856,铜仁,微博,9271.89
201911142135,856,铜仁,微博,8920.53
201911142140,856,铜仁,微博,9672.60
201911142145,856,铜仁,微博,9429.35
201911142150,856,铜仁,微博,9719.45
201911142155,856,铜仁,微博,9146.14
201911142200,856,铜仁,微博,9431.91
201911142205,856,铜仁,微博,9368.01
201911142210,856,铜仁,微博,10519.06
201911142215,856,铜仁,微博,10103.81
201911142220,856,铜仁,微博,10451.49
201911142225,856,铜仁,微博,10976.44
201911142230,856,铜仁,微博,11920.43
201911142235,856,铜仁,微博,11579.53
201911142240,856,铜仁,微博,12046.19
201911142245,856,铜仁,微博,11901.28
201911142250,856,铜仁,微博,12743.09
201911142255,856,铜仁,微博,13321.40
201911142300,856,铜仁,微博,12756.58
201911142305,856,铜仁,微博,13248.55
201911142310,856,铜仁,微博,13668.75
201911142315,856,铜仁,微博,13212.56
201911142320,856,铜仁,微博,12808.41
201911142325,856,铜仁,微博,11985.12
201911142330,856,铜仁,微博,11867.18
201911142335,856,铜仁,微博,11475.96
