日期,编码,地区,业务类型,流量
201910270800,859,黔西南,应用商店,20364.07
201910270805,859,黔西南,应用商店,23503.28
201910270810,859,黔西南,应用商店,20013.82
201910270815,859,黔西南,应用商店,22728.28
201910270820,859,黔西南,应用商店,21931.79
201910270825,859,黔西南,应用商店,22759.07
201910270830,859,黔西南,应用商店,26026.50
201910270835,859,黔西南,应用商店,25210.50
201910270840,859,黔西南,应用商店,25621.21
201910270845,859,黔西南,应用商店,26598.43
201910270850,859,黔西南,应用商店,26636.86
201910270855,859,黔西南,应用商店,25446.94
201910270900,859,黔西南,应用商店,33301.10
201910270905,859,黔西南,应用商店,29974.15
201910270910,859,黔西南,应用商店,26326.69
201910270915,859,黔西南,应用商店,25905.21
201910270920,859,黔西南,应用商店,35118.69
201910270925,859,黔西南,应用商店,31672.47
201910270930,859,黔西南,应用商店,33915.55
201910270935,859,黔西南,应用商店,33302.82
201910270940,859,黔西南,应用商店,34145.87
201910270945,859,黔西南,应用商店,33631.70
201910270950,859,黔西南,应用商店,30877.97
201910270955,859,黔西南,应用商店,34818.47
201910271000,859,黔西南,应用商店,40825.97
201910271005,859,黔西南,应用商店,38338.67
201910271010,859,黔西南,应用商店,37091.34
201910271015,859,黔西南,应用商店,36295.64
201910271020,859,黔西南,应用商店,33301.66
201910271025,859,黔西南,应用商店,43758.59
201910271030,859,黔西南,应用商店,42483.88
201910271035,859,黔西南,应用商店,36658.54
201910271040,859,黔西南,应用商店,34889.25
201910271045,859,黔西南,应用商店,39768.10
201910271050,859,黔西南,应用商店,40534.05
201910271055,859,黔西南,应用商店,36454.45
201910271105,859,黔西南,应用商店,39167.10
201910271110,859,黔西南,应用商店,42446.81
201910271115,859,黔西南,应用商店,48872.24
201910271120,859,黔西南,应用商店,42051.11
201910271125,859,黔西南,应用商店,43874.17
201910271130,859,黔西南,应用商店,43506.17
201910271135,859,黔西南,应用商店,54286.68
201910271140,859,黔西南,应用商店,53847.03
201910271145,859,黔西南,应用商店,46967.54
201910271150,859,黔西南,应用商店,45031.20
201910271155,859,黔西南,应用商店,45866.91
201910271200,859,黔西南,应用商店,58255.12
201910271205,859,黔西南,应用商店,48227.68
201910271210,859,黔西南,应用商店,48472.86
201910271215,859,黔西南,应用商店,51272.45
201910271220,859,黔西南,应用商店,47628.76
201910271225,859,黔西南,应用商店,47784.12
201910271230,859,黔西南,应用商店,47083.66
201910271235,859,黔西南,应用商店,49434.53
201910271240,859,黔西南,应用商店,51745.15
201910271245,859,黔西南,应用商店,55520.26
201910271250,859,黔西南,应用商店,46431.87
201910271255,859,黔西南,应用商店,49201.09
201910271300,859,黔西南,应用商店,49016.76
201910271305,859,黔西南,应用商店,48695.71
201910271310,859,黔西南,应用商店,44242.68
201910271315,859,黔西南,应用商店,41266.35
201910271320,859,黔西南,应用商店,44610.97
201910271325,859,黔西南,应用商店,45284.11
201910271330,859,黔西南,应用商店,50955.84
201910271335,859,黔西南,应用商店,45285.33
201910271340,859,黔西南,应用商店,51126.34
201910271345,859,黔西南,应用商店,53512.16
201910271350,859,黔西南,应用商店,52465.34
201910271355,859,黔西南,应用商店,50438.24
201910271400,859,黔西南,应用商店,43822.57
201910271405,859,黔西南,应用商店,49306.58
201910271410,859,黔西南,应用商店,55370.88
201910271415,859,黔西南,应用商店,54604.91
201910271420,859,黔西南,应用商店,45546.29
201910271425,859,黔西南,应用商店,44324.29
201910271430,859,黔西南,应用商店,45008.29
201910271435,859,黔西南,应用商店,42105.08
201910271440,859,黔西南,应用商店,44365.22
201910271445,859,黔西南,应用商店,41484.01
201910271450,859,黔西南,应用商店,45031.52
201910271455,859,黔西南,应用商店,48497.51
201910271500,859,黔西南,应用商店,49735.50
201910271505,859,黔西南,应用商店,48510.30
201910271510,859,黔西南,应用商店,48122.53
201910271515,859,黔西南,应用商店,45597.20
201910271520,859,黔西南,应用商店,44603.13
201910271525,859,黔西南,应用商店,39911.12
201910271530,859,黔西南,应用商店,37288.42
201910271535,859,黔西南,应用商店,43871.13
201910271540,859,黔西南,应用商店,43749.55
201910271545,859,黔西南,应用商店,37138.38
201910271550,859,黔西南,应用商店,39960.52
201910271555,859,黔西南,应用商店,36382.55
201910271600,859,黔西南,应用商店,41514.09
201910271605,859,黔西南,应用商店,45004.40
201910271610,859,黔西南,应用商店,29819.08
201910271615,859,黔西南,应用商店,35885.66
201910271620,859,黔西南,应用商店,34014.67
201910271625,859,黔西南,应用商店,34351.74
201910271630,859,黔西南,应用商店,30735.20
201910271635,859,黔西南,应用商店,33059.98
201910271640,859,黔西南,应用商店,34382.42
201910271645,859,黔西南,应用商店,32682.34
201910271650,859,黔西南,应用商店,29831.60
201910271655,859,黔西南,应用商店,40017.09
201910271700,859,黔西南,应用商店,42293.84
201910271705,859,黔西南,应用商店,39520.44
201910271710,859,黔西南,应用商店,35143.50
201910271715,859,黔西南,应用商店,40194.93
201910271720,859,黔西南,应用商店,34923.58
201910271725,859,黔西南,应用商店,39247.52
201910271730,859,黔西南,应用商店,34426.47
201910271735,859,黔西南,应用商店,31769.98
201910271740,859,黔西南,应用商店,29284.78
201910271745,859,黔西南,应用商店,35755.89
201910271750,859,黔西南,应用商店,35675.11
201910271755,859,黔西南,应用商店,35634.49
201910271800,859,黔西南,应用商店,29866.28
201910271805,859,黔西南,应用商店,30667.36
201910271810,859,黔西南,应用商店,26519.23
201910271815,859,黔西南,应用商店,34942.48
201910271820,859,黔西南,应用商店,32074.93
201910271825,859,黔西南,应用商店,30863.36
201910271830,859,黔西南,应用商店,30677.19
201910271835,859,黔西南,应用商店,29409.33
201910271840,859,黔西南,应用商店,31531.20
201910271845,859,黔西南,应用商店,29001.75
201910271850,859,黔西南,应用商店,32383.01
201910271855,859,黔西南,应用商店,31646.42
201910271900,859,黔西南,应用商店,30218.02
201910271905,859,黔西南,应用商店,30981.52
201910271910,859,黔西南,应用商店,26973.50
201910271915,859,黔西南,应用商店,33455.07
201910271920,859,黔西南,应用商店,28733.61
201910271925,859,黔西南,应用商店,34300.29
201910271930,859,黔西南,应用商店,33762.53
201910271935,859,黔西南,应用商店,31713.19
201910271940,859,黔西南,应用商店,39091.56
201910271945,859,黔西南,应用商店,41100.25
201910271950,859,黔西南,应用商店,41807.40
201910271955,859,黔西南,应用商店,41131.54
201910272000,859,黔西南,应用商店,37655.24
201910272005,859,黔西南,应用商店,32323.90
201910272010,859,黔西南,应用商店,35459.94
201910272015,859,黔西南,应用商店,31781.16
201910272020,859,黔西南,应用商店,30765.30
201910272025,859,黔西南,应用商店,45264.31
201910272030,859,黔西南,应用商店,34929.52
201910272035,859,黔西南,应用商店,35333.38
201910272040,859,黔西南,应用商店,35342.01
201910272045,859,黔西南,应用商店,36331.52
201910272050,859,黔西南,应用商店,33549.27
201910272055,859,黔西南,应用商店,31460.39
201910272100,859,黔西南,应用商店,30022.52
201910272105,859,黔西南,应用商店,27952.80
201910272110,859,黔西南,应用商店,25915.74
201910272115,859,黔西南,应用商店,37413.28
201910272120,859,黔西南,应用商店,25613.96
201910272125,859,黔西南,应用商店,29178.21
201910272130,859,黔西南,应用商店,28172.64
201910272135,859,黔西南,应用商店,29025.33
201910272140,859,黔西南,应用商店,27964.47
201910272145,859,黔西南,应用商店,21216.71
201910272150,859,黔西南,应用商店,22558.13
201910272155,859,黔西南,应用商店,21985.58
201910272200,859,黔西南,应用商店,29370.73
201910272205,859,黔西南,应用商店,25774.17
201910272210,859,黔西南,应用商店,28259.40
201910272215,859,黔西南,应用商店,22747.63
201910272220,859,黔西南,应用商店,32545.03
201910272225,859,黔西南,应用商店,23177.13
201910272230,859,黔西南,应用商店,21862.55
201910272235,859,黔西南,应用商店,21783.80
201910272240,859,黔西南,应用商店,21967.22
201910272245,859,黔西南,应用商店,23292.92
201910272250,859,黔西南,应用商店,21559.13
201910272255,859,黔西南,应用商店,21382.32
201910272300,859,黔西南,应用商店,24145.73
201910272305,859,黔西南,应用商店,21810.28
201910272310,859,黔西南,应用商店,27353.82
201910272315,859,黔西南,应用商店,19395.72
201910272320,859,黔西南,应用商店,17719.81
201910272325,859,黔西南,应用商店,18586.97
201910272330,859,黔西南,应用商店,16498.40
201910272335,859,黔西南,应用商店,18516.65
201910272340,859,黔西南,应用商店,16132.78
201910272345,859,黔西南,应用商店,15671.65
201910272350,859,黔西南,应用商店,13657.20
201910272355,859,黔西南,应用商店,12873.08
201910280800,859,黔西南,应用商店,12511.76
201910280805,859,黔西南,应用商店,14870.28
201910280810,859,黔西南,应用商店,12078.26
201910280815,859,黔西南,应用商店,13387.79
201910280820,859,黔西南,应用商店,13245.97
201910280825,859,黔西南,应用商店,13560.07
201910280830,859,黔西南,应用商店,15021.78
201910280835,859,黔西南,应用商店,15396.18
201910280840,859,黔西南,应用商店,15186.48
201910280845,859,黔西南,应用商店,16267.87
201910280850,859,黔西南,应用商店,18270.47
201910280855,859,黔西南,应用商店,18091.63
201910280900,859,黔西南,应用商店,19044.97
201910280905,859,黔西南,应用商店,22114.24
201910280910,859,黔西南,应用商店,19933.04
201910280915,859,黔西南,应用商店,19894.35
201910280920,859,黔西南,应用商店,20142.11
201910280925,859,黔西南,应用商店,19864.04
201910280930,859,黔西南,应用商店,21536.09
201910280935,859,黔西南,应用商店,19059.74
201910280940,859,黔西南,应用商店,17883.56
201910280945,859,黔西南,应用商店,19878.21
201910280950,859,黔西南,应用商店,16138.41
201910280955,859,黔西南,应用商店,18429.09
201910281000,859,黔西南,应用商店,21088.42
201910281005,859,黔西南,应用商店,20083.19
201910281010,859,黔西南,应用商店,15499.84
201910281015,859,黔西南,应用商店,20528.14
201910281020,859,黔西南,应用商店,16733.01
201910281025,859,黔西南,应用商店,18815.29
201910281030,859,黔西南,应用商店,17640.07
201910281035,859,黔西南,应用商店,17024.39
201910281040,859,黔西南,应用商店,16468.83
201910281045,859,黔西南,应用商店,16745.96
201910281050,859,黔西南,应用商店,15429.38
201910281055,859,黔西南,应用商店,16307.56
201910281100,859,黔西南,应用商店,19991.27
201911140800,859,黔西南,应用商店,12491.72
201911140805,859,黔西南,应用商店,11814.34
