日期,编码,地区,业务类型,流量
201910270800,859,黔西南,视频直播,48682.43
201910270805,859,黔西南,视频直播,49505.18
201910270810,859,黔西南,视频直播,51910.25
201910270815,859,黔西南,视频直播,50861.96
201910270820,859,黔西南,视频直播,51980.27
201910270825,859,黔西南,视频直播,53966.19
201910270830,859,黔西南,视频直播,54719.55
201910270835,859,黔西南,视频直播,56870.38
201910270840,859,黔西南,视频直播,56528.13
201910270845,859,黔西南,视频直播,58033.41
201910270850,859,黔西南,视频直播,57323.10
201910270855,859,黔西南,视频直播,56585.46
201910270900,859,黔西南,视频直播,58090.60
201910270905,859,黔西南,视频直播,60684.92
201910270910,859,黔西南,视频直播,60795.95
201910270915,859,黔西南,视频直播,62065.37
201910270920,859,黔西南,视频直播,60480.86
201910270925,859,黔西南,视频直播,62385.77
201910270930,859,黔西南,视频直播,61928.86
201910270935,859,黔西南,视频直播,67008.58
201910270940,859,黔西南,视频直播,69383.40
201910270945,859,黔西南,视频直播,66674.43
201910270950,859,黔西南,视频直播,67151.57
201910270955,859,黔西南,视频直播,66723.89
201910271000,859,黔西南,视频直播,66529.07
201910271005,859,黔西南,视频直播,68052.67
201910271010,859,黔西南,视频直播,72348.59
201910271015,859,黔西南,视频直播,70732.52
201910271020,859,黔西南,视频直播,69291.54
201910271025,859,黔西南,视频直播,67823.91
201910271030,859,黔西南,视频直播,69965.28
201910271035,859,黔西南,视频直播,71470.48
201910271040,859,黔西南,视频直播,71575.95
201910271045,859,黔西南,视频直播,67070.44
201910271050,859,黔西南,视频直播,72415.97
201910271055,859,黔西南,视频直播,73395.60
201910271105,859,黔西南,视频直播,73547.56
201910271110,859,黔西南,视频直播,72109.34
201910271115,859,黔西南,视频直播,71831.82
201910271120,859,黔西南,视频直播,73065.03
201910271125,859,黔西南,视频直播,75317.24
201910271130,859,黔西南,视频直播,76794.45
201910271135,859,黔西南,视频直播,72356.81
201910271140,859,黔西南,视频直播,70481.47
201910271145,859,黔西南,视频直播,73973.56
201910271150,859,黔西南,视频直播,74534.73
201910271155,859,黔西南,视频直播,81542.01
201910271200,859,黔西南,视频直播,65569.94
201910271205,859,黔西南,视频直播,70771.90
201910271210,859,黔西南,视频直播,74857.82
201910271215,859,黔西南,视频直播,73498.38
201910271220,859,黔西南,视频直播,75414.32
201910271225,859,黔西南,视频直播,75661.60
201910271230,859,黔西南,视频直播,76058.17
201910271235,859,黔西南,视频直播,80236.65
201910271240,859,黔西南,视频直播,81356.58
201910271245,859,黔西南,视频直播,80594.24
201910271250,859,黔西南,视频直播,81581.87
201910271255,859,黔西南,视频直播,80563.29
201910271300,859,黔西南,视频直播,80314.88
201910271305,859,黔西南,视频直播,79366.07
201910271310,859,黔西南,视频直播,80415.15
201910271315,859,黔西南,视频直播,78875.73
201910271320,859,黔西南,视频直播,78178.97
201910271325,859,黔西南,视频直播,78427.16
201910271330,859,黔西南,视频直播,78628.63
201910271335,859,黔西南,视频直播,72968.76
201910271340,859,黔西南,视频直播,77406.42
201910271345,859,黔西南,视频直播,76229.35
201910271350,859,黔西南,视频直播,77297.45
201910271355,859,黔西南,视频直播,74314.38
201910271400,859,黔西南,视频直播,76121.29
201910271405,859,黔西南,视频直播,77016.93
201910271410,859,黔西南,视频直播,71127.41
201910271415,859,黔西南,视频直播,74934.96
201910271420,859,黔西南,视频直播,73123.93
201910271425,859,黔西南,视频直播,74246.67
201910271430,859,黔西南,视频直播,68747.21
201910271435,859,黔西南,视频直播,70299.65
201910271440,859,黔西南,视频直播,74919.01
201910271445,859,黔西南,视频直播,73433.14
201910271450,859,黔西南,视频直播,72348.20
201910271455,859,黔西南,视频直播,73865.86
201910271500,859,黔西南,视频直播,72097.73
201910271505,859,黔西南,视频直播,72080.10
201910271510,859,黔西南,视频直播,72230.05
201910271515,859,黔西南,视频直播,71731.01
201910271520,859,黔西南,视频直播,69983.88
201910271525,859,黔西南,视频直播,72069.44
201910271530,859,黔西南,视频直播,74544.13
201910271535,859,黔西南,视频直播,71304.83
201910271540,859,黔西南,视频直播,75702.68
201910271545,859,黔西南,视频直播,71752.15
201910271550,859,黔西南,视频直播,73009.60
201910271555,859,黔西南,视频直播,72934.42
201910271600,859,黔西南,视频直播,74223.47
201910271605,859,黔西南,视频直播,75092.16
201910271610,859,黔西南,视频直播,71351.71
201910271615,859,黔西南,视频直播,72608.44
201910271620,859,黔西南,视频直播,70013.79
201910271625,859,黔西南,视频直播,72168.14
201910271630,859,黔西南,视频直播,70215.34
201910271635,859,黔西南,视频直播,70507.75
201910271640,859,黔西南,视频直播,69225.26
201910271645,859,黔西南,视频直播,70468.72
201910271650,859,黔西南,视频直播,72434.03
201910271655,859,黔西南,视频直播,71900.02
201910271700,859,黔西南,视频直播,72257.98
201910271705,859,黔西南,视频直播,74581.39
201910271710,859,黔西南,视频直播,75411.98
201910271715,859,黔西南,视频直播,74560.20
201910271720,859,黔西南,视频直播,73469.32
201910271725,859,黔西南,视频直播,71491.06
