日期,编码,地区,业务类型,流量
201910270800,859,黔西南,邮箱,49.07
201910270805,859,黔西南,邮箱,72.49
201910270810,859,黔西南,邮箱,81.50
201910270815,859,黔西南,邮箱,72.84
201910270820,859,黔西南,邮箱,51.77
201910270825,859,黔西南,邮箱,98.33
201910270830,859,黔西南,邮箱,110.50
201910270835,859,黔西南,邮箱,53.64
201910270840,859,黔西南,邮箱,54.30
201910270845,859,黔西南,邮箱,114.98
201910270850,859,黔西南,邮箱,84.24
201910270855,859,黔西南,邮箱,80.82
201910270900,859,黔西南,邮箱,80.83
201910270905,859,黔西南,邮箱,94.58
201910270910,859,黔西南,邮箱,92.40
201910270915,859,黔西南,邮箱,81.46
201910270920,859,黔西南,邮箱,64.88
201910270925,859,黔西南,邮箱,71.99
201910270930,859,黔西南,邮箱,102.88
201910270935,859,黔西南,邮箱,79.47
201910270940,859,黔西南,邮箱,82.62
201910270945,859,黔西南,邮箱,104.76
201910270950,859,黔西南,邮箱,112.19
201910270955,859,黔西南,邮箱,129.68
201910271000,859,黔西南,邮箱,86.10
201910271005,859,黔西南,邮箱,97.01
201910271010,859,黔西南,邮箱,99.01
201910271015,859,黔西南,邮箱,104.35
201910271020,859,黔西南,邮箱,88.20
201910271025,859,黔西南,邮箱,79.70
201910271030,859,黔西南,邮箱,103.24
201910271035,859,黔西南,邮箱,132.38
201910271040,859,黔西南,邮箱,93.56
201910271045,859,黔西南,邮箱,91.08
201910271050,859,黔西南,邮箱,95.25
201910271055,859,黔西南,邮箱,78.24
201910271105,859,黔西南,邮箱,107.42
201910271110,859,黔西南,邮箱,104.05
201910271115,859,黔西南,邮箱,92.39
201910271120,859,黔西南,邮箱,89.16
201910271125,859,黔西南,邮箱,106.38
201910271130,859,黔西南,邮箱,116.11
201910271135,859,黔西南,邮箱,105.93
201910271140,859,黔西南,邮箱,88.93
201910271145,859,黔西南,邮箱,116.93
201910271150,859,黔西南,邮箱,105.31
201910271155,859,黔西南,邮箱,104.14
201910271200,859,黔西南,邮箱,73.02
201910271205,859,黔西南,邮箱,127.77
201910271210,859,黔西南,邮箱,87.08
201910271215,859,黔西南,邮箱,70.76
201910271220,859,黔西南,邮箱,94.32
201910271225,859,黔西南,邮箱,176.95
201910271230,859,黔西南,邮箱,82.38
201910271235,859,黔西南,邮箱,94.17
201910271240,859,黔西南,邮箱,82.38
201910271245,859,黔西南,邮箱,96.46
201910271250,859,黔西南,邮箱,143.34
201910271255,859,黔西南,邮箱,80.90
201910271300,859,黔西南,邮箱,96.93
201910271305,859,黔西南,邮箱,127.91
201910271310,859,黔西南,邮箱,99.02
201910271315,859,黔西南,邮箱,87.71
201910271320,859,黔西南,邮箱,101.38
201910271325,859,黔西南,邮箱,101.28
201910271330,859,黔西南,邮箱,107.63
201910271335,859,黔西南,邮箱,95.23
201910271340,859,黔西南,邮箱,51.21
201910271345,859,黔西南,邮箱,87.44
201910271350,859,黔西南,邮箱,75.45
201910271355,859,黔西南,邮箱,95.64
201910271400,859,黔西南,邮箱,91.17
201910271405,859,黔西南,邮箱,92.38
201910271410,859,黔西南,邮箱,141.58
201910271415,859,黔西南,邮箱,114.66
201910271420,859,黔西南,邮箱,90.53
201910271425,859,黔西南,邮箱,191.36
201910271430,859,黔西南,邮箱,87.28
201910271435,859,黔西南,邮箱,98.66
201910271440,859,黔西南,邮箱,81.38
201910271445,859,黔西南,邮箱,99.00
201910271450,859,黔西南,邮箱,115.91
201910271455,859,黔西南,邮箱,81.20
201910271500,859,黔西南,邮箱,120.24
201910271505,859,黔西南,邮箱,89.36
201910271510,859,黔西南,邮箱,103.50
201910271515,859,黔西南,邮箱,106.99
201910271520,859,黔西南,邮箱,81.60
201910271525,859,黔西南,邮箱,121.45
201910271530,859,黔西南,邮箱,125.48
201910271535,859,黔西南,邮箱,101.50
201910271540,859,黔西南,邮箱,137.94
201910271545,859,黔西南,邮箱,73.71
201910271550,859,黔西南,邮箱,121.72
201910271555,859,黔西南,邮箱,124.98
201910271600,859,黔西南,邮箱,91.56
201910271605,859,黔西南,邮箱,92.58
201910271610,859,黔西南,邮箱,100.66
201910271615,859,黔西南,邮箱,131.91
201910271620,859,黔西南,邮箱,66.92
201910271625,859,黔西南,邮箱,85.90
201910271630,859,黔西南,邮箱,95.78
201910271635,859,黔西南,邮箱,78.67
201910271640,859,黔西南,邮箱,127.06
201910271645,859,黔西南,邮箱,140.91
201910271650,859,黔西南,邮箱,136.27
201910271655,859,黔西南,邮箱,85.79
201910271700,859,黔西南,邮箱,100.91
201910271705,859,黔西南,邮箱,101.71
201910271710,859,黔西南,邮箱,60.94
201910271715,859,黔西南,邮箱,73.61
201910271720,859,黔西南,邮箱,95.55
201910271725,859,黔西南,邮箱,104.25
201910271730,859,黔西南,邮箱,108.74
201910271735,859,黔西南,邮箱,74.57
201910271740,859,黔西南,邮箱,90.90
201910271745,859,黔西南,邮箱,86.48
201910271750,859,黔西南,邮箱,53.60
201910271755,859,黔西南,邮箱,81.86
201910271800,859,黔西南,邮箱,95.90
201910271805,859,黔西南,邮箱,94.37
201910271810,859,黔西南,邮箱,85.62
201910271815,859,黔西南,邮箱,70.21
201910271820,859,黔西南,邮箱,107.92
201910271825,859,黔西南,邮箱,188.08
201910271830,859,黔西南,邮箱,88.46
201910271835,859,黔西南,邮箱,54.54
201910271840,859,黔西南,邮箱,80.06
201910271845,859,黔西南,邮箱,109.96
201910271850,859,黔西南,邮箱,117.83
201910271855,859,黔西南,邮箱,74.07
201910271900,859,黔西南,邮箱,80.04
201910271905,859,黔西南,邮箱,81.88
201910271910,859,黔西南,邮箱,135.64
201910271915,859,黔西南,邮箱,61.09
201910271920,859,黔西南,邮箱,81.84
201910271925,859,黔西南,邮箱,74.52
201910271930,859,黔西南,邮箱,94.83
201910271935,859,黔西南,邮箱,74.30
201910271940,859,黔西南,邮箱,74.20
201910271945,859,黔西南,邮箱,60.87
201910271950,859,黔西南,邮箱,96.05
201910271955,859,黔西南,邮箱,68.66
201910272000,859,黔西南,邮箱,71.71
201910272005,859,黔西南,邮箱,80.94
201910272010,859,黔西南,邮箱,100.38
201910272015,859,黔西南,邮箱,84.29
201910272020,859,黔西南,邮箱,81.14
201910272025,859,黔西南,邮箱,84.15
201910272030,859,黔西南,邮箱,94.76
201910272035,859,黔西南,邮箱,63.50
201910272040,859,黔西南,邮箱,87.27
201910272045,859,黔西南,邮箱,93.83
201910272050,859,黔西南,邮箱,95.12
201910272055,859,黔西南,邮箱,156.82
201910272100,859,黔西南,邮箱,88.55
201910272105,859,黔西南,邮箱,64.27
201910272110,859,黔西南,邮箱,87.94
201910272115,859,黔西南,邮箱,83.28
201910272120,859,黔西南,邮箱,84.73
201910272125,859,黔西南,邮箱,87.24
201910272130,859,黔西南,邮箱,65.06
201910272135,859,黔西南,邮箱,114.38
201910272140,859,黔西南,邮箱,98.75
201910272145,859,黔西南,邮箱,93.20
201910272150,859,黔西南,邮箱,106.13
201910272155,859,黔西南,邮箱,62.41
201910272200,859,黔西南,邮箱,91.36
201910272205,859,黔西南,邮箱,96.44
201910272210,859,黔西南,邮箱,81.22
201910272215,859,黔西南,邮箱,96.37
201910272220,859,黔西南,邮箱,83.44
201910272225,859,黔西南,邮箱,110.55
201910272230,859,黔西南,邮箱,96.40
201910272235,859,黔西南,邮箱,104.49
201910272240,859,黔西南,邮箱,98.26
201910272245,859,黔西南,邮箱,65.63
201910272250,859,黔西南,邮箱,62.77
201910272255,859,黔西南,邮箱,64.94
201910272300,859,黔西南,邮箱,63.10
201910272305,859,黔西南,邮箱,71.34
201910272310,859,黔西南,邮箱,91.96
201910272315,859,黔西南,邮箱,72.98
201910272320,859,黔西南,邮箱,53.03
201910272325,859,黔西南,邮箱,68.82
201910272330,859,黔西南,邮箱,70.69
201910272335,859,黔西南,邮箱,51.23
201910272340,859,黔西南,邮箱,96.95
201910272345,859,黔西南,邮箱,57.47
201910272350,859,黔西南,邮箱,60.73
201910272355,859,黔西南,邮箱,70.44
201910280800,859,黔西南,邮箱,137.61
201910280805,859,黔西南,邮箱,117.68
201910280810,859,黔西南,邮箱,120.63
201910280815,859,黔西南,邮箱,94.73
201910280820,859,黔西南,邮箱,84.27
201910280825,859,黔西南,邮箱,96.94
201910280830,859,黔西南,邮箱,158.10
201910280835,859,黔西南,邮箱,109.80
201910280840,859,黔西南,邮箱,133.27
201910280845,859,黔西南,邮箱,142.67
201910280850,859,黔西南,邮箱,184.45
201910280855,859,黔西南,邮箱,113.53
201910280900,859,黔西南,邮箱,89.78
201910280905,859,黔西南,邮箱,129.62
201910280910,859,黔西南,邮箱,141.27
201910280915,859,黔西南,邮箱,107.54
201910280920,859,黔西南,邮箱,156.12
201910280925,859,黔西南,邮箱,174.53
201910280930,859,黔西南,邮箱,136.77
201910280935,859,黔西南,邮箱,134.35
201910280940,859,黔西南,邮箱,100.54
201910280945,859,黔西南,邮箱,176.26
201910280950,859,黔西南,邮箱,132.90
201910280955,859,黔西南,邮箱,128.07
201910281000,859,黔西南,邮箱,122.96
201910281005,859,黔西南,邮箱,166.83
201910281010,859,黔西南,邮箱,325.52
201910281015,859,黔西南,邮箱,299.91
201910281020,859,黔西南,邮箱,159.13
201910281025,859,黔西南,邮箱,160.16
201910281030,859,黔西南,邮箱,166.69
201910281035,859,黔西南,邮箱,160.79
201910281040,859,黔西南,邮箱,140.42
201910281045,859,黔西南,邮箱,115.03
201910281050,859,黔西南,邮箱,178.34
