日期,编码,地区,业务类型,流量
201910270800,859,黔西南,音乐,10428.03
201910270805,859,黔西南,音乐,10526.72
201910270810,859,黔西南,音乐,12851.42
201910270815,859,黔西南,音乐,11042.44
201910270820,859,黔西南,音乐,12313.32
201910270825,859,黔西南,音乐,12531.87
201910270830,859,黔西南,音乐,12503.02
201910270835,859,黔西南,音乐,12764.87
201910270840,859,黔西南,音乐,14967.28
201910270845,859,黔西南,音乐,15008.42
201910270850,859,黔西南,音乐,15839.37
201910270855,859,黔西南,音乐,15780.84
201910270900,859,黔西南,音乐,16790.72
201910270905,859,黔西南,音乐,16517.97
201910270910,859,黔西南,音乐,17545.07
201910270915,859,黔西南,音乐,17290.04
201910270920,859,黔西南,音乐,17444.69
201910270925,859,黔西南,音乐,19263.72
201910270930,859,黔西南,音乐,18159.23
201910270935,859,黔西南,音乐,19575.40
201910270940,859,黔西南,音乐,20537.46
201910270945,859,黔西南,音乐,20906.58
201910270950,859,黔西南,音乐,22944.50
201910270955,859,黔西南,音乐,19860.03
201910271000,859,黔西南,音乐,21799.62
201910271005,859,黔西南,音乐,23546.14
201910271010,859,黔西南,音乐,23828.71
201910271015,859,黔西南,音乐,23901.24
201910271020,859,黔西南,音乐,23245.44
201910271025,859,黔西南,音乐,24895.03
201910271030,859,黔西南,音乐,25172.26
201910271035,859,黔西南,音乐,25491.20
201910271040,859,黔西南,音乐,25518.95
201910271045,859,黔西南,音乐,23550.84
201910271050,859,黔西南,音乐,25296.40
201910271055,859,黔西南,音乐,26400.76
201910271105,859,黔西南,音乐,25873.58
201910271110,859,黔西南,音乐,26417.48
201910271115,859,黔西南,音乐,26378.19
201910271120,859,黔西南,音乐,27851.92
201910271125,859,黔西南,音乐,27369.89
201910271130,859,黔西南,音乐,26899.06
201910271135,859,黔西南,音乐,25706.01
201910271140,859,黔西南,音乐,25289.23
201910271145,859,黔西南,音乐,25819.47
201910271150,859,黔西南,音乐,28138.67
201910271155,859,黔西南,音乐,26981.05
201910271200,859,黔西南,音乐,23798.94
201910271205,859,黔西南,音乐,25540.72
201910271210,859,黔西南,音乐,26555.14
201910271215,859,黔西南,音乐,26539.28
201910271220,859,黔西南,音乐,27226.35
201910271225,859,黔西南,音乐,27839.04
201910271230,859,黔西南,音乐,29778.51
201910271235,859,黔西南,音乐,30520.75
201910271240,859,黔西南,音乐,29930.91
201910271245,859,黔西南,音乐,32909.65
201910271250,859,黔西南,音乐,29041.12
201910271255,859,黔西南,音乐,30884.50
201910271300,859,黔西南,音乐,30158.64
201910271305,859,黔西南,音乐,29737.81
201910271310,859,黔西南,音乐,32910.87
201910271315,859,黔西南,音乐,34201.17
201910271320,859,黔西南,音乐,30585.90
201910271325,859,黔西南,音乐,30691.57
201910271330,859,黔西南,音乐,31825.64
201910271335,859,黔西南,音乐,28784.58
201910271340,859,黔西南,音乐,28591.40
201910271345,859,黔西南,音乐,28942.98
201910271350,859,黔西南,音乐,30545.69
201910271355,859,黔西南,音乐,31206.89
201910271400,859,黔西南,音乐,29137.24
201910271405,859,黔西南,音乐,28776.64
201910271410,859,黔西南,音乐,27493.57
201910271415,859,黔西南,音乐,28788.86
201910271420,859,黔西南,音乐,28523.67
201910271425,859,黔西南,音乐,28387.45
201910271430,859,黔西南,音乐,28999.73
201910271435,859,黔西南,音乐,27899.73
201910271440,859,黔西南,音乐,28264.80
201910271445,859,黔西南,音乐,29045.05
201910271450,859,黔西南,音乐,29491.66
201910271455,859,黔西南,音乐,29828.17
201910271500,859,黔西南,音乐,29033.71
201910271505,859,黔西南,音乐,29330.73
201910271510,859,黔西南,音乐,28523.38
201910271515,859,黔西南,音乐,27280.81
201910271520,859,黔西南,音乐,28378.93
201910271525,859,黔西南,音乐,29878.25
201910271530,859,黔西南,音乐,27865.68
201910271535,859,黔西南,音乐,31268.02
201910271540,859,黔西南,音乐,28945.19
201910271545,859,黔西南,音乐,30475.54
201910271550,859,黔西南,音乐,29860.26
201910271555,859,黔西南,音乐,27799.97
201910271600,859,黔西南,音乐,30019.15
201910271605,859,黔西南,音乐,28616.94
201910271610,859,黔西南,音乐,29473.00
201910271615,859,黔西南,音乐,28183.32
201910271620,859,黔西南,音乐,30490.96
201910271625,859,黔西南,音乐,30236.78
201910271630,859,黔西南,音乐,28208.54
201910271635,859,黔西南,音乐,29057.82
201910271640,859,黔西南,音乐,32896.97
201910271645,859,黔西南,音乐,30538.66
201910271650,859,黔西南,音乐,29058.31
201910271655,859,黔西南,音乐,28098.61
201910271700,859,黔西南,音乐,27323.46
201910271705,859,黔西南,音乐,28284.15
201910271710,859,黔西南,音乐,28018.95
201910271715,859,黔西南,音乐,27527.38
201910271720,859,黔西南,音乐,28645.06
201910271725,859,黔西南,音乐,26891.29
201910271730,859,黔西南,音乐,27771.76
201910271735,859,黔西南,音乐,25266.78
201910271740,859,黔西南,音乐,25591.12
201910271745,859,黔西南,音乐,25662.45
201910271750,859,黔西南,音乐,25334.36
201910271755,859,黔西南,音乐,27413.42
201910271800,859,黔西南,音乐,23595.75
201910271805,859,黔西南,音乐,23607.10
201910271810,859,黔西南,音乐,24770.98
201910271815,859,黔西南,音乐,23168.17
201910271820,859,黔西南,音乐,27829.86
201910271825,859,黔西南,音乐,25488.50
201910271830,859,黔西南,音乐,27901.97
201910271835,859,黔西南,音乐,28706.96
201910271840,859,黔西南,音乐,30765.67
201910271845,859,黔西南,音乐,32126.40
201910271850,859,黔西南,音乐,33581.27
201910271855,859,黔西南,音乐,34015.60
201910271900,859,黔西南,音乐,31512.17
201910271905,859,黔西南,音乐,34901.21
201910271910,859,黔西南,音乐,37990.11
201910271915,859,黔西南,音乐,40665.33
201910271920,859,黔西南,音乐,41120.35
201910271925,859,黔西南,音乐,39325.54
201910271930,859,黔西南,音乐,37871.36
201910271935,859,黔西南,音乐,38993.58
201910271940,859,黔西南,音乐,43842.19
201910271945,859,黔西南,音乐,48621.76
201910271950,859,黔西南,音乐,47188.62
201910271955,859,黔西南,音乐,45810.58
201910272000,859,黔西南,音乐,48489.77
201910272005,859,黔西南,音乐,52438.24
201910272010,859,黔西南,音乐,48254.54
201910272015,859,黔西南,音乐,51219.03
201910272020,859,黔西南,音乐,52338.48
201910272025,859,黔西南,音乐,55293.44
201910272030,859,黔西南,音乐,55110.18
201910272035,859,黔西南,音乐,56450.53
201910272040,859,黔西南,音乐,56749.73
201910272045,859,黔西南,音乐,57917.16
201910272050,859,黔西南,音乐,60950.87
201910272055,859,黔西南,音乐,56876.61
201910272100,859,黔西南,音乐,57835.32
201910272105,859,黔西南,音乐,64279.53
201910272110,859,黔西南,音乐,57550.42
201910272115,859,黔西南,音乐,57951.02
201910272120,859,黔西南,音乐,60745.46
201910272125,859,黔西南,音乐,59205.67
201910272130,859,黔西南,音乐,56876.20
201910272135,859,黔西南,音乐,62057.92
201910272140,859,黔西南,音乐,54637.36
201910272145,859,黔西南,音乐,57756.26
201910272150,859,黔西南,音乐,54411.85
201910272155,859,黔西南,音乐,57040.13
201910272200,859,黔西南,音乐,58972.09
201910272205,859,黔西南,音乐,55826.48
