日期,编码,地区,业务类型,流量
201910270800,859,黔西南,支付,2564.57
201910270805,859,黔西南,支付,3037.50
201910270810,859,黔西南,支付,2935.43
201910270815,859,黔西南,支付,2841.60
201910270820,859,黔西南,支付,2822.69
201910270825,859,黔西南,支付,2800.45
201910270830,859,黔西南,支付,2669.58
201910270835,859,黔西南,支付,2795.37
201910270840,859,黔西南,支付,2941.19
201910270845,859,黔西南,支付,2535.07
201910270850,859,黔西南,支付,2948.72
201910270855,859,黔西南,支付,2908.43
201910270900,859,黔西南,支付,3005.09
201910270905,859,黔西南,支付,3264.45
201910270910,859,黔西南,支付,3500.11
201910270915,859,黔西南,支付,3506.32
201910270920,859,黔西南,支付,3394.91
201910270925,859,黔西南,支付,3643.09
201910270930,859,黔西南,支付,3716.21
201910270935,859,黔西南,支付,3395.71
201910270940,859,黔西南,支付,3367.45
201910270945,859,黔西南,支付,3438.02
201910270950,859,黔西南,支付,3400.48
201910270955,859,黔西南,支付,3835.00
201910271000,859,黔西南,支付,3655.82
201910271005,859,黔西南,支付,3657.16
201910271010,859,黔西南,支付,3352.71
201910271015,859,黔西南,支付,3519.49
201910271020,859,黔西南,支付,3485.80
201910271025,859,黔西南,支付,3568.70
201910271030,859,黔西南,支付,3636.16
201910271035,859,黔西南,支付,3852.68
201910271040,859,黔西南,支付,3781.98
201910271045,859,黔西南,支付,3844.96
201910271050,859,黔西南,支付,3705.10
201910271055,859,黔西南,支付,3965.57
201910271105,859,黔西南,支付,4178.65
201910271110,859,黔西南,支付,3758.54
201910271115,859,黔西南,支付,4214.26
201910271120,859,黔西南,支付,4109.40
201910271125,859,黔西南,支付,3880.08
201910271130,859,黔西南,支付,4001.27
201910271135,859,黔西南,支付,3452.98
201910271140,859,黔西南,支付,4161.42
201910271145,859,黔西南,支付,3903.62
201910271150,859,黔西南,支付,3539.89
201910271155,859,黔西南,支付,4533.81
201910271200,859,黔西南,支付,3655.32
201910271205,859,黔西南,支付,3711.52
201910271210,859,黔西南,支付,4137.77
201910271215,859,黔西南,支付,4245.79
201910271220,859,黔西南,支付,4399.60
201910271225,859,黔西南,支付,3903.72
201910271230,859,黔西南,支付,3913.46
201910271235,859,黔西南,支付,3980.28
201910271240,859,黔西南,支付,4023.40
201910271245,859,黔西南,支付,3603.75
201910271250,859,黔西南,支付,3818.88
201910271255,859,黔西南,支付,4003.22
201910271300,859,黔西南,支付,4054.32
201910271305,859,黔西南,支付,3946.91
201910271310,859,黔西南,支付,3913.97
201910271315,859,黔西南,支付,3818.97
201910271320,859,黔西南,支付,3836.73
201910271325,859,黔西南,支付,3491.93
201910271330,859,黔西南,支付,3604.10
201910271335,859,黔西南,支付,3699.23
201910271340,859,黔西南,支付,4094.41
201910271345,859,黔西南,支付,3957.40
201910271350,859,黔西南,支付,3499.52
201910271355,859,黔西南,支付,3576.65
201910271400,859,黔西南,支付,3630.63
201910271405,859,黔西南,支付,4308.86
201910271410,859,黔西南,支付,3764.64
201910271415,859,黔西南,支付,3665.14
201910271420,859,黔西南,支付,3130.93
201910271425,859,黔西南,支付,3393.33
201910271430,859,黔西南,支付,3741.67
201910271435,859,黔西南,支付,4073.79
201910271440,859,黔西南,支付,3322.67
201910271445,859,黔西南,支付,3581.86
201910271450,859,黔西南,支付,3899.57
201910271455,859,黔西南,支付,3397.73
201910271500,859,黔西南,支付,3626.77
201910271505,859,黔西南,支付,3585.18
201910271510,859,黔西南,支付,3221.97
201910271515,859,黔西南,支付,3399.71
201910271520,859,黔西南,支付,3292.58
201910271525,859,黔西南,支付,3216.46
201910271530,859,黔西南,支付,3924.62
201910271535,859,黔西南,支付,3313.45
201910271540,859,黔西南,支付,3526.76
201910271545,859,黔西南,支付,3604.29
201910271550,859,黔西南,支付,3899.60
201910271555,859,黔西南,支付,3656.82
201910271600,859,黔西南,支付,3728.75
201910271605,859,黔西南,支付,3538.52
201910271610,859,黔西南,支付,3785.73
201910271615,859,黔西南,支付,3706.50
201910271620,859,黔西南,支付,3635.54
201910271625,859,黔西南,支付,3461.87
201910271630,859,黔西南,支付,3314.02
