日期,编码,地区,业务类型,流量
201910270800,859,黔西南,出行旅游,102.63
201910270805,859,黔西南,出行旅游,164.37
201910270810,859,黔西南,出行旅游,86.36
201910270815,859,黔西南,出行旅游,95.40
201910270820,859,黔西南,出行旅游,154.98
201910270825,859,黔西南,出行旅游,129.55
201910270830,859,黔西南,出行旅游,186.82
201910270835,859,黔西南,出行旅游,88.18
201910270840,859,黔西南,出行旅游,131.16
201910270845,859,黔西南,出行旅游,81.69
201910270850,859,黔西南,出行旅游,187.45
201910270855,859,黔西南,出行旅游,192.21
201910270900,859,黔西南,出行旅游,129.74
201910270905,859,黔西南,出行旅游,240.47
201910270910,859,黔西南,出行旅游,122.80
201910270915,859,黔西南,出行旅游,79.54
201910270920,859,黔西南,出行旅游,160.10
201910270925,859,黔西南,出行旅游,149.21
201910270930,859,黔西南,出行旅游,209.07
201910270935,859,黔西南,出行旅游,140.88
201910270940,859,黔西南,出行旅游,118.40
201910270945,859,黔西南,出行旅游,261.33
201910270950,859,黔西南,出行旅游,167.46
201910270955,859,黔西南,出行旅游,214.34
201910271000,859,黔西南,出行旅游,138.38
201910271005,859,黔西南,出行旅游,175.73
201910271010,859,黔西南,出行旅游,303.66
201910271015,859,黔西南,出行旅游,249.83
201910271020,859,黔西南,出行旅游,187.49
201910271025,859,黔西南,出行旅游,379.77
201910271030,859,黔西南,出行旅游,167.09
201910271035,859,黔西南,出行旅游,141.72
201910271040,859,黔西南,出行旅游,122.13
201910271045,859,黔西南,出行旅游,349.06
201910271050,859,黔西南,出行旅游,352.09
201910271055,859,黔西南,出行旅游,208.74
201910271105,859,黔西南,出行旅游,319.70
201910271110,859,黔西南,出行旅游,177.21
201910271115,859,黔西南,出行旅游,230.41
201910271120,859,黔西南,出行旅游,204.91
201910271125,859,黔西南,出行旅游,267.05
201910271130,859,黔西南,出行旅游,220.96
201910271135,859,黔西南,出行旅游,232.68
201910271140,859,黔西南,出行旅游,294.03
201910271145,859,黔西南,出行旅游,163.98
201910271150,859,黔西南,出行旅游,170.61
201910271155,859,黔西南,出行旅游,227.22
201910271200,859,黔西南,出行旅游,226.52
201910271205,859,黔西南,出行旅游,128.13
201910271210,859,黔西南,出行旅游,188.45
201910271215,859,黔西南,出行旅游,131.46
201910271220,859,黔西南,出行旅游,213.95
201910271225,859,黔西南,出行旅游,160.42
201910271230,859,黔西南,出行旅游,161.22
201910271235,859,黔西南,出行旅游,141.63
201910271240,859,黔西南,出行旅游,195.90
201910271245,859,黔西南,出行旅游,168.77
201910271250,859,黔西南,出行旅游,212.67
201910271255,859,黔西南,出行旅游,198.46
201910271300,859,黔西南,出行旅游,340.80
201910271305,859,黔西南,出行旅游,129.51
201910271310,859,黔西南,出行旅游,164.28
201910271315,859,黔西南,出行旅游,261.29
201910271320,859,黔西南,出行旅游,187.27
201910271325,859,黔西南,出行旅游,199.44
201910271330,859,黔西南,出行旅游,272.16
201910271335,859,黔西南,出行旅游,177.56
201910271340,859,黔西南,出行旅游,187.69
201910271345,859,黔西南,出行旅游,164.87
201910271350,859,黔西南,出行旅游,163.53
201910271355,859,黔西南,出行旅游,179.61
201910271400,859,黔西南,出行旅游,243.50
201910271405,859,黔西南,出行旅游,284.31
201910271410,859,黔西南,出行旅游,138.37
201910271415,859,黔西南,出行旅游,186.32
201910271420,859,黔西南,出行旅游,201.82
201910271425,859,黔西南,出行旅游,228.35
201910271430,859,黔西南,出行旅游,177.59
201910271435,859,黔西南,出行旅游,123.16
201910271440,859,黔西南,出行旅游,151.24
201910271445,859,黔西南,出行旅游,190.21
201910271450,859,黔西南,出行旅游,204.65
201910271455,859,黔西南,出行旅游,126.06
201910271500,859,黔西南,出行旅游,149.33
201910271505,859,黔西南,出行旅游,321.22
201910271510,859,黔西南,出行旅游,162.98
201910271515,859,黔西南,出行旅游,230.98
201910271520,859,黔西南,出行旅游,355.69
201910271525,859,黔西南,出行旅游,116.18
201910271530,859,黔西南,出行旅游,126.69
201910271535,859,黔西南,出行旅游,113.33
201910271540,859,黔西南,出行旅游,174.18
201910271545,859,黔西南,出行旅游,188.77
201910271550,859,黔西南,出行旅游,153.98
201910271555,859,黔西南,出行旅游,147.81
201910271600,859,黔西南,出行旅游,147.89
201910271605,859,黔西南,出行旅游,231.68
201910271610,859,黔西南,出行旅游,383.64
201910271615,859,黔西南,出行旅游,316.01
201910271620,859,黔西南,出行旅游,122.25
201910271625,859,黔西南,出行旅游,160.85
201910271630,859,黔西南,出行旅游,242.44
201910271635,859,黔西南,出行旅游,265.19
201910271640,859,黔西南,出行旅游,121.34
201910271645,859,黔西南,出行旅游,218.83
201910271650,859,黔西南,出行旅游,153.43
201910271655,859,黔西南,出行旅游,162.20
201910271700,859,黔西南,出行旅游,135.82
201910271705,859,黔西南,出行旅游,144.52
201910271710,859,黔西南,出行旅游,213.66
201910271715,859,黔西南,出行旅游,268.44
201910271720,859,黔西南,出行旅游,431.32
201910271725,859,黔西南,出行旅游,158.66
201910271730,859,黔西南,出行旅游,298.07
201910271735,859,黔西南,出行旅游,199.95
201910271740,859,黔西南,出行旅游,111.85
201910271745,859,黔西南,出行旅游,117.31
201910271750,859,黔西南,出行旅游,123.09
201910271755,859,黔西南,出行旅游,138.99
201910271800,859,黔西南,出行旅游,86.77
201910271805,859,黔西南,出行旅游,172.35
201910271810,859,黔西南,出行旅游,169.77
201910271815,859,黔西南,出行旅游,118.28
201910271820,859,黔西南,出行旅游,229.74
201910271825,859,黔西南,出行旅游,286.74
201910271830,859,黔西南,出行旅游,259.31
201910271835,859,黔西南,出行旅游,146.95
201910271840,859,黔西南,出行旅游,135.07
201910271845,859,黔西南,出行旅游,175.38
201910271850,859,黔西南,出行旅游,132.08
201910271855,859,黔西南,出行旅游,177.78
201910271900,859,黔西南,出行旅游,343.02
201910271905,859,黔西南,出行旅游,202.55
201910271910,859,黔西南,出行旅游,199.33
201910271915,859,黔西南,出行旅游,156.07
201910271920,859,黔西南,出行旅游,214.62
201910271925,859,黔西南,出行旅游,200.16
201910271930,859,黔西南,出行旅游,195.56
201910271935,859,黔西南,出行旅游,243.78
201910271940,859,黔西南,出行旅游,186.53
201910271945,859,黔西南,出行旅游,132.98
201910271950,859,黔西南,出行旅游,238.25
201910271955,859,黔西南,出行旅游,147.65
201910272000,859,黔西南,出行旅游,285.72
201910272005,859,黔西南,出行旅游,208.33
201910272010,859,黔西南,出行旅游,160.26
201910272015,859,黔西南,出行旅游,196.33
201910272020,859,黔西南,出行旅游,109.42
201910272025,859,黔西南,出行旅游,124.40
201910272030,859,黔西南,出行旅游,122.09
201910272035,859,黔西南,出行旅游,115.90
201910272040,859,黔西南,出行旅游,311.48
201910272045,859,黔西南,出行旅游,126.92
201910272050,859,黔西南,出行旅游,248.83
201910272055,859,黔西南,出行旅游,206.52
201910272100,859,黔西南,出行旅游,129.31
201910272105,859,黔西南,出行旅游,238.90
201910272110,859,黔西南,出行旅游,180.14
201910272115,859,黔西南,出行旅游,202.66
201910272120,859,黔西南,出行旅游,162.13
201910272125,859,黔西南,出行旅游,167.90
201910272130,859,黔西南,出行旅游,177.88
201910272135,859,黔西南,出行旅游,161.95
201910272140,859,黔西南,出行旅游,138.09
201910272145,859,黔西南,出行旅游,97.21
201910272150,859,黔西南,出行旅游,365.49
201910272155,859,黔西南,出行旅游,228.02
201910272200,859,黔西南,出行旅游,140.29
201910272205,859,黔西南,出行旅游,220.16
201910272210,859,黔西南,出行旅游,144.51
201910272215,859,黔西南,出行旅游,231.73
201910272220,859,黔西南,出行旅游,227.55
201910272225,859,黔西南,出行旅游,175.67
201910272230,859,黔西南,出行旅游,291.20
201910272235,859,黔西南,出行旅游,122.22
201910272240,859,黔西南,出行旅游,120.54
201910272245,859,黔西南,出行旅游,85.62
201910272250,859,黔西南,出行旅游,116.43
201910272255,859,黔西南,出行旅游,133.91
201910272300,859,黔西南,出行旅游,94.41
201910272305,859,黔西南,出行旅游,119.30
201910272310,859,黔西南,出行旅游,161.15
201910272315,859,黔西南,出行旅游,295.97
201910272320,859,黔西南,出行旅游,86.57
201910272325,859,黔西南,出行旅游,99.65
201910272330,859,黔西南,出行旅游,109.34
201910272335,859,黔西南,出行旅游,61.25
201910272340,859,黔西南,出行旅游,101.39
201910272345,859,黔西南,出行旅游,122.77
201910272350,859,黔西南,出行旅游,221.32
201910272355,859,黔西南,出行旅游,172.68
201910280800,859,黔西南,出行旅游,39.88
201910280805,859,黔西南,出行旅游,115.08
201910280810,859,黔西南,出行旅游,136.03
201910280815,859,黔西南,出行旅游,125.32
201910280820,859,黔西南,出行旅游,129.75
201910280825,859,黔西南,出行旅游,103.36
201910280830,859,黔西南,出行旅游,179.81
201910280835,859,黔西南,出行旅游,141.97
201910280840,859,黔西南,出行旅游,106.74
201910280845,859,黔西南,出行旅游,147.32
201910280850,859,黔西南,出行旅游,120.49
201910280855,859,黔西南,出行旅游,117.16
201910280900,859,黔西南,出行旅游,147.85
201910280905,859,黔西南,出行旅游,258.85
201910280910,859,黔西南,出行旅游,242.22
201910280915,859,黔西南,出行旅游,216.65
201910280920,859,黔西南,出行旅游,169.36
201910280925,859,黔西南,出行旅游,190.56
201910280930,859,黔西南,出行旅游,233.57
201910280935,859,黔西南,出行旅游,131.76
201910280940,859,黔西南,出行旅游,191.50
201910280945,859,黔西南,出行旅游,191.99
201910280950,859,黔西南,出行旅游,201.01
201910280955,859,黔西南,出行旅游,295.78
201910281000,859,黔西南,出行旅游,367.94
201910281005,859,黔西南,出行旅游,279.01
201910281010,859,黔西南,出行旅游,243.02
201910281015,859,黔西南,出行旅游,286.06
201910281020,859,黔西南,出行旅游,259.02
201910281025,859,黔西南,出行旅游,199.17
201910281030,859,黔西南,出行旅游,299.62
201910281035,859,黔西南,出行旅游,165.64
201910281040,859,黔西南,出行旅游,201.08
201910281045,859,黔西南,出行旅游,241.53
201910281050,859,黔西南,出行旅游,236.65
201910281055,859,黔西南,出行旅游,227.13
201910281100,859,黔西南,出行旅游,219.73
201911140800,859,黔西南,出行旅游,126.50
201911140805,859,黔西南,出行旅游,109.34
201911140810,859,黔西南,出行旅游,201.15
201911140815,859,黔西南,出行旅游,109.43
201911140820,859,黔西南,出行旅游,65.86
201911140825,859,黔西南,出行旅游,116.18
201911140830,859,黔西南,出行旅游,132.76
201911140835,859,黔西南,出行旅游,86.27
201911140840,859,黔西南,出行旅游,81.74
201911140845,859,黔西南,出行旅游,90.01
201911140850,859,黔西南,出行旅游,136.21
201911140855,859,黔西南,出行旅游,126.50
201911140900,859,黔西南,出行旅游,193.08
201911140905,859,黔西南,出行旅游,184.74
201911140910,859,黔西南,出行旅游,146.09
201911140915,859,黔西南,出行旅游,225.84
201911140920,859,黔西南,出行旅游,149.75
201911140925,859,黔西南,出行旅游,164.82
201911140930,859,黔西南,出行旅游,135.33
201911140935,859,黔西南,出行旅游,178.16
201911140940,859,黔西南,出行旅游,106.31
201911140945,859,黔西南,出行旅游,145.94
201911140950,859,黔西南,出行旅游,151.10
201911140955,859,黔西南,出行旅游,279.32
201911141000,859,黔西南,出行旅游,162.93
201911141005,859,黔西南,出行旅游,132.08
201911141010,859,黔西南,出行旅游,113.58
201911141015,859,黔西南,出行旅游,180.09
201911141020,859,黔西南,出行旅游,300.95
201911141025,859,黔西南,出行旅游,269.45
201911141030,859,黔西南,出行旅游,192.82
201911141035,859,黔西南,出行旅游,137.56
201911141040,859,黔西南,出行旅游,235.35
201911141045,859,黔西南,出行旅游,152.42
201911141050,859,黔西南,出行旅游,154.35
201911141055,859,黔西南,出行旅游,150.81
201911141100,859,黔西南,出行旅游,140.92
201911141105,859,黔西南,出行旅游,160.41
201911141110,859,黔西南,出行旅游,142.29
201911141115,859,黔西南,出行旅游,209.38
201911141120,859,黔西南,出行旅游,132.19
201911141125,859,黔西南,出行旅游,218.89
201911141130,859,黔西南,出行旅游,138.88
201911141135,859,黔西南,出行旅游,199.34
201911141140,859,黔西南,出行旅游,243.44
201911141145,859,黔西南,出行旅游,206.18
201911141150,859,黔西南,出行旅游,202.21
201911141155,859,黔西南,出行旅游,211.43
201911141200,859,黔西南,出行旅游,311.20
201911141205,859,黔西南,出行旅游,254.02
201911141210,859,黔西南,出行旅游,234.32
201911141215,859,黔西南,出行旅游,236.65
201911141220,859,黔西南,出行旅游,171.26
201911141225,859,黔西南,出行旅游,179.83
201911141230,859,黔西南,出行旅游,263.45
201911141235,859,黔西南,出行旅游,194.88
201911141240,859,黔西南,出行旅游,241.70
201911141245,859,黔西南,出行旅游,138.07
201911141250,859,黔西南,出行旅游,173.08
201911141255,859,黔西南,出行旅游,174.58
201911141300,859,黔西南,出行旅游,183.48
201911141305,859,黔西南,出行旅游,153.51
201911141310,859,黔西南,出行旅游,231.38
201911141315,859,黔西南,出行旅游,160.94
201911141320,859,黔西南,出行旅游,220.77
201911141325,859,黔西南,出行旅游,167.23
201911141330,859,黔西南,出行旅游,196.52
201911141335,859,黔西南,出行旅游,197.15
201911141340,859,黔西南,出行旅游,203.57
201911141345,859,黔西南,出行旅游,194.64
