日期,编码,地区,业务类型,流量
201910270800,859,黔西南,VoIP业务,907.74
201910270805,859,黔西南,VoIP业务,1481.26
201910270810,859,黔西南,VoIP业务,798.97
201910270815,859,黔西南,VoIP业务,1627.08
201910270820,859,黔西南,VoIP业务,1020.26
201910270825,859,黔西南,VoIP业务,1232.03
201910270830,859,黔西南,VoIP业务,749.95
201910270835,859,黔西南,VoIP业务,1231.47
201910270840,859,黔西南,VoIP业务,1013.24
201910270845,859,黔西南,VoIP业务,1385.55
201910270850,859,黔西南,VoIP业务,1116.41
201910270855,859,黔西南,VoIP业务,1670.77
201910270900,859,黔西南,VoIP业务,1279.38
201910270905,859,黔西南,VoIP业务,2164.80
201910270910,859,黔西南,VoIP业务,1202.73
201910270915,859,黔西南,VoIP业务,2454.81
201910270920,859,黔西南,VoIP业务,1210.84
201910270925,859,黔西南,VoIP业务,2523.51
201910270930,859,黔西南,VoIP业务,1335.70
201910270935,859,黔西南,VoIP业务,1933.56
201910270940,859,黔西南,VoIP业务,1481.30
201910270945,859,黔西南,VoIP业务,1948.05
201910270950,859,黔西南,VoIP业务,1066.12
201910270955,859,黔西南,VoIP业务,1844.24
201910271000,859,黔西南,VoIP业务,1403.85
201910271005,859,黔西南,VoIP业务,1841.32
201910271010,859,黔西南,VoIP业务,1297.01
201910271015,859,黔西南,VoIP业务,1626.69
201910271020,859,黔西南,VoIP业务,1898.37
201910271025,859,黔西南,VoIP业务,1601.22
201910271030,859,黔西南,VoIP业务,1607.23
201910271035,859,黔西南,VoIP业务,1544.26
201910271040,859,黔西南,VoIP业务,1001.27
201910271045,859,黔西南,VoIP业务,1410.18
201910271050,859,黔西南,VoIP业务,1205.79
201910271055,859,黔西南,VoIP业务,1383.97
201910271105,859,黔西南,VoIP业务,1201.15
201910271110,859,黔西南,VoIP业务,1378.10
201910271115,859,黔西南,VoIP业务,1393.79
201910271120,859,黔西南,VoIP业务,1727.25
201910271125,859,黔西南,VoIP业务,1192.00
201910271130,859,黔西南,VoIP业务,1431.71
201910271135,859,黔西南,VoIP业务,1696.34
201910271140,859,黔西南,VoIP业务,1303.59
201910271145,859,黔西南,VoIP业务,1627.48
201910271150,859,黔西南,VoIP业务,1054.31
201910271155,859,黔西南,VoIP业务,1624.27
201910271200,859,黔西南,VoIP业务,1201.45
201910271205,859,黔西南,VoIP业务,1653.41
201910271210,859,黔西南,VoIP业务,1521.64
201910271215,859,黔西南,VoIP业务,1697.40
201910271220,859,黔西南,VoIP业务,1394.78
201910271225,859,黔西南,VoIP业务,1466.00
201910271230,859,黔西南,VoIP业务,1224.41
201910271235,859,黔西南,VoIP业务,1977.91
201910271240,859,黔西南,VoIP业务,1431.39
201910271245,859,黔西南,VoIP业务,1230.36
201910271250,859,黔西南,VoIP业务,1539.87
201910271255,859,黔西南,VoIP业务,1697.99
201910271300,859,黔西南,VoIP业务,1450.94
201910271305,859,黔西南,VoIP业务,1569.03
201910271310,859,黔西南,VoIP业务,2002.94
201910271315,859,黔西南,VoIP业务,1394.25
201910271320,859,黔西南,VoIP业务,2371.90
201910271325,859,黔西南,VoIP业务,1671.02
201910271330,859,黔西南,VoIP业务,1587.47
201910271335,859,黔西南,VoIP业务,2082.89
201910271340,859,黔西南,VoIP业务,1925.79
201910271345,859,黔西南,VoIP业务,2006.10
201910271350,859,黔西南,VoIP业务,1928.68
201910271355,859,黔西南,VoIP业务,1549.83
201910271400,859,黔西南,VoIP业务,1979.80
201910271405,859,黔西南,VoIP业务,1265.72
201910271410,859,黔西南,VoIP业务,1977.66
201910271415,859,黔西南,VoIP业务,1493.73
201910271420,859,黔西南,VoIP业务,1746.33
201910271425,859,黔西南,VoIP业务,1598.28
201910271430,859,黔西南,VoIP业务,1921.38
201910271435,859,黔西南,VoIP业务,2021.85
201910271440,859,黔西南,VoIP业务,1932.38
201910271445,859,黔西南,VoIP业务,1719.72
201910271450,859,黔西南,VoIP业务,2055.24
201910271455,859,黔西南,VoIP业务,1252.62
201910271500,859,黔西南,VoIP业务,1752.13
201910271505,859,黔西南,VoIP业务,1137.29
201910271510,859,黔西南,VoIP业务,1973.67
201910271515,859,黔西南,VoIP业务,1475.32
201910271520,859,黔西南,VoIP业务,2493.17
201910271525,859,黔西南,VoIP业务,1285.83
201910271530,859,黔西南,VoIP业务,2051.24
201910271535,859,黔西南,VoIP业务,984.10
201910271540,859,黔西南,VoIP业务,2489.08
201910271545,859,黔西南,VoIP业务,1550.25
201910271550,859,黔西南,VoIP业务,1984.13
201910271555,859,黔西南,VoIP业务,1622.74
201910271600,859,黔西南,VoIP业务,1594.23
201910271605,859,黔西南,VoIP业务,924.68
