日期,编码,地区,业务类型,流量
201910270800,852,遵义,视频,1336506.80
201910270805,852,遵义,视频,1375884.82
201910270810,852,遵义,视频,1410346.08
201910270815,852,遵义,视频,1423001.54
201910270820,852,遵义,视频,1457457.13
201910270825,852,遵义,视频,1484198.86
201910270830,852,遵义,视频,1494763.46
201910270835,852,遵义,视频,1525111.04
201910270840,852,遵义,视频,1549737.48
201910270845,852,遵义,视频,1587736.33
201910270850,852,遵义,视频,1633487.93
201910270855,852,遵义,视频,1631501.18
201910270900,852,遵义,视频,1630896.93
201910270905,852,遵义,视频,1651591.34
201910270910,852,遵义,视频,1661069.11
201910270915,852,遵义,视频,1687894.54
201910270920,852,遵义,视频,1712172.23
201910270925,852,遵义,视频,1722915.98
201910270930,852,遵义,视频,1732387.43
201910270935,852,遵义,视频,1779391.04
201910270940,852,遵义,视频,1801094.00
201910270945,852,遵义,视频,1786708.12
201910270950,852,遵义,视频,1810794.09
201910270955,852,遵义,视频,1827979.32
201910271000,852,遵义,视频,1808983.48
201910271005,852,遵义,视频,1844353.87
201910271010,852,遵义,视频,1851258.45
201910271015,852,遵义,视频,1858037.26
201910271020,852,遵义,视频,1870732.96
201910271025,852,遵义,视频,1900763.68
201910271030,852,遵义,视频,1920686.17
201910271035,852,遵义,视频,1913236.06
201910271040,852,遵义,视频,1936620.18
201910271045,852,遵义,视频,1922606.95
201910271050,852,遵义,视频,1946390.55
201910271055,852,遵义,视频,1965222.01
201910271105,852,遵义,视频,1940004.16
201910271110,852,遵义,视频,1940276.22
201910271115,852,遵义,视频,1979128.92
201910271120,852,遵义,视频,1969926.78
201910271125,852,遵义,视频,1987832.31
201910271130,852,遵义,视频,1982900.47
201910271135,852,遵义,视频,1998334.56
201910271140,852,遵义,视频,2017088.35
201910271145,852,遵义,视频,1991506.51
201910271150,852,遵义,视频,2041635.01
201910271155,852,遵义,视频,2035586.61
201910271200,852,遵义,视频,2012861.52
201910271205,852,遵义,视频,2005875.96
201910271210,852,遵义,视频,2019996.75
201910271215,852,遵义,视频,2094344.26
201910271220,852,遵义,视频,2107285.10
201910271225,852,遵义,视频,2123414.39
201910271230,852,遵义,视频,2182747.62
201910271235,852,遵义,视频,2194201.42
201910271240,852,遵义,视频,2197861.42
201910271245,852,遵义,视频,2175513.52
201910271250,852,遵义,视频,2139542.53
201910271255,852,遵义,视频,2095245.90
201910271300,852,遵义,视频,2026103.11
201910271305,852,遵义,视频,2024290.71
201910271310,852,遵义,视频,1997293.54
201910271315,852,遵义,视频,2034803.15
201910271320,852,遵义,视频,2039331.47
201910271325,852,遵义,视频,2003800.41
201910271330,852,遵义,视频,1990600.18
201910271335,852,遵义,视频,1960779.54
201910271340,852,遵义,视频,1975786.57
201910271345,852,遵义,视频,1977628.62
201910271350,852,遵义,视频,1955683.05
201910271355,852,遵义,视频,1961498.87
201910271400,852,遵义,视频,1935495.35
201910271405,852,遵义,视频,1926436.38
201910271410,852,遵义,视频,1908479.71
201910271415,852,遵义,视频,1942760.20
201910271420,852,遵义,视频,1927923.34
201910271425,852,遵义,视频,1923700.17
201910271430,852,遵义,视频,1916932.48
201910271435,852,遵义,视频,1938959.71
201910271440,852,遵义,视频,1942062.50
201910271445,852,遵义,视频,1939483.17
201910271450,852,遵义,视频,1904348.92
201910271455,852,遵义,视频,1913241.14
201910271500,852,遵义,视频,1981723.37
201910271505,852,遵义,视频,1998737.67
201910271510,852,遵义,视频,1968544.10
201910271515,852,遵义,视频,1919591.83
201910271520,852,遵义,视频,1910879.17
201910271525,852,遵义,视频,1961008.85
201910271530,852,遵义,视频,1948834.91
201910271535,852,遵义,视频,1909402.81
201910271540,852,遵义,视频,1922535.26
201910271545,852,遵义,视频,1920917.53
201910271550,852,遵义,视频,1918318.14
201910271555,852,遵义,视频,1930178.49
201910271600,852,遵义,视频,1905578.26
201910271605,852,遵义,视频,1887407.99
201910271610,852,遵义,视频,1878387.65
201910271615,852,遵义,视频,1907161.84
201910271620,852,遵义,视频,1928861.75
201910271625,852,遵义,视频,1933102.72
201910271630,852,遵义,视频,1910219.43
201910271635,852,遵义,视频,1924014.44
201910271640,852,遵义,视频,1918681.67
201910271645,852,遵义,视频,1968753.77
201910271650,852,遵义,视频,1923278.13
201910271655,852,遵义,视频,1933063.80
201910271700,852,遵义,视频,1889227.38
201910271705,852,遵义,视频,1884760.32
201910271710,852,遵义,视频,1884985.03
201910271715,852,遵义,视频,1865599.46
201910271720,852,遵义,视频,1905822.03
201910271725,852,遵义,视频,1854987.34
201910271730,852,遵义,视频,1869159.09
201910271735,852,遵义,视频,1638737.77
201910271740,852,遵义,视频,1841111.35
201910271745,852,遵义,视频,1842682.75
201910271750,852,遵义,视频,1882667.71
201910271755,852,遵义,视频,1887761.47
201910271800,852,遵义,视频,1813935.66
201910271805,852,遵义,视频,1838340.52
201910271810,852,遵义,视频,1877189.13
201910271815,852,遵义,视频,1824010.49
201910271820,852,遵义,视频,1907347.24
201910271825,852,遵义,视频,1886327.54
201910271830,852,遵义,视频,1945916.75
201910271835,852,遵义,视频,2008172.61
201910271840,852,遵义,视频,2021075.76
201910271845,852,遵义,视频,2107264.35
201910271850,852,遵义,视频,2134678.56
201910271855,852,遵义,视频,2196107.13
201910271900,852,遵义,视频,2214830.70
201910271905,852,遵义,视频,2250176.00
201910271910,852,遵义,视频,2193557.99
201910271915,852,遵义,视频,2328487.91
201910271920,852,遵义,视频,2282324.10
201910271925,852,遵义,视频,2393274.22
201910271930,852,遵义,视频,2408424.80
201910271935,852,遵义,视频,2401189.02
201910271940,852,遵义,视频,2473294.58
201910271945,852,遵义,视频,2495678.43
201910271950,852,遵义,视频,2500520.22
201910271955,852,遵义,视频,2508311.91
201910272000,852,遵义,视频,2462297.92
201910272005,852,遵义,视频,2543406.98
201910272010,852,遵义,视频,2588774.81
201910272015,852,遵义,视频,2568656.65
201910272020,852,遵义,视频,2595196.06
201910272025,852,遵义,视频,2657575.29
201910272030,852,遵义,视频,2671396.65
201910272035,852,遵义,视频,2676300.23
201910272040,852,遵义,视频,2678117.07
201910272045,852,遵义,视频,2681745.16
201910272050,852,遵义,视频,2674869.41
201910272055,852,遵义,视频,2664025.19
201910272100,852,遵义,视频,2664981.46
201910272105,852,遵义,视频,2678483.23
201910272110,852,遵义,视频,2694799.76
201910272115,852,遵义,视频,2676488.56
201910272120,852,遵义,视频,2632319.93
201910272125,852,遵义,视频,2661022.17
201910272130,852,遵义,视频,2652756.77
201910272135,852,遵义,视频,2608605.00
201910272140,852,遵义,视频,2535383.58
201910272145,852,遵义,视频,2626014.18
201910272150,852,遵义,视频,2587092.33
201910272155,852,遵义,视频,2556240.26
201910272200,852,遵义,视频,2522945.73
201910272205,852,遵义,视频,2543840.38
201910272210,852,遵义,视频,2494026.85
201910272215,852,遵义,视频,2467573.91
201910272220,852,遵义,视频,2468264.75
201910272225,852,遵义,视频,2403022.64
201910272230,852,遵义,视频,2385482.91
201910272235,852,遵义,视频,2356497.89
201910272240,852,遵义,视频,2318774.30
201910272245,852,遵义,视频,2273132.89
201910272250,852,遵义,视频,2235631.10
201910272255,852,遵义,视频,2172414.99
201910272300,852,遵义,视频,2097315.37
201910272305,852,遵义,视频,2083659.92
201910272310,852,遵义,视频,2046301.94
201910272315,852,遵义,视频,1975193.36
201910272320,852,遵义,视频,1942287.94
201910272325,852,遵义,视频,1894169.27
201910272330,852,遵义,视频,1850396.07
201910272335,852,遵义,视频,1792617.92
201910272340,852,遵义,视频,1757800.67
201910272345,852,遵义,视频,1717299.14
201910272350,852,遵义,视频,1659335.98
201910272355,852,遵义,视频,1590139.79
201910280800,852,遵义,视频,1027722.26
201910280805,852,遵义,视频,1052927.59
201910280810,852,遵义,视频,1065361.46
201910280815,852,遵义,视频,1072637.07
201910280820,852,遵义,视频,1069728.60
201910280825,852,遵义,视频,1104744.56
201910280830,852,遵义,视频,1134834.30
201910280835,852,遵义,视频,1127861.86
201910280840,852,遵义,视频,1143626.80
201910280845,852,遵义,视频,1166389.61
201910280850,852,遵义,视频,1170520.42
201910280855,852,遵义,视频,1185043.98
201910280900,852,遵义,视频,1205432.02
201910280905,852,遵义,视频,1215852.72
201910280910,852,遵义,视频,1211903.36
201910280915,852,遵义,视频,1250427.13
201910280920,852,遵义,视频,1263491.41
201910280925,852,遵义,视频,1267717.11
201910280930,852,遵义,视频,1284330.23
201910280935,852,遵义,视频,1313371.73
201910280940,852,遵义,视频,1313412.01
201910280945,852,遵义,视频,1324901.87
201910280950,852,遵义,视频,1336419.81
201910280955,852,遵义,视频,1368659.73
201910281000,852,遵义,视频,1374117.59
201910281005,852,遵义,视频,1385945.66
201910281010,852,遵义,视频,1373490.75
201910281015,852,遵义,视频,1390456.51
201910281020,852,遵义,视频,1413278.39
201910281025,852,遵义,视频,1402081.65
201910281030,852,遵义,视频,1400323.78
201910281035,852,遵义,视频,1442005.17
201910281040,852,遵义,视频,1460555.42
201910281045,852,遵义,视频,1480951.92
201910281050,852,遵义,视频,1473137.74
201910281055,852,遵义,视频,1452802.45
201910281100,852,遵义,视频,1456407.37
201911140800,852,遵义,视频,1226070.32
201911140805,852,遵义,视频,1254838.12
201911140810,852,遵义,视频,1278162.08
201911140815,852,遵义,视频,1310694.64
201911140820,852,遵义,视频,1311665.70
201911140825,852,遵义,视频,1320075.82
201911140830,852,遵义,视频,1338967.68
201911140835,852,遵义,视频,1362335.36
201911140840,852,遵义,视频,1369550.41
201911140845,852,遵义,视频,1365872.00
201911140850,852,遵义,视频,1385630.85
201911140855,852,遵义,视频,1392514.48
201911140900,852,遵义,视频,1413713.96
201911140905,852,遵义,视频,1419394.71
201911140910,852,遵义,视频,1435137.30
201911140915,852,遵义,视频,1441686.89
201911140920,852,遵义,视频,1448605.98
201911140925,852,遵义,视频,1477186.03
201911140930,852,遵义,视频,1459124.27
201911140935,852,遵义,视频,1479532.67
201911140940,852,遵义,视频,1495158.15
201911140945,852,遵义,视频,1519723.88
201911140950,852,遵义,视频,1528524.76
201911140955,852,遵义,视频,1533644.11
201911141000,852,遵义,视频,1517761.48
201911141005,852,遵义,视频,1542518.59
201911141010,852,遵义,视频,1575026.00
201911141015,852,遵义,视频,1605157.30
201911141020,852,遵义,视频,1612384.69
201911141025,852,遵义,视频,1613879.59
201911141030,852,遵义,视频,1628468.84
201911141035,852,遵义,视频,1634390.25
201911141040,852,遵义,视频,1671648.14
201911141045,852,遵义,视频,1638060.81
201911141050,852,遵义,视频,1654907.14
201911141055,852,遵义,视频,1698739.64
201911141100,852,遵义,视频,1673460.18
201911141105,852,遵义,视频,1683842.59
201911141110,852,遵义,视频,1728332.83
201911141115,852,遵义,视频,1706649.19
201911141120,852,遵义,视频,1721339.62
201911141125,852,遵义,视频,1753351.04
