日期,编码,地区,业务类型,流量
201910270800,852,遵义,VoIP业务,1359.57
201910270805,852,遵义,VoIP业务,1433.31
201910270810,852,遵义,VoIP业务,1789.03
201910270815,852,遵义,VoIP业务,1318.75
201910270820,852,遵义,VoIP业务,1903.34
201910270825,852,遵义,VoIP业务,1513.02
201910270830,852,遵义,VoIP业务,2050.99
201910270835,852,遵义,VoIP业务,1652.99
201910270840,852,遵义,VoIP业务,1602.65
201910270845,852,遵义,VoIP业务,1936.93
201910270850,852,遵义,VoIP业务,1581.57
201910270855,852,遵义,VoIP业务,1826.44
201910270900,852,遵义,VoIP业务,1228.86
201910270905,852,遵义,VoIP业务,1932.59
201910270910,852,遵义,VoIP业务,1446.54
201910270915,852,遵义,VoIP业务,1610.14
201910270920,852,遵义,VoIP业务,1682.01
201910270925,852,遵义,VoIP业务,1799.01
201910270930,852,遵义,VoIP业务,1663.16
201910270935,852,遵义,VoIP业务,1825.05
201910270940,852,遵义,VoIP业务,1977.60
201910270945,852,遵义,VoIP业务,1536.36
201910270950,852,遵义,VoIP业务,2364.00
201910270955,852,遵义,VoIP业务,2158.30
201910271000,852,遵义,VoIP业务,2438.48
201910271005,852,遵义,VoIP业务,2346.22
201910271010,852,遵义,VoIP业务,3076.22
201910271015,852,遵义,VoIP业务,2402.06
201910271020,852,遵义,VoIP业务,2613.47
201910271025,852,遵义,VoIP业务,2779.67
201910271030,852,遵义,VoIP业务,3286.77
201910271035,852,遵义,VoIP业务,2434.98
201910271040,852,遵义,VoIP业务,2266.72
201910271045,852,遵义,VoIP业务,3015.72
201910271050,852,遵义,VoIP业务,2379.81
201910271055,852,遵义,VoIP业务,2840.64
201910271105,852,遵义,VoIP业务,2555.89
201910271110,852,遵义,VoIP业务,2359.13
201910271115,852,遵义,VoIP业务,2370.26
201910271120,852,遵义,VoIP业务,2259.23
201910271125,852,遵义,VoIP业务,2570.43
201910271130,852,遵义,VoIP业务,2583.08
201910271135,852,遵义,VoIP业务,2424.15
201910271140,852,遵义,VoIP业务,2840.05
201910271145,852,遵义,VoIP业务,1595.71
201910271150,852,遵义,VoIP业务,3282.21
201910271155,852,遵义,VoIP业务,2028.82
201910271200,852,遵义,VoIP业务,3452.16
201910271205,852,遵义,VoIP业务,2209.58
201910271210,852,遵义,VoIP业务,3007.62
201910271215,852,遵义,VoIP业务,2750.35
