日期,编码,地区,流量,月份,天,小时
201907221830,853,安顺,596565.37,07,22,18
201907221845,853,安顺,591151.70,07,22,18
201907231015,853,安顺,450269.59,07,23,10
201907231240,853,安顺,684659.13,07,23,12
201907231515,853,安顺,694018.53,07,23,15
201907231850,853,安顺,652478.96,07,23,18
201907232150,853,安顺,909139.81,07,23,21
201907241850,853,安顺,668249.95,07,24,18
201907251000,853,安顺,498203.11,07,25,10
201907251115,853,安顺,565471.29,07,25,11
201907251505,853,安顺,585069.30,07,25,15
201907251555,853,安顺,612377.01,07,25,15
201907252035,853,安顺,711482.04,07,25,20
201907252155,853,安顺,842626.40,07,25,21
201907261605,853,安顺,621630.70,07,26,16
201907261615,853,安顺,627672.62,07,26,16
201907261755,853,安顺,630839.43,07,26,17
201907271105,853,安顺,581177.75,07,27,11
201907271305,853,安顺,657431.97,07,27,13
201907271315,853,安顺,662420.65,07,27,13
201907272000,853,安顺,650469.99,07,27,20
201907272055,853,安顺,744924.79,07,27,20
201907272255,853,安顺,827491.27,07,27,22
201907280950,853,安顺,500935.34,07,28,09
201907281810,853,安顺,624844.89,07,28,18
201907281935,853,安顺,630573.08,07,28,19
201907282000,853,安顺,636447.40,07,28,20
201907282005,853,安顺,640348.68,07,28,20
201907282015,853,安顺,652594.58,07,28,20
201907282025,853,安顺,674671.19,07,28,20
201907282040,853,安顺,702471.95,07,28,20
201907282110,853,安顺,785400.57,07,28,21
201907282305,853,安顺,803276.89,07,28,23
201907291255,853,安顺,685259.84,07,29,12
201907291530,853,安顺,597902.54,07,29,15
201907291540,853,安顺,589212.20,07,29,15
201907291630,853,安顺,612467.38,07,29,16
201907291710,853,安顺,609183.32,07,29,17
201907291815,853,安顺,612057.00,07,29,18
201907292000,853,安顺,714242.35,07,29,20
201907292115,853,安顺,821572.11,07,29,21
201907300910,853,安顺,452518.35,07,30,09
201907301150,853,安顺,605584.62,07,30,11
201907301640,853,安顺,637348.59,07,30,16
201907301725,853,安顺,588325.87,07,30,17
201907302000,853,安顺,720906.49,07,30,20
201907302320,853,安顺,664236.58,07,30,23
201907310920,853,安顺,478198.06,07,31,09
201907311225,853,安顺,647688.76,07,31,12
201907311315,853,安顺,665543.30,07,31,13
201907311600,853,安顺,612236.36,07,31,16
201907312110,853,安顺,823551.94,07,31,21
201908011030,853,安顺,608204.63,08,01,10
201908011245,853,安顺,779813.67,08,01,12
201908011805,853,安顺,696311.56,08,01,18
201908011825,853,安顺,737848.67,08,01,18
201908011940,853,安顺,712060.43,08,01,19
201908012015,853,安顺,756087.74,08,01,20
201908012150,853,安顺,979262.35,08,01,21
201908012205,853,安顺,956825.78,08,01,22
201908012300,853,安顺,919227.92,08,01,23
201908021100,853,安顺,613687.07,08,02,11
201908021115,853,安顺,637375.10,08,02,11
201908021140,853,安顺,640125.14,08,02,11
201908021225,853,安顺,734813.21,08,02,12
201908021230,853,安顺,764204.51,08,02,12
201908021330,853,安顺,742693.82,08,02,13
201908021610,853,安顺,670931.56,08,02,16
201908021740,853,安顺,677531.98,08,02,17
201908021900,853,安顺,697113.05,08,02,19
201908021905,853,安顺,712053.23,08,02,19
201908022050,853,安顺,863556.07,08,02,20
201908022140,853,安顺,973692.83,08,02,21
201908031335,853,安顺,680043.16,08,03,13
201908031720,853,安顺,665656.48,08,03,17
201908032330,853,安顺,772477.23,08,03,23
201908041305,853,安顺,740926.93,08,04,13
201908041320,853,安顺,762935.48,08,04,13
