日期,编码,地区,流量,月份,天,小时
201907221830,853,安顺,222131.41,07,22,18
201907221845,853,安顺,221565.49,07,22,18
201907231015,853,安顺,179937.15,07,23,10
201907231240,853,安顺,249299.38,07,23,12
201907231515,853,安顺,252873.24,07,23,15
201907231850,853,安顺,221541.11,07,23,18
201907232150,853,安顺,332306.16,07,23,21
201907241850,853,安顺,242203.31,07,24,18
201907251000,853,安顺,204824.86,07,25,10
201907251115,853,安顺,211369.44,07,25,11
201907251505,853,安顺,228454.17,07,25,15
201907251555,853,安顺,237333.58,07,25,15
201907252035,853,安顺,277158.37,07,25,20
201907252155,853,安顺,320595.11,07,25,21
201907261605,853,安顺,238486.65,07,26,16
201907261615,853,安顺,234482.21,07,26,16
201907261755,853,安顺,234723.96,07,26,17
201907271105,853,安顺,218885.16,07,27,11
201907271305,853,安顺,272580.40,07,27,13
201907271315,853,安顺,271525.01,07,27,13
201907272000,853,安顺,240826.99,07,27,20
201907272055,853,安顺,277464.30,07,27,20
201907272255,853,安顺,305519.49,07,27,22
201907280950,853,安顺,174543.46,07,28,09
201907281810,853,安顺,235625.35,07,28,18
201907281935,853,安顺,227669.79,07,28,19
201907282000,853,安顺,228748.01,07,28,20
201907282005,853,安顺,236398.84,07,28,20
201907282015,853,安顺,235582.89,07,28,20
201907282025,853,安顺,249117.68,07,28,20
201907282040,853,安顺,256349.07,07,28,20
201907282110,853,安顺,289504.15,07,28,21
201907282305,853,安顺,281376.80,07,28,23
201907291255,853,安顺,258990.85,07,29,12
201907291530,853,安顺,227078.90,07,29,15
201907291540,853,安顺,238874.55,07,29,15
201907291630,853,安顺,235990.52,07,29,16
201907291710,853,安顺,230618.48,07,29,17
201907291815,853,安顺,237788.72,07,29,18
201907292000,853,安顺,242665.46,07,29,20
201907292115,853,安顺,292074.50,07,29,21
201907300910,853,安顺,173399.24,07,30,09
201907301150,853,安顺,223423.03,07,30,11
201907301640,853,安顺,238753.42,07,30,16
201907301725,853,安顺,226012.12,07,30,17
201907302000,853,安顺,243737.81,07,30,20
201907302320,853,安顺,247696.47,07,30,23
201907310920,853,安顺,168710.09,07,31,09
201907311225,853,安顺,241237.02,07,31,12
201907311315,853,安顺,252586.85,07,31,13
201907311600,853,安顺,242366.82,07,31,16
201907312110,853,安顺,297366.10,07,31,21
201908011030,853,安顺,237812.87,08,01,10
201908011245,853,安顺,300819.04,08,01,12
201908011805,853,安顺,265897.60,08,01,18
201908011825,853,安顺,272240.91,08,01,18
201908011940,853,安顺,254028.52,08,01,19
201908012015,853,安顺,284555.66,08,01,20
201908012150,853,安顺,368964.96,08,01,21
201908012205,853,安顺,373989.73,08,01,22
201908012300,853,安顺,344305.44,08,01,23
201908021100,853,安顺,242126.20,08,02,11
201908021115,853,安顺,234169.74,08,02,11
201908021140,853,安顺,248461.01,08,02,11
201908021225,853,安顺,270311.64,08,02,12
201908021230,853,安顺,279337.91,08,02,12
201908021330,853,安顺,284141.36,08,02,13
201908021610,853,安顺,273384.05,08,02,16
201908021740,853,安顺,275444.66,08,02,17
201908021900,853,安顺,276516.81,08,02,19
201908021905,853,安顺,274765.27,08,02,19
201908022050,853,安顺,313229.72,08,02,20
201908022140,853,安顺,359677.70,08,02,21
201908031335,853,安顺,277312.65,08,03,13
201908031720,853,安顺,248398.65,08,03,17
201908032330,853,安顺,271768.98,08,03,23
201908041305,853,安顺,263604.73,08,04,13
201908041320,853,安顺,256506.14,08,04,13
201908041430,853,安顺,285089.62,08,04,14
201908041825,853,安顺,271733.63,08,04,18
201908042210,853,安顺,337086.92,08,04,22
201908042340,853,安顺,260857.33,08,04,23
201908042345,853,安顺,255909.94,08,04,23
201908050915,853,安顺,182046.60,08,05,09
201908051450,853,安顺,244772.75,08,05,14
201908051455,853,安顺,249466.87,08,05,14
201908051550,853,安顺,243367.79,08,05,15
201908051625,853,安顺,238911.27,08,05,16
201908051915,853,安顺,238929.22,08,05,19
201908052015,853,安顺,269233.35,08,05,20
201908052145,853,安顺,326602.75,08,05,21
201908052220,853,安顺,316996.06,08,05,22
201908060945,853,安顺,192745.96,08,06,09
201908061150,853,安顺,244503.21,08,06,11
201908061420,853,安顺,248343.75,08,06,14
201908061615,853,安顺,241176.24,08,06,16
201908061850,853,安顺,237903.54,08,06,18
201908062050,853,安顺,303283.38,08,06,20
201908062345,853,安顺,249154.55,08,06,23
201908071100,853,安顺,225787.31,08,07,11
201908071505,853,安顺,249417.06,08,07,15
201908071645,853,安顺,249223.27,08,07,16
201908072130,853,安顺,325502.01,08,07,21
201908081430,853,安顺,256416.15,08,08,14
201908081725,853,安顺,243101.56,08,08,17
201908081755,853,安顺,250470.26,08,08,17
201908081800,853,安顺,244007.38,08,08,18
201908081815,853,安顺,237656.55,08,08,18
201908082040,853,安顺,292069.26,08,08,20
201908091340,853,安顺,277684.97,08,09,13
201910270900,853,安顺,178119.92,10,27,09
201910270905,853,安顺,174531.22,10,27,09
201910270910,853,安顺,180525.63,10,27,09
201910270915,853,安顺,175256.49,10,27,09
201910270920,853,安顺,187195.59,10,27,09
201910270925,853,安顺,188924.35,10,27,09
201910270930,853,安顺,189818.32,10,27,09
201910270935,853,安顺,195851.74,10,27,09
201910270940,853,安顺,195425.02,10,27,09
201910270945,853,安顺,194957.88,10,27,09
201910270950,853,安顺,200535.75,10,27,09
201910270955,853,安顺,200215.89,10,27,09
201910271000,853,安顺,201895.91,10,27,10
201910271005,853,安顺,210137.31,10,27,10
201910271010,853,安顺,208762.80,10,27,10
201910271015,853,安顺,210316.42,10,27,10
201910271020,853,安顺,211394.61,10,27,10
201910271025,853,安顺,214538.45,10,27,10
201910271030,853,安顺,221236.86,10,27,10
201910271035,853,安顺,222477.97,10,27,10
201910271040,853,安顺,222927.71,10,27,10
201910271045,853,安顺,219973.48,10,27,10
201910271050,853,安顺,221891.99,10,27,10
201910271055,853,安顺,219399.96,10,27,10
201910271100,853,安顺,223502.84,10,27,11
201910271105,853,安顺,224487.85,10,27,11
201910271110,853,安顺,224345.44,10,27,11
201910271115,853,安顺,235550.70,10,27,11
201910271120,853,安顺,228636.08,10,27,11
201910271125,853,安顺,227150.31,10,27,11
201910271130,853,安顺,228442.13,10,27,11
201910271135,853,安顺,218408.48,10,27,11
201910271140,853,安顺,230109.15,10,27,11
201910271145,853,安顺,231644.24,10,27,11
201910271150,853,安顺,228589.12,10,27,11
201910271155,853,安顺,219050.04,10,27,11
201910271200,853,安顺,225267.51,10,27,12
201910271205,853,安顺,222516.57,10,27,12
201910271210,853,安顺,223791.90,10,27,12
201910271215,853,安顺,221623.49,10,27,12
201910271220,853,安顺,224049.31,10,27,12
201910271225,853,安顺,229287.75,10,27,12
201910271230,853,安顺,227906.00,10,27,12
201910271235,853,安顺,230491.28,10,27,12
201910271240,853,安顺,236058.19,10,27,12
201910271245,853,安顺,237343.35,10,27,12
201910271250,853,安顺,244894.32,10,27,12
201910271255,853,安顺,236882.46,10,27,12
201910271300,853,安顺,236279.51,10,27,13
201910271305,853,安顺,230848.72,10,27,13
201910271310,853,安顺,225311.29,10,27,13
201910271315,853,安顺,224189.89,10,27,13
201910271320,853,安顺,225354.36,10,27,13
201910271325,853,安顺,226370.40,10,27,13
201910271330,853,安顺,223213.96,10,27,13
201910271335,853,安顺,221422.82,10,27,13
201910271340,853,安顺,220983.45,10,27,13
201910271345,853,安顺,224128.49,10,27,13
201910271350,853,安顺,226056.72,10,27,13
201910271355,853,安顺,219404.31,10,27,13
201910271400,853,安顺,212940.04,10,27,14
201910271405,853,安顺,218284.53,10,27,14
201910271410,853,安顺,216638.68,10,27,14
201910271415,853,安顺,212268.83,10,27,14
201910271420,853,安顺,209306.15,10,27,14
201910271425,853,安顺,211954.04,10,27,14
201910271430,853,安顺,210206.10,10,27,14
201910271435,853,安顺,216343.59,10,27,14
201910271440,853,安顺,213411.02,10,27,14
201910271445,853,安顺,213311.55,10,27,14
201910271450,853,安顺,213244.83,10,27,14
201910271455,853,安顺,213150.96,10,27,14
201910271500,853,安顺,222069.31,10,27,15
201910271505,853,安顺,214755.21,10,27,15
201910271510,853,安顺,210522.40,10,27,15
201910271515,853,安顺,213750.55,10,27,15
201910271520,853,安顺,223323.75,10,27,15
201910271525,853,安顺,215950.11,10,27,15
201910271530,853,安顺,217294.66,10,27,15
201910271535,853,安顺,222433.10,10,27,15
201910271540,853,安顺,213251.38,10,27,15
201910271545,853,安顺,221974.25,10,27,15
201910271550,853,安顺,216060.41,10,27,15
201910271555,853,安顺,216891.81,10,27,15
201910271600,853,安顺,212982.90,10,27,16
201910271605,853,安顺,213057.24,10,27,16
201910271610,853,安顺,205576.77,10,27,16
