日期,编码,地区,流量,月份,天,小时
201907221830,857,毕节,306922.58,07,22,18
201907221845,857,毕节,279696.76,07,22,18
201907231015,857,毕节,219020.17,07,23,10
201907231240,857,毕节,288934.65,07,23,12
201907231515,857,毕节,269918.21,07,23,15
201907231850,857,毕节,295888.72,07,23,18
201907232150,857,毕节,397411.10,07,23,21
201907241850,857,毕节,298402.66,07,24,18
201907251000,857,毕节,227355.70,07,25,10
201907251115,857,毕节,265236.52,07,25,11
201907251505,857,毕节,282569.38,07,25,15
201907251555,857,毕节,270915.05,07,25,15
201907252035,857,毕节,351425.12,07,25,20
201907252155,857,毕节,388855.85,07,25,21
201907261605,857,毕节,571377.59,07,26,16
201907261615,857,毕节,584372.01,07,26,16
201907261755,857,毕节,566040.55,07,26,17
201907271105,857,毕节,516909.51,07,27,11
201907271305,857,毕节,629326.73,07,27,13
201907271315,857,毕节,606093.53,07,27,13
201907272000,857,毕节,583678.96,07,27,20
201907272055,857,毕节,689912.19,07,27,20
201907272255,857,毕节,757065.35,07,27,22
201907280950,857,毕节,462391.90,07,28,09
201907281810,857,毕节,547375.91,07,28,18
201907281935,857,毕节,567765.36,07,28,19
201907282000,857,毕节,570172.56,07,28,20
201907282005,857,毕节,568903.55,07,28,20
201907282015,857,毕节,583059.05,07,28,20
201907282025,857,毕节,612330.15,07,28,20
201907282040,857,毕节,646149.08,07,28,20
201907282110,857,毕节,693761.69,07,28,21
201907282305,857,毕节,741712.26,07,28,23
201907291255,857,毕节,625256.06,07,29,12
201907291530,857,毕节,548349.42,07,29,15
201907291540,857,毕节,535102.84,07,29,15
201907291630,857,毕节,518198.48,07,29,16
201907291710,857,毕节,541521.10,07,29,17
201907291815,857,毕节,530734.97,07,29,18
201907292000,857,毕节,615355.17,07,29,20
201907292115,857,毕节,773110.82,07,29,21
201907300910,857,毕节,427608.43,07,30,09
201907301150,857,毕节,553130.39,07,30,11
201907301640,857,毕节,614742.94,07,30,16
201907301725,857,毕节,578942.35,07,30,17
201907302000,857,毕节,665442.62,07,30,20
201907302320,857,毕节,563333.40,07,30,23
201907310920,857,毕节,441584.99,07,31,09
201907311225,857,毕节,579652.30,07,31,12
201907311315,857,毕节,609337.56,07,31,13
201907311600,857,毕节,623098.03,07,31,16
201907312110,857,毕节,793357.50,07,31,21
201908011030,857,毕节,549797.75,08,01,10
201908011245,857,毕节,682138.15,08,01,12
201908011805,857,毕节,648781.54,08,01,18
201908011825,857,毕节,663223.97,08,01,18
201908011940,857,毕节,662623.90,08,01,19
201908012015,857,毕节,698579.26,08,01,20
201908012150,857,毕节,888040.75,08,01,21
201908012205,857,毕节,895110.31,08,01,22
201908012300,857,毕节,828625.34,08,01,23
201908021100,857,毕节,578805.54,08,02,11
201908021115,857,毕节,573701.99,08,02,11
201908021140,857,毕节,598885.07,08,02,11
201908021225,857,毕节,647435.30,08,02,12
201908021230,857,毕节,653382.04,08,02,12
201908021330,857,毕节,653060.94,08,02,13
201908021610,857,毕节,637879.93,08,02,16
201908021740,857,毕节,614048.71,08,02,17
201908021900,857,毕节,632764.56,08,02,19
201908021905,857,毕节,647247.29,08,02,19
201908022050,857,毕节,792045.37,08,02,20
201908022140,857,毕节,861663.87,08,02,21
201908031335,857,毕节,649476.34,08,03,13
201908031720,857,毕节,637609.00,08,03,17
201908032330,857,毕节,722043.86,08,03,23
201908041305,857,毕节,687286.58,08,04,13
201908041320,857,毕节,683535.26,08,04,13
201908041430,857,毕节,704315.39,08,04,14
201908041825,857,毕节,696202.34,08,04,18
201908042210,857,毕节,864519.86,08,04,22
201908042340,857,毕节,649875.70,08,04,23
201908042345,857,毕节,635238.53,08,04,23
201908050915,857,毕节,435766.62,08,05,09
201908051450,857,毕节,575091.19,08,05,14
201908051455,857,毕节,549966.90,08,05,14
201908051550,857,毕节,591649.37,08,05,15
201908051625,857,毕节,599932.14,08,05,16
201908051915,857,毕节,578283.05,08,05,19
201908052015,857,毕节,658479.89,08,05,20
201908052145,857,毕节,827055.22,08,05,21
201908052220,857,毕节,807281.48,08,05,22
201908060945,857,毕节,453678.79,08,06,09
201908061150,857,毕节,569865.90,08,06,11
201908061420,857,毕节,564328.65,08,06,14
201908061615,857,毕节,578386.04,08,06,16
201908061850,857,毕节,619402.92,08,06,18
201908062050,857,毕节,795892.27,08,06,20
201908062345,857,毕节,644880.02,08,06,23
201908071100,857,毕节,548030.12,08,07,11
201908071505,857,毕节,589752.01,08,07,15
201908071645,857,毕节,596363.29,08,07,16
201908072130,857,毕节,811439.33,08,07,21
201908081430,857,毕节,598332.14,08,08,14
201908081725,857,毕节,601585.45,08,08,17
201908081755,857,毕节,599804.31,08,08,17
201908081800,857,毕节,588396.13,08,08,18
201908081815,857,毕节,602370.45,08,08,18
201908082040,857,毕节,731106.16,08,08,20
201908091340,857,毕节,635122.65,08,09,13
201910270900,857,毕节,422291.50,10,27,09
201910270905,857,毕节,423278.98,10,27,09
201910270910,857,毕节,437677.86,10,27,09
201910270915,857,毕节,428237.64,10,27,09
201910270920,857,毕节,443265.89,10,27,09
201910270925,857,毕节,445286.51,10,27,09
201910270930,857,毕节,453726.73,10,27,09
201910270935,857,毕节,461952.54,10,27,09
201910270940,857,毕节,466608.20,10,27,09
201910270945,857,毕节,468320.41,10,27,09
201910270950,857,毕节,471970.09,10,27,09
201910270955,857,毕节,477712.42,10,27,09
201910271000,857,毕节,482379.01,10,27,10
201910271005,857,毕节,470157.34,10,27,10
201910271010,857,毕节,492462.18,10,27,10
201910271015,857,毕节,494867.16,10,27,10
201910271020,857,毕节,493443.96,10,27,10
201910271025,857,毕节,487223.69,10,27,10
201910271030,857,毕节,500179.04,10,27,10
201910271035,857,毕节,517228.42,10,27,10
201910271040,857,毕节,506054.77,10,27,10
201910271045,857,毕节,509510.14,10,27,10
201910271050,857,毕节,528132.43,10,27,10
201910271055,857,毕节,532036.77,10,27,10
201910271100,857,毕节,523248.71,10,27,11
201910271105,857,毕节,532595.99,10,27,11
201910271110,857,毕节,535370.25,10,27,11
201910271115,857,毕节,537199.57,10,27,11
201910271120,857,毕节,539711.11,10,27,11
201910271125,857,毕节,550485.66,10,27,11
201910271130,857,毕节,530325.19,10,27,11
201910271135,857,毕节,551053.07,10,27,11
201910271140,857,毕节,557463.09,10,27,11
201910271145,857,毕节,553227.69,10,27,11
201910271150,857,毕节,569207.87,10,27,11
201910271155,857,毕节,563583.29,10,27,11
201910271200,857,毕节,561931.81,10,27,12
201910271205,857,毕节,563098.40,10,27,12
201910271210,857,毕节,563242.20,10,27,12
201910271215,857,毕节,565514.46,10,27,12
201910271220,857,毕节,567165.21,10,27,12
201910271225,857,毕节,567245.60,10,27,12
201910271230,857,毕节,592284.58,10,27,12
201910271235,857,毕节,582544.77,10,27,12
201910271240,857,毕节,601017.84,10,27,12
201910271245,857,毕节,597106.86,10,27,12
201910271250,857,毕节,587131.73,10,27,12
201910271255,857,毕节,580491.75,10,27,12
201910271300,857,毕节,589965.22,10,27,13
201910271305,857,毕节,578011.85,10,27,13
201910271310,857,毕节,580867.41,10,27,13
201910271315,857,毕节,576670.33,10,27,13
201910271320,857,毕节,569977.10,10,27,13
201910271325,857,毕节,575461.16,10,27,13
201910271330,857,毕节,581719.51,10,27,13
201910271335,857,毕节,569495.43,10,27,13
201910271340,857,毕节,559990.99,10,27,13
201910271345,857,毕节,569740.02,10,27,13
201910271350,857,毕节,569423.77,10,27,13
201910271355,857,毕节,557299.55,10,27,13
201910271400,857,毕节,545775.05,10,27,14
201910271405,857,毕节,560717.83,10,27,14
201910271410,857,毕节,543834.29,10,27,14
201910271415,857,毕节,555549.78,10,27,14
201910271420,857,毕节,542553.65,10,27,14
201910271425,857,毕节,554082.22,10,27,14
201910271430,857,毕节,554153.14,10,27,14
201910271435,857,毕节,547755.91,10,27,14
201910271440,857,毕节,551705.97,10,27,14
201910271445,857,毕节,545644.70,10,27,14
201910271450,857,毕节,550763.06,10,27,14
201910271455,857,毕节,552559.17,10,27,14
201910271500,857,毕节,556435.91,10,27,15
201910271505,857,毕节,540571.02,10,27,15
201910271510,857,毕节,553617.39,10,27,15
201910271515,857,毕节,549111.04,10,27,15
201910271520,857,毕节,542118.44,10,27,15
201910271525,857,毕节,543834.99,10,27,15
201910271530,857,毕节,552867.34,10,27,15
201910271535,857,毕节,550006.85,10,27,15
201910271540,857,毕节,537474.73,10,27,15
201910271545,857,毕节,561134.78,10,27,15
201910271550,857,毕节,558466.57,10,27,15
201910271555,857,毕节,552849.73,10,27,15
201910271600,857,毕节,560474.32,10,27,16
201910271605,857,毕节,538266.47,10,27,16
201910271610,857,毕节,544982.12,10,27,16
201910271615,857,毕节,546108.25,10,27,16
201910271620,857,毕节,554510.19,10,27,16
201910271625,857,毕节,550691.05,10,27,16
201910271630,857,毕节,552846.07,10,27,16
201910271635,857,毕节,553144.18,10,27,16
201910271640,857,毕节,543098.54,10,27,16
201910271645,857,毕节,556194.94,10,27,16
201910271650,857,毕节,529753.94,10,27,16
201910271655,857,毕节,527476.41,10,27,16
201910271700,857,毕节,546555.96,10,27,17
201910271705,857,毕节,531975.05,10,27,17
201910271710,857,毕节,543766.02,10,27,17
201910271715,857,毕节,543513.60,10,27,17
201910271720,857,毕节,544877.10,10,27,17
201910271725,857,毕节,549211.71,10,27,17
201910271730,857,毕节,542396.35,10,27,17
201910271735,857,毕节,485841.77,10,27,17
201910271740,857,毕节,543920.01,10,27,17
201910271745,857,毕节,541920.65,10,27,17
201910271750,857,毕节,543291.18,10,27,17
201910271755,857,毕节,549221.68,10,27,17
201910271800,857,毕节,538967.51,10,27,18
201910271805,857,毕节,546375.29,10,27,18
