日期,编码,地区,流量,月份,天,小时
201907221830,857,毕节,143754.31,07,22,18
201907221845,857,毕节,119875.01,07,22,18
201907231015,857,毕节,113138.99,07,23,10
201907231240,857,毕节,146827.17,07,23,12
201907231515,857,毕节,127033.45,07,23,15
201907231850,857,毕节,136126.81,07,23,18
201907232150,857,毕节,188928.54,07,23,21
201907241850,857,毕节,138338.29,07,24,18
201907251000,857,毕节,106187.86,07,25,10
201907251115,857,毕节,123517.03,07,25,11
201907251505,857,毕节,130560.19,07,25,15
201907251555,857,毕节,132990.00,07,25,15
201907252035,857,毕节,159821.83,07,25,20
201907252155,857,毕节,189849.91,07,25,21
201907261605,857,毕节,355286.59,07,26,16
201907261615,857,毕节,363505.51,07,26,16
201907261755,857,毕节,357335.05,07,26,17
201907271105,857,毕节,332069.42,07,27,11
201907271305,857,毕节,397158.00,07,27,13
201907271315,857,毕节,388797.22,07,27,13
201907272000,857,毕节,351511.89,07,27,20
201907272055,857,毕节,446446.25,07,27,20
201907272255,857,毕节,473840.06,07,27,22
201907280950,857,毕节,290587.61,07,28,09
201907281810,857,毕节,341278.63,07,28,18
201907281935,857,毕节,345732.41,07,28,19
201907282000,857,毕节,366110.24,07,28,20
201907282005,857,毕节,357699.38,07,28,20
201907282015,857,毕节,371657.56,07,28,20
201907282025,857,毕节,400230.84,07,28,20
201907282040,857,毕节,429880.59,07,28,20
201907282110,857,毕节,477106.68,07,28,21
201907282305,857,毕节,447343.72,07,28,23
201907291255,857,毕节,385865.58,07,29,12
201907291530,857,毕节,357174.60,07,29,15
201907291540,857,毕节,344157.61,07,29,15
201907291630,857,毕节,331518.30,07,29,16
201907291710,857,毕节,342844.55,07,29,17
201907291815,857,毕节,339090.65,07,29,18
201907292000,857,毕节,378584.08,07,29,20
201907292115,857,毕节,493714.94,07,29,21
201907300910,857,毕节,274516.31,07,30,09
201907301150,857,毕节,330176.97,07,30,11
201907301640,857,毕节,351797.45,07,30,16
201907301725,857,毕节,363178.16,07,30,17
201907302000,857,毕节,416458.16,07,30,20
