日期,编码,地区,流量,月份,天,小时
201907221830,857,毕节,179813.35,07,22,18
201907221845,857,毕节,162190.82,07,22,18
201907231015,857,毕节,141540.27,07,23,10
201907231240,857,毕节,192747.21,07,23,12
201907231515,857,毕节,177645.50,07,23,15
201907231850,857,毕节,176020.88,07,23,18
201907232150,857,毕节,257274.92,07,23,21
201907241850,857,毕节,183649.08,07,24,18
201907251000,857,毕节,151742.12,07,25,10
201907251115,857,毕节,162824.11,07,25,11
201907251505,857,毕节,173316.55,07,25,15
201907251555,857,毕节,176095.82,07,25,15
201907252035,857,毕节,233683.43,07,25,20
201907252155,857,毕节,260062.95,07,25,21
201907261605,857,毕节,521567.37,07,26,16
201907261615,857,毕节,523244.33,07,26,16
201907261755,857,毕节,526950.20,07,26,17
201907271105,857,毕节,492369.59,07,27,11
201907271305,857,毕节,556070.57,07,27,13
201907271315,857,毕节,549193.14,07,27,13
201907272000,857,毕节,566670.41,07,27,20
201907272055,857,毕节,735921.39,07,27,20
201907272255,857,毕节,791612.08,07,27,22
201907280950,857,毕节,440708.63,07,28,09
201907281810,857,毕节,523653.98,07,28,18
201907281935,857,毕节,541089.84,07,28,19
201907282000,857,毕节,557963.11,07,28,20
201907282005,857,毕节,578168.68,07,28,20
201907282015,857,毕节,605990.65,07,28,20
201907282025,857,毕节,638331.60,07,28,20
201907282040,857,毕节,677708.69,07,28,20
201907282110,857,毕节,753842.60,07,28,21
201907282305,857,毕节,767370.48,07,28,23
201907291255,857,毕节,563874.02,07,29,12
201907291530,857,毕节,518121.08,07,29,15
201907291540,857,毕节,523663.33,07,29,15
201907291630,857,毕节,517034.95,07,29,16
201907291710,857,毕节,514931.67,07,29,17
201907291815,857,毕节,537973.38,07,29,18
201907292000,857,毕节,657454.11,07,29,20
201907292115,857,毕节,842337.07,07,29,21
201907300910,857,毕节,427503.18,07,30,09
201907301150,857,毕节,517022.37,07,30,11
201907301640,857,毕节,614771.26,07,30,16
201907301725,857,毕节,595203.78,07,30,17
201907302000,857,毕节,678936.06,07,30,20
201907302320,857,毕节,592198.82,07,30,23
201907310920,857,毕节,417654.63,07,31,09
201907311225,857,毕节,548437.54,07,31,12
201907311315,857,毕节,569608.59,07,31,13
201907311600,857,毕节,577971.31,07,31,16
201907312110,857,毕节,848540.73,07,31,21
201908011030,857,毕节,527193.35,08,01,10
201908011245,857,毕节,626216.13,08,01,12
201908011805,857,毕节,626771.86,08,01,18
201908011825,857,毕节,621514.27,08,01,18
201908011940,857,毕节,645609.41,08,01,19
201908012015,857,毕节,717423.69,08,01,20
201908012150,857,毕节,918624.89,08,01,21
201908012205,857,毕节,881916.39,08,01,22
201908012300,857,毕节,854867.11,08,01,23
201908021100,857,毕节,524175.49,08,02,11
201908021115,857,毕节,514816.96,08,02,11
201908021140,857,毕节,527890.22,08,02,11
201908021225,857,毕节,586365.69,08,02,12
201908021230,857,毕节,593884.21,08,02,12
201908021330,857,毕节,587924.54,08,02,13
201908021610,857,毕节,577327.15,08,02,16
201908021740,857,毕节,586085.47,08,02,17
201908021900,857,毕节,560184.32,08,02,19
201908021905,857,毕节,559878.65,08,02,19
201908022050,857,毕节,786916.67,08,02,20
201908022140,857,毕节,841972.02,08,02,21
201908031335,857,毕节,563992.38,08,03,13
201908031720,857,毕节,572157.17,08,03,17
201908032330,857,毕节,681008.01,08,03,23
201908041305,857,毕节,622421.09,08,04,13
201908041320,857,毕节,636459.31,08,04,13
201908041430,857,毕节,652691.94,08,04,14
201908041825,857,毕节,639901.01,08,04,18
201908042210,857,毕节,883105.96,08,04,22
201908042340,857,毕节,620065.46,08,04,23
201908042345,857,毕节,600051.66,08,04,23
201908050915,857,毕节,423741.07,08,05,09
201908051450,857,毕节,524712.40,08,05,14
201908051455,857,毕节,512698.73,08,05,14
201908051550,857,毕节,537069.82,08,05,15
201908051625,857,毕节,537474.31,08,05,16
201908051915,857,毕节,533378.16,08,05,19
201908052015,857,毕节,641086.91,08,05,20
201908052145,857,毕节,878258.83,08,05,21
201908052220,857,毕节,837086.13,08,05,22
201908060945,857,毕节,422463.68,08,06,09
201908061150,857,毕节,519810.86,08,06,11
201908061420,857,毕节,504483.61,08,06,14
