日期,编码,地区,流量,月份,天,小时
201907221830,854,黔南,44757.78,07,22,18
201907221845,854,黔南,45135.44,07,22,18
201907231015,854,黔南,40856.71,07,23,10
201907231240,854,黔南,57213.53,07,23,12
201907231515,854,黔南,48160.57,07,23,15
201907231850,854,黔南,49900.79,07,23,18
201907232150,854,黔南,65025.96,07,23,21
201907241850,854,黔南,50638.19,07,24,18
201907251000,854,黔南,41805.36,07,25,10
201907251115,854,黔南,46875.88,07,25,11
201907251505,854,黔南,48640.92,07,25,15
201907251555,854,黔南,50805.95,07,25,15
201907252035,854,黔南,56622.08,07,25,20
201907252155,854,黔南,63077.85,07,25,21
201907261605,854,黔南,156423.38,07,26,16
201907261615,854,黔南,157444.34,07,26,16
201907261755,854,黔南,165235.58,07,26,17
201907271105,854,黔南,157826.35,07,27,11
201907271305,854,黔南,171715.82,07,27,13
201907271315,854,黔南,174909.80,07,27,13
201907272000,854,黔南,167633.74,07,27,20
201907272055,854,黔南,189301.38,07,27,20
201907272255,854,黔南,222863.49,07,27,22
201907280950,854,黔南,139829.51,07,28,09
201907281810,854,黔南,147638.33,07,28,18
201907281935,854,黔南,152390.45,07,28,19
201907282000,854,黔南,148980.82,07,28,20
201907282005,854,黔南,151467.28,07,28,20
201907282015,854,黔南,165293.73,07,28,20
201907282025,854,黔南,167757.82,07,28,20
201907282040,854,黔南,178518.67,07,28,20
201907282110,854,黔南,196026.55,07,28,21
201907282305,854,黔南,197801.06,07,28,23
201907291255,854,黔南,173941.40,07,29,12
201907291530,854,黔南,142728.15,07,29,15
201907291540,854,黔南,142791.41,07,29,15
201907291630,854,黔南,146233.85,07,29,16
201907291710,854,黔南,149340.64,07,29,17
201907291815,854,黔南,150412.06,07,29,18
201907292000,854,黔南,155630.77,07,29,20
201907292115,854,黔南,205816.50,07,29,21
201907300910,854,黔南,123312.20,07,30,09
201907301150,854,黔南,156952.02,07,30,11
201907301640,854,黔南,156693.61,07,30,16
201907301725,854,黔南,147273.28,07,30,17
201907302000,854,黔南,164740.80,07,30,20
201907302320,854,黔南,160863.28,07,30,23
201907310920,854,黔南,123648.86,07,31,09
201907311225,854,黔南,169886.86,07,31,12
201907311315,854,黔南,172756.29,07,31,13
201907311600,854,黔南,152437.53,07,31,16
201907312110,854,黔南,208386.54,07,31,21
201908011030,854,黔南,158537.55,08,01,10
201908011245,854,黔南,189812.34,08,01,12
201908011805,854,黔南,182039.66,08,01,18
201908011825,854,黔南,182166.32,08,01,18
201908011940,854,黔南,187002.61,08,01,19
201908012015,854,黔南,209315.11,08,01,20
201908012150,854,黔南,242945.80,08,01,21
201908012205,854,黔南,246056.79,08,01,22
201908012300,854,黔南,218246.21,08,01,23
201908021100,854,黔南,171872.86,08,02,11
201908021115,854,黔南,185314.40,08,02,11
201908021140,854,黔南,175908.04,08,02,11
201908021225,854,黔南,184110.32,08,02,12
201908021230,854,黔南,192926.33,08,02,12
201908021330,854,黔南,182346.30,08,02,13
201908021610,854,黔南,159143.89,08,02,16
201908021740,854,黔南,175425.49,08,02,17
201908021900,854,黔南,177710.58,08,02,19
201908021905,854,黔南,168396.95,08,02,19
201908022050,854,黔南,234449.29,08,02,20
201908022140,854,黔南,251919.43,08,02,21
201908031335,854,黔南,177260.00,08,03,13
201908031720,854,黔南,162799.98,08,03,17
201908032330,854,黔南,192629.29,08,03,23
201908041305,854,黔南,187465.41,08,04,13
201908041320,854,黔南,181287.81,08,04,13
201908041430,854,黔南,172336.80,08,04,14
201908041825,854,黔南,169865.46,08,04,18
201908042210,854,黔南,231312.42,08,04,22
201908042340,854,黔南,183483.20,08,04,23
201908042345,854,黔南,174889.03,08,04,23
201908050915,854,黔南,129496.07,08,05,09
201908051450,854,黔南,157670.88,08,05,14
201908051455,854,黔南,158336.20,08,05,14
201908051550,854,黔南,163254.15,08,05,15
201908051625,854,黔南,162256.61,08,05,16
201908051915,854,黔南,182157.08,08,05,19
201908052015,854,黔南,196741.87,08,05,20
201908052145,854,黔南,237354.81,08,05,21
201908052220,854,黔南,236993.78,08,05,22
201908060945,854,黔南,141039.62,08,06,09
201908061150,854,黔南,157466.47,08,06,11
201908061420,854,黔南,156198.63,08,06,14
201908061615,854,黔南,166380.03,08,06,16
201908061850,854,黔南,161922.65,08,06,18
201908062050,854,黔南,217936.47,08,06,20
201908062345,854,黔南,176278.45,08,06,23
201908071100,854,黔南,154929.64,08,07,11
201908071505,854,黔南,164173.51,08,07,15
201908071645,854,黔南,165078.73,08,07,16
201908072130,854,黔南,249881.41,08,07,21
201908081430,854,黔南,171695.46,08,08,14
201908081725,854,黔南,170834.12,08,08,17
201908081755,854,黔南,170994.65,08,08,17
201908081800,854,黔南,174963.52,08,08,18
201908081815,854,黔南,186363.26,08,08,18
201908082040,854,黔南,227157.93,08,08,20
201908091340,854,黔南,169794.37,08,09,13
201910270900,854,黔南,143175.06,10,27,09
201910270905,854,黔南,140351.87,10,27,09
201910270910,854,黔南,148809.54,10,27,09
201910270915,854,黔南,144324.92,10,27,09
201910270920,854,黔南,147934.08,10,27,09
201910270925,854,黔南,148554.40,10,27,09
201910270930,854,黔南,145385.83,10,27,09
201910270935,854,黔南,143707.94,10,27,09
201910270940,854,黔南,143509.70,10,27,09
201910270945,854,黔南,151620.95,10,27,09
201910270950,854,黔南,149943.47,10,27,09
201910270955,854,黔南,149662.92,10,27,09
201910271000,854,黔南,148721.67,10,27,10
201910271005,854,黔南,153668.99,10,27,10
201910271010,854,黔南,155231.49,10,27,10
201910271015,854,黔南,147815.78,10,27,10
201910271020,854,黔南,152071.20,10,27,10
201910271025,854,黔南,155088.66,10,27,10
201910271030,854,黔南,149930.62,10,27,10
201910271035,854,黔南,162441.14,10,27,10
201910271040,854,黔南,162591.41,10,27,10
201910271045,854,黔南,153547.31,10,27,10
201910271050,854,黔南,158369.75,10,27,10
201910271055,854,黔南,163024.74,10,27,10
201910271100,854,黔南,160251.48,10,27,11
201910271105,854,黔南,158166.12,10,27,11
201910271110,854,黔南,160126.38,10,27,11
201910271115,854,黔南,167128.50,10,27,11
201910271120,854,黔南,164771.39,10,27,11
201910271125,854,黔南,164214.04,10,27,11
201910271130,854,黔南,170540.59,10,27,11
201910271135,854,黔南,154255.09,10,27,11
201910271140,854,黔南,161268.63,10,27,11
201910271145,854,黔南,155777.54,10,27,11
201910271150,854,黔南,163961.54,10,27,11
201910271155,854,黔南,175312.09,10,27,11
201910271200,854,黔南,149129.35,10,27,12
201910271205,854,黔南,158990.30,10,27,12
201910271210,854,黔南,160220.92,10,27,12
201910271215,854,黔南,164527.63,10,27,12
201910271220,854,黔南,169054.23,10,27,12
201910271225,854,黔南,162531.12,10,27,12
201910271230,854,黔南,167969.22,10,27,12
201910271235,854,黔南,168400.99,10,27,12
201910271240,854,黔南,183012.51,10,27,12
201910271245,854,黔南,165288.10,10,27,12
201910271250,854,黔南,177847.77,10,27,12
201910271255,854,黔南,167893.58,10,27,12
201910271300,854,黔南,174116.48,10,27,13
201910271305,854,黔南,177372.11,10,27,13
201910271310,854,黔南,173445.32,10,27,13
201910271315,854,黔南,165590.84,10,27,13
201910271320,854,黔南,175596.89,10,27,13
201910271325,854,黔南,179497.05,10,27,13
201910271330,854,黔南,172941.27,10,27,13
201910271335,854,黔南,171428.64,10,27,13
201910271340,854,黔南,175528.42,10,27,13
201910271345,854,黔南,166535.83,10,27,13
201910271350,854,黔南,178614.95,10,27,13
201910271355,854,黔南,160010.23,10,27,13
201910271400,854,黔南,173589.42,10,27,14
201910271405,854,黔南,172271.16,10,27,14
201910271410,854,黔南,164408.75,10,27,14
201910271415,854,黔南,168307.29,10,27,14
201910271420,854,黔南,160344.23,10,27,14
201910271425,854,黔南,160321.32,10,27,14
201910271430,854,黔南,160308.95,10,27,14
201910271435,854,黔南,164918.61,10,27,14
201910271440,854,黔南,163637.87,10,27,14
201910271445,854,黔南,166399.72,10,27,14
201910271450,854,黔南,162978.81,10,27,14
201910271455,854,黔南,156051.24,10,27,14
201910271500,854,黔南,163228.88,10,27,15
201910271505,854,黔南,163009.80,10,27,15
201910271510,854,黔南,167570.27,10,27,15
201910271515,854,黔南,159662.74,10,27,15
201910271520,854,黔南,153949.25,10,27,15
201910271525,854,黔南,160459.90,10,27,15
201910271530,854,黔南,158709.82,10,27,15
201910271535,854,黔南,159526.20,10,27,15
201910271540,854,黔南,153493.51,10,27,15
201910271545,854,黔南,156281.81,10,27,15
201910271550,854,黔南,153803.31,10,27,15
201910271555,854,黔南,155245.09,10,27,15
201910271600,854,黔南,156521.25,10,27,16
201910271605,854,黔南,156647.64,10,27,16
201910271610,854,黔南,150763.00,10,27,16
201910271615,854,黔南,149103.49,10,27,16
201910271620,854,黔南,152475.17,10,27,16
201910271625,854,黔南,161043.53,10,27,16
201910271630,854,黔南,150363.00,10,27,16
201910271635,854,黔南,146701.42,10,27,16
201910271640,854,黔南,149726.69,10,27,16
201910271645,854,黔南,153527.51,10,27,16
201910271650,854,黔南,149867.42,10,27,16
201910271655,854,黔南,148424.64,10,27,16
201910271700,854,黔南,145249.38,10,27,17
201910271705,854,黔南,152176.57,10,27,17
201910271710,854,黔南,152270.85,10,27,17
201910271715,854,黔南,149764.34,10,27,17
