日期,编码,地区,流量,月份,天,小时
201907221830,854,黔南,76047.03,07,22,18
201907221845,854,黔南,75328.48,07,22,18
201907231015,854,黔南,57517.46,07,23,10
201907231240,854,黔南,87979.13,07,23,12
201907231515,854,黔南,81164.14,07,23,15
201907231850,854,黔南,77193.74,07,23,18
201907232150,854,黔南,105652.37,07,23,21
201907241850,854,黔南,82233.63,07,24,18
201907251000,854,黔南,66800.53,07,25,10
201907251115,854,黔南,72705.26,07,25,11
201907251505,854,黔南,82292.56,07,25,15
201907251555,854,黔南,79222.04,07,25,15
201907252035,854,黔南,93227.23,07,25,20
201907252155,854,黔南,106653.93,07,25,21
201907261605,854,黔南,261102.83,07,26,16
201907261615,854,黔南,265916.48,07,26,16
201907261755,854,黔南,267442.67,07,26,17
201907271105,854,黔南,245323.61,07,27,11
201907271305,854,黔南,290693.02,07,27,13
201907271315,854,黔南,286008.71,07,27,13
201907272000,854,黔南,280625.01,07,27,20
201907272055,854,黔南,316825.58,07,27,20
201907272255,854,黔南,343201.56,07,27,22
201907280950,854,黔南,222144.25,07,28,09
201907281810,854,黔南,258566.72,07,28,18
201907281935,854,黔南,262657.14,07,28,19
201907282000,854,黔南,268155.26,07,28,20
201907282005,854,黔南,280221.30,07,28,20
201907282015,854,黔南,283963.91,07,28,20
201907282025,854,黔南,285871.45,07,28,20
201907282040,854,黔南,302177.41,07,28,20
201907282110,854,黔南,322170.89,07,28,21
201907282305,854,黔南,315314.59,07,28,23
201907291255,854,黔南,290606.67,07,29,12
201907291530,854,黔南,245192.18,07,29,15
201907291540,854,黔南,242382.58,07,29,15
201907291630,854,黔南,241056.69,07,29,16
201907291710,854,黔南,257333.33,07,29,17
201907291815,854,黔南,251967.40,07,29,18
201907292000,854,黔南,273269.21,07,29,20
201907292115,854,黔南,339249.11,07,29,21
201907300910,854,黔南,205551.75,07,30,09
201907301150,854,黔南,262071.47,07,30,11
201907301640,854,黔南,267337.24,07,30,16
201907301725,854,黔南,241087.60,07,30,17
201907302000,854,黔南,278465.44,07,30,20
201907302320,854,黔南,269700.60,07,30,23
201907310920,854,黔南,201484.41,07,31,09
201907311225,854,黔南,283418.76,07,31,12
201907311315,854,黔南,286599.76,07,31,13
201907311600,854,黔南,264452.58,07,31,16
