日期,编码,地区,流量,月份,天,小时
201907221830,854,黔南,25678.51,07,22,18
201907221845,854,黔南,25372.97,07,22,18
201907231015,854,黔南,21258.62,07,23,10
201907231240,854,黔南,30167.05,07,23,12
201907231515,854,黔南,28135.44,07,23,15
201907231850,854,黔南,36911.04,07,23,18
201907232150,854,黔南,38628.66,07,23,21
201907241850,854,黔南,28019.44,07,24,18
201907251000,854,黔南,23762.12,07,25,10
201907251115,854,黔南,25565.01,07,25,11
201907251505,854,黔南,28018.07,07,25,15
201907251555,854,黔南,25103.16,07,25,15
201907252035,854,黔南,31197.30,07,25,20
201907252155,854,黔南,34681.35,07,25,21
201907261605,854,黔南,118860.80,07,26,16
201907261615,854,黔南,118539.71,07,26,16
201907261755,854,黔南,127711.31,07,26,17
201907271105,854,黔南,111025.98,07,27,11
201907271305,854,黔南,130340.04,07,27,13
201907271315,854,黔南,125087.07,07,27,13
201907272000,854,黔南,129109.35,07,27,20
201907272055,854,黔南,153809.61,07,27,20
201907272255,854,黔南,163608.13,07,27,22
201907280950,854,黔南,104920.89,07,28,09
201907281810,854,黔南,121093.54,07,28,18
201907281935,854,黔南,124987.36,07,28,19
201907282000,854,黔南,125972.41,07,28,20
201907282005,854,黔南,135683.86,07,28,20
201907282015,854,黔南,136414.52,07,28,20
201907282025,854,黔南,136801.13,07,28,20
201907282040,854,黔南,142550.98,07,28,20
201907282110,854,黔南,154945.14,07,28,21
201907282305,854,黔南,151371.39,07,28,23
201907291255,854,黔南,127037.25,07,29,12
201907291530,854,黔南,113042.82,07,29,15
201907291540,854,黔南,113190.58,07,29,15
201907291630,854,黔南,118021.67,07,29,16
201907291710,854,黔南,113881.46,07,29,17
201907291815,854,黔南,116598.09,07,29,18
201907292000,854,黔南,129372.23,07,29,20
201907292115,854,黔南,156380.52,07,29,21
201907300910,854,黔南,97783.92,07,30,09
201907301150,854,黔南,129129.43,07,30,11
201907301640,854,黔南,132675.49,07,30,16
201907301725,854,黔南,119883.41,07,30,17
201907302000,854,黔南,135778.28,07,30,20
201907302320,854,黔南,125629.86,07,30,23
