日期,编码,地区,流量,月份,天,小时
201907221830,854,黔南,29202.14,07,22,18
201907221845,854,黔南,27580.56,07,22,18
201907231015,854,黔南,21605.28,07,23,10
201907231240,854,黔南,32399.74,07,23,12
201907231515,854,黔南,26668.73,07,23,15
201907231850,854,黔南,28906.76,07,23,18
201907232150,854,黔南,38554.86,07,23,21
201907241850,854,黔南,30152.03,07,24,18
201907251000,854,黔南,23517.11,07,25,10
201907251115,854,黔南,25204.14,07,25,11
201907251505,854,黔南,29590.57,07,25,15
201907251555,854,黔南,30071.47,07,25,15
201907252035,854,黔南,34593.03,07,25,20
201907252155,854,黔南,38308.89,07,25,21
201907261605,854,黔南,110283.48,07,26,16
201907261615,854,黔南,110735.59,07,26,16
201907261755,854,黔南,119821.63,07,26,17
201907271105,854,黔南,107012.27,07,27,11
201907271305,854,黔南,126589.50,07,27,13
201907271315,854,黔南,127363.45,07,27,13
201907272000,854,黔南,116962.89,07,27,20
201907272055,854,黔南,137596.95,07,27,20
201907272255,854,黔南,155896.07,07,27,22
201907280950,854,黔南,93250.53,07,28,09
201907281810,854,黔南,110184.03,07,28,18
201907281935,854,黔南,107939.69,07,28,19
201907282000,854,黔南,103854.85,07,28,20
201907282005,854,黔南,116100.30,07,28,20
201907282015,854,黔南,111443.32,07,28,20
201907282025,854,黔南,121092.44,07,28,20
201907282040,854,黔南,126990.85,07,28,20
201907282110,854,黔南,140457.83,07,28,21
201907282305,854,黔南,141024.69,07,28,23
201907291255,854,黔南,126844.01,07,29,12
201907291530,854,黔南,108793.99,07,29,15
201907291540,854,黔南,113823.21,07,29,15
201907291630,854,黔南,108179.79,07,29,16
201907291710,854,黔南,111500.18,07,29,17
201907291815,854,黔南,108387.97,07,29,18
201907292000,854,黔南,114305.23,07,29,20
201907292115,854,黔南,142394.97,07,29,21
201907300910,854,黔南,84989.08,07,30,09
201907301150,854,黔南,111045.35,07,30,11
201907301640,854,黔南,117323.70,07,30,16
201907301725,854,黔南,105747.72,07,30,17
201907302000,854,黔南,121148.06,07,30,20
201907302320,854,黔南,117178.90,07,30,23
201907310920,854,黔南,86207.16,07,31,09
201907311225,854,黔南,124793.55,07,31,12
201907311315,854,黔南,130645.01,07,31,13
201907311600,854,黔南,116403.78,07,31,16
201907312110,854,黔南,142664.24,07,31,21
201908011030,854,黔南,103630.51,08,01,10
201908011245,854,黔南,142859.82,08,01,12
201908011805,854,黔南,124917.93,08,01,18
201908011825,854,黔南,121838.30,08,01,18
201908011940,854,黔南,127460.05,08,01,19
201908012015,854,黔南,149543.44,08,01,20
201908012150,854,黔南,174734.31,08,01,21
201908012205,854,黔南,169294.09,08,01,22
201908012300,854,黔南,160748.25,08,01,23
201908021100,854,黔南,116083.35,08,02,11
201908021115,854,黔南,124538.20,08,02,11
201908021140,854,黔南,118947.94,08,02,11
201908021225,854,黔南,129520.68,08,02,12
201908021230,854,黔南,132086.12,08,02,12
201908021330,854,黔南,130314.92,08,02,13
201908021610,854,黔南,119034.44,08,02,16
201908021740,854,黔南,128421.07,08,02,17
201908021900,854,黔南,125548.93,08,02,19
201908021905,854,黔南,126638.92,08,02,19
201908022050,854,黔南,156459.81,08,02,20
201908022140,854,黔南,171401.11,08,02,21
201908031335,854,黔南,142958.02,08,03,13
201908031720,854,黔南,126257.07,08,03,17
