日期,编码,地区,流量,月份,天,小时
201907221830,854,黔南,33906.57,07,22,18
201907221845,854,黔南,34146.10,07,22,18
201907231015,854,黔南,28349.77,07,23,10
201907231240,854,黔南,41225.96,07,23,12
201907231515,854,黔南,37205.77,07,23,15
201907231850,854,黔南,35845.76,07,23,18
201907232150,854,黔南,45161.67,07,23,21
201907241850,854,黔南,32797.29,07,24,18
201907251000,854,黔南,32528.78,07,25,10
201907251115,854,黔南,35895.41,07,25,11
201907251505,854,黔南,36993.01,07,25,15
201907251555,854,黔南,35500.35,07,25,15
201907252035,854,黔南,38721.70,07,25,20
201907252155,854,黔南,47430.85,07,25,21
201907261605,854,黔南,147702.37,07,26,16
201907261615,854,黔南,150194.86,07,26,16
201907261755,854,黔南,147680.10,07,26,17
201907271105,854,黔南,140631.90,07,27,11
201907271305,854,黔南,170530.82,07,27,13
201907271315,854,黔南,164260.87,07,27,13
201907272000,854,黔南,148391.35,07,27,20
201907272055,854,黔南,183614.65,07,27,20
201907272255,854,黔南,195793.25,07,27,22
201907280950,854,黔南,128170.75,07,28,09
201907281810,854,黔南,138782.98,07,28,18
201907281935,854,黔南,148900.00,07,28,19
201907282000,854,黔南,135832.76,07,28,20
201907282005,854,黔南,146438.57,07,28,20
201907282015,854,黔南,148256.27,07,28,20
201907282025,854,黔南,156400.92,07,28,20
201907282040,854,黔南,167481.19,07,28,20
201907282110,854,黔南,188317.13,07,28,21
201907282305,854,黔南,176120.08,07,28,23
201907291255,854,黔南,168780.06,07,29,12
201907291530,854,黔南,133819.93,07,29,15
201907291540,854,黔南,135415.07,07,29,15
201907291630,854,黔南,137846.51,07,29,16
201907291710,854,黔南,143866.97,07,29,17
201907291815,854,黔南,137807.08,07,29,18
201907292000,854,黔南,150493.55,07,29,20
201907292115,854,黔南,194992.50,07,29,21
201907300910,854,黔南,118139.30,07,30,09
201907301150,854,黔南,149572.35,07,30,11
201907301640,854,黔南,144056.33,07,30,16
201907301725,854,黔南,139657.59,07,30,17
201907302000,854,黔南,152122.08,07,30,20
201907302320,854,黔南,155067.89,07,30,23
201907310920,854,黔南,119833.15,07,31,09
201907311225,854,黔南,157728.88,07,31,12
201907311315,854,黔南,165656.92,07,31,13
201907311600,854,黔南,145744.16,07,31,16
201907312110,854,黔南,196040.71,07,31,21
201908011030,854,黔南,155119.77,08,01,10
201908011245,854,黔南,192086.73,08,01,12
201908011805,854,黔南,171141.46,08,01,18
201908011825,854,黔南,174455.77,08,01,18
201908011940,854,黔南,189475.27,08,01,19
201908012015,854,黔南,203800.55,08,01,20
201908012150,854,黔南,240464.81,08,01,21
201908012205,854,黔南,230689.90,08,01,22
201908012300,854,黔南,199479.91,08,01,23
201908021100,854,黔南,158658.68,08,02,11
201908021115,854,黔南,159386.21,08,02,11
201908021140,854,黔南,170817.54,08,02,11
201908021225,854,黔南,174733.16,08,02,12
201908021230,854,黔南,178937.42,08,02,12
201908021330,854,黔南,168967.69,08,02,13
201908021610,854,黔南,154493.85,08,02,16
201908021740,854,黔南,158671.90,08,02,17
201908021900,854,黔南,169823.56,08,02,19
201908021905,854,黔南,167798.56,08,02,19
201908022050,854,黔南,225770.04,08,02,20
201908022140,854,黔南,223268.12,08,02,21
201908031335,854,黔南,174803.24,08,03,13
201908031720,854,黔南,153198.37,08,03,17
201908032330,854,黔南,177331.82,08,03,23
201908041305,854,黔南,186729.58,08,04,13
201908041320,854,黔南,178785.50,08,04,13
201908041430,854,黔南,164936.03,08,04,14
201908041825,854,黔南,164453.70,08,04,18
201908042210,854,黔南,228755.17,08,04,22
201908042340,854,黔南,159440.62,08,04,23
201908042345,854,黔南,151382.62,08,04,23
201908050915,854,黔南,120672.98,08,05,09
201908051450,854,黔南,157977.92,08,05,14
201908051455,854,黔南,153046.38,08,05,14
201908051550,854,黔南,151413.93,08,05,15
201908051625,854,黔南,154769.08,08,05,16
201908051915,854,黔南,148254.50,08,05,19
201908052015,854,黔南,181348.72,08,05,20
201908052145,854,黔南,225700.09,08,05,21
201908052220,854,黔南,218496.03,08,05,22
201908060945,854,黔南,134554.74,08,06,09
201908061150,854,黔南,153350.43,08,06,11
201908061420,854,黔南,152083.14,08,06,14
201908061615,854,黔南,157559.94,08,06,16
201908061850,854,黔南,144486.09,08,06,18
