日期,编码,地区,流量,月份,天,小时
201907221830,851,贵阳,414772.11,07,22,18
201907221845,851,贵阳,416626.70,07,22,18
201907231015,851,贵阳,318716.95,07,23,10
201907231240,851,贵阳,461628.47,07,23,12
201907231515,851,贵阳,398578.60,07,23,15
201907231850,851,贵阳,462190.31,07,23,18
201907232150,851,贵阳,608695.83,07,23,21
201907241850,851,贵阳,448631.75,07,24,18
201907251000,851,贵阳,321728.68,07,25,10
201907251115,851,贵阳,367793.85,07,25,11
201907251505,851,贵阳,391459.15,07,25,15
201907251555,851,贵阳,401365.96,07,25,15
201907252035,851,贵阳,503740.62,07,25,20
201907252155,851,贵阳,604635.10,07,25,21
201907261605,851,贵阳,407196.37,07,26,16
201907261615,851,贵阳,400413.61,07,26,16
201907261755,851,贵阳,418696.53,07,26,17
201907271105,851,贵阳,368475.27,07,27,11
201907271305,851,贵阳,445582.69,07,27,13
201907271315,851,贵阳,427117.39,07,27,13
201907272000,851,贵阳,474227.81,07,27,20
201907272055,851,贵阳,539824.01,07,27,20
201907272255,851,贵阳,564648.60,07,27,22
201907280950,851,贵阳,348872.24,07,28,09
201907281810,851,贵阳,422205.07,07,28,18
201907281935,851,贵阳,451881.04,07,28,19
201907282000,851,贵阳,453773.07,07,28,20
201907282005,851,贵阳,459322.08,07,28,20
201907282015,851,贵阳,468171.46,07,28,20
201907282025,851,贵阳,487811.24,07,28,20
201907282040,851,贵阳,518660.11,07,28,20
201907282110,851,贵阳,546309.77,07,28,21
201907282305,851,贵阳,538182.76,07,28,23
201907291255,851,贵阳,442311.89,07,29,12
201907291530,851,贵阳,396222.86,07,29,15
201907291540,851,贵阳,385223.00,07,29,15
201907291630,851,贵阳,403941.45,07,29,16
201907291710,851,贵阳,411013.29,07,29,17
201907291815,851,贵阳,412102.94,07,29,18
201907292000,851,贵阳,471116.66,07,29,20
201907292115,851,贵阳,548151.63,07,29,21
201907300910,851,贵阳,300241.10,07,30,09
201907301150,851,贵阳,414042.40,07,30,11
201907301640,851,贵阳,420590.27,07,30,16
201907301725,851,贵阳,395183.34,07,30,17
201907302000,851,贵阳,481331.84,07,30,20
201907302320,851,贵阳,455081.14,07,30,23
201907310920,851,贵阳,318933.23,07,31,09
201907311225,851,贵阳,470763.29,07,31,12
201907311315,851,贵阳,422616.59,07,31,13
201907311600,851,贵阳,427130.90,07,31,16
201907312110,851,贵阳,580777.58,07,31,21
201908011030,851,贵阳,407776.12,08,01,10
201908011245,851,贵阳,513957.12,08,01,12
201908011805,851,贵阳,473265.91,08,01,18
201908011825,851,贵阳,496525.38,08,01,18
201908011940,851,贵阳,500808.26,08,01,19
201908012015,851,贵阳,533617.98,08,01,20
201908012150,851,贵阳,669942.45,08,01,21
201908012205,851,贵阳,666723.70,08,01,22
201908012300,851,贵阳,633907.71,08,01,23
201908021100,851,贵阳,409642.10,08,02,11
201908021115,851,贵阳,424679.41,08,02,11
201908021140,851,贵阳,440832.49,08,02,11
201908021225,851,贵阳,497559.65,08,02,12
201908021230,851,贵阳,503134.98,08,02,12
201908021330,851,贵阳,457161.75,08,02,13
201908021610,851,贵阳,455129.99,08,02,16
201908021740,851,贵阳,462964.28,08,02,17
201908021900,851,贵阳,512943.99,08,02,19
201908021905,851,贵阳,506376.28,08,02,19
201908022050,851,贵阳,607876.68,08,02,20
201908022140,851,贵阳,651558.47,08,02,21
201908031335,851,贵阳,441720.63,08,03,13
201908031720,851,贵阳,437475.47,08,03,17
201908032330,851,贵阳,527085.27,08,03,23
201908041305,851,贵阳,457395.34,08,04,13
201908041320,851,贵阳,461743.19,08,04,13
201908041430,851,贵阳,431403.39,08,04,14
201908041825,851,贵阳,536465.15,08,04,18
201908042210,851,贵阳,623588.61,08,04,22
201908042340,851,贵阳,469498.55,08,04,23
201908042345,851,贵阳,460801.87,08,04,23
201908050915,851,贵阳,323241.63,08,05,09
201908051450,851,贵阳,403624.48,08,05,14
201908051455,851,贵阳,402766.98,08,05,14
201908051550,851,贵阳,404347.90,08,05,15
201908051625,851,贵阳,395892.45,08,05,16
201908051915,851,贵阳,457474.21,08,05,19
201908052015,851,贵阳,531254.75,08,05,20
201908052145,851,贵阳,621176.43,08,05,21
201908052220,851,贵阳,591705.08,08,05,22
201908060945,851,贵阳,341897.99,08,06,09
201908061150,851,贵阳,413595.34,08,06,11
201908061420,851,贵阳,401365.81,08,06,14
201908061615,851,贵阳,410820.83,08,06,16
201908061850,851,贵阳,451348.92,08,06,18
201908062050,851,贵阳,578305.52,08,06,20
201908062345,851,贵阳,473602.07,08,06,23
201908071100,851,贵阳,401130.52,08,07,11
201908071505,851,贵阳,387351.31,08,07,15
201908071645,851,贵阳,418729.30,08,07,16
201908072130,851,贵阳,611497.43,08,07,21
201908081430,851,贵阳,408634.29,08,08,14
201908081725,851,贵阳,435419.26,08,08,17
201908081755,851,贵阳,434217.27,08,08,17
201908081800,851,贵阳,424644.16,08,08,18
201908081815,851,贵阳,437513.03,08,08,18
201908082040,851,贵阳,558590.40,08,08,20
201908091340,851,贵阳,446755.25,08,09,13
201910270900,851,贵阳,316387.36,10,27,09
201910270905,851,贵阳,320818.67,10,27,09
201910270910,851,贵阳,325720.50,10,27,09
