日期,编码,地区,流量,月份,天,小时
201907221830,851,贵阳,521547.49,07,22,18
201907221845,851,贵阳,503563.20,07,22,18
201907231015,851,贵阳,403582.24,07,23,10
201907231240,851,贵阳,573906.62,07,23,12
201907231515,851,贵阳,501777.90,07,23,15
201907231850,851,贵阳,576641.41,07,23,18
201907232150,851,贵阳,711030.14,07,23,21
201907241850,851,贵阳,541757.67,07,24,18
201907251000,851,贵阳,410363.74,07,25,10
201907251115,851,贵阳,468779.50,07,25,11
201907251505,851,贵阳,495771.34,07,25,15
201907251555,851,贵阳,504683.67,07,25,15
201907252035,851,贵阳,606095.72,07,25,20
201907252155,851,贵阳,684585.12,07,25,21
201907261605,851,贵阳,520066.00,07,26,16
201907261615,851,贵阳,521002.25,07,26,16
201907261755,851,贵阳,520108.63,07,26,17
201907271105,851,贵阳,469242.06,07,27,11
201907271305,851,贵阳,565867.76,07,27,13
201907271315,851,贵阳,560337.74,07,27,13
201907272000,851,贵阳,563049.64,07,27,20
201907272055,851,贵阳,612568.12,07,27,20
201907272255,851,贵阳,670469.61,07,27,22
201907280950,851,贵阳,426431.96,07,28,09
201907281810,851,贵阳,513175.27,07,28,18
201907281935,851,贵阳,540292.12,07,28,19
201907282000,851,贵阳,542770.72,07,28,20
201907282005,851,贵阳,549203.21,07,28,20
201907282015,851,贵阳,549236.02,07,28,20
201907282025,851,贵阳,564770.32,07,28,20
201907282040,851,贵阳,575073.41,07,28,20
201907282110,851,贵阳,627288.29,07,28,21
201907282305,851,贵阳,627967.36,07,28,23
201907291255,851,贵阳,571618.16,07,29,12
201907291530,851,贵阳,506396.08,07,29,15
201907291540,851,贵阳,506531.06,07,29,15
201907291630,851,贵阳,506812.72,07,29,16
201907291710,851,贵阳,505062.15,07,29,17
201907291815,851,贵阳,507456.73,07,29,18
201907292000,851,贵阳,545778.22,07,29,20
201907292115,851,贵阳,622674.82,07,29,21
201907300910,851,贵阳,363671.31,07,30,09
201907301150,851,贵阳,491905.31,07,30,11
201907301640,851,贵阳,514849.86,07,30,16
201907301725,851,贵阳,511361.23,07,30,17
201907302000,851,贵阳,570781.95,07,30,20
201907302320,851,贵阳,530709.60,07,30,23
201907310920,851,贵阳,380234.48,07,31,09
201907311225,851,贵阳,577688.67,07,31,12
201907311315,851,贵阳,551586.39,07,31,13
201907311600,851,贵阳,506029.17,07,31,16
201907312110,851,贵阳,648293.14,07,31,21
201908011030,851,贵阳,497768.34,08,01,10
201908011245,851,贵阳,647818.44,08,01,12
201908011805,851,贵阳,580369.94,08,01,18
201908011825,851,贵阳,619724.44,08,01,18
201908011940,851,贵阳,615573.02,08,01,19
201908012015,851,贵阳,632828.10,08,01,20
201908012150,851,贵阳,728203.36,08,01,21
201908012205,851,贵阳,735570.42,08,01,22
201908012300,851,贵阳,701651.26,08,01,23
201908021100,851,贵阳,504080.57,08,02,11
201908021115,851,贵阳,516291.28,08,02,11
201908021140,851,贵阳,522166.43,08,02,11
201908021225,851,贵阳,612414.31,08,02,12
201908021230,851,贵阳,628020.87,08,02,12
201908021330,851,贵阳,578164.87,08,02,13
201908021610,851,贵阳,556400.35,08,02,16
201908021740,851,贵阳,564110.96,08,02,17
201908021900,851,贵阳,579514.17,08,02,19
201908021905,851,贵阳,592502.47,08,02,19
201908022050,851,贵阳,707140.83,08,02,20
201908022140,851,贵阳,744864.82,08,02,21
201908031335,851,贵阳,560355.22,08,03,13
201908031720,851,贵阳,585628.92,08,03,17
201908032330,851,贵阳,626724.40,08,03,23
201908041305,851,贵阳,587250.46,08,04,13
201908041320,851,贵阳,566614.05,08,04,13
201908041430,851,贵阳,574313.06,08,04,14
201908041825,851,贵阳,585042.37,08,04,18
201908042210,851,贵阳,689290.12,08,04,22
201908042340,851,贵阳,557847.61,08,04,23
201908042345,851,贵阳,546303.64,08,04,23
201908050915,851,贵阳,383161.22,08,05,09
201908051450,851,贵阳,503515.33,08,05,14
201908051455,851,贵阳,495135.85,08,05,14
201908051550,851,贵阳,517794.07,08,05,15
201908051625,851,贵阳,500970.19,08,05,16
201908051915,851,贵阳,513383.81,08,05,19
201908052015,851,贵阳,582842.23,08,05,20
201908052145,851,贵阳,651843.51,08,05,21
201908052220,851,贵阳,635157.29,08,05,22
201908060945,851,贵阳,397419.66,08,06,09
201908061150,851,贵阳,481147.96,08,06,11
201908061420,851,贵阳,493981.95,08,06,14
201908061615,851,贵阳,497910.69,08,06,16
201908061850,851,贵阳,519641.36,08,06,18
201908062050,851,贵阳,632046.06,08,06,20
201908062345,851,贵阳,540077.63,08,06,23
201908071100,851,贵阳,471301.89,08,07,11
201908071505,851,贵阳,521811.13,08,07,15
201908071645,851,贵阳,521022.95,08,07,16
201908072130,851,贵阳,657100.30,08,07,21
201908081430,851,贵阳,517487.43,08,08,14
201908081725,851,贵阳,509617.48,08,08,17
201908081755,851,贵阳,508007.76,08,08,17
201908081800,851,贵阳,505516.65,08,08,18
201908081815,851,贵阳,504442.57,08,08,18
201908082040,851,贵阳,604287.22,08,08,20
201908091340,851,贵阳,533861.99,08,09,13
201910270900,851,贵阳,410593.78,10,27,09
201910270905,851,贵阳,407804.40,10,27,09
201910270910,851,贵阳,410421.88,10,27,09
201910270915,851,贵阳,425429.54,10,27,09
201910270920,851,贵阳,434289.03,10,27,09
201910270925,851,贵阳,428746.18,10,27,09
201910270930,851,贵阳,451346.25,10,27,09
201910270935,851,贵阳,442634.24,10,27,09
201910270940,851,贵阳,456437.93,10,27,09
201910270945,851,贵阳,458546.28,10,27,09
201910270950,851,贵阳,474857.18,10,27,09
201910270955,851,贵阳,485212.44,10,27,09
201910271000,851,贵阳,493746.56,10,27,10
201910271005,851,贵阳,503090.65,10,27,10
201910271010,851,贵阳,509298.24,10,27,10
201910271015,851,贵阳,523813.77,10,27,10
201910271020,851,贵阳,521903.14,10,27,10
201910271025,851,贵阳,533990.66,10,27,10
201910271030,851,贵阳,539313.41,10,27,10
201910271035,851,贵阳,552529.30,10,27,10
201910271040,851,贵阳,546981.83,10,27,10
201910271045,851,贵阳,548475.90,10,27,10
201910271050,851,贵阳,565918.18,10,27,10
201910271055,851,贵阳,559659.48,10,27,10
201910271100,851,贵阳,561126.03,10,27,11
201910271105,851,贵阳,564542.16,10,27,11
201910271110,851,贵阳,568637.34,10,27,11
201910271115,851,贵阳,596469.41,10,27,11
201910271120,851,贵阳,581439.08,10,27,11
201910271125,851,贵阳,581536.34,10,27,11
201910271130,851,贵阳,600036.80,10,27,11
