日期,编码,地区,流量,月份,天,小时
201907221830,851,贵阳,483990.17,07,22,18
201907221845,851,贵阳,482414.47,07,22,18
201907231015,851,贵阳,425819.81,07,23,10
201907231240,851,贵阳,542395.24,07,23,12
201907231515,851,贵阳,468434.96,07,23,15
201907231850,851,贵阳,554092.33,07,23,18
201907232150,851,贵阳,711819.10,07,23,21
201907241850,851,贵阳,475457.83,07,24,18
201907251000,851,贵阳,412844.51,07,25,10
201907251115,851,贵阳,460836.83,07,25,11
201907251505,851,贵阳,488592.45,07,25,15
201907251555,851,贵阳,482592.76,07,25,15
201907252035,851,贵阳,588089.07,07,25,20
201907252155,851,贵阳,674168.34,07,25,21
201907261605,851,贵阳,507818.80,07,26,16
201907261615,851,贵阳,498662.20,07,26,16
201907261755,851,贵阳,485311.24,07,26,17
201907271105,851,贵阳,460057.13,07,27,11
201907271305,851,贵阳,529553.55,07,27,13
201907271315,851,贵阳,533119.29,07,27,13
201907272000,851,贵阳,542045.50,07,27,20
201907272055,851,贵阳,632954.77,07,27,20
201907272255,851,贵阳,638299.93,07,27,22
201907280950,851,贵阳,413318.17,07,28,09
201907281810,851,贵阳,479357.39,07,28,18
201907281935,851,贵阳,513708.05,07,28,19
201907282000,851,贵阳,521211.94,07,28,20
201907282005,851,贵阳,537680.14,07,28,20
201907282015,851,贵阳,554067.92,07,28,20
201907282025,851,贵阳,568295.77,07,28,20
201907282040,851,贵阳,596018.93,07,28,20
201907282110,851,贵阳,646990.25,07,28,21
201907282305,851,贵阳,616190.94,07,28,23
201907291255,851,贵阳,529220.07,07,29,12
201907291530,851,贵阳,487347.13,07,29,15
201907291540,851,贵阳,488654.39,07,29,15
201907291630,851,贵阳,488282.07,07,29,16
201907291710,851,贵阳,486738.11,07,29,17
201907291815,851,贵阳,485738.64,07,29,18
201907292000,851,贵阳,526920.15,07,29,20
201907292115,851,贵阳,661737.37,07,29,21
201907300910,851,贵阳,374660.76,07,30,09
201907301150,851,贵阳,478271.04,07,30,11
201907301640,851,贵阳,481300.40,07,30,16
201907301725,851,贵阳,468129.35,07,30,17
201907302000,851,贵阳,601331.72,07,30,20
201907302320,851,贵阳,479289.90,07,30,23
201907310920,851,贵阳,379127.50,07,31,09
201907311225,851,贵阳,527890.22,07,31,12
201907311315,851,贵阳,513726.61,07,31,13
201907311600,851,贵阳,487209.31,07,31,16
201907312110,851,贵阳,659474.75,07,31,21
201908011030,851,贵阳,473099.70,08,01,10
201908011245,851,贵阳,585288.93,08,01,12
201908011805,851,贵阳,552294.24,08,01,18
201908011825,851,贵阳,570226.20,08,01,18
201908011940,851,贵阳,563240.42,08,01,19
201908012015,851,贵阳,611494.32,08,01,20
201908012150,851,贵阳,747964.43,08,01,21
201908012205,851,贵阳,738627.69,08,01,22
201908012300,851,贵阳,684971.82,08,01,23
201908021100,851,贵阳,494404.21,08,02,11
201908021115,851,贵阳,498523.55,08,02,11
201908021140,851,贵阳,540523.82,08,02,11
201908021225,851,贵阳,587072.21,08,02,12
201908021230,851,贵阳,583391.11,08,02,12
201908021330,851,贵阳,566042.45,08,02,13
201908021610,851,贵阳,551206.12,08,02,16
201908021740,851,贵阳,527274.97,08,02,17
201908021900,851,贵阳,549679.26,08,02,19
201908021905,851,贵阳,576588.22,08,02,19
201908022050,851,贵阳,699762.04,08,02,20
201908022140,851,贵阳,752045.75,08,02,21
201908031335,851,贵阳,535338.40,08,03,13
201908031720,851,贵阳,537562.22,08,03,17
201908032330,851,贵阳,569067.82,08,03,23
201908041305,851,贵阳,549914.22,08,04,13
201908041320,851,贵阳,545019.16,08,04,13
201908041430,851,贵阳,546874.81,08,04,14
201908041825,851,贵阳,569756.58,08,04,18
201908042210,851,贵阳,699279.79,08,04,22
201908042340,851,贵阳,504952.92,08,04,23
201908042345,851,贵阳,493485.49,08,04,23
201908050915,851,贵阳,398950.04,08,05,09
201908051450,851,贵阳,490502.14,08,05,14
201908051455,851,贵阳,486724.80,08,05,14
201908051550,851,贵阳,509046.96,08,05,15
201908051625,851,贵阳,489395.40,08,05,16
201908051915,851,贵阳,517182.19,08,05,19
201908052015,851,贵阳,611468.19,08,05,20
201908052145,851,贵阳,690982.42,08,05,21
201908052220,851,贵阳,655058.05,08,05,22
201908060945,851,贵阳,403883.96,08,06,09
201908061150,851,贵阳,478783.73,08,06,11
201908061420,851,贵阳,490267.58,08,06,14
201908061615,851,贵阳,486423.03,08,06,16
201908061850,851,贵阳,489425.63,08,06,18
201908062050,851,贵阳,642154.50,08,06,20
201908062345,851,贵阳,501599.33,08,06,23
201908071100,851,贵阳,495013.20,08,07,11
201908071505,851,贵阳,495382.49,08,07,15
201908071645,851,贵阳,507069.39,08,07,16
201908072130,851,贵阳,679382.22,08,07,21
201908081430,851,贵阳,520682.50,08,08,14
201908081725,851,贵阳,500805.89,08,08,17
201908081755,851,贵阳,488830.24,08,08,17
201908081800,851,贵阳,490587.95,08,08,18
201908081815,851,贵阳,475220.79,08,08,18
201908082040,851,贵阳,641637.41,08,08,20
201908091340,851,贵阳,512074.36,08,09,13
201910270900,851,贵阳,438636.57,10,27,09
201910270905,851,贵阳,450558.36,10,27,09
201910270910,851,贵阳,465642.00,10,27,09
201910270915,851,贵阳,465502.97,10,27,09
201910270920,851,贵阳,484754.42,10,27,09
201910270925,851,贵阳,471419.29,10,27,09
201910270930,851,贵阳,497421.35,10,27,09
201910270935,851,贵阳,495271.08,10,27,09
201910270940,851,贵阳,504696.76,10,27,09
201910270945,851,贵阳,513836.91,10,27,09
201910270950,851,贵阳,517871.39,10,27,09
201910270955,851,贵阳,527269.08,10,27,09
201910271000,851,贵阳,534718.26,10,27,10
201910271005,851,贵阳,560693.55,10,27,10
201910271010,851,贵阳,550993.03,10,27,10
201910271015,851,贵阳,565059.06,10,27,10
201910271020,851,贵阳,557997.77,10,27,10
201910271025,851,贵阳,563845.02,10,27,10
201910271030,851,贵阳,596551.14,10,27,10
201910271035,851,贵阳,579443.03,10,27,10
201910271040,851,贵阳,589282.89,10,27,10
201910271045,851,贵阳,587569.85,10,27,10
201910271050,851,贵阳,609621.64,10,27,10
201910271055,851,贵阳,610590.78,10,27,10
201910271100,851,贵阳,614800.09,10,27,11
201910271105,851,贵阳,620474.68,10,27,11
201910271110,851,贵阳,616930.70,10,27,11
201910271115,851,贵阳,627975.36,10,27,11
201910271120,851,贵阳,615990.72,10,27,11
201910271125,851,贵阳,623519.52,10,27,11
201910271130,851,贵阳,640611.32,10,27,11
201910271135,851,贵阳,623965.62,10,27,11
201910271140,851,贵阳,642804.97,10,27,11
201910271145,851,贵阳,624067.52,10,27,11
201910271150,851,贵阳,642816.37,10,27,11
201910271155,851,贵阳,638145.57,10,27,11
201910271200,851,贵阳,632803.53,10,27,12
201910271205,851,贵阳,644208.58,10,27,12
201910271210,851,贵阳,639767.15,10,27,12
201910271215,851,贵阳,651140.11,10,27,12
201910271220,851,贵阳,647997.29,10,27,12
201910271225,851,贵阳,665900.95,10,27,12
201910271230,851,贵阳,668640.95,10,27,12
201910271235,851,贵阳,662949.67,10,27,12
201910271240,851,贵阳,671449.05,10,27,12
201910271245,851,贵阳,664772.32,10,27,12
201910271250,851,贵阳,656886.49,10,27,12
201910271255,851,贵阳,666866.55,10,27,12
201910271300,851,贵阳,638473.69,10,27,13
201910271305,851,贵阳,634626.83,10,27,13
201910271310,851,贵阳,622961.65,10,27,13
201910271315,851,贵阳,617025.78,10,27,13
201910271320,851,贵阳,642165.82,10,27,13
201910271325,851,贵阳,629112.05,10,27,13
201910271330,851,贵阳,622794.39,10,27,13
201910271335,851,贵阳,614615.63,10,27,13
201910271340,851,贵阳,618987.17,10,27,13
201910271345,851,贵阳,613617.70,10,27,13
201910271350,851,贵阳,609927.21,10,27,13
201910271355,851,贵阳,609086.01,10,27,13
201910271400,851,贵阳,615527.15,10,27,14
201910271405,851,贵阳,617213.07,10,27,14
201910271410,851,贵阳,611755.19,10,27,14
201910271415,851,贵阳,612554.05,10,27,14
201910271420,851,贵阳,617518.15,10,27,14
201910271425,851,贵阳,616539.31,10,27,14
201910271430,851,贵阳,614426.69,10,27,14
201910271435,851,贵阳,637462.35,10,27,14
201910271440,851,贵阳,610388.96,10,27,14
201910271445,851,贵阳,623488.97,10,27,14
201910271450,851,贵阳,612031.47,10,27,14
201910271455,851,贵阳,616361.11,10,27,14
201910271500,851,贵阳,625083.47,10,27,15
201910271505,851,贵阳,626192.06,10,27,15
201910271510,851,贵阳,619812.16,10,27,15
201910271515,851,贵阳,616654.81,10,27,15
201910271520,851,贵阳,621482.60,10,27,15
201910271525,851,贵阳,621609.43,10,27,15
201910271530,851,贵阳,621775.33,10,27,15
201910271535,851,贵阳,622303.19,10,27,15
201910271540,851,贵阳,613909.50,10,27,15
201910271545,851,贵阳,621916.05,10,27,15
201910271550,851,贵阳,626006.43,10,27,15
201910271555,851,贵阳,617728.11,10,27,15
201910271600,851,贵阳,612410.98,10,27,16
201910271605,851,贵阳,619972.96,10,27,16
201910271610,851,贵阳,613221.38,10,27,16
201910271615,851,贵阳,621469.48,10,27,16
201910271620,851,贵阳,623385.90,10,27,16
201910271625,851,贵阳,622302.64,10,27,16
201910271630,851,贵阳,622687.44,10,27,16
201910271635,851,贵阳,610493.57,10,27,16
201910271640,851,贵阳,615485.19,10,27,16
201910271645,851,贵阳,620142.27,10,27,16
201910271650,851,贵阳,633793.22,10,27,16
201910271655,851,贵阳,643178.46,10,27,16
201910271700,851,贵阳,629019.26,10,27,17
201910271705,851,贵阳,630622.71,10,27,17
201910271710,851,贵阳,645935.60,10,27,17
201910271715,851,贵阳,620368.21,10,27,17
201910271720,851,贵阳,638741.08,10,27,17
201910271725,851,贵阳,607993.57,10,27,17
201910271730,851,贵阳,610613.23,10,27,17
201910271735,851,贵阳,579025.84,10,27,17
201910271740,851,贵阳,604138.07,10,27,17
201910271745,851,贵阳,589954.08,10,27,17
201910271750,851,贵阳,599886.75,10,27,17
201910271755,851,贵阳,619487.64,10,27,17
201910271800,851,贵阳,595500.10,10,27,18
201910271805,851,贵阳,595568.97,10,27,18
201910271810,851,贵阳,601060.81,10,27,18
201910271815,851,贵阳,606098.53,10,27,18
201910271820,851,贵阳,627450.59,10,27,18
201910271825,851,贵阳,618691.69,10,27,18
201910271830,851,贵阳,609726.52,10,27,18
201910271835,851,贵阳,626100.72,10,27,18
201910271840,851,贵阳,632818.25,10,27,18
201910271845,851,贵阳,657522.59,10,27,18
201910271850,851,贵阳,653627.52,10,27,18
201910271855,851,贵阳,672240.88,10,27,18
201910271900,851,贵阳,669148.64,10,27,19
201910271905,851,贵阳,681643.15,10,27,19
201910271910,851,贵阳,703108.37,10,27,19
201910271915,851,贵阳,707704.31,10,27,19
201910271920,851,贵阳,693529.93,10,27,19
201910271925,851,贵阳,729686.14,10,27,19
201910271930,851,贵阳,745234.79,10,27,19
201910271935,851,贵阳,716836.65,10,27,19
201910271940,851,贵阳,744685.73,10,27,19
201910271945,851,贵阳,784612.52,10,27,19
201910271950,851,贵阳,764861.87,10,27,19
201910271955,851,贵阳,766856.86,10,27,19
201910272000,851,贵阳,758220.95,10,27,20
201910272005,851,贵阳,768621.10,10,27,20
201910272010,851,贵阳,782152.09,10,27,20
201910272015,851,贵阳,780874.53,10,27,20
201910272020,851,贵阳,791580.85,10,27,20
201910272025,851,贵阳,796293.34,10,27,20
201910272030,851,贵阳,800897.07,10,27,20
201910272035,851,贵阳,790907.85,10,27,20
201910272040,851,贵阳,802821.60,10,27,20
201910272045,851,贵阳,793280.75,10,27,20
201910272050,851,贵阳,788262.97,10,27,20
201910272055,851,贵阳,785463.32,10,27,20
201910272100,851,贵阳,780610.02,10,27,21
201910272105,851,贵阳,791066.88,10,27,21
201910272110,851,贵阳,796360.45,10,27,21
201910272115,851,贵阳,787731.09,10,27,21
201910272120,851,贵阳,791658.56,10,27,21
201910272125,851,贵阳,793368.85,10,27,21
201910272130,851,贵阳,819039.87,10,27,21
201910272135,851,贵阳,780758.57,10,27,21
201910272140,851,贵阳,764865.52,10,27,21
201910272145,851,贵阳,769983.45,10,27,21
201910272150,851,贵阳,782541.37,10,27,21
201910272155,851,贵阳,769114.11,10,27,21
201910272200,851,贵阳,792427.64,10,27,22
201910272205,851,贵阳,781666.81,10,27,22
201910272210,851,贵阳,773363.00,10,27,22
201910272215,851,贵阳,793426.87,10,27,22
201910272220,851,贵阳,764910.09,10,27,22
201910272225,851,贵阳,754280.75,10,27,22
201910272230,851,贵阳,748302.72,10,27,22
201910272235,851,贵阳,733128.08,10,27,22
201910272240,851,贵阳,722204.85,10,27,22
201910272245,851,贵阳,722503.87,10,27,22
201910272250,851,贵阳,719823.05,10,27,22
201910272255,851,贵阳,701227.65,10,27,22
201910272300,851,贵阳,704465.52,10,27,23
201910272305,851,贵阳,688948.69,10,27,23
201910272310,851,贵阳,683650.78,10,27,23
201910272315,851,贵阳,667339.63,10,27,23
201910272320,851,贵阳,652752.44,10,27,23
201910272325,851,贵阳,651788.37,10,27,23
201910272330,851,贵阳,651614.00,10,27,23
201910272335,851,贵阳,613994.87,10,27,23
201910272340,851,贵阳,612051.21,10,27,23
201910272345,851,贵阳,598373.15,10,27,23
201910272350,851,贵阳,592150.73,10,27,23
201910272355,851,贵阳,571309.02,10,27,23
201910280900,851,贵阳,399837.84,10,28,09
201910280905,851,贵阳,394848.22,10,28,09
201910280910,851,贵阳,404455.10,10,28,09
201910280915,851,贵阳,422565.10,10,28,09
201910280920,851,贵阳,424958.82,10,28,09
201910280925,851,贵阳,427542.72,10,28,09
201910280930,851,贵阳,431090.05,10,28,09
201910280935,851,贵阳,441673.17,10,28,09
201910280940,851,贵阳,430217.51,10,28,09
201910280945,851,贵阳,433514.32,10,28,09
201910280950,851,贵阳,439101.10,10,28,09
201910280955,851,贵阳,438879.91,10,28,09
201910281000,851,贵阳,450797.83,10,28,10
201910281005,851,贵阳,448444.87,10,28,10
201910281010,851,贵阳,453940.20,10,28,10
201910281015,851,贵阳,457564.25,10,28,10
201910281020,851,贵阳,466302.46,10,28,10
201910281025,851,贵阳,474276.91,10,28,10
201910281030,851,贵阳,470199.05,10,28,10
201910281035,851,贵阳,476499.19,10,28,10
201910281040,851,贵阳,470233.28,10,28,10
201910281045,851,贵阳,475023.06,10,28,10
201910281050,851,贵阳,468875.86,10,28,10
201910281055,851,贵阳,484669.91,10,28,10
201910281100,851,贵阳,482008.62,10,28,11
201911140900,851,贵阳,416895.50,11,14,09
201911140905,851,贵阳,412127.11,11,14,09
201911140910,851,贵阳,430605.36,11,14,09
201911140915,851,贵阳,434477.88,11,14,09
201911140920,851,贵阳,440297.76,11,14,09
201911140925,851,贵阳,447696.57,11,14,09
201911140930,851,贵阳,441050.79,11,14,09
201911140935,851,贵阳,441936.66,11,14,09
201911140940,851,贵阳,436974.54,11,14,09
201911140945,851,贵阳,447904.20,11,14,09
201911140950,851,贵阳,454796.06,11,14,09
201911140955,851,贵阳,453265.36,11,14,09
201911141000,851,贵阳,449711.78,11,14,10
201911141005,851,贵阳,465835.62,11,14,10
201911141010,851,贵阳,465500.46,11,14,10
201911141015,851,贵阳,485795.79,11,14,10
201911141020,851,贵阳,480982.67,11,14,10
201911141025,851,贵阳,497013.82,11,14,10
201911141030,851,贵阳,488524.53,11,14,10
201911141035,851,贵阳,483080.65,11,14,10
201911141040,851,贵阳,499083.73,11,14,10
201911141045,851,贵阳,486950.07,11,14,10
201911141050,851,贵阳,505662.28,11,14,10
201911141055,851,贵阳,505053.15,11,14,10
201911141100,851,贵阳,498603.53,11,14,11
201911141105,851,贵阳,500031.62,11,14,11
201911141110,851,贵阳,515131.33,11,14,11
201911141115,851,贵阳,521092.51,11,14,11
201911141120,851,贵阳,521723.85,11,14,11
201911141125,851,贵阳,522451.40,11,14,11
201911141130,851,贵阳,512492.45,11,14,11
201911141135,851,贵阳,524111.67,11,14,11
201911141140,851,贵阳,532563.56,11,14,11
201911141145,851,贵阳,527724.99,11,14,11
201911141150,851,贵阳,535479.95,11,14,11
201911141155,851,贵阳,516924.81,11,14,11
201911141200,851,贵阳,508196.62,11,14,12
201911141205,851,贵阳,523998.07,11,14,12
201911141210,851,贵阳,525940.85,11,14,12
201911141215,851,贵阳,546992.10,11,14,12
201911141220,851,贵阳,556944.06,11,14,12
201911141225,851,贵阳,569680.48,11,14,12
201911141230,851,贵阳,606323.46,11,14,12
201911141235,851,贵阳,614719.96,11,14,12
201911141240,851,贵阳,617781.74,11,14,12
201911141245,851,贵阳,614971.02,11,14,12
201911141250,851,贵阳,611729.93,11,14,12
201911141255,851,贵阳,626240.55,11,14,12
201911141300,851,贵阳,606342.49,11,14,13
201911141305,851,贵阳,601781.53,11,14,13
201911141310,851,贵阳,593096.98,11,14,13
201911141315,851,贵阳,584177.55,11,14,13
201911141320,851,贵阳,572675.45,11,14,13
201911141325,851,贵阳,572681.50,11,14,13
201911141330,851,贵阳,568751.54,11,14,13
201911141335,851,贵阳,557707.47,11,14,13
201911141340,851,贵阳,543222.36,11,14,13
201911141345,851,贵阳,543300.77,11,14,13
201911141350,851,贵阳,535033.74,11,14,13
201911141355,851,贵阳,539100.60,11,14,13
201911141400,851,贵阳,534789.22,11,14,14
201911141405,851,贵阳,527331.87,11,14,14
201911141410,851,贵阳,520473.31,11,14,14
201911141415,851,贵阳,543011.12,11,14,14
201911141420,851,贵阳,532791.33,11,14,14
201911141425,851,贵阳,542511.63,11,14,14
201911141430,851,贵阳,530617.85,11,14,14
201911141435,851,贵阳,531331.78,11,14,14
201911141440,851,贵阳,536315.67,11,14,14
201911141445,851,贵阳,545624.05,11,14,14
201911141450,851,贵阳,536357.77,11,14,14
201911141455,851,贵阳,548638.44,11,14,14
201911141500,851,贵阳,531722.98,11,14,15
201911141505,851,贵阳,532349.52,11,14,15
201911141510,851,贵阳,537610.64,11,14,15
201911141515,851,贵阳,540403.91,11,14,15
201911141520,851,贵阳,534595.90,11,14,15
201911141525,851,贵阳,549487.98,11,14,15
201911141530,851,贵阳,545638.35,11,14,15
201911141535,851,贵阳,542963.57,11,14,15
