日期,编码,地区,流量,月份,天,小时
201907221830,851,贵阳,508819.30,07,22,18
201907221845,851,贵阳,511436.11,07,22,18
201907231015,851,贵阳,368672.09,07,23,10
201907231240,851,贵阳,537003.13,07,23,12
201907231515,851,贵阳,477425.32,07,23,15
201907231850,851,贵阳,543418.82,07,23,18
201907232150,851,贵阳,720535.58,07,23,21
201907241850,851,贵阳,536388.63,07,24,18
201907251000,851,贵阳,400318.29,07,25,10
201907251115,851,贵阳,453101.24,07,25,11
201907251505,851,贵阳,464694.81,07,25,15
201907251555,851,贵阳,481966.46,07,25,15
201907252035,851,贵阳,609045.33,07,25,20
201907252155,851,贵阳,699415.47,07,25,21
201907261605,851,贵阳,491809.28,07,26,16
201907261615,851,贵阳,478386.83,07,26,16
201907261755,851,贵阳,502692.90,07,26,17
201907271105,851,贵阳,452463.99,07,27,11
201907271305,851,贵阳,501171.79,07,27,13
201907271315,851,贵阳,492311.98,07,27,13
201907272000,851,贵阳,559544.48,07,27,20
201907272055,851,贵阳,618210.76,07,27,20
201907272255,851,贵阳,661066.16,07,27,22
201907280950,851,贵阳,404079.28,07,28,09
201907281810,851,贵阳,500023.20,07,28,18
201907281935,851,贵阳,544864.38,07,28,19
201907282000,851,贵阳,550190.00,07,28,20
201907282005,851,贵阳,547045.00,07,28,20
201907282015,851,贵阳,563524.56,07,28,20
201907282025,851,贵阳,577255.52,07,28,20
201907282040,851,贵阳,610545.83,07,28,20
201907282110,851,贵阳,630651.18,07,28,21
201907282305,851,贵阳,657901.09,07,28,23
201907291255,851,贵阳,522867.53,07,29,12
201907291530,851,贵阳,474088.22,07,29,15
201907291540,851,贵阳,481288.44,07,29,15
201907291630,851,贵阳,477175.01,07,29,16
201907291710,851,贵阳,491328.28,07,29,17
201907291815,851,贵阳,516502.56,07,29,18
201907292000,851,贵阳,555117.01,07,29,20
201907292115,851,贵阳,636348.84,07,29,21
201907300910,851,贵阳,384881.80,07,30,09
201907301150,851,贵阳,492898.77,07,30,11
201907301640,851,贵阳,536040.82,07,30,16
201907301725,851,贵阳,508090.85,07,30,17
201907302000,851,贵阳,586618.29,07,30,20
201907302320,851,贵阳,550944.12,07,30,23
201907310920,851,贵阳,386138.63,07,31,09
201907311225,851,贵阳,512813.93,07,31,12
201907311315,851,贵阳,506577.29,07,31,13
201907311600,851,贵阳,494078.74,07,31,16
201907312110,851,贵阳,672303.29,07,31,21
201908011030,851,贵阳,488925.65,08,01,10
201908011245,851,贵阳,583495.38,08,01,12
201908011805,851,贵阳,594467.57,08,01,18
201908011825,851,贵阳,633458.06,08,01,18
201908011940,851,贵阳,637096.80,08,01,19
201908012015,851,贵阳,672347.82,08,01,20
201908012150,851,贵阳,769514.93,08,01,21
201908012205,851,贵阳,767768.07,08,01,22
201908012300,851,贵阳,741712.27,08,01,23
201908021100,851,贵阳,496133.36,08,02,11
201908021115,851,贵阳,504844.07,08,02,11
201908021140,851,贵阳,516458.28,08,02,11
201908021225,851,贵阳,576240.64,08,02,12
201908021230,851,贵阳,572895.04,08,02,12
201908021330,851,贵阳,548359.97,08,02,13
201908021610,851,贵阳,540778.59,08,02,16
201908021740,851,贵阳,536503.71,08,02,17
201908021900,851,贵阳,590012.54,08,02,19
201908021905,851,贵阳,597413.99,08,02,19
201908022050,851,贵阳,722156.76,08,02,20
201908022140,851,贵阳,754211.07,08,02,21
201908031335,851,贵阳,530702.72,08,03,13
201908031720,851,贵阳,556495.95,08,03,17
201908032330,851,贵阳,640391.23,08,03,23
201908041305,851,贵阳,524649.76,08,04,13
201908041320,851,贵阳,522636.90,08,04,13
201908041430,851,贵阳,506087.79,08,04,14
201908041825,851,贵阳,600732.72,08,04,18
201908042210,851,贵阳,725971.47,08,04,22
201908042340,851,贵阳,579352.43,08,04,23
201908042345,851,贵阳,575252.82,08,04,23
201908050915,851,贵阳,391554.14,08,05,09
201908051450,851,贵阳,476974.70,08,05,14
201908051455,851,贵阳,480204.62,08,05,14
201908051550,851,贵阳,497282.06,08,05,15
201908051625,851,贵阳,498246.13,08,05,16
201908051915,851,贵阳,547994.65,08,05,19
201908052015,851,贵阳,608474.39,08,05,20
201908052145,851,贵阳,682026.21,08,05,21
201908052220,851,贵阳,670097.47,08,05,22
201908060945,851,贵阳,410163.04,08,06,09
201908061150,851,贵阳,485631.00,08,06,11
201908061420,851,贵阳,474074.02,08,06,14
201908061615,851,贵阳,492082.11,08,06,16
201908061850,851,贵阳,540890.89,08,06,18
201908062050,851,贵阳,659825.36,08,06,20
201908062345,851,贵阳,585315.72,08,06,23
201908071100,851,贵阳,457028.73,08,07,11
201908071505,851,贵阳,488181.81,08,07,15
201908071645,851,贵阳,499566.08,08,07,16
201908072130,851,贵阳,688084.91,08,07,21
201908081430,851,贵阳,501419.03,08,08,14
201908081725,851,贵阳,505817.48,08,08,17
201908081755,851,贵阳,518858.90,08,08,17
201908081800,851,贵阳,524490.45,08,08,18
201908081815,851,贵阳,538256.16,08,08,18
201908082040,851,贵阳,627072.05,08,08,20
201908091340,851,贵阳,524870.27,08,09,13
201910270900,851,贵阳,389545.57,10,27,09
201910270905,851,贵阳,392544.44,10,27,09
201910270910,851,贵阳,406114.79,10,27,09
201910270915,851,贵阳,406541.93,10,27,09
201910270920,851,贵阳,412444.01,10,27,09
201910270925,851,贵阳,415897.51,10,27,09
201910270930,851,贵阳,430172.63,10,27,09
201910270935,851,贵阳,436435.53,10,27,09
201910270940,851,贵阳,447658.37,10,27,09
201910270945,851,贵阳,446062.16,10,27,09
201910270950,851,贵阳,446571.27,10,27,09
201910270955,851,贵阳,456098.85,10,27,09
201910271000,851,贵阳,458570.94,10,27,10
201910271005,851,贵阳,473238.69,10,27,10
201910271010,851,贵阳,486527.29,10,27,10
201910271015,851,贵阳,487755.02,10,27,10
201910271020,851,贵阳,492075.75,10,27,10
201910271025,851,贵阳,495156.55,10,27,10
201910271030,851,贵阳,494939.35,10,27,10
201910271035,851,贵阳,507075.33,10,27,10
201910271040,851,贵阳,518315.49,10,27,10
201910271045,851,贵阳,508657.72,10,27,10
201910271050,851,贵阳,517782.91,10,27,10
201910271055,851,贵阳,517014.19,10,27,10
201910271100,851,贵阳,522858.29,10,27,11
201910271105,851,贵阳,516162.95,10,27,11
201910271110,851,贵阳,517464.43,10,27,11
201910271115,851,贵阳,514688.90,10,27,11
201910271120,851,贵阳,528959.56,10,27,11
201910271125,851,贵阳,522045.64,10,27,11
201910271130,851,贵阳,526100.84,10,27,11
201910271135,851,贵阳,524190.76,10,27,11
201910271140,851,贵阳,528621.17,10,27,11
201910271145,851,贵阳,541955.68,10,27,11
201910271150,851,贵阳,530406.62,10,27,11
201910271155,851,贵阳,538214.72,10,27,11
201910271200,851,贵阳,550754.84,10,27,12
201910271205,851,贵阳,543885.70,10,27,12
201910271210,851,贵阳,547281.69,10,27,12
201910271215,851,贵阳,560126.63,10,27,12
201910271220,851,贵阳,570829.08,10,27,12
