日期,编码,地区,流量,月份,天,小时
201907221830,851,贵阳,868503.50,07,22,18
201907221845,851,贵阳,893702.36,07,22,18
201907231015,851,贵阳,676557.14,07,23,10
201907231240,851,贵阳,907631.71,07,23,12
201907231515,851,贵阳,877888.20,07,23,15
201907231850,851,贵阳,922980.74,07,23,18
201907232150,851,贵阳,1145389.57,07,23,21
201907241850,851,贵阳,907926.74,07,24,18
201907251000,851,贵阳,713357.24,07,25,10
201907251115,851,贵阳,753686.19,07,25,11
201907251505,851,贵阳,824695.71,07,25,15
201907251555,851,贵阳,825369.33,07,25,15
201907252035,851,贵阳,991040.95,07,25,20
201907252155,851,贵阳,1113547.93,07,25,21
201907261605,851,贵阳,871903.18,07,26,16
201907261615,851,贵阳,856908.03,07,26,16
201907261755,851,贵阳,889675.15,07,26,17
201907271105,851,贵阳,793006.76,07,27,11
201907271305,851,贵阳,898002.41,07,27,13
201907271315,851,贵阳,863664.52,07,27,13
201907272000,851,贵阳,948725.78,07,27,20
201907272055,851,贵阳,1020602.15,07,27,20
201907272255,851,贵阳,1087434.37,07,27,22
201907280950,851,贵阳,714627.44,07,28,09
201907281810,851,贵阳,856886.09,07,28,18
201907281935,851,贵阳,917552.03,07,28,19
201907282000,851,贵阳,918892.35,07,28,20
201907282005,851,贵阳,945925.19,07,28,20
201907282015,851,贵阳,952967.67,07,28,20
201907282025,851,贵阳,959007.40,07,28,20
201907282040,851,贵阳,992224.58,07,28,20
201907282110,851,贵阳,1040844.58,07,28,21
201907282305,851,贵阳,1063854.89,07,28,23
201907291255,851,贵阳,891522.80,07,29,12
201907291530,851,贵阳,846036.57,07,29,15
201907291540,851,贵阳,845150.10,07,29,15
201907291630,851,贵阳,824835.19,07,29,16
201907291710,851,贵阳,851127.39,07,29,17
201907291815,851,贵阳,872576.18,07,29,18
201907292000,851,贵阳,951367.51,07,29,20
201907292115,851,贵阳,1056312.75,07,29,21
201907300910,851,贵阳,659080.82,07,30,09
201907301150,851,贵阳,824491.54,07,30,11
201907301640,851,贵阳,971789.72,07,30,16
201907301725,851,贵阳,889423.55,07,30,17
201907302000,851,贵阳,1013283.05,07,30,20
201907302320,851,贵阳,939653.09,07,30,23
201907310920,851,贵阳,656652.41,07,31,09
201907311225,851,贵阳,890204.84,07,31,12
201907311315,851,贵阳,891703.00,07,31,13
201907311600,851,贵阳,867131.53,07,31,16
201907312110,851,贵阳,1074574.05,07,31,21
201908011030,851,贵阳,845269.31,08,01,10
201908011245,851,贵阳,1055219.90,08,01,12
201908011805,851,贵阳,1015439.06,08,01,18
201908011825,851,贵阳,1082046.78,08,01,18
201908011940,851,贵阳,1050744.41,08,01,19
201908012015,851,贵阳,1098768.52,08,01,20
201908012150,851,贵阳,1236085.89,08,01,21
201908012205,851,贵阳,1220399.99,08,01,22
201908012300,851,贵阳,1212311.17,08,01,23
201908021100,851,贵阳,877430.32,08,02,11
201908021115,851,贵阳,882317.83,08,02,11
201908021140,851,贵阳,881975.44,08,02,11
201908021225,851,贵阳,970629.40,08,02,12
201908021230,851,贵阳,983661.51,08,02,12
201908021330,851,贵阳,960411.89,08,02,13
201908021610,851,贵阳,942889.71,08,02,16
201908021740,851,贵阳,962163.96,08,02,17
