日期,编码,地区,流量,月份,天,小时
201907221830,855,黔东南,196956.80,07,22,18
201907221845,855,黔东南,181682.83,07,22,18
201907231015,855,黔东南,148155.48,07,23,10
201907231240,855,黔东南,202769.10,07,23,12
201907231515,855,黔东南,186965.65,07,23,15
201907231850,855,黔东南,181517.37,07,23,18
201907232150,855,黔东南,274749.54,07,23,21
201907241850,855,黔东南,178854.60,07,24,18
201907251000,855,黔东南,160701.07,07,25,10
201907251115,855,黔东南,186463.84,07,25,11
201907251505,855,黔东南,189715.64,07,25,15
201907251555,855,黔东南,191601.52,07,25,15
201907252035,855,黔东南,216705.60,07,25,20
201907252155,855,黔东南,275136.68,07,25,21
201907261605,855,黔东南,195739.35,07,26,16
201907261615,855,黔东南,197281.29,07,26,16
201907261755,855,黔东南,196444.29,07,26,17
201907271105,855,黔东南,188944.43,07,27,11
201907271305,855,黔东南,216254.30,07,27,13
201907271315,855,黔东南,217984.30,07,27,13
201907272000,855,黔东南,205760.44,07,27,20
201907272055,855,黔东南,229425.37,07,27,20
201907272255,855,黔东南,275015.77,07,27,22
201907280950,855,黔东南,170465.25,07,28,09
201907281810,855,黔东南,189958.96,07,28,18
201907281935,855,黔东南,183623.30,07,28,19
201907282000,855,黔东南,194579.09,07,28,20
201907282005,855,黔东南,201094.27,07,28,20
201907282015,855,黔东南,201887.38,07,28,20
201907282025,855,黔东南,218986.91,07,28,20
201907282040,855,黔东南,226373.90,07,28,20
201907282110,855,黔东南,240889.95,07,28,21
201907282305,855,黔东南,265595.75,07,28,23
201907291255,855,黔东南,221418.24,07,29,12
201907291530,855,黔东南,192108.95,07,29,15
201907291540,855,黔东南,190451.76,07,29,15
201907291630,855,黔东南,186291.56,07,29,16
201907291710,855,黔东南,188651.76,07,29,17
201907291815,855,黔东南,189303.52,07,29,18
201907292000,855,黔东南,212066.71,07,29,20
201907292115,855,黔东南,262295.82,07,29,21
201907300910,855,黔东南,159849.84,07,30,09
201907301150,855,黔东南,222145.87,07,30,11
201907301640,855,黔东南,207944.90,07,30,16
201907301725,855,黔东南,201944.61,07,30,17
201907302000,855,黔东南,229058.60,07,30,20
201907302320,855,黔东南,221824.20,07,30,23
201907310920,855,黔东南,155437.72,07,31,09
201907311225,855,黔东南,223420.54,07,31,12
201907311315,855,黔东南,227991.02,07,31,13
201907311600,855,黔东南,193848.50,07,31,16
201907312110,855,黔东南,260602.71,07,31,21
201908011030,855,黔东南,207701.89,08,01,10
201908011245,855,黔东南,248480.37,08,01,12
201908011805,855,黔东南,241452.06,08,01,18
201908011825,855,黔东南,235006.73,08,01,18
201908011940,855,黔东南,240367.88,08,01,19
201908012015,855,黔东南,277275.26,08,01,20
201908012150,855,黔东南,329964.34,08,01,21
201908012205,855,黔东南,328380.94,08,01,22
201908012300,855,黔东南,305008.74,08,01,23
201908021100,855,黔东南,214602.51,08,02,11
201908021115,855,黔东南,226027.14,08,02,11
201908021140,855,黔东南,235147.34,08,02,11
201908021225,855,黔东南,237348.49,08,02,12
201908021230,855,黔东南,252697.97,08,02,12
201908021330,855,黔东南,238499.45,08,02,13
201908021610,855,黔东南,222620.71,08,02,16
201908021740,855,黔东南,220364.42,08,02,17
201908021900,855,黔东南,234240.44,08,02,19
201908021905,855,黔东南,233940.99,08,02,19
201908022050,855,黔东南,295018.94,08,02,20
201908022140,855,黔东南,311783.83,08,02,21
201908031335,855,黔东南,232025.87,08,03,13
201908031720,855,黔东南,217047.58,08,03,17
201908032330,855,黔东南,264803.10,08,03,23
201908041305,855,黔东南,226178.23,08,04,13
201908041320,855,黔东南,219945.05,08,04,13
201908041430,855,黔东南,213229.19,08,04,14
201908041825,855,黔东南,204675.05,08,04,18
201908042210,855,黔东南,307295.80,08,04,22
201908042340,855,黔东南,235857.38,08,04,23
201908042345,855,黔东南,234264.93,08,04,23
201908050915,855,黔东南,148445.75,08,05,09
201908051450,855,黔东南,205438.53,08,05,14
201908051455,855,黔东南,203234.68,08,05,14
201908051550,855,黔东南,199321.24,08,05,15
201908051625,855,黔东南,206959.56,08,05,16
201908051915,855,黔东南,205514.65,08,05,19
201908052015,855,黔东南,246415.24,08,05,20
201908052145,855,黔东南,302265.27,08,05,21
201908052220,855,黔东南,308993.96,08,05,22
201908060945,855,黔东南,174100.43,08,06,09
201908061150,855,黔东南,223029.17,08,06,11
201908061420,855,黔东南,205767.04,08,06,14
201908061615,855,黔东南,204236.66,08,06,16
201908061850,855,黔东南,203212.34,08,06,18
201908062050,855,黔东南,261447.08,08,06,20
201908062345,855,黔东南,234763.34,08,06,23
201908071100,855,黔东南,196053.20,08,07,11
201908071505,855,黔东南,208233.66,08,07,15
