日期,编码,地区,流量,月份,天,小时
201907221830,855,黔东南,114630.84,07,22,18
201907221845,855,黔东南,110923.88,07,22,18
201907231015,855,黔东南,98142.59,07,23,10
201907231240,855,黔东南,127830.49,07,23,12
201907231515,855,黔东南,124139.42,07,23,15
201907231850,855,黔东南,124374.21,07,23,18
201907232150,855,黔东南,170035.73,07,23,21
201907241850,855,黔东南,122859.71,07,24,18
201907251000,855,黔东南,112393.74,07,25,10
201907251115,855,黔东南,119213.99,07,25,11
201907251505,855,黔东南,129011.93,07,25,15
201907251555,855,黔东南,129217.70,07,25,15
201907252035,855,黔东南,145882.24,07,25,20
201907252155,855,黔东南,166548.52,07,25,21
201907261605,855,黔东南,131336.21,07,26,16
201907261615,855,黔东南,130272.62,07,26,16
201907261755,855,黔东南,121535.36,07,26,17
201907271105,855,黔东南,119307.83,07,27,11
201907271305,855,黔东南,138366.62,07,27,13
201907271315,855,黔东南,141701.07,07,27,13
201907272000,855,黔东南,129617.90,07,27,20
201907272055,855,黔东南,152615.03,07,27,20
201907272255,855,黔东南,161647.96,07,27,22
201907280950,855,黔东南,114596.54,07,28,09
201907281810,855,黔东南,128717.60,07,28,18
201907281935,855,黔东南,126889.28,07,28,19
201907282000,855,黔东南,125752.63,07,28,20
201907282005,855,黔东南,124537.41,07,28,20
201907282015,855,黔东南,129169.99,07,28,20
201907282025,855,黔东南,138745.20,07,28,20
201907282040,855,黔东南,144206.40,07,28,20
201907282110,855,黔东南,150484.33,07,28,21
201907282305,855,黔东南,146843.85,07,28,23
201907291255,855,黔东南,144696.20,07,29,12
201907291530,855,黔东南,122330.53,07,29,15
201907291540,855,黔东南,120079.35,07,29,15
201907291630,855,黔东南,117207.77,07,29,16
201907291710,855,黔东南,118863.17,07,29,17
201907291815,855,黔东南,119815.44,07,29,18
201907292000,855,黔东南,126172.03,07,29,20
201907292115,855,黔东南,158410.43,07,29,21
201907300910,855,黔东南,96292.17,07,30,09
201907301150,855,黔东南,130449.00,07,30,11
201907301640,855,黔东南,134440.29,07,30,16
201907301725,855,黔东南,121915.16,07,30,17
201907302000,855,黔东南,153393.47,07,30,20
201907302320,855,黔东南,121039.18,07,30,23
201907310920,855,黔东南,96988.93,07,31,09
201907311225,855,黔东南,142750.04,07,31,12
201907311315,855,黔东南,138029.57,07,31,13
201907311600,855,黔东南,128247.99,07,31,16
201907312110,855,黔东南,165336.16,07,31,21
201908011030,855,黔东南,136715.61,08,01,10
201908011245,855,黔东南,169089.73,08,01,12
201908011805,855,黔东南,146705.55,08,01,18
201908011825,855,黔东南,139447.47,08,01,18
201908011940,855,黔东南,153206.99,08,01,19
201908012015,855,黔东南,171728.87,08,01,20
201908012150,855,黔东南,193849.31,08,01,21
201908012205,855,黔东南,186318.86,08,01,22
201908012300,855,黔东南,178160.95,08,01,23
201908021100,855,黔东南,140309.02,08,02,11
201908021115,855,黔东南,145826.11,08,02,11
201908021140,855,黔东南,140268.93,08,02,11
201908021225,855,黔东南,158235.71,08,02,12
201908021230,855,黔东南,157317.27,08,02,12
201908021330,855,黔东南,153581.88,08,02,13
201908021610,855,黔东南,140659.14,08,02,16
201908021740,855,黔东南,144166.64,08,02,17
201908021900,855,黔东南,143258.52,08,02,19
201908021905,855,黔东南,150765.84,08,02,19
201908022050,855,黔东南,185496.29,08,02,20
201908022140,855,黔东南,191482.35,08,02,21
201908031335,855,黔东南,152383.80,08,03,13
201908031720,855,黔东南,149100.56,08,03,17
201908032330,855,黔东南,146905.29,08,03,23
201908041305,855,黔东南,157050.87,08,04,13
201908041320,855,黔东南,152796.37,08,04,13
201908041430,855,黔东南,147847.00,08,04,14
201908041825,855,黔东南,137180.93,08,04,18
201908042210,855,黔东南,189122.82,08,04,22
201908042340,855,黔东南,139096.95,08,04,23
201908042345,855,黔东南,133096.60,08,04,23
201908050915,855,黔东南,107761.93,08,05,09
201908051450,855,黔东南,138274.51,08,05,14
201908051455,855,黔东南,141960.91,08,05,14
201908051550,855,黔东南,143934.32,08,05,15
201908051625,855,黔东南,142058.84,08,05,16
201908051915,855,黔东南,140343.22,08,05,19
201908052015,855,黔东南,160674.06,08,05,20
201908052145,855,黔东南,188701.97,08,05,21
201908052220,855,黔东南,179551.03,08,05,22
201908060945,855,黔东南,113578.27,08,06,09
201908061150,855,黔东南,142569.55,08,06,11
201908061420,855,黔东南,137236.95,08,06,14
201908061615,855,黔东南,158994.15,08,06,16
