日期,编码,地区,流量,月份,天,小时
201907221830,855,黔东南,98302.36,07,22,18
201907221845,855,黔东南,90714.58,07,22,18
201907231015,855,黔东南,72826.31,07,23,10
201907231240,855,黔东南,106832.55,07,23,12
201907231515,855,黔东南,97043.11,07,23,15
201907231850,855,黔东南,101634.21,07,23,18
201907232150,855,黔东南,144041.52,07,23,21
201907241850,855,黔东南,95524.92,07,24,18
201907251000,855,黔东南,83760.55,07,25,10
201907251115,855,黔东南,89747.34,07,25,11
201907251505,855,黔东南,101218.72,07,25,15
201907251555,855,黔东南,91928.01,07,25,15
201907252035,855,黔东南,104389.95,07,25,20
201907252155,855,黔东南,138824.45,07,25,21
201907261605,855,黔东南,106441.96,07,26,16
201907261615,855,黔东南,104295.42,07,26,16
201907261755,855,黔东南,102162.17,07,26,17
201907271105,855,黔东南,92251.36,07,27,11
201907271305,855,黔东南,111477.91,07,27,13
201907271315,855,黔东南,105708.67,07,27,13
201907272000,855,黔东南,97688.22,07,27,20
201907272055,855,黔东南,114251.35,07,27,20
201907272255,855,黔东南,126556.74,07,27,22
201907280950,855,黔东南,79534.50,07,28,09
201907281810,855,黔东南,95125.28,07,28,18
201907281935,855,黔东南,97513.61,07,28,19
201907282000,855,黔东南,99555.59,07,28,20
201907282005,855,黔东南,104811.42,07,28,20
201907282015,855,黔东南,107241.79,07,28,20
201907282025,855,黔东南,111979.21,07,28,20
201907282040,855,黔东南,118287.75,07,28,20
201907282110,855,黔东南,125667.96,07,28,21
201907282305,855,黔东南,119651.05,07,28,23
201907291255,855,黔东南,120225.59,07,29,12
201907291530,855,黔东南,102008.06,07,29,15
201907291540,855,黔东南,99102.22,07,29,15
201907291630,855,黔东南,97375.23,07,29,16
201907291710,855,黔东南,97302.93,07,29,17
201907291815,855,黔东南,98398.82,07,29,18
201907292000,855,黔东南,104924.64,07,29,20
201907292115,855,黔东南,134251.26,07,29,21
201907300910,855,黔东南,77156.69,07,30,09
201907301150,855,黔东南,105469.71,07,30,11
201907301640,855,黔东南,111173.38,07,30,16
201907301725,855,黔东南,96650.70,07,30,17
201907302000,855,黔东南,111553.79,07,30,20
201907302320,855,黔东南,110162.50,07,30,23
201907310920,855,黔东南,77918.55,07,31,09
201907311225,855,黔东南,113374.23,07,31,12
