日期,编码,地区,流量,月份,天,小时
201907221830,855,黔东南,143474.83,07,22,18
201907221845,855,黔东南,139996.31,07,22,18
201907231015,855,黔东南,111581.72,07,23,10
201907231240,855,黔东南,160842.15,07,23,12
201907231515,855,黔东南,154532.05,07,23,15
201907231850,855,黔东南,147197.60,07,23,18
201907232150,855,黔东南,225035.24,07,23,21
201907241850,855,黔东南,154089.47,07,24,18
201907251000,855,黔东南,125825.84,07,25,10
201907251115,855,黔东南,152204.53,07,25,11
201907251505,855,黔东南,153993.91,07,25,15
201907251555,855,黔东南,153758.19,07,25,15
201907252035,855,黔东南,180664.12,07,25,20
201907252155,855,黔东南,214624.68,07,25,21
201907261605,855,黔东南,166854.37,07,26,16
201907261615,855,黔东南,167799.57,07,26,16
201907261755,855,黔东南,168985.73,07,26,17
201907271105,855,黔东南,151625.84,07,27,11
201907271305,855,黔东南,183533.76,07,27,13
201907271315,855,黔东南,180172.85,07,27,13
201907272000,855,黔东南,164106.16,07,27,20
201907272055,855,黔东南,200890.94,07,27,20
201907272255,855,黔东南,214242.97,07,27,22
201907280950,855,黔东南,140711.40,07,28,09
201907281810,855,黔东南,148247.85,07,28,18
201907281935,855,黔东南,148038.32,07,28,19
201907282000,855,黔东南,156157.65,07,28,20
201907282005,855,黔东南,164972.15,07,28,20
201907282015,855,黔东南,164722.96,07,28,20
201907282025,855,黔东南,172882.44,07,28,20
201907282040,855,黔东南,181263.55,07,28,20
201907282110,855,黔东南,202960.84,07,28,21
201907282305,855,黔东南,194826.83,07,28,23
201907291255,855,黔东南,171528.64,07,29,12
201907291530,855,黔东南,149680.44,07,29,15
201907291540,855,黔东南,147425.39,07,29,15
201907291630,855,黔东南,156899.32,07,29,16
201907291710,855,黔东南,155039.69,07,29,17
201907291815,855,黔东南,149855.13,07,29,18
201907292000,855,黔东南,165308.55,07,29,20
201907292115,855,黔东南,206929.46,07,29,21
201907300910,855,黔东南,128638.69,07,30,09
201907301150,855,黔东南,158411.13,07,30,11
201907301640,855,黔东南,181665.06,07,30,16
201907301725,855,黔东南,160883.52,07,30,17
201907302000,855,黔东南,176751.65,07,30,20
201907302320,855,黔东南,149221.36,07,30,23
201907310920,855,黔东南,120324.78,07,31,09
201907311225,855,黔东南,179817.92,07,31,12
201907311315,855,黔东南,175905.10,07,31,13
201907311600,855,黔东南,165529.79,07,31,16
201907312110,855,黔东南,217213.88,07,31,21
201908011030,855,黔东南,166314.85,08,01,10
201908011245,855,黔东南,219922.09,08,01,12
201908011805,855,黔东南,199120.35,08,01,18
201908011825,855,黔东南,188652.96,08,01,18
201908011940,855,黔东南,188468.02,08,01,19
201908012015,855,黔东南,213990.72,08,01,20
201908012150,855,黔东南,262063.68,08,01,21
201908012205,855,黔东南,258301.37,08,01,22
201908012300,855,黔东南,237419.65,08,01,23
201908021100,855,黔东南,172989.40,08,02,11
201908021115,855,黔东南,173320.33,08,02,11
201908021140,855,黔东南,170663.12,08,02,11
201908021225,855,黔东南,195138.52,08,02,12
201908021230,855,黔东南,206025.45,08,02,12
201908021330,855,黔东南,195631.03,08,02,13
201908021610,855,黔东南,179527.12,08,02,16
201908021740,855,黔东南,179536.06,08,02,17
201908021900,855,黔东南,186030.50,08,02,19
201908021905,855,黔东南,187368.36,08,02,19
201908022050,855,黔东南,248712.94,08,02,20
201908022140,855,黔东南,253732.08,08,02,21
201908031335,855,黔东南,197664.90,08,03,13
201908031720,855,黔东南,190085.49,08,03,17
201908032330,855,黔东南,202002.10,08,03,23
201908041305,855,黔东南,195017.85,08,04,13
201908041320,855,黔东南,189555.02,08,04,13
201908041430,855,黔东南,184961.63,08,04,14
201908041825,855,黔东南,181692.34,08,04,18
201908042210,855,黔东南,248247.99,08,04,22
201908042340,855,黔东南,180668.95,08,04,23
201908042345,855,黔东南,179614.45,08,04,23
201908050915,855,黔东南,132751.30,08,05,09
201908051450,855,黔东南,183079.95,08,05,14
201908051455,855,黔东南,172422.16,08,05,14
201908051550,855,黔东南,175290.10,08,05,15
201908051625,855,黔东南,207049.65,08,05,16
201908051915,855,黔东南,184639.49,08,05,19
201908052015,855,黔东南,213058.31,08,05,20
201908052145,855,黔东南,256180.85,08,05,21
201908052220,855,黔东南,247394.21,08,05,22
201908060945,855,黔东南,138471.82,08,06,09
201908061150,855,黔东南,172017.59,08,06,11
201908061420,855,黔东南,162633.01,08,06,14
201908061615,855,黔东南,175592.38,08,06,16
201908061850,855,黔东南,174028.95,08,06,18
201908062050,855,黔东南,244255.20,08,06,20
201908062345,855,黔东南,178627.01,08,06,23
201908071100,855,黔东南,165291.45,08,07,11
201908071505,855,黔东南,185311.40,08,07,15
