日期,编码,地区,流量,月份,天,小时
201907221830,858,六盘水,565657.62,07,22,18
201907221845,858,六盘水,498095.77,07,22,18
201907231015,858,六盘水,496054.09,07,23,10
201907231240,858,六盘水,640725.97,07,23,12
201907231515,858,六盘水,606201.03,07,23,15
201907231850,858,六盘水,602092.32,07,23,18
201907232150,858,六盘水,856631.11,07,23,21
201907241850,858,六盘水,644613.20,07,24,18
201907251000,858,六盘水,527459.60,07,25,10
201907251115,858,六盘水,569044.81,07,25,11
201907251505,858,六盘水,606887.85,07,25,15
201907251555,858,六盘水,591503.98,07,25,15
201907252035,858,六盘水,784612.13,07,25,20
201907252155,858,六盘水,843188.71,07,25,21
201907261605,858,六盘水,628398.72,07,26,16
201907261615,858,六盘水,641520.23,07,26,16
201907261755,858,六盘水,627236.57,07,26,17
201907271105,858,六盘水,583809.61,07,27,11
201907271305,858,六盘水,690019.84,07,27,13
201907271315,858,六盘水,665576.68,07,27,13
201907272000,858,六盘水,687470.12,07,27,20
201907272055,858,六盘水,844199.08,07,27,20
201907272255,858,六盘水,844456.89,07,27,22
201907280950,858,六盘水,537644.28,07,28,09
201907281810,858,六盘水,615573.12,07,28,18
201907281935,858,六盘水,652715.46,07,28,19
201907282000,858,六盘水,669585.13,07,28,20
201907282005,858,六盘水,680776.57,07,28,20
201907282015,858,六盘水,714236.08,07,28,20
201907282025,858,六盘水,745856.20,07,28,20
201907282040,858,六盘水,784457.08,07,28,20
201907282110,858,六盘水,823964.33,07,28,21
201907282305,858,六盘水,793889.68,07,28,23
201907291255,858,六盘水,676336.44,07,29,12
201907291530,858,六盘水,613043.78,07,29,15
201907291540,858,六盘水,605871.27,07,29,15
201907291630,858,六盘水,591302.91,07,29,16
201907291710,858,六盘水,590544.05,07,29,17
201907291815,858,六盘水,601878.36,07,29,18
201907292000,858,六盘水,753164.11,07,29,20
201907292115,858,六盘水,875319.76,07,29,21
201907300910,858,六盘水,490244.19,07,30,09
201907301150,858,六盘水,602009.69,07,30,11
201907301640,858,六盘水,641159.30,07,30,16
201907301725,858,六盘水,633099.06,07,30,17
201907302000,858,六盘水,745504.13,07,30,20
201907302320,858,六盘水,601341.16,07,30,23
201907310920,858,六盘水,486725.30,07,31,09
201907311225,858,六盘水,659745.39,07,31,12
201907311315,858,六盘水,656550.88,07,31,13
201907311600,858,六盘水,634123.17,07,31,16
201907312110,858,六盘水,895028.96,07,31,21
201908011030,858,六盘水,630493.82,08,01,10
201908011245,858,六盘水,775453.14,08,01,12
201908011805,858,六盘水,709024.96,08,01,18
