日期,编码,地区,流量,月份,天,小时
201907221830,856,铜仁,105738.72,07,22,18
201907221845,856,铜仁,99363.59,07,22,18
201907231015,856,铜仁,93368.95,07,23,10
201907231240,856,铜仁,126674.55,07,23,12
201907231515,856,铜仁,123183.66,07,23,15
201907231850,856,铜仁,122341.80,07,23,18
201907232150,856,铜仁,163893.08,07,23,21
201907241850,856,铜仁,110748.31,07,24,18
201907251000,856,铜仁,107236.59,07,25,10
201907251115,856,铜仁,119409.95,07,25,11
201907251505,856,铜仁,121392.93,07,25,15
201907251555,856,铜仁,122517.41,07,25,15
201907252035,856,铜仁,145939.85,07,25,20
201907252155,856,铜仁,158793.82,07,25,21
201907261605,856,铜仁,129777.30,07,26,16
201907261615,856,铜仁,126193.48,07,26,16
201907261755,856,铜仁,117155.30,07,26,17
201907271105,856,铜仁,124163.07,07,27,11
201907271305,856,铜仁,138733.20,07,27,13
201907271315,856,铜仁,138094.68,07,27,13
201907272000,856,铜仁,140519.84,07,27,20
201907272055,856,铜仁,164301.24,07,27,20
201907272255,856,铜仁,156936.94,07,27,22
201907280950,856,铜仁,113180.84,07,28,09
201907281810,856,铜仁,118202.21,07,28,18
201907281935,856,铜仁,115411.05,07,28,19
201907282000,856,铜仁,123340.52,07,28,20
201907282005,856,铜仁,127842.13,07,28,20
201907282015,856,铜仁,132876.04,07,28,20
201907282025,856,铜仁,131777.26,07,28,20
201907282040,856,铜仁,143993.20,07,28,20
201907282110,856,铜仁,154825.59,07,28,21
201907282305,856,铜仁,143275.26,07,28,23
201907291255,856,铜仁,138003.37,07,29,12
201907291530,856,铜仁,104057.86,07,29,15
201907291540,856,铜仁,105873.16,07,29,15
201907291630,856,铜仁,103735.97,07,29,16
201907291710,856,铜仁,105101.99,07,29,17
201907291815,856,铜仁,103519.91,07,29,18
201907292000,856,铜仁,117186.93,07,29,20
201907292115,856,铜仁,144224.13,07,29,21
201907300910,856,铜仁,92471.56,07,30,09
201907301150,856,铜仁,123392.97,07,30,11
201907301640,856,铜仁,107353.88,07,30,16
