日期,编码,地区,流量,月份,天,小时
201907221830,856,铜仁,219020.17,07,22,18
201907221845,856,铜仁,202360.16,07,22,18
201907231015,856,铜仁,180996.14,07,23,10
201907231240,856,铜仁,271788.24,07,23,12
201907231515,856,铜仁,241843.97,07,23,15
201907231850,856,铜仁,234865.87,07,23,18
201907232150,856,铜仁,351903.12,07,23,21
201907241850,856,铜仁,222707.79,07,24,18
201907251000,856,铜仁,213245.64,07,25,10
201907251115,856,铜仁,238113.34,07,25,11
201907251505,856,铜仁,259086.59,07,25,15
201907251555,856,铜仁,255095.59,07,25,15
201907252035,856,铜仁,289367.11,07,25,20
201907252155,856,铜仁,354784.07,07,25,21
201907261605,856,铜仁,260021.60,07,26,16
201907261615,856,铜仁,269083.31,07,26,16
201907261755,856,铜仁,246669.67,07,26,17
201907271105,856,铜仁,248088.29,07,27,11
201907271305,856,铜仁,296106.71,07,27,13
201907271315,856,铜仁,297378.67,07,27,13
201907272000,856,铜仁,270425.80,07,27,20
201907272055,856,铜仁,328328.01,07,27,20
201907272255,856,铜仁,338254.34,07,27,22
201907280950,856,铜仁,215487.56,07,28,09
201907281810,856,铜仁,240409.83,07,28,18
201907281935,856,铜仁,222041.51,07,28,19
201907282000,856,铜仁,237631.90,07,28,20
201907282005,856,铜仁,238297.00,07,28,20
201907282015,856,铜仁,258088.22,07,28,20
201907282025,856,铜仁,263581.81,07,28,20
201907282040,856,铜仁,290846.56,07,28,20
201907282110,856,铜仁,320173.05,07,28,21
201907282305,856,铜仁,309307.53,07,28,23
201907291255,856,铜仁,281895.02,07,29,12
201907291530,856,铜仁,215797.91,07,29,15
201907291540,856,铜仁,217874.15,07,29,15
201907291630,856,铜仁,215945.47,07,29,16
201907291710,856,铜仁,212965.27,07,29,17
201907291815,856,铜仁,217372.65,07,29,18
201907292000,856,铜仁,228884.59,07,29,20
201907292115,856,铜仁,310395.15,07,29,21
201907300910,856,铜仁,182068.23,07,30,09
201907301150,856,铜仁,257437.95,07,30,11
201907301640,856,铜仁,233332.95,07,30,16
201907301725,856,铜仁,211235.66,07,30,17
201907302000,856,铜仁,238473.48,07,30,20
201907302320,856,铜仁,232604.39,07,30,23
201907310920,856,铜仁,184547.17,07,31,09
201907311225,856,铜仁,282929.79,07,31,12
201907311315,856,铜仁,261700.84,07,31,13
201907311600,856,铜仁,233403.73,07,31,16
201907312110,856,铜仁,302793.12,07,31,21
201908011030,856,铜仁,232501.11,08,01,10
201908011245,856,铜仁,297381.06,08,01,12
201908011805,856,铜仁,273318.36,08,01,18
201908011825,856,铜仁,258037.62,08,01,18
201908011940,856,铜仁,278347.62,08,01,19
201908012015,856,铜仁,301428.39,08,01,20
201908012150,856,铜仁,373462.62,08,01,21
201908012205,856,铜仁,370925.43,08,01,22
201908012300,856,铜仁,331384.14,08,01,23
201908021100,856,铜仁,252762.22,08,02,11
201908021115,856,铜仁,257141.75,08,02,11
201908021140,856,铜仁,268650.78,08,02,11
201908021225,856,铜仁,274396.83,08,02,12
201908021230,856,铜仁,284395.66,08,02,12
201908021330,856,铜仁,273949.58,08,02,13
201908021610,856,铜仁,267940.21,08,02,16
201908021740,856,铜仁,255635.85,08,02,17
201908021900,856,铜仁,266609.36,08,02,19
201908021905,856,铜仁,267277.76,08,02,19
201908022050,856,铜仁,349166.22,08,02,20
201908022140,856,铜仁,382574.72,08,02,21
201908031335,856,铜仁,278625.04,08,03,13
201908031720,856,铜仁,249306.38,08,03,17
201908032330,856,铜仁,267496.47,08,03,23
201908041305,856,铜仁,284365.31,08,04,13
201908041320,856,铜仁,288398.62,08,04,13
201908041430,856,铜仁,269301.50,08,04,14
201908041825,856,铜仁,254085.38,08,04,18
201908042210,856,铜仁,367805.68,08,04,22
201908042340,856,铜仁,257277.38,08,04,23
201908042345,856,铜仁,253459.26,08,04,23
201908050915,856,铜仁,189510.03,08,05,09
201908051450,856,铜仁,255161.11,08,05,14
201908051455,856,铜仁,265661.87,08,05,14
201908051550,856,铜仁,255090.87,08,05,15
201908051625,856,铜仁,254612.90,08,05,16
201908051915,856,铜仁,260416.42,08,05,19
201908052015,856,铜仁,307039.75,08,05,20
201908052145,856,铜仁,357436.04,08,05,21
201908052220,856,铜仁,345569.53,08,05,22
201908060945,856,铜仁,199430.19,08,06,09
201908061150,856,铜仁,265886.05,08,06,11
201908061420,856,铜仁,254227.33,08,06,14
201908061615,856,铜仁,242678.27,08,06,16
201908061850,856,铜仁,234109.63,08,06,18
201908062050,856,铜仁,329208.79,08,06,20
201908062345,856,铜仁,248379.15,08,06,23
201908071100,856,铜仁,232700.96,08,07,11
201908071505,856,铜仁,265170.45,08,07,15
201908071645,856,铜仁,255147.47,08,07,16
201908072130,856,铜仁,352760.47,08,07,21
201908081430,856,铜仁,252541.53,08,08,14
201908081725,856,铜仁,227812.79,08,08,17
201908081755,856,铜仁,223938.25,08,08,17
201908081800,856,铜仁,222808.72,08,08,18
201908081815,856,铜仁,231599.37,08,08,18
201908082040,856,铜仁,336878.22,08,08,20
201908091340,856,铜仁,284622.68,08,09,13
201910270900,856,铜仁,214771.90,10,27,09
201910270905,856,铜仁,214337.09,10,27,09
201910270910,856,铜仁,228001.54,10,27,09
201910270915,856,铜仁,228915.28,10,27,09
201910270920,856,铜仁,229911.32,10,27,09
201910270925,856,铜仁,224553.74,10,27,09
201910270930,856,铜仁,231948.45,10,27,09
201910270935,856,铜仁,239141.15,10,27,09
201910270940,856,铜仁,242308.42,10,27,09
201910270945,856,铜仁,237877.97,10,27,09
201910270950,856,铜仁,243630.95,10,27,09
201910270955,856,铜仁,244303.33,10,27,09
201910271000,856,铜仁,252027.62,10,27,10
201910271005,856,铜仁,251250.85,10,27,10
201910271010,856,铜仁,246804.31,10,27,10
201910271015,856,铜仁,245117.14,10,27,10
201910271020,856,铜仁,249902.73,10,27,10
201910271025,856,铜仁,255214.59,10,27,10
201910271030,856,铜仁,255899.00,10,27,10
201910271035,856,铜仁,263382.43,10,27,10
201910271040,856,铜仁,258917.94,10,27,10
201910271045,856,铜仁,258481.30,10,27,10
201910271050,856,铜仁,268208.88,10,27,10
201910271055,856,铜仁,261802.97,10,27,10
