日期,编码,地区,流量,月份,天,小时
201907221830,856,铜仁,262833.39,07,22,18
201907221845,856,铜仁,262108.47,07,22,18
201907231015,856,铜仁,232466.76,07,23,10
201907231240,856,铜仁,319515.82,07,23,12
201907231515,856,铜仁,303588.37,07,23,15
201907231850,856,铜仁,292110.39,07,23,18
201907232150,856,铜仁,424220.11,07,23,21
201907241850,856,铜仁,286652.53,07,24,18
201907251000,856,铜仁,258613.92,07,25,10
201907251115,856,铜仁,298577.10,07,25,11
201907251505,856,铜仁,315837.51,07,25,15
201907251555,856,铜仁,315946.07,07,25,15
201907252035,856,铜仁,362320.24,07,25,20
201907252155,856,铜仁,415807.40,07,25,21
201907261605,856,铜仁,330531.96,07,26,16
201907261615,856,铜仁,319516.71,07,26,16
201907261755,856,铜仁,293846.56,07,26,17
201907271105,856,铜仁,311810.80,07,27,11
201907271305,856,铜仁,353966.62,07,27,13
201907271315,856,铜仁,343856.86,07,27,13
201907272000,856,铜仁,334799.95,07,27,20
201907272055,856,铜仁,387528.13,07,27,20
201907272255,856,铜仁,415898.18,07,27,22
201907280950,856,铜仁,275023.13,07,28,09
201907281810,856,铜仁,299390.01,07,28,18
201907281935,856,铜仁,293618.54,07,28,19
201907282000,856,铜仁,322031.66,07,28,20
201907282005,856,铜仁,318882.70,07,28,20
201907282015,856,铜仁,324061.10,07,28,20
201907282025,856,铜仁,339165.46,07,28,20
201907282040,856,铜仁,363500.63,07,28,20
201907282110,856,铜仁,395737.57,07,28,21
201907282305,856,铜仁,368432.76,07,28,23
201907291255,856,铜仁,349705.84,07,29,12
201907291530,856,铜仁,269051.78,07,29,15
201907291540,856,铜仁,256510.72,07,29,15
201907291630,856,铜仁,266827.24,07,29,16
201907291710,856,铜仁,268823.20,07,29,17
201907291815,856,铜仁,268167.80,07,29,18
201907292000,856,铜仁,288936.52,07,29,20
201907292115,856,铜仁,368070.95,07,29,21
201907300910,856,铜仁,233795.39,07,30,09
201907301150,856,铜仁,313325.26,07,30,11
201907301640,856,铜仁,298979.80,07,30,16
201907301725,856,铜仁,253678.82,07,30,17
201907302000,856,铜仁,325005.51,07,30,20
201907302320,856,铜仁,278381.17,07,30,23
201907310920,856,铜仁,225208.07,07,31,09
201907311225,856,铜仁,326330.41,07,31,12
201907311315,856,铜仁,304034.53,07,31,13
201907311600,856,铜仁,288415.02,07,31,16
201907312110,856,铜仁,358491.23,07,31,21
201908011030,856,铜仁,296225.47,08,01,10
201908011245,856,铜仁,359184.37,08,01,12
201908011805,856,铜仁,336174.39,08,01,18
201908011825,856,铜仁,339275.00,08,01,18
201908011940,856,铜仁,350950.91,08,01,19
201908012015,856,铜仁,379994.44,08,01,20
201908012150,856,铜仁,424594.66,08,01,21
201908012205,856,铜仁,433902.83,08,01,22
201908012300,856,铜仁,404094.73,08,01,23
201908021100,856,铜仁,300334.94,08,02,11
201908021115,856,铜仁,310167.49,08,02,11
201908021140,856,铜仁,323230.90,08,02,11
201908021225,856,铜仁,319377.06,08,02,12
201908021230,856,铜仁,332524.76,08,02,12
201908021330,856,铜仁,333209.74,08,02,13
201908021610,856,铜仁,327801.91,08,02,16
201908021740,856,铜仁,293306.21,08,02,17
201908021900,856,铜仁,321276.16,08,02,19
201908021905,856,铜仁,336743.96,08,02,19
